context: Kiss Him, Not Me response:	I'm at a Disadvantage
context: Who's your favorite character?\It's gotta be the main character, Puri Puri Moon.\No, that's the title of the show. The heroine is Diamond-chan!\You don't watch, do you?\No. But I like it!\Manager\Chief\General Affairs response:	I have just the job for someone bold enough to bluff like you.
context: It's gotta be the main character, Puri Puri Moon.\No, that's the title of the show. The heroine is Diamond-chan!\You don't watch, do you?\No. But I like it!\Manager\Chief\General Affairs\I have just the job for someone bold enough to bluff like you. response:	Igarashi Yusuke, assigned as an exciting cruise leader!
context: No, that's the title of the show. The heroine is Diamond-chan!\You don't watch, do you?\No. But I like it!\Manager\Chief\General Affairs\I have just the job for someone bold enough to bluff like you.\Igarashi Yusuke, assigned as an exciting cruise leader! response:	I'm applying for the Puri Moon show!
context: You don't watch, do you?\No. But I like it!\Manager\Chief\General Affairs\I have just the job for someone bold enough to bluff like you.\Igarashi Yusuke, assigned as an exciting cruise leader!\I'm applying for the Puri Moon show! response:	But, I have to focus on my circle work, so I can't really come often.
context: No. But I like it!\Manager\Chief\General Affairs\I have just the job for someone bold enough to bluff like you.\Igarashi Yusuke, assigned as an exciting cruise leader!\I'm applying for the Puri Moon show!\But, I have to focus on my circle work, so I can't really come often. response:	I often go on overseas trips during breaks, too, so it'll be hard to find time.
context: Manager\Chief\General Affairs\I have just the job for someone bold enough to bluff like you.\Igarashi Yusuke, assigned as an exciting cruise leader!\I'm applying for the Puri Moon show!\But, I have to focus on my circle work, so I can't really come often.\I often go on overseas trips during breaks, too, so it'll be hard to find time. response:	Are you even interested in working?
context: Chief\General Affairs\I have just the job for someone bold enough to bluff like you.\Igarashi Yusuke, assigned as an exciting cruise leader!\I'm applying for the Puri Moon show!\But, I have to focus on my circle work, so I can't really come often.\I often go on overseas trips during breaks, too, so it'll be hard to find time.\Are you even interested in working? response:	I've got the perfect kind of shift work for someone like you, though.
context: General Affairs\I have just the job for someone bold enough to bluff like you.\Igarashi Yusuke, assigned as an exciting cruise leader!\I'm applying for the Puri Moon show!\But, I have to focus on my circle work, so I can't really come often.\I often go on overseas trips during breaks, too, so it'll be hard to find time.\Are you even interested in working?\I've got the perfect kind of shift work for someone like you, though. response:	Nishina Shima, assigned to the pretty boy butler cafe!
context: I have just the job for someone bold enough to bluff like you.\Igarashi Yusuke, assigned as an exciting cruise leader!\I'm applying for the Puri Moon show!\But, I have to focus on my circle work, so I can't really come often.\I often go on overseas trips during breaks, too, so it'll be hard to find time.\Are you even interested in working?\I've got the perfect kind of shift work for someone like you, though.\Nishina Shima, assigned to the pretty boy butler cafe! response:	Um, I'd like to apply for the Puri Puri Moon special show.
context: Igarashi Yusuke, assigned as an exciting cruise leader!\I'm applying for the Puri Moon show!\But, I have to focus on my circle work, so I can't really come often.\I often go on overseas trips during breaks, too, so it'll be hard to find time.\Are you even interested in working?\I've got the perfect kind of shift work for someone like you, though.\Nishina Shima, assigned to the pretty boy butler cafe!\Um, I'd like to apply for the Puri Puri Moon special show. response:	But I'm happy working backstage, so
context: I'm applying for the Puri Moon show!\But, I have to focus on my circle work, so I can't really come often.\I often go on overseas trips during breaks, too, so it'll be hard to find time.\Are you even interested in working?\I've got the perfect kind of shift work for someone like you, though.\Nishina Shima, assigned to the pretty boy butler cafe!\Um, I'd like to apply for the Puri Puri Moon special show.\But I'm happy working backstage, so response:	Forget behind the scenes! I knew the perfect role for you the moment I saw you!
context: But, I have to focus on my circle work, so I can't really come often.\I often go on overseas trips during breaks, too, so it'll be hard to find time.\Are you even interested in working?\I've got the perfect kind of shift work for someone like you, though.\Nishina Shima, assigned to the pretty boy butler cafe!\Um, I'd like to apply for the Puri Puri Moon special show.\But I'm happy working backstage, so\Forget behind the scenes! I knew the perfect role for you the moment I saw you! response:	Shinomiya Hayato, assigned as Princess Usamimi!
context: I often go on overseas trips during breaks, too, so it'll be hard to find time.\Are you even interested in working?\I've got the perfect kind of shift work for someone like you, though.\Nishina Shima, assigned to the pretty boy butler cafe!\Um, I'd like to apply for the Puri Puri Moon special show.\But I'm happy working backstage, so\Forget behind the scenes! I knew the perfect role for you the moment I saw you!\Shinomiya Hayato, assigned as Princess Usamimi! response:	Why?!
context: Are you even interested in working?\I've got the perfect kind of shift work for someone like you, though.\Nishina Shima, assigned to the pretty boy butler cafe!\Um, I'd like to apply for the Puri Puri Moon special show.\But I'm happy working backstage, so\Forget behind the scenes! I knew the perfect role for you the moment I saw you!\Shinomiya Hayato, assigned as Princess Usamimi!\Why?! response:	I'd like to apply for Puri Moon.
context: I've got the perfect kind of shift work for someone like you, though.\Nishina Shima, assigned to the pretty boy butler cafe!\Um, I'd like to apply for the Puri Puri Moon special show.\But I'm happy working backstage, so\Forget behind the scenes! I knew the perfect role for you the moment I saw you!\Shinomiya Hayato, assigned as Princess Usamimi!\Why?!\I'd like to apply for Puri Moon. response:	I like kids, so I'd like to interact with them.
context: Nishina Shima, assigned to the pretty boy butler cafe!\Um, I'd like to apply for the Puri Puri Moon special show.\But I'm happy working backstage, so\Forget behind the scenes! I knew the perfect role for you the moment I saw you!\Shinomiya Hayato, assigned as Princess Usamimi!\Why?!\I'd like to apply for Puri Moon.\I like kids, so I'd like to interact with them. response:	Oh, is that right?
context: Um, I'd like to apply for the Puri Puri Moon special show.\But I'm happy working backstage, so\Forget behind the scenes! I knew the perfect role for you the moment I saw you!\Shinomiya Hayato, assigned as Princess Usamimi!\Why?!\I'd like to apply for Puri Moon.\I like kids, so I'd like to interact with them.\Oh, is that right? response:	Mutsumi Asuma, assigned to selling balloons as a mascot.
context: But I'm happy working backstage, so\Forget behind the scenes! I knew the perfect role for you the moment I saw you!\Shinomiya Hayato, assigned as Princess Usamimi!\Why?!\I'd like to apply for Puri Moon.\I like kids, so I'd like to interact with them.\Oh, is that right?\Mutsumi Asuma, assigned to selling balloons as a mascot. response:	And now...
context: Forget behind the scenes! I knew the perfect role for you the moment I saw you!\Shinomiya Hayato, assigned as Princess Usamimi!\Why?!\I'd like to apply for Puri Moon.\I like kids, so I'd like to interact with them.\Oh, is that right?\Mutsumi Asuma, assigned to selling balloons as a mascot.\And now... response:	I watch Puri Puri Moon every week with my little sister!
context: Shinomiya Hayato, assigned as Princess Usamimi!\Why?!\I'd like to apply for Puri Moon.\I like kids, so I'd like to interact with them.\Oh, is that right?\Mutsumi Asuma, assigned to selling balloons as a mascot.\And now...\I watch Puri Puri Moon every week with my little sister! response:	I know all the songs, dances, and signature phrases!
context: Why?!\I'd like to apply for Puri Moon.\I like kids, so I'd like to interact with them.\Oh, is that right?\Mutsumi Asuma, assigned to selling balloons as a mascot.\And now...\I watch Puri Puri Moon every week with my little sister!\I know all the songs, dances, and signature phrases! response:	There's no one better suited for the Puri Moon show than me!
context: I'd like to apply for Puri Moon.\I like kids, so I'd like to interact with them.\Oh, is that right?\Mutsumi Asuma, assigned to selling balloons as a mascot.\And now...\I watch Puri Puri Moon every week with my little sister!\I know all the songs, dances, and signature phrases!\There's no one better suited for the Puri Moon show than me! response:	I-Is that right?
context: I like kids, so I'd like to interact with them.\Oh, is that right?\Mutsumi Asuma, assigned to selling balloons as a mascot.\And now...\I watch Puri Puri Moon every week with my little sister!\I know all the songs, dances, and signature phrases!\There's no one better suited for the Puri Moon show than me!\I-Is that right? response:	Yes!
context: Oh, is that right?\Mutsumi Asuma, assigned to selling balloons as a mascot.\And now...\I watch Puri Puri Moon every week with my little sister!\I know all the songs, dances, and signature phrases!\There's no one better suited for the Puri Moon show than me!\I-Is that right?\Yes! response:	Diamond's pose?
context: Mutsumi Asuma, assigned to selling balloons as a mascot.\And now...\I watch Puri Puri Moon every week with my little sister!\I know all the songs, dances, and signature phrases!\There's no one better suited for the Puri Moon show than me!\I-Is that right?\Yes!\Diamond's pose? response:	As long as Puri Puri Moon's here, the moon will never be shrouded in darkness!
context: And now...\I watch Puri Puri Moon every week with my little sister!\I know all the songs, dances, and signature phrases!\There's no one better suited for the Puri Moon show than me!\I-Is that right?\Yes!\Diamond's pose?\As long as Puri Puri Moon's here, the moon will never be shrouded in darkness! response:	Dark Prince's pose?
context: I watch Puri Puri Moon every week with my little sister!\I know all the songs, dances, and signature phrases!\There's no one better suited for the Puri Moon show than me!\I-Is that right?\Yes!\Diamond's pose?\As long as Puri Puri Moon's here, the moon will never be shrouded in darkness!\Dark Prince's pose? response:	Hmph. Fools!
context: I know all the songs, dances, and signature phrases!\There's no one better suited for the Puri Moon show than me!\I-Is that right?\Yes!\Diamond's pose?\As long as Puri Puri Moon's here, the moon will never be shrouded in darkness!\Dark Prince's pose?\Hmph. Fools! response:	I shall summon the darkness.
context: There's no one better suited for the Puri Moon show than me!\I-Is that right?\Yes!\Diamond's pose?\As long as Puri Puri Moon's here, the moon will never be shrouded in darkness!\Dark Prince's pose?\Hmph. Fools!\I shall summon the darkness. response:	You're hired!
context: I-Is that right?\Yes!\Diamond's pose?\As long as Puri Puri Moon's here, the moon will never be shrouded in darkness!\Dark Prince's pose?\Hmph. Fools!\I shall summon the darkness.\You're hired! response:	I did it!
context: Yes!\Diamond's pose?\As long as Puri Puri Moon's here, the moon will never be shrouded in darkness!\Dark Prince's pose?\Hmph. Fools!\I shall summon the darkness.\You're hired!\I did it! response:	Can't wait to work with you, Serinuma!
context: Diamond's pose?\As long as Puri Puri Moon's here, the moon will never be shrouded in darkness!\Dark Prince's pose?\Hmph. Fools!\I shall summon the darkness.\You're hired!\I did it!\Can't wait to work with you, Serinuma! response:	Iga
context: As long as Puri Puri Moon's here, the moon will never be shrouded in darkness!\Dark Prince's pose?\Hmph. Fools!\I shall summon the darkness.\You're hired!\I did it!\Can't wait to work with you, Serinuma!\Iga response:	Ni
context: Dark Prince's pose?\Hmph. Fools!\I shall summon the darkness.\You're hired!\I did it!\Can't wait to work with you, Serinuma!\Iga\Ni response:	Shi
context: Hmph. Fools!\I shall summon the darkness.\You're hired!\I did it!\Can't wait to work with you, Serinuma!\Iga\Ni\Shi response:	Mu
context: I shall summon the darkness.\You're hired!\I did it!\Can't wait to work with you, Serinuma!\Iga\Ni\Shi\Mu response:	Let's do our best!
context: You're hired!\I did it!\Can't wait to work with you, Serinuma!\Iga\Ni\Shi\Mu\Let's do our best! response:	Yeah, same here!
context: I did it!\Can't wait to work with you, Serinuma!\Iga\Ni\Shi\Mu\Let's do our best!\Yeah, same here! response:	Finally! I'll definitely get closer to her this way.
context: Can't wait to work with you, Serinuma!\Iga\Ni\Shi\Mu\Let's do our best!\Yeah, same here!\Finally! I'll definitely get closer to her this way. response:	My time has come!
context: Iga\Ni\Shi\Mu\Let's do our best!\Yeah, same here!\Finally! I'll definitely get closer to her this way.\My time has come! response:	You're going to play the role of Dark Prince in the Puri Moon show?!
context: Ni\Shi\Mu\Let's do our best!\Yeah, same here!\Finally! I'll definitely get closer to her this way.\My time has come!\You're going to play the role of Dark Prince in the Puri Moon show?! response:	Really?!
context: Shi\Mu\Let's do our best!\Yeah, same here!\Finally! I'll definitely get closer to her this way.\My time has come!\You're going to play the role of Dark Prince in the Puri Moon show?!\Really?! response:	That's right!
context: Mu\Let's do our best!\Yeah, same here!\Finally! I'll definitely get closer to her this way.\My time has come!\You're going to play the role of Dark Prince in the Puri Moon show?!\Really?!\That's right! response:	Amazing! Amazing!
context: Let's do our best!\Yeah, same here!\Finally! I'll definitely get closer to her this way.\My time has come!\You're going to play the role of Dark Prince in the Puri Moon show?!\Really?!\That's right!\Amazing! Amazing! response:	I wanna see! I'm gonna go!
context: Yeah, same here!\Finally! I'll definitely get closer to her this way.\My time has come!\You're going to play the role of Dark Prince in the Puri Moon show?!\Really?!\That's right!\Amazing! Amazing!\I wanna see! I'm gonna go! response:	But, that means I need to go to practice on the weekends and I won't be here.
context: Finally! I'll definitely get closer to her this way.\My time has come!\You're going to play the role of Dark Prince in the Puri Moon show?!\Really?!\That's right!\Amazing! Amazing!\I wanna see! I'm gonna go!\But, that means I need to go to practice on the weekends and I won't be here. response:	Will you be okay?
context: My time has come!\You're going to play the role of Dark Prince in the Puri Moon show?!\Really?!\That's right!\Amazing! Amazing!\I wanna see! I'm gonna go!\But, that means I need to go to practice on the weekends and I won't be here.\Will you be okay? response:	I-I'll be okay! I'm not a kid!
context: You're going to play the role of Dark Prince in the Puri Moon show?!\Really?!\That's right!\Amazing! Amazing!\I wanna see! I'm gonna go!\But, that means I need to go to practice on the weekends and I won't be here.\Will you be okay?\I-I'll be okay! I'm not a kid! response:	Do your best! I'll be your coach if there's anything you don't get!
context: Really?!\That's right!\Amazing! Amazing!\I wanna see! I'm gonna go!\But, that means I need to go to practice on the weekends and I won't be here.\Will you be okay?\I-I'll be okay! I'm not a kid!\Do your best! I'll be your coach if there's anything you don't get! response:	An innocent girl's heart is a full moon every day.
context: That's right!\Amazing! Amazing!\I wanna see! I'm gonna go!\But, that means I need to go to practice on the weekends and I won't be here.\Will you be okay?\I-I'll be okay! I'm not a kid!\Do your best! I'll be your coach if there's anything you don't get!\An innocent girl's heart is a full moon every day. response:	How was it?
context: Amazing! Amazing!\I wanna see! I'm gonna go!\But, that means I need to go to practice on the weekends and I won't be here.\Will you be okay?\I-I'll be okay! I'm not a kid!\Do your best! I'll be your coach if there's anything you don't get!\An innocent girl's heart is a full moon every day.\How was it? response:	It's okay,
context: I wanna see! I'm gonna go!\But, that means I need to go to practice on the weekends and I won't be here.\Will you be okay?\I-I'll be okay! I'm not a kid!\Do your best! I'll be your coach if there's anything you don't get!\An innocent girl's heart is a full moon every day.\How was it?\It's okay, response:	but you need to put your hips into the Ruby pose to get it perfect.
context: But, that means I need to go to practice on the weekends and I won't be here.\Will you be okay?\I-I'll be okay! I'm not a kid!\Do your best! I'll be your coach if there's anything you don't get!\An innocent girl's heart is a full moon every day.\How was it?\It's okay,\but you need to put your hips into the Ruby pose to get it perfect. response:	My hips?
context: Will you be okay?\I-I'll be okay! I'm not a kid!\Do your best! I'll be your coach if there's anything you don't get!\An innocent girl's heart is a full moon every day.\How was it?\It's okay,\but you need to put your hips into the Ruby pose to get it perfect.\My hips? response:	Like this.
context: I-I'll be okay! I'm not a kid!\Do your best! I'll be your coach if there's anything you don't get!\An innocent girl's heart is a full moon every day.\How was it?\It's okay,\but you need to put your hips into the Ruby pose to get it perfect.\My hips?\Like this. response:	Oh, you're right! So cute!
context: Do your best! I'll be your coach if there's anything you don't get!\An innocent girl's heart is a full moon every day.\How was it?\It's okay,\but you need to put your hips into the Ruby pose to get it perfect.\My hips?\Like this.\Oh, you're right! So cute! response:	That's Nanashima-kun for you!
context: An innocent girl's heart is a full moon every day.\How was it?\It's okay,\but you need to put your hips into the Ruby pose to get it perfect.\My hips?\Like this.\Oh, you're right! So cute!\That's Nanashima-kun for you! response:	Thanks. I'll try that!
context: How was it?\It's okay,\but you need to put your hips into the Ruby pose to get it perfect.\My hips?\Like this.\Oh, you're right! So cute!\That's Nanashima-kun for you!\Thanks. I'll try that! response:	Nana's really done well for himself.
context: It's okay,\but you need to put your hips into the Ruby pose to get it perfect.\My hips?\Like this.\Oh, you're right! So cute!\That's Nanashima-kun for you!\Thanks. I'll try that!\Nana's really done well for himself. response:	An innocent girl's heart is a full moon,
context: but you need to put your hips into the Ruby pose to get it perfect.\My hips?\Like this.\Oh, you're right! So cute!\That's Nanashima-kun for you!\Thanks. I'll try that!\Nana's really done well for himself.\An innocent girl's heart is a full moon, response:	every day!
context: My hips?\Like this.\Oh, you're right! So cute!\That's Nanashima-kun for you!\Thanks. I'll try that!\Nana's really done well for himself.\An innocent girl's heart is a full moon,\every day! response:	But, well...
context: Like this.\Oh, you're right! So cute!\That's Nanashima-kun for you!\Thanks. I'll try that!\Nana's really done well for himself.\An innocent girl's heart is a full moon,\every day!\But, well... response:	It looks really lame.
context: Oh, you're right! So cute!\That's Nanashima-kun for you!\Thanks. I'll try that!\Nana's really done well for himself.\An innocent girl's heart is a full moon,\every day!\But, well...\It looks really lame. response:	Usami Land Training Center
context: That's Nanashima-kun for you!\Thanks. I'll try that!\Nana's really done well for himself.\An innocent girl's heart is a full moon,\every day!\But, well...\It looks really lame.\Usami Land Training Center response:	I see. You know so much about this because of your little sister.
context: Thanks. I'll try that!\Nana's really done well for himself.\An innocent girl's heart is a full moon,\every day!\But, well...\It looks really lame.\Usami Land Training Center\I see. You know so much about this because of your little sister. response:	The story's pretty complex.
context: Nana's really done well for himself.\An innocent girl's heart is a full moon,\every day!\But, well...\It looks really lame.\Usami Land Training Center\I see. You know so much about this because of your little sister.\The story's pretty complex. response:	You can't underestimate it just'cause it's a kids' anime.
context: An innocent girl's heart is a full moon,\every day!\But, well...\It looks really lame.\Usami Land Training Center\I see. You know so much about this because of your little sister.\The story's pretty complex.\You can't underestimate it just'cause it's a kids' anime. response:	I get you! It's really deep!
context: every day!\But, well...\It looks really lame.\Usami Land Training Center\I see. You know so much about this because of your little sister.\The story's pretty complex.\You can't underestimate it just'cause it's a kids' anime.\I get you! It's really deep! response:	This is so fun! What fun days we're having.
context: But, well...\It looks really lame.\Usami Land Training Center\I see. You know so much about this because of your little sister.\The story's pretty complex.\You can't underestimate it just'cause it's a kids' anime.\I get you! It's really deep!\This is so fun! What fun days we're having. response:	We get to spend more time together, and there's no one in our
context: It looks really lame.\Usami Land Training Center\I see. You know so much about this because of your little sister.\The story's pretty complex.\You can't underestimate it just'cause it's a kids' anime.\I get you! It's really deep!\This is so fun! What fun days we're having.\We get to spend more time together, and there's no one in our response:	Hey!
context: Usami Land Training Center\I see. You know so much about this because of your little sister.\The story's pretty complex.\You can't underestimate it just'cause it's a kids' anime.\I get you! It's really deep!\This is so fun! What fun days we're having.\We get to spend more time together, and there's no one in our\Hey! response:	Let's go home together.
context: I see. You know so much about this because of your little sister.\The story's pretty complex.\You can't underestimate it just'cause it's a kids' anime.\I get you! It's really deep!\This is so fun! What fun days we're having.\We get to spend more time together, and there's no one in our\Hey!\Let's go home together. response:	No, I spoke too soon.
context: The story's pretty complex.\You can't underestimate it just'cause it's a kids' anime.\I get you! It's really deep!\This is so fun! What fun days we're having.\We get to spend more time together, and there's no one in our\Hey!\Let's go home together.\No, I spoke too soon. response:	Are you done your training, Igarashi-kun?
context: You can't underestimate it just'cause it's a kids' anime.\I get you! It's really deep!\This is so fun! What fun days we're having.\We get to spend more time together, and there's no one in our\Hey!\Let's go home together.\No, I spoke too soon.\Are you done your training, Igarashi-kun? response:	We've still got more to do, so go on ahead.
context: I get you! It's really deep!\This is so fun! What fun days we're having.\We get to spend more time together, and there's no one in our\Hey!\Let's go home together.\No, I spoke too soon.\Are you done your training, Igarashi-kun?\We've still got more to do, so go on ahead. response:	No, I'll wait.
context: This is so fun! What fun days we're having.\We get to spend more time together, and there's no one in our\Hey!\Let's go home together.\No, I spoke too soon.\Are you done your training, Igarashi-kun?\We've still got more to do, so go on ahead.\No, I'll wait. response:	Go!
context: We get to spend more time together, and there's no one in our\Hey!\Let's go home together.\No, I spoke too soon.\Are you done your training, Igarashi-kun?\We've still got more to do, so go on ahead.\No, I'll wait.\Go! response:	Nope.
context: Hey!\Let's go home together.\No, I spoke too soon.\Are you done your training, Igarashi-kun?\We've still got more to do, so go on ahead.\No, I'll wait.\Go!\Nope. response:	Igarashi always comes after his training is done.
context: Let's go home together.\No, I spoke too soon.\Are you done your training, Igarashi-kun?\We've still got more to do, so go on ahead.\No, I'll wait.\Go!\Nope.\Igarashi always comes after his training is done. response:	He's a serious pain.
context: No, I spoke too soon.\Are you done your training, Igarashi-kun?\We've still got more to do, so go on ahead.\No, I'll wait.\Go!\Nope.\Igarashi always comes after his training is done.\He's a serious pain. response:	But, who cares about that?
context: Are you done your training, Igarashi-kun?\We've still got more to do, so go on ahead.\No, I'll wait.\Go!\Nope.\Igarashi always comes after his training is done.\He's a serious pain.\But, who cares about that? response:	My Lord! Good night!
context: We've still got more to do, so go on ahead.\No, I'll wait.\Go!\Nope.\Igarashi always comes after his training is done.\He's a serious pain.\But, who cares about that?\My Lord! Good night! response:	Serinuma
context: No, I'll wait.\Go!\Nope.\Igarashi always comes after his training is done.\He's a serious pain.\But, who cares about that?\My Lord! Good night!\Serinuma response:	We're meeting tomorrow morning in front of the ticket gate, right?
context: Go!\Nope.\Igarashi always comes after his training is done.\He's a serious pain.\But, who cares about that?\My Lord! Good night!\Serinuma\We're meeting tomorrow morning in front of the ticket gate, right? response:	See you then!
context: Nope.\Igarashi always comes after his training is done.\He's a serious pain.\But, who cares about that?\My Lord! Good night!\Serinuma\We're meeting tomorrow morning in front of the ticket gate, right?\See you then! response:	This is going great!
context: Igarashi always comes after his training is done.\He's a serious pain.\But, who cares about that?\My Lord! Good night!\Serinuma\We're meeting tomorrow morning in front of the ticket gate, right?\See you then!\This is going great! response:	Right now...
context: He's a serious pain.\But, who cares about that?\My Lord! Good night!\Serinuma\We're meeting tomorrow morning in front of the ticket gate, right?\See you then!\This is going great!\Right now... response:	I'm the closest to Serinuma!
context: But, who cares about that?\My Lord! Good night!\Serinuma\We're meeting tomorrow morning in front of the ticket gate, right?\See you then!\This is going great!\Right now...\I'm the closest to Serinuma! response:	You're leaving already, Onii-chan?
context: My Lord! Good night!\Serinuma\We're meeting tomorrow morning in front of the ticket gate, right?\See you then!\This is going great!\Right now...\I'm the closest to Serinuma!\You're leaving already, Onii-chan? response:	Yeah, I overslept.
context: Serinuma\We're meeting tomorrow morning in front of the ticket gate, right?\See you then!\This is going great!\Right now...\I'm the closest to Serinuma!\You're leaving already, Onii-chan?\Yeah, I overslept. response:	A cold?
context: We're meeting tomorrow morning in front of the ticket gate, right?\See you then!\This is going great!\Right now...\I'm the closest to Serinuma!\You're leaving already, Onii-chan?\Yeah, I overslept.\A cold? response:	I fell asleep last night without drying my hair.
context: See you then!\This is going great!\Right now...\I'm the closest to Serinuma!\You're leaving already, Onii-chan?\Yeah, I overslept.\A cold?\I fell asleep last night without drying my hair. response:	Will you be okay?
context: This is going great!\Right now...\I'm the closest to Serinuma!\You're leaving already, Onii-chan?\Yeah, I overslept.\A cold?\I fell asleep last night without drying my hair.\Will you be okay? response:	I'll be fine! I'm gonna go now!
context: Right now...\I'm the closest to Serinuma!\You're leaving already, Onii-chan?\Yeah, I overslept.\A cold?\I fell asleep last night without drying my hair.\Will you be okay?\I'll be fine! I'm gonna go now! response:	Usami Land Training Center
context: I'm the closest to Serinuma!\You're leaving already, Onii-chan?\Yeah, I overslept.\A cold?\I fell asleep last night without drying my hair.\Will you be okay?\I'll be fine! I'm gonna go now!\Usami Land Training Center response:	Well then, let's have the poses.
context: You're leaving already, Onii-chan?\Yeah, I overslept.\A cold?\I fell asleep last night without drying my hair.\Will you be okay?\I'll be fine! I'm gonna go now!\Usami Land Training Center\Well then, let's have the poses. response:	Think of this as a real performance.
context: Yeah, I overslept.\A cold?\I fell asleep last night without drying my hair.\Will you be okay?\I'll be fine! I'm gonna go now!\Usami Land Training Center\Well then, let's have the poses.\Think of this as a real performance. response:	Okay!
context: A cold?\I fell asleep last night without drying my hair.\Will you be okay?\I'll be fine! I'm gonna go now!\Usami Land Training Center\Well then, let's have the poses.\Think of this as a real performance.\Okay! response:	Puri Puri Moon! Diamond!
context: I fell asleep last night without drying my hair.\Will you be okay?\I'll be fine! I'm gonna go now!\Usami Land Training Center\Well then, let's have the poses.\Think of this as a real performance.\Okay!\Puri Puri Moon! Diamond! response:	Ruby!
context: Will you be okay?\I'll be fine! I'm gonna go now!\Usami Land Training Center\Well then, let's have the poses.\Think of this as a real performance.\Okay!\Puri Puri Moon! Diamond!\Ruby! response:	Sapphire!
context: I'll be fine! I'm gonna go now!\Usami Land Training Center\Well then, let's have the poses.\Think of this as a real performance.\Okay!\Puri Puri Moon! Diamond!\Ruby!\Sapphire! response:	Emerald!
context: Usami Land Training Center\Well then, let's have the poses.\Think of this as a real performance.\Okay!\Puri Puri Moon! Diamond!\Ruby!\Sapphire!\Emerald! response:	Alexandrite!
context: Well then, let's have the poses.\Think of this as a real performance.\Okay!\Puri Puri Moon! Diamond!\Ruby!\Sapphire!\Emerald!\Alexandrite! response:	Next, it's the prince.
context: Think of this as a real performance.\Okay!\Puri Puri Moon! Diamond!\Ruby!\Sapphire!\Emerald!\Alexandrite!\Next, it's the prince. response:	Right.
context: Okay!\Puri Puri Moon! Diamond!\Ruby!\Sapphire!\Emerald!\Alexandrite!\Next, it's the prince.\Right. response:	Huh?
context: Puri Puri Moon! Diamond!\Ruby!\Sapphire!\Emerald!\Alexandrite!\Next, it's the prince.\Right.\Huh? response:	What's this?
context: Ruby!\Sapphire!\Emerald!\Alexandrite!\Next, it's the prince.\Right.\Huh?\What's this? response:	My legs feel...
context: Sapphire!\Emerald!\Alexandrite!\Next, it's the prince.\Right.\Huh?\What's this?\My legs feel... response:	off balance...
context: Emerald!\Alexandrite!\Next, it's the prince.\Right.\Huh?\What's this?\My legs feel...\off balance... response:	Nanashima-kun!
context: Alexandrite!\Next, it's the prince.\Right.\Huh?\What's this?\My legs feel...\off balance...\Nanashima-kun! response:	Nanashima-kun? Nanashima-kun?
context: Next, it's the prince.\Right.\Huh?\What's this?\My legs feel...\off balance...\Nanashima-kun!\Nanashima-kun? Nanashima-kun? response:	Huh?
context: Right.\Huh?\What's this?\My legs feel...\off balance...\Nanashima-kun!\Nanashima-kun? Nanashima-kun?\Huh? response:	What a relief.
context: Huh?\What's this?\My legs feel...\off balance...\Nanashima-kun!\Nanashima-kun? Nanashima-kun?\Huh?\What a relief. response:	You fainted from a fever, remember?
context: What's this?\My legs feel...\off balance...\Nanashima-kun!\Nanashima-kun? Nanashima-kun?\Huh?\What a relief.\You fainted from a fever, remember? response:	The director said to go home and rest.
context: My legs feel...\off balance...\Nanashima-kun!\Nanashima-kun? Nanashima-kun?\Huh?\What a relief.\You fainted from a fever, remember?\The director said to go home and rest. response:	A staff member gave you a ride home.
context: off balance...\Nanashima-kun!\Nanashima-kun? Nanashima-kun?\Huh?\What a relief.\You fainted from a fever, remember?\The director said to go home and rest.\A staff member gave you a ride home. response:	You'd better eat something before you take any medicine.
context: Nanashima-kun!\Nanashima-kun? Nanashima-kun?\Huh?\What a relief.\You fainted from a fever, remember?\The director said to go home and rest.\A staff member gave you a ride home.\You'd better eat something before you take any medicine. response:	I'll borrow your kitchen.
context: Nanashima-kun? Nanashima-kun?\Huh?\What a relief.\You fainted from a fever, remember?\The director said to go home and rest.\A staff member gave you a ride home.\You'd better eat something before you take any medicine.\I'll borrow your kitchen. response:	Puri Puri Moon
context: Huh?\What a relief.\You fainted from a fever, remember?\The director said to go home and rest.\A staff member gave you a ride home.\You'd better eat something before you take any medicine.\I'll borrow your kitchen.\Puri Puri Moon response:	Stare...
context: What a relief.\You fainted from a fever, remember?\The director said to go home and rest.\A staff member gave you a ride home.\You'd better eat something before you take any medicine.\I'll borrow your kitchen.\Puri Puri Moon\Stare... response:	I-I'm being watched.
context: You fainted from a fever, remember?\The director said to go home and rest.\A staff member gave you a ride home.\You'd better eat something before you take any medicine.\I'll borrow your kitchen.\Puri Puri Moon\Stare...\I-I'm being watched. response:	Are you Onii-chan's girlfriend?
context: The director said to go home and rest.\A staff member gave you a ride home.\You'd better eat something before you take any medicine.\I'll borrow your kitchen.\Puri Puri Moon\Stare...\I-I'm being watched.\Are you Onii-chan's girlfriend? response:	No, I'm his friend!
context: A staff member gave you a ride home.\You'd better eat something before you take any medicine.\I'll borrow your kitchen.\Puri Puri Moon\Stare...\I-I'm being watched.\Are you Onii-chan's girlfriend?\No, I'm his friend! response:	We work part-time together!
context: You'd better eat something before you take any medicine.\I'll borrow your kitchen.\Puri Puri Moon\Stare...\I-I'm being watched.\Are you Onii-chan's girlfriend?\No, I'm his friend!\We work part-time together! response:	You mean in the Puri Moon show?! Are you in it, too?! Who are you playing?!
