context: July 15th (Thurs) 4:43 PM response:	It's open. Come in.
context: He must have crossed an intersection, as well.\I just have to figure out how he crossed it.\And he did it... like this!\Stick\This is ridiculously embarrassing, but I can make it to the station this way.\Yeah, not bad, Rohan Kishibe.\But you've forgotten something.\When Masazo Kinoto was crossing, I didn't interfere with him! response:	Hey, jackass! Why are you walking so slow?
context: I just have to figure out how he crossed it.\And he did it... like this!\Stick\This is ridiculously embarrassing, but I can make it to the station this way.\Yeah, not bad, Rohan Kishibe.\But you've forgotten something.\When Masazo Kinoto was crossing, I didn't interfere with him!\Hey, jackass! Why are you walking so slow? response:	The hell did you say?!
context: And he did it... like this!\Stick\This is ridiculously embarrassing, but I can make it to the station this way.\Yeah, not bad, Rohan Kishibe.\But you've forgotten something.\When Masazo Kinoto was crossing, I didn't interfere with him!\Hey, jackass! Why are you walking so slow?\The hell did you say?! response:	See?
context: Stick\This is ridiculously embarrassing, but I can make it to the station this way.\Yeah, not bad, Rohan Kishibe.\But you've forgotten something.\When Masazo Kinoto was crossing, I didn't interfere with him!\Hey, jackass! Why are you walking so slow?\The hell did you say?!\See? response:	Er, hey! Turn around!
context: This is ridiculously embarrassing, but I can make it to the station this way.\Yeah, not bad, Rohan Kishibe.\But you've forgotten something.\When Masazo Kinoto was crossing, I didn't interfere with him!\Hey, jackass! Why are you walking so slow?\The hell did you say?!\See?\Er, hey! Turn around! response:	What?!
context: Yeah, not bad, Rohan Kishibe.\But you've forgotten something.\When Masazo Kinoto was crossing, I didn't interfere with him!\Hey, jackass! Why are you walking so slow?\The hell did you say?!\See?\Er, hey! Turn around!\What?! response:	You're the one forgetting something, Cheap Trap.
context: But you've forgotten something.\When Masazo Kinoto was crossing, I didn't interfere with him!\Hey, jackass! Why are you walking so slow?\The hell did you say?!\See?\Er, hey! Turn around!\What?!\You're the one forgetting something, Cheap Trap. response:	Masazo Kinoto didn't have this...
context: When Masazo Kinoto was crossing, I didn't interfere with him!\Hey, jackass! Why are you walking so slow?\The hell did you say?!\See?\Er, hey! Turn around!\What?!\You're the one forgetting something, Cheap Trap.\Masazo Kinoto didn't have this... response:	He didn't have Heaven's Door!
context: Hey, jackass! Why are you walking so slow?\The hell did you say?!\See?\Er, hey! Turn around!\What?!\You're the one forgetting something, Cheap Trap.\Masazo Kinoto didn't have this...\He didn't have Heaven's Door! response:	Cannot turn around for one minute.
context: The hell did you say?!\See?\Er, hey! Turn around!\What?!\You're the one forgetting something, Cheap Trap.\Masazo Kinoto didn't have this...\He didn't have Heaven's Door!\Cannot turn around for one minute. response:	What?!
context: See?\Er, hey! Turn around!\What?!\You're the one forgetting something, Cheap Trap.\Masazo Kinoto didn't have this...\He didn't have Heaven's Door!\Cannot turn around for one minute.\What?! response:	All right. Now I should have no problem walking so that no one sees my back.
context: Er, hey! Turn around!\What?!\You're the one forgetting something, Cheap Trap.\Masazo Kinoto didn't have this...\He didn't have Heaven's Door!\Cannot turn around for one minute.\What?!\All right. Now I should have no problem walking so that no one sees my back. response:	You'd better be prepared, you bastard.
context: What?!\You're the one forgetting something, Cheap Trap.\Masazo Kinoto didn't have this...\He didn't have Heaven's Door!\Cannot turn around for one minute.\What?!\All right. Now I should have no problem walking so that no one sees my back.\You'd better be prepared, you bastard. response:	Wh-What?
context: You're the one forgetting something, Cheap Trap.\Masazo Kinoto didn't have this...\He didn't have Heaven's Door!\Cannot turn around for one minute.\What?!\All right. Now I should have no problem walking so that no one sees my back.\You'd better be prepared, you bastard.\Wh-What? response:	There's no way you're going to make it.
context: Masazo Kinoto didn't have this...\He didn't have Heaven's Door!\Cannot turn around for one minute.\What?!\All right. Now I should have no problem walking so that no one sees my back.\You'd better be prepared, you bastard.\Wh-What?\There's no way you're going to make it. response:	You're the one who's going to die with your dick all shriveled up.
context: He didn't have Heaven's Door!\Cannot turn around for one minute.\What?!\All right. Now I should have no problem walking so that no one sees my back.\You'd better be prepared, you bastard.\Wh-What?\There's no way you're going to make it.\You're the one who's going to die with your dick all shriveled up. response:	Just keep running your mouth.
context: Cannot turn around for one minute.\What?!\All right. Now I should have no problem walking so that no one sees my back.\You'd better be prepared, you bastard.\Wh-What?\There's no way you're going to make it.\You're the one who's going to die with your dick all shriveled up.\Just keep running your mouth. response:	Your only ability is to talk. And that's been sealed.
context: What?!\All right. Now I should have no problem walking so that no one sees my back.\You'd better be prepared, you bastard.\Wh-What?\There's no way you're going to make it.\You're the one who's going to die with your dick all shriveled up.\Just keep running your mouth.\Your only ability is to talk. And that's been sealed. response:	Wh-Wh-Who the hell do you think you're talking to?!
context: All right. Now I should have no problem walking so that no one sees my back.\You'd better be prepared, you bastard.\Wh-What?\There's no way you're going to make it.\You're the one who's going to die with your dick all shriveled up.\Just keep running your mouth.\Your only ability is to talk. And that's been sealed.\Wh-Wh-Who the hell do you think you're talking to?! response:	July 15th (Thurs) 5:32 PM
context: You'd better be prepared, you bastard.\Wh-What?\There's no way you're going to make it.\You're the one who's going to die with your dick all shriveled up.\Just keep running your mouth.\Your only ability is to talk. And that's been sealed.\Wh-Wh-Who the hell do you think you're talking to?!\July 15th (Thurs) 5:32 PM response:	Looks like there aren't any big intersections for a while.
context: Wh-What?\There's no way you're going to make it.\You're the one who's going to die with your dick all shriveled up.\Just keep running your mouth.\Your only ability is to talk. And that's been sealed.\Wh-Wh-Who the hell do you think you're talking to?!\July 15th (Thurs) 5:32 PM\Looks like there aren't any big intersections for a while. response:	Hey, can you use your Heaven's Door ability on animals, too?
context: There's no way you're going to make it.\You're the one who's going to die with your dick all shriveled up.\Just keep running your mouth.\Your only ability is to talk. And that's been sealed.\Wh-Wh-Who the hell do you think you're talking to?!\July 15th (Thurs) 5:32 PM\Looks like there aren't any big intersections for a while.\Hey, can you use your Heaven's Door ability on animals, too? response:	Yeah, if the animal has any intelligence.
context: You're the one who's going to die with your dick all shriveled up.\Just keep running your mouth.\Your only ability is to talk. And that's been sealed.\Wh-Wh-Who the hell do you think you're talking to?!\July 15th (Thurs) 5:32 PM\Looks like there aren't any big intersections for a while.\Hey, can you use your Heaven's Door ability on animals, too?\Yeah, if the animal has any intelligence. response:	So that means if an animal sees your back, I can transfer over to them, too!
context: Just keep running your mouth.\Your only ability is to talk. And that's been sealed.\Wh-Wh-Who the hell do you think you're talking to?!\July 15th (Thurs) 5:32 PM\Looks like there aren't any big intersections for a while.\Hey, can you use your Heaven's Door ability on animals, too?\Yeah, if the animal has any intelligence.\So that means if an animal sees your back, I can transfer over to them, too! response:	Even easier than humans, huh?
context: Your only ability is to talk. And that's been sealed.\Wh-Wh-Who the hell do you think you're talking to?!\July 15th (Thurs) 5:32 PM\Looks like there aren't any big intersections for a while.\Hey, can you use your Heaven's Door ability on animals, too?\Yeah, if the animal has any intelligence.\So that means if an animal sees your back, I can transfer over to them, too!\Even easier than humans, huh? response:	True. I have to be careful of these guys, too.
context: Wh-Wh-Who the hell do you think you're talking to?!\July 15th (Thurs) 5:32 PM\Looks like there aren't any big intersections for a while.\Hey, can you use your Heaven's Door ability on animals, too?\Yeah, if the animal has any intelligence.\So that means if an animal sees your back, I can transfer over to them, too!\Even easier than humans, huh?\True. I have to be careful of these guys, too. response:	I hate cats.
context: July 15th (Thurs) 5:32 PM\Looks like there aren't any big intersections for a while.\Hey, can you use your Heaven's Door ability on animals, too?\Yeah, if the animal has any intelligence.\So that means if an animal sees your back, I can transfer over to them, too!\Even easier than humans, huh?\True. I have to be careful of these guys, too.\I hate cats. response:	They glare at you.
context: Looks like there aren't any big intersections for a while.\Hey, can you use your Heaven's Door ability on animals, too?\Yeah, if the animal has any intelligence.\So that means if an animal sees your back, I can transfer over to them, too!\Even easier than humans, huh?\True. I have to be careful of these guys, too.\I hate cats.\They glare at you. response:	Hey, move!
context: Hey, can you use your Heaven's Door ability on animals, too?\Yeah, if the animal has any intelligence.\So that means if an animal sees your back, I can transfer over to them, too!\Even easier than humans, huh?\True. I have to be careful of these guys, too.\I hate cats.\They glare at you.\Hey, move! response:	What?! It can't be...
context: Yeah, if the animal has any intelligence.\So that means if an animal sees your back, I can transfer over to them, too!\Even easier than humans, huh?\True. I have to be careful of these guys, too.\I hate cats.\They glare at you.\Hey, move!\What?! It can't be... response:	So one of these guys just has to glance at your back, right?
context: So that means if an animal sees your back, I can transfer over to them, too!\Even easier than humans, huh?\True. I have to be careful of these guys, too.\I hate cats.\They glare at you.\Hey, move!\What?! It can't be...\So one of these guys just has to glance at your back, right? response:	My ability is only to speak.
context: Even easier than humans, huh?\True. I have to be careful of these guys, too.\I hate cats.\They glare at you.\Hey, move!\What?! It can't be...\So one of these guys just has to glance at your back, right?\My ability is only to speak. response:	But, you see, humans aren't the only ones that I can talk to.
context: True. I have to be careful of these guys, too.\I hate cats.\They glare at you.\Hey, move!\What?! It can't be...\So one of these guys just has to glance at your back, right?\My ability is only to speak.\But, you see, humans aren't the only ones that I can talk to. response:	I'm the one who called them here.
context: I hate cats.\They glare at you.\Hey, move!\What?! It can't be...\So one of these guys just has to glance at your back, right?\My ability is only to speak.\But, you see, humans aren't the only ones that I can talk to.\I'm the one who called them here. response:	They hate you.
context: They glare at you.\Hey, move!\What?! It can't be...\So one of these guys just has to glance at your back, right?\My ability is only to speak.\But, you see, humans aren't the only ones that I can talk to.\I'm the one who called them here.\They hate you. response:	I just told them that you love killing cats and dogs!
context: Hey, move!\What?! It can't be...\So one of these guys just has to glance at your back, right?\My ability is only to speak.\But, you see, humans aren't the only ones that I can talk to.\I'm the one who called them here.\They hate you.\I just told them that you love killing cats and dogs! response:	Get him!
context: What?! It can't be...\So one of these guys just has to glance at your back, right?\My ability is only to speak.\But, you see, humans aren't the only ones that I can talk to.\I'm the one who called them here.\They hate you.\I just told them that you love killing cats and dogs!\Get him! response:	Heaven's Door!
context: So one of these guys just has to glance at your back, right?\My ability is only to speak.\But, you see, humans aren't the only ones that I can talk to.\I'm the one who called them here.\They hate you.\I just told them that you love killing cats and dogs!\Get him!\Heaven's Door! response:	I-It's no use! There are too many!
context: My ability is only to speak.\But, you see, humans aren't the only ones that I can talk to.\I'm the one who called them here.\They hate you.\I just told them that you love killing cats and dogs!\Get him!\Heaven's Door!\I-It's no use! There are too many! response:	I won!
context: But, you see, humans aren't the only ones that I can talk to.\I'm the one who called them here.\They hate you.\I just told them that you love killing cats and dogs!\Get him!\Heaven's Door!\I-It's no use! There are too many!\I won! response:	3 Freeze!
context: I'm the one who called them here.\They hate you.\I just told them that you love killing cats and dogs!\Get him!\Heaven's Door!\I-It's no use! There are too many!\I won!\3 Freeze! response:	These animals didn't do anything wrong.
context: They hate you.\I just told them that you love killing cats and dogs!\Get him!\Heaven's Door!\I-It's no use! There are too many!\I won!\3 Freeze!\These animals didn't do anything wrong. response:	So scram, all of you. Shoo.
context: I just told them that you love killing cats and dogs!\Get him!\Heaven's Door!\I-It's no use! There are too many!\I won!\3 Freeze!\These animals didn't do anything wrong.\So scram, all of you. Shoo. response:	Th-That Stand is...
context: Get him!\Heaven's Door!\I-It's no use! There are too many!\I won!\3 Freeze!\These animals didn't do anything wrong.\So scram, all of you. Shoo.\Th-That Stand is... response:	Koichi!
context: Heaven's Door!\I-It's no use! There are too many!\I won!\3 Freeze!\These animals didn't do anything wrong.\So scram, all of you. Shoo.\Th-That Stand is...\Koichi! response:	What?!
context: I-It's no use! There are too many!\I won!\3 Freeze!\These animals didn't do anything wrong.\So scram, all of you. Shoo.\Th-That Stand is...\Koichi!\What?! response:	I thought that you might just be messing with me,
context: I won!\3 Freeze!\These animals didn't do anything wrong.\So scram, all of you. Shoo.\Th-That Stand is...\Koichi!\What?!\I thought that you might just be messing with me, response:	but I was still a bit worried, so I went back,
context: 3 Freeze!\These animals didn't do anything wrong.\So scram, all of you. Shoo.\Th-That Stand is...\Koichi!\What?!\I thought that you might just be messing with me,\but I was still a bit worried, so I went back, response:	and you were still acting weird, Rohan-sensei.
context: These animals didn't do anything wrong.\So scram, all of you. Shoo.\Th-That Stand is...\Koichi!\What?!\I thought that you might just be messing with me,\but I was still a bit worried, so I went back,\and you were still acting weird, Rohan-sensei. response:	Even outside your house, you were walking with your back to walls,
context: So scram, all of you. Shoo.\Th-That Stand is...\Koichi!\What?!\I thought that you might just be messing with me,\but I was still a bit worried, so I went back,\and you were still acting weird, Rohan-sensei.\Even outside your house, you were walking with your back to walls, response:	and crossing the street with your back to someone else's, all by yourself.
context: Th-That Stand is...\Koichi!\What?!\I thought that you might just be messing with me,\but I was still a bit worried, so I went back,\and you were still acting weird, Rohan-sensei.\Even outside your house, you were walking with your back to walls,\and crossing the street with your back to someone else's, all by yourself. response:	So you really do have an enemy Stand on your back.
context: Koichi!\What?!\I thought that you might just be messing with me,\but I was still a bit worried, so I went back,\and you were still acting weird, Rohan-sensei.\Even outside your house, you were walking with your back to walls,\and crossing the street with your back to someone else's, all by yourself.\So you really do have an enemy Stand on your back. response:	That's exactly what I admire so much about you...
context: What?!\I thought that you might just be messing with me,\but I was still a bit worried, so I went back,\and you were still acting weird, Rohan-sensei.\Even outside your house, you were walking with your back to walls,\and crossing the street with your back to someone else's, all by yourself.\So you really do have an enemy Stand on your back.\That's exactly what I admire so much about you... response:	You truly are my friend.
context: I thought that you might just be messing with me,\but I was still a bit worried, so I went back,\and you were still acting weird, Rohan-sensei.\Even outside your house, you were walking with your back to walls,\and crossing the street with your back to someone else's, all by yourself.\So you really do have an enemy Stand on your back.\That's exactly what I admire so much about you...\You truly are my friend. response:	It's on your back, right?
context: but I was still a bit worried, so I went back,\and you were still acting weird, Rohan-sensei.\Even outside your house, you were walking with your back to walls,\and crossing the street with your back to someone else's, all by yourself.\So you really do have an enemy Stand on your back.\That's exactly what I admire so much about you...\You truly are my friend.\It's on your back, right? response:	I just have to remove the enemy from your back, right?
context: and you were still acting weird, Rohan-sensei.\Even outside your house, you were walking with your back to walls,\and crossing the street with your back to someone else's, all by yourself.\So you really do have an enemy Stand on your back.\That's exactly what I admire so much about you...\You truly are my friend.\It's on your back, right?\I just have to remove the enemy from your back, right? response:	Reverb, 3 Freeze!
context: Even outside your house, you were walking with your back to walls,\and crossing the street with your back to someone else's, all by yourself.\So you really do have an enemy Stand on your back.\That's exactly what I admire so much about you...\You truly are my friend.\It's on your back, right?\I just have to remove the enemy from your back, right?\Reverb, 3 Freeze! response:	Heavy...
context: and crossing the street with your back to someone else's, all by yourself.\So you really do have an enemy Stand on your back.\That's exactly what I admire so much about you...\You truly are my friend.\It's on your back, right?\I just have to remove the enemy from your back, right?\Reverb, 3 Freeze!\Heavy... response:	Y-You did it!
context: So you really do have an enemy Stand on your back.\That's exactly what I admire so much about you...\You truly are my friend.\It's on your back, right?\I just have to remove the enemy from your back, right?\Reverb, 3 Freeze!\Heavy...\Y-You did it! response:	Aren't you a bit naIve?
context: That's exactly what I admire so much about you...\You truly are my friend.\It's on your back, right?\I just have to remove the enemy from your back, right?\Reverb, 3 Freeze!\Heavy...\Y-You did it!\Aren't you a bit naIve? response:	I'm not sticking to your back with strength, but with my ability.
context: You truly are my friend.\It's on your back, right?\I just have to remove the enemy from your back, right?\Reverb, 3 Freeze!\Heavy...\Y-You did it!\Aren't you a bit naIve?\I'm not sticking to your back with strength, but with my ability. response:	Trying to forcibly remove me from your back
context: It's on your back, right?\I just have to remove the enemy from your back, right?\Reverb, 3 Freeze!\Heavy...\Y-You did it!\Aren't you a bit naIve?\I'm not sticking to your back with strength, but with my ability.\Trying to forcibly remove me from your back response:	means that you'll destroy your back.
context: I just have to remove the enemy from your back, right?\Reverb, 3 Freeze!\Heavy...\Y-You did it!\Aren't you a bit naIve?\I'm not sticking to your back with strength, but with my ability.\Trying to forcibly remove me from your back\means that you'll destroy your back. response:	Thud
context: Reverb, 3 Freeze!\Heavy...\Y-You did it!\Aren't you a bit naIve?\I'm not sticking to your back with strength, but with my ability.\Trying to forcibly remove me from your back\means that you'll destroy your back.\Thud response:	Huh?!
context: Heavy...\Y-You did it!\Aren't you a bit naIve?\I'm not sticking to your back with strength, but with my ability.\Trying to forcibly remove me from your back\means that you'll destroy your back.\Thud\Huh?! response:	Go ahead and tell Koichi, okay? Hurry up and tell him!
context: Y-You did it!\Aren't you a bit naIve?\I'm not sticking to your back with strength, but with my ability.\Trying to forcibly remove me from your back\means that you'll destroy your back.\Thud\Huh?!\Go ahead and tell Koichi, okay? Hurry up and tell him! response:	R-Rohan-sensei?!
context: Aren't you a bit naIve?\I'm not sticking to your back with strength, but with my ability.\Trying to forcibly remove me from your back\means that you'll destroy your back.\Thud\Huh?!\Go ahead and tell Koichi, okay? Hurry up and tell him!\R-Rohan-sensei?! response:	K-Koichi...
context: I'm not sticking to your back with strength, but with my ability.\Trying to forcibly remove me from your back\means that you'll destroy your back.\Thud\Huh?!\Go ahead and tell Koichi, okay? Hurry up and tell him!\R-Rohan-sensei?!\K-Koichi... response:	I'm very moved that you came here, and very grateful...
context: Trying to forcibly remove me from your back\means that you'll destroy your back.\Thud\Huh?!\Go ahead and tell Koichi, okay? Hurry up and tell him!\R-Rohan-sensei?!\K-Koichi...\I'm very moved that you came here, and very grateful... response:	But I'd appreciate it if you'd withdraw Act 3.
context: means that you'll destroy your back.\Thud\Huh?!\Go ahead and tell Koichi, okay? Hurry up and tell him!\R-Rohan-sensei?!\K-Koichi...\I'm very moved that you came here, and very grateful...\But I'd appreciate it if you'd withdraw Act 3. response:	You can't see it, but my back is starting to rip ever so slightly...
context: Thud\Huh?!\Go ahead and tell Koichi, okay? Hurry up and tell him!\R-Rohan-sensei?!\K-Koichi...\I'm very moved that you came here, and very grateful...\But I'd appreciate it if you'd withdraw Act 3.\You can't see it, but my back is starting to rip ever so slightly... response:	Act 3! Undo the 3 Freeze!
context: Huh?!\Go ahead and tell Koichi, okay? Hurry up and tell him!\R-Rohan-sensei?!\K-Koichi...\I'm very moved that you came here, and very grateful...\But I'd appreciate it if you'd withdraw Act 3.\You can't see it, but my back is starting to rip ever so slightly...\Act 3! Undo the 3 Freeze! response:	S-h-i-t. Understood.
context: Go ahead and tell Koichi, okay? Hurry up and tell him!\R-Rohan-sensei?!\K-Koichi...\I'm very moved that you came here, and very grateful...\But I'd appreciate it if you'd withdraw Act 3.\You can't see it, but my back is starting to rip ever so slightly...\Act 3! Undo the 3 Freeze!\S-h-i-t. Understood. response:	R-Rohan-sensei! A-Are...
context: R-Rohan-sensei?!\K-Koichi...\I'm very moved that you came here, and very grateful...\But I'd appreciate it if you'd withdraw Act 3.\You can't see it, but my back is starting to rip ever so slightly...\Act 3! Undo the 3 Freeze!\S-h-i-t. Understood.\R-Rohan-sensei! A-Are... response:	Of course I'm not okay, Koichi Hirose!
context: K-Koichi...\I'm very moved that you came here, and very grateful...\But I'd appreciate it if you'd withdraw Act 3.\You can't see it, but my back is starting to rip ever so slightly...\Act 3! Undo the 3 Freeze!\S-h-i-t. Understood.\R-Rohan-sensei! A-Are...\Of course I'm not okay, Koichi Hirose! response:	This damage is your fault, isn't it?
context: I'm very moved that you came here, and very grateful...\But I'd appreciate it if you'd withdraw Act 3.\You can't see it, but my back is starting to rip ever so slightly...\Act 3! Undo the 3 Freeze!\S-h-i-t. Understood.\R-Rohan-sensei! A-Are...\Of course I'm not okay, Koichi Hirose!\This damage is your fault, isn't it? response:	Do you get it now? There's no way to get rid of me.
context: But I'd appreciate it if you'd withdraw Act 3.\You can't see it, but my back is starting to rip ever so slightly...\Act 3! Undo the 3 Freeze!\S-h-i-t. Understood.\R-Rohan-sensei! A-Are...\Of course I'm not okay, Koichi Hirose!\This damage is your fault, isn't it?\Do you get it now? There's no way to get rid of me. response:	Peeling me off your back, Rohan,
context: You can't see it, but my back is starting to rip ever so slightly...\Act 3! Undo the 3 Freeze!\S-h-i-t. Understood.\R-Rohan-sensei! A-Are...\Of course I'm not okay, Koichi Hirose!\This damage is your fault, isn't it?\Do you get it now? There's no way to get rid of me.\Peeling me off your back, Rohan, response:	means that you'll be peeling away your own back!
context: Act 3! Undo the 3 Freeze!\S-h-i-t. Understood.\R-Rohan-sensei! A-Are...\Of course I'm not okay, Koichi Hirose!\This damage is your fault, isn't it?\Do you get it now? There's no way to get rid of me.\Peeling me off your back, Rohan,\means that you'll be peeling away your own back! response:	Hey...
context: S-h-i-t. Understood.\R-Rohan-sensei! A-Are...\Of course I'm not okay, Koichi Hirose!\This damage is your fault, isn't it?\Do you get it now? There's no way to get rid of me.\Peeling me off your back, Rohan,\means that you'll be peeling away your own back!\Hey... response:	You're just going to wear yourself out.
context: R-Rohan-sensei! A-Are...\Of course I'm not okay, Koichi Hirose!\This damage is your fault, isn't it?\Do you get it now? There's no way to get rid of me.\Peeling me off your back, Rohan,\means that you'll be peeling away your own back!\Hey...\You're just going to wear yourself out. response:	Either you'll pass out from exhaustion and damage first,
context: Of course I'm not okay, Koichi Hirose!\This damage is your fault, isn't it?\Do you get it now? There's no way to get rid of me.\Peeling me off your back, Rohan,\means that you'll be peeling away your own back!\Hey...\You're just going to wear yourself out.\Either you'll pass out from exhaustion and damage first, response:	or you'll go crazy and kill yourself...
context: This damage is your fault, isn't it?\Do you get it now? There's no way to get rid of me.\Peeling me off your back, Rohan,\means that you'll be peeling away your own back!\Hey...\You're just going to wear yourself out.\Either you'll pass out from exhaustion and damage first,\or you'll go crazy and kill yourself... response:	No matter how great the Stand,
context: Do you get it now? There's no way to get rid of me.\Peeling me off your back, Rohan,\means that you'll be peeling away your own back!\Hey...\You're just going to wear yourself out.\Either you'll pass out from exhaustion and damage first,\or you'll go crazy and kill yourself...\No matter how great the Stand, response:	they can't defeat me if my only ability is to talk!
context: Peeling me off your back, Rohan,\means that you'll be peeling away your own back!\Hey...\You're just going to wear yourself out.\Either you'll pass out from exhaustion and damage first,\or you'll go crazy and kill yourself...\No matter how great the Stand,\they can't defeat me if my only ability is to talk! response:	Okay?
context: means that you'll be peeling away your own back!\Hey...\You're just going to wear yourself out.\Either you'll pass out from exhaustion and damage first,\or you'll go crazy and kill yourself...\No matter how great the Stand,\they can't defeat me if my only ability is to talk!\Okay? response:	The Stand on your back... Just what kind of...
context: Hey...\You're just going to wear yourself out.\Either you'll pass out from exhaustion and damage first,\or you'll go crazy and kill yourself...\No matter how great the Stand,\they can't defeat me if my only ability is to talk!\Okay?\The Stand on your back... Just what kind of... response:	Large Vehicles Cannot Pass Through
context: You're just going to wear yourself out.\Either you'll pass out from exhaustion and damage first,\or you'll go crazy and kill yourself...\No matter how great the Stand,\they can't defeat me if my only ability is to talk!\Okay?\The Stand on your back... Just what kind of...\Large Vehicles Cannot Pass Through response:	What kind? Do you want to see?
context: Either you'll pass out from exhaustion and damage first,\or you'll go crazy and kill yourself...\No matter how great the Stand,\they can't defeat me if my only ability is to talk!\Okay?\The Stand on your back... Just what kind of...\Large Vehicles Cannot Pass Through\What kind? Do you want to see? response:	You want to see what kind of Stand it is?
context: or you'll go crazy and kill yourself...\No matter how great the Stand,\they can't defeat me if my only ability is to talk!\Okay?\The Stand on your back... Just what kind of...\Large Vehicles Cannot Pass Through\What kind? Do you want to see?\You want to see what kind of Stand it is? response:	Fine...
context: No matter how great the Stand,\they can't defeat me if my only ability is to talk!\Okay?\The Stand on your back... Just what kind of...\Large Vehicles Cannot Pass Through\What kind? Do you want to see?\You want to see what kind of Stand it is?\Fine... response:	I'll show it to you.
context: they can't defeat me if my only ability is to talk!\Okay?\The Stand on your back... Just what kind of...\Large Vehicles Cannot Pass Through\What kind? Do you want to see?\You want to see what kind of Stand it is?\Fine...\I'll show it to you. response:	R-Rohan-sensei...
context: Okay?\The Stand on your back... Just what kind of...\Large Vehicles Cannot Pass Through\What kind? Do you want to see?\You want to see what kind of Stand it is?\Fine...\I'll show it to you.\R-Rohan-sensei... response:	Looks like you've finally lost it!
context: The Stand on your back... Just what kind of...\Large Vehicles Cannot Pass Through\What kind? Do you want to see?\You want to see what kind of Stand it is?\Fine...\I'll show it to you.\R-Rohan-sensei...\Looks like you've finally lost it! response:	I guess you finally realized it's no use going to Jotaro, either!
context: Large Vehicles Cannot Pass Through\What kind? Do you want to see?\You want to see what kind of Stand it is?\Fine...\I'll show it to you.\R-Rohan-sensei...\Looks like you've finally lost it!\I guess you finally realized it's no use going to Jotaro, either! response:	Jotaro?
context: What kind? Do you want to see?\You want to see what kind of Stand it is?\Fine...\I'll show it to you.\R-Rohan-sensei...\Looks like you've finally lost it!\I guess you finally realized it's no use going to Jotaro, either!\Jotaro? response:	I wasn't heading there in the first place.
context: You want to see what kind of Stand it is?\Fine...\I'll show it to you.\R-Rohan-sensei...\Looks like you've finally lost it!\I guess you finally realized it's no use going to Jotaro, either!\Jotaro?\I wasn't heading there in the first place. response:	I was heading here.
context: Fine...\I'll show it to you.\R-Rohan-sensei...\Looks like you've finally lost it!\I guess you finally realized it's no use going to Jotaro, either!\Jotaro?\I wasn't heading there in the first place.\I was heading here. response:	I was so happy to finally make it here
context: I'll show it to you.\R-Rohan-sensei...\Looks like you've finally lost it!\I guess you finally realized it's no use going to Jotaro, either!\Jotaro?\I wasn't heading there in the first place.\I was heading here.\I was so happy to finally make it here response:	that I couldn't help but laugh.
context: R-Rohan-sensei...\Looks like you've finally lost it!\I guess you finally realized it's no use going to Jotaro, either!\Jotaro?\I wasn't heading there in the first place.\I was heading here.\I was so happy to finally make it here\that I couldn't help but laugh. response:	What are you yammering about?
context: Looks like you've finally lost it!\I guess you finally realized it's no use going to Jotaro, either!\Jotaro?\I wasn't heading there in the first place.\I was heading here.\I was so happy to finally make it here\that I couldn't help but laugh.\What are you yammering about? response:	You finally showed your back to someone!
context: I guess you finally realized it's no use going to Jotaro, either!\Jotaro?\I wasn't heading there in the first place.\I was heading here.\I was so happy to finally make it here\that I couldn't help but laugh.\What are you yammering about?\You finally showed your back to someone! response:	I'm now going to possess Koichi Hirose!
context: Jotaro?\I wasn't heading there in the first place.\I was heading here.\I was so happy to finally make it here\that I couldn't help but laugh.\What are you yammering about?\You finally showed your back to someone!\I'm now going to possess Koichi Hirose! response:	Th-This place... That post box...
context: I wasn't heading there in the first place.\I was heading here.\I was so happy to finally make it here\that I couldn't help but laugh.\What are you yammering about?\You finally showed your back to someone!\I'm now going to possess Koichi Hirose!\Th-This place... That post box... response:	Cheap Trap, you turned around here.
context: I was heading here.\I was so happy to finally make it here\that I couldn't help but laugh.\What are you yammering about?\You finally showed your back to someone!\I'm now going to possess Koichi Hirose!\Th-This place... That post box...\Cheap Trap, you turned around here. response:	Even if you didn't turn around because you knew what this place was,
context: I was so happy to finally make it here\that I couldn't help but laugh.\What are you yammering about?\You finally showed your back to someone!\I'm now going to possess Koichi Hirose!\Th-This place... That post box...\Cheap Trap, you turned around here.\Even if you didn't turn around because you knew what this place was, response:	because of your ability, you had no choice but to look Koichi's way.
context: that I couldn't help but laugh.\What are you yammering about?\You finally showed your back to someone!\I'm now going to possess Koichi Hirose!\Th-This place... That post box...\Cheap Trap, you turned around here.\Even if you didn't turn around because you knew what this place was,\because of your ability, you had no choice but to look Koichi's way. response:	Wh-What?!
context: What are you yammering about?\You finally showed your back to someone!\I'm now going to possess Koichi Hirose!\Th-This place... That post box...\Cheap Trap, you turned around here.\Even if you didn't turn around because you knew what this place was,\because of your ability, you had no choice but to look Koichi's way.\Wh-What?! response:	The alley where Reimi is, where you can't turn around, no matter what!
context: You finally showed your back to someone!\I'm now going to possess Koichi Hirose!\Th-This place... That post box...\Cheap Trap, you turned around here.\Even if you didn't turn around because you knew what this place was,\because of your ability, you had no choice but to look Koichi's way.\Wh-What?!\The alley where Reimi is, where you can't turn around, no matter what! response:	It's true that if any Stand tried to get rid of you, no matter what it was,
