context: Distant Thunder (Part 2) response:	Isn't that a downer?
context: It would be difficult to lose on purpose, even if I wanted to!\E-Enough. Let's finish this. Yes!\It kind of makes you worry.\Because you're such a nice guy.\I'm really sorry.\Such a nice guy, such a nice guy, such a nice guy...\I'm grateful you said that about me, but...\I don't think I'm nice at all. response:	Matsunaga 7th-Dan appears!
context: E-Enough. Let's finish this. Yes!\It kind of makes you worry.\Because you're such a nice guy.\I'm really sorry.\Such a nice guy, such a nice guy, such a nice guy...\I'm grateful you said that about me, but...\I don't think I'm nice at all.\Matsunaga 7th-Dan appears! response:	Player: Kiriyama
context: It kind of makes you worry.\Because you're such a nice guy.\I'm really sorry.\Such a nice guy, such a nice guy, such a nice guy...\I'm grateful you said that about me, but...\I don't think I'm nice at all.\Matsunaga 7th-Dan appears!\Player: Kiriyama response:	Matsunaga 7th-Dan appears!
context: Because you're such a nice guy.\I'm really sorry.\Such a nice guy, such a nice guy, such a nice guy...\I'm grateful you said that about me, but...\I don't think I'm nice at all.\Matsunaga 7th-Dan appears!\Player: Kiriyama\Matsunaga 7th-Dan appears! response:	Fight Strategy Escape Items
context: I'm really sorry.\Such a nice guy, such a nice guy, such a nice guy...\I'm grateful you said that about me, but...\I don't think I'm nice at all.\Matsunaga 7th-Dan appears!\Player: Kiriyama\Matsunaga 7th-Dan appears!\Fight Strategy Escape Items response:	I'm sorry! I'm from the pressure-free generation, with no patience!
context: Such a nice guy, such a nice guy, such a nice guy...\I'm grateful you said that about me, but...\I don't think I'm nice at all.\Matsunaga 7th-Dan appears!\Player: Kiriyama\Matsunaga 7th-Dan appears!\Fight Strategy Escape Items\I'm sorry! I'm from the pressure-free generation, with no patience! response:	Player: Kiriyama
context: I'm grateful you said that about me, but...\I don't think I'm nice at all.\Matsunaga 7th-Dan appears!\Player: Kiriyama\Matsunaga 7th-Dan appears!\Fight Strategy Escape Items\I'm sorry! I'm from the pressure-free generation, with no patience!\Player: Kiriyama response:	Choose a strategy Take Care of Your Life Let's Go Go Attack
context: I don't think I'm nice at all.\Matsunaga 7th-Dan appears!\Player: Kiriyama\Matsunaga 7th-Dan appears!\Fight Strategy Escape Items\I'm sorry! I'm from the pressure-free generation, with no patience!\Player: Kiriyama\Choose a strategy Take Care of Your Life Let's Go Go Attack response:	Let's Go Go Attack
context: Matsunaga 7th-Dan appears!\Player: Kiriyama\Matsunaga 7th-Dan appears!\Fight Strategy Escape Items\I'm sorry! I'm from the pressure-free generation, with no patience!\Player: Kiriyama\Choose a strategy Take Care of Your Life Let's Go Go Attack\Let's Go Go Attack response:	Shogi Hall
context: Player: Kiriyama\Matsunaga 7th-Dan appears!\Fight Strategy Escape Items\I'm sorry! I'm from the pressure-free generation, with no patience!\Player: Kiriyama\Choose a strategy Take Care of Your Life Let's Go Go Attack\Let's Go Go Attack\Shogi Hall response:	I'm really sorry!
context: Matsunaga 7th-Dan appears!\Fight Strategy Escape Items\I'm sorry! I'm from the pressure-free generation, with no patience!\Player: Kiriyama\Choose a strategy Take Care of Your Life Let's Go Go Attack\Let's Go Go Attack\Shogi Hall\I'm really sorry! response:	And so, 15 Minutes Later
context: Fight Strategy Escape Items\I'm sorry! I'm from the pressure-free generation, with no patience!\Player: Kiriyama\Choose a strategy Take Care of Your Life Let's Go Go Attack\Let's Go Go Attack\Shogi Hall\I'm really sorry!\And so, 15 Minutes Later response:	Clatter Clatter
context: I'm sorry! I'm from the pressure-free generation, with no patience!\Player: Kiriyama\Choose a strategy Take Care of Your Life Let's Go Go Attack\Let's Go Go Attack\Shogi Hall\I'm really sorry!\And so, 15 Minutes Later\Clatter Clatter response:	Shogi players must never do this.
context: Player: Kiriyama\Choose a strategy Take Care of Your Life Let's Go Go Attack\Let's Go Go Attack\Shogi Hall\I'm really sorry!\And so, 15 Minutes Later\Clatter Clatter\Shogi players must never do this. response:	Wh-What a bad attitude!
context: Choose a strategy Take Care of Your Life Let's Go Go Attack\Let's Go Go Attack\Shogi Hall\I'm really sorry!\And so, 15 Minutes Later\Clatter Clatter\Shogi players must never do this.\Wh-What a bad attitude! response:	What? What's going on?
context: Let's Go Go Attack\Shogi Hall\I'm really sorry!\And so, 15 Minutes Later\Clatter Clatter\Shogi players must never do this.\Wh-What a bad attitude!\What? What's going on? response:	Where's the dignity of 40 years of professional shogi?
context: Shogi Hall\I'm really sorry!\And so, 15 Minutes Later\Clatter Clatter\Shogi players must never do this.\Wh-What a bad attitude!\What? What's going on?\Where's the dignity of 40 years of professional shogi? response:	I mean, even as a human being, what is this?
context: I'm really sorry!\And so, 15 Minutes Later\Clatter Clatter\Shogi players must never do this.\Wh-What a bad attitude!\What? What's going on?\Where's the dignity of 40 years of professional shogi?\I mean, even as a human being, what is this? response:	Are you sure you want to go out this way?
context: And so, 15 Minutes Later\Clatter Clatter\Shogi players must never do this.\Wh-What a bad attitude!\What? What's going on?\Where's the dignity of 40 years of professional shogi?\I mean, even as a human being, what is this?\Are you sure you want to go out this way? response:	At least, make me respect you!
context: Clatter Clatter\Shogi players must never do this.\Wh-What a bad attitude!\What? What's going on?\Where's the dignity of 40 years of professional shogi?\I mean, even as a human being, what is this?\Are you sure you want to go out this way?\At least, make me respect you! response:	Enough. Hurry! Let's hurry and go home!
context: Shogi players must never do this.\Wh-What a bad attitude!\What? What's going on?\Where's the dignity of 40 years of professional shogi?\I mean, even as a human being, what is this?\Are you sure you want to go out this way?\At least, make me respect you!\Enough. Hurry! Let's hurry and go home! response:	I don't want to wait together for the elevator with him,
context: Wh-What a bad attitude!\What? What's going on?\Where's the dignity of 40 years of professional shogi?\I mean, even as a human being, what is this?\Are you sure you want to go out this way?\At least, make me respect you!\Enough. Hurry! Let's hurry and go home!\I don't want to wait together for the elevator with him, response:	so I'll dash down the stairs!
context: What? What's going on?\Where's the dignity of 40 years of professional shogi?\I mean, even as a human being, what is this?\Are you sure you want to go out this way?\At least, make me respect you!\Enough. Hurry! Let's hurry and go home!\I don't want to wait together for the elevator with him,\so I'll dash down the stairs! response:	Gasp
context: Where's the dignity of 40 years of professional shogi?\I mean, even as a human being, what is this?\Are you sure you want to go out this way?\At least, make me respect you!\Enough. Hurry! Let's hurry and go home!\I don't want to wait together for the elevator with him,\so I'll dash down the stairs!\Gasp response:	Apparently was thinking the same thing
context: I mean, even as a human being, what is this?\Are you sure you want to go out this way?\At least, make me respect you!\Enough. Hurry! Let's hurry and go home!\I don't want to wait together for the elevator with him,\so I'll dash down the stairs!\Gasp\Apparently was thinking the same thing response:	Trip
context: Are you sure you want to go out this way?\At least, make me respect you!\Enough. Hurry! Let's hurry and go home!\I don't want to wait together for the elevator with him,\so I'll dash down the stairs!\Gasp\Apparently was thinking the same thing\Trip response:	Ba-Bam
context: At least, make me respect you!\Enough. Hurry! Let's hurry and go home!\I don't want to wait together for the elevator with him,\so I'll dash down the stairs!\Gasp\Apparently was thinking the same thing\Trip\Ba-Bam response:	Eek, Mr. Matsunaga!
context: Enough. Hurry! Let's hurry and go home!\I don't want to wait together for the elevator with him,\so I'll dash down the stairs!\Gasp\Apparently was thinking the same thing\Trip\Ba-Bam\Eek, Mr. Matsunaga! response:	Um... Are you okay?
context: I don't want to wait together for the elevator with him,\so I'll dash down the stairs!\Gasp\Apparently was thinking the same thing\Trip\Ba-Bam\Eek, Mr. Matsunaga!\Um... Are you okay? response:	Do I look okay? I nearly died!
context: so I'll dash down the stairs!\Gasp\Apparently was thinking the same thing\Trip\Ba-Bam\Eek, Mr. Matsunaga!\Um... Are you okay?\Do I look okay? I nearly died! response:	Let's get you to a doctor. I'll go with you!
context: Gasp\Apparently was thinking the same thing\Trip\Ba-Bam\Eek, Mr. Matsunaga!\Um... Are you okay?\Do I look okay? I nearly died!\Let's get you to a doctor. I'll go with you! response:	D-Doctor? I don't like doctors! It was just a small trip.
context: Apparently was thinking the same thing\Trip\Ba-Bam\Eek, Mr. Matsunaga!\Um... Are you okay?\Do I look okay? I nearly died!\Let's get you to a doctor. I'll go with you!\D-Doctor? I don't like doctors! It was just a small trip. response:	This is why you youngsters are so pathetic.
context: Trip\Ba-Bam\Eek, Mr. Matsunaga!\Um... Are you okay?\Do I look okay? I nearly died!\Let's get you to a doctor. I'll go with you!\D-Doctor? I don't like doctors! It was just a small trip.\This is why you youngsters are so pathetic. response:	But you said you nearly died!
context: Ba-Bam\Eek, Mr. Matsunaga!\Um... Are you okay?\Do I look okay? I nearly died!\Let's get you to a doctor. I'll go with you!\D-Doctor? I don't like doctors! It was just a small trip.\This is why you youngsters are so pathetic.\But you said you nearly died! response:	Shut up! Stop whining. Go, already! Get lost!
context: Eek, Mr. Matsunaga!\Um... Are you okay?\Do I look okay? I nearly died!\Let's get you to a doctor. I'll go with you!\D-Doctor? I don't like doctors! It was just a small trip.\This is why you youngsters are so pathetic.\But you said you nearly died!\Shut up! Stop whining. Go, already! Get lost! response:	I don't want to see your face
context: Um... Are you okay?\Do I look okay? I nearly died!\Let's get you to a doctor. I'll go with you!\D-Doctor? I don't like doctors! It was just a small trip.\This is why you youngsters are so pathetic.\But you said you nearly died!\Shut up! Stop whining. Go, already! Get lost!\I don't want to see your face response:	Grumble!
context: Do I look okay? I nearly died!\Let's get you to a doctor. I'll go with you!\D-Doctor? I don't like doctors! It was just a small trip.\This is why you youngsters are so pathetic.\But you said you nearly died!\Shut up! Stop whining. Go, already! Get lost!\I don't want to see your face\Grumble! response:	Gr-Gr-Gr-Gr
context: Let's get you to a doctor. I'll go with you!\D-Doctor? I don't like doctors! It was just a small trip.\This is why you youngsters are so pathetic.\But you said you nearly died!\Shut up! Stop whining. Go, already! Get lost!\I don't want to see your face\Grumble!\Gr-Gr-Gr-Gr response:	Treat me.
context: D-Doctor? I don't like doctors! It was just a small trip.\This is why you youngsters are so pathetic.\But you said you nearly died!\Shut up! Stop whining. Go, already! Get lost!\I don't want to see your face\Grumble!\Gr-Gr-Gr-Gr\Treat me. response:	Treat me to soba! No, grilled eel!
context: This is why you youngsters are so pathetic.\But you said you nearly died!\Shut up! Stop whining. Go, already! Get lost!\I don't want to see your face\Grumble!\Gr-Gr-Gr-Gr\Treat me.\Treat me to soba! No, grilled eel! response:	But you just told me to get lost!
context: But you said you nearly died!\Shut up! Stop whining. Go, already! Get lost!\I don't want to see your face\Grumble!\Gr-Gr-Gr-Gr\Treat me.\Treat me to soba! No, grilled eel!\But you just told me to get lost! response:	So which is it?!
context: Shut up! Stop whining. Go, already! Get lost!\I don't want to see your face\Grumble!\Gr-Gr-Gr-Gr\Treat me.\Treat me to soba! No, grilled eel!\But you just told me to get lost!\So which is it?! response:	The deluxe meal! You've got the money, don't you?
context: I don't want to see your face\Grumble!\Gr-Gr-Gr-Gr\Treat me.\Treat me to soba! No, grilled eel!\But you just told me to get lost!\So which is it?!\The deluxe meal! You've got the money, don't you? response:	Distant Thunder (Part 2)
context: Grumble!\Gr-Gr-Gr-Gr\Treat me.\Treat me to soba! No, grilled eel!\But you just told me to get lost!\So which is it?!\The deluxe meal! You've got the money, don't you?\Distant Thunder (Part 2) response:	Distant Thunder (Part 3)
context: Gr-Gr-Gr-Gr\Treat me.\Treat me to soba! No, grilled eel!\But you just told me to get lost!\So which is it?!\The deluxe meal! You've got the money, don't you?\Distant Thunder (Part 2)\Distant Thunder (Part 3) response:	Delicious! This aroma! The famous Mr. Miyanogawa does not disappoint!
context: Treat me.\Treat me to soba! No, grilled eel!\But you just told me to get lost!\So which is it?!\The deluxe meal! You've got the money, don't you?\Distant Thunder (Part 2)\Distant Thunder (Part 3)\Delicious! This aroma! The famous Mr. Miyanogawa does not disappoint! response:	4,720 yen (2 Layer Deluxe Meal)
context: Treat me to soba! No, grilled eel!\But you just told me to get lost!\So which is it?!\The deluxe meal! You've got the money, don't you?\Distant Thunder (Part 2)\Distant Thunder (Part 3)\Delicious! This aroma! The famous Mr. Miyanogawa does not disappoint!\4,720 yen (2 Layer Deluxe Meal) response:	It's hot and tender to the core!
context: But you just told me to get lost!\So which is it?!\The deluxe meal! You've got the money, don't you?\Distant Thunder (Part 2)\Distant Thunder (Part 3)\Delicious! This aroma! The famous Mr. Miyanogawa does not disappoint!\4,720 yen (2 Layer Deluxe Meal)\It's hot and tender to the core! response:	2,100 yen (Standard Meal on Bamboo)
context: So which is it?!\The deluxe meal! You've got the money, don't you?\Distant Thunder (Part 2)\Distant Thunder (Part 3)\Delicious! This aroma! The famous Mr. Miyanogawa does not disappoint!\4,720 yen (2 Layer Deluxe Meal)\It's hot and tender to the core!\2,100 yen (Standard Meal on Bamboo) response:	What is it, kid? Your first time eating eel?
context: The deluxe meal! You've got the money, don't you?\Distant Thunder (Part 2)\Distant Thunder (Part 3)\Delicious! This aroma! The famous Mr. Miyanogawa does not disappoint!\4,720 yen (2 Layer Deluxe Meal)\It's hot and tender to the core!\2,100 yen (Standard Meal on Bamboo)\What is it, kid? Your first time eating eel? response:	Delicious, right?
context: Distant Thunder (Part 2)\Distant Thunder (Part 3)\Delicious! This aroma! The famous Mr. Miyanogawa does not disappoint!\4,720 yen (2 Layer Deluxe Meal)\It's hot and tender to the core!\2,100 yen (Standard Meal on Bamboo)\What is it, kid? Your first time eating eel?\Delicious, right? response:	If you wanna be first-class, you gotta start by eating first-class food.
context: Distant Thunder (Part 3)\Delicious! This aroma! The famous Mr. Miyanogawa does not disappoint!\4,720 yen (2 Layer Deluxe Meal)\It's hot and tender to the core!\2,100 yen (Standard Meal on Bamboo)\What is it, kid? Your first time eating eel?\Delicious, right?\If you wanna be first-class, you gotta start by eating first-class food. response:	Am I right?
context: Delicious! This aroma! The famous Mr. Miyanogawa does not disappoint!\4,720 yen (2 Layer Deluxe Meal)\It's hot and tender to the core!\2,100 yen (Standard Meal on Bamboo)\What is it, kid? Your first time eating eel?\Delicious, right?\If you wanna be first-class, you gotta start by eating first-class food.\Am I right? response:	Heh-Heh
context: 4,720 yen (2 Layer Deluxe Meal)\It's hot and tender to the core!\2,100 yen (Standard Meal on Bamboo)\What is it, kid? Your first time eating eel?\Delicious, right?\If you wanna be first-class, you gotta start by eating first-class food.\Am I right?\Heh-Heh response:	Chew Chew
context: It's hot and tender to the core!\2,100 yen (Standard Meal on Bamboo)\What is it, kid? Your first time eating eel?\Delicious, right?\If you wanna be first-class, you gotta start by eating first-class food.\Am I right?\Heh-Heh\Chew Chew response:	Well, I am paying for this.
context: 2,100 yen (Standard Meal on Bamboo)\What is it, kid? Your first time eating eel?\Delicious, right?\If you wanna be first-class, you gotta start by eating first-class food.\Am I right?\Heh-Heh\Chew Chew\Well, I am paying for this. response:	Miyanogawa
context: What is it, kid? Your first time eating eel?\Delicious, right?\If you wanna be first-class, you gotta start by eating first-class food.\Am I right?\Heh-Heh\Chew Chew\Well, I am paying for this.\Miyanogawa response:	Oh, geez. Don't be such a stiff.
context: Delicious, right?\If you wanna be first-class, you gotta start by eating first-class food.\Am I right?\Heh-Heh\Chew Chew\Well, I am paying for this.\Miyanogawa\Oh, geez. Don't be such a stiff. response:	Not a single drop of emotion. You're ruining the taste of my beer! Grr.
context: If you wanna be first-class, you gotta start by eating first-class food.\Am I right?\Heh-Heh\Chew Chew\Well, I am paying for this.\Miyanogawa\Oh, geez. Don't be such a stiff.\Not a single drop of emotion. You're ruining the taste of my beer! Grr. response:	Well, Kouda is your foster parent.
context: Am I right?\Heh-Heh\Chew Chew\Well, I am paying for this.\Miyanogawa\Oh, geez. Don't be such a stiff.\Not a single drop of emotion. You're ruining the taste of my beer! Grr.\Well, Kouda is your foster parent. response:	He was also a prize pupil, really strong, but no personality whatsoever.
context: Heh-Heh\Chew Chew\Well, I am paying for this.\Miyanogawa\Oh, geez. Don't be such a stiff.\Not a single drop of emotion. You're ruining the taste of my beer! Grr.\Well, Kouda is your foster parent.\He was also a prize pupil, really strong, but no personality whatsoever. response:	Come to think of it, he's got that daughter, too. A real darling.
context: Chew Chew\Well, I am paying for this.\Miyanogawa\Oh, geez. Don't be such a stiff.\Not a single drop of emotion. You're ruining the taste of my beer! Grr.\Well, Kouda is your foster parent.\He was also a prize pupil, really strong, but no personality whatsoever.\Come to think of it, he's got that daughter, too. A real darling. response:	Strong-willed, with a face as beautiful as the devil.
context: Well, I am paying for this.\Miyanogawa\Oh, geez. Don't be such a stiff.\Not a single drop of emotion. You're ruining the taste of my beer! Grr.\Well, Kouda is your foster parent.\He was also a prize pupil, really strong, but no personality whatsoever.\Come to think of it, he's got that daughter, too. A real darling.\Strong-willed, with a face as beautiful as the devil. response:	But she's pretty scary.
context: Miyanogawa\Oh, geez. Don't be such a stiff.\Not a single drop of emotion. You're ruining the taste of my beer! Grr.\Well, Kouda is your foster parent.\He was also a prize pupil, really strong, but no personality whatsoever.\Come to think of it, he's got that daughter, too. A real darling.\Strong-willed, with a face as beautiful as the devil.\But she's pretty scary. response:	When she becomes an adult, just you wait.
context: Oh, geez. Don't be such a stiff.\Not a single drop of emotion. You're ruining the taste of my beer! Grr.\Well, Kouda is your foster parent.\He was also a prize pupil, really strong, but no personality whatsoever.\Come to think of it, he's got that daughter, too. A real darling.\Strong-willed, with a face as beautiful as the devil.\But she's pretty scary.\When she becomes an adult, just you wait. response:	She'll become a poisonous woman.
context: Not a single drop of emotion. You're ruining the taste of my beer! Grr.\Well, Kouda is your foster parent.\He was also a prize pupil, really strong, but no personality whatsoever.\Come to think of it, he's got that daughter, too. A real darling.\Strong-willed, with a face as beautiful as the devil.\But she's pretty scary.\When she becomes an adult, just you wait.\She'll become a poisonous woman. response:	Living under a roof with that kind of person, I bet you got tormented by her.
context: Well, Kouda is your foster parent.\He was also a prize pupil, really strong, but no personality whatsoever.\Come to think of it, he's got that daughter, too. A real darling.\Strong-willed, with a face as beautiful as the devil.\But she's pretty scary.\When she becomes an adult, just you wait.\She'll become a poisonous woman.\Living under a roof with that kind of person, I bet you got tormented by her. response:	But, y'know, all women are scary.
context: He was also a prize pupil, really strong, but no personality whatsoever.\Come to think of it, he's got that daughter, too. A real darling.\Strong-willed, with a face as beautiful as the devil.\But she's pretty scary.\When she becomes an adult, just you wait.\She'll become a poisonous woman.\Living under a roof with that kind of person, I bet you got tormented by her.\But, y'know, all women are scary. response:	You should meet my wife, sheesh...
context: Come to think of it, he's got that daughter, too. A real darling.\Strong-willed, with a face as beautiful as the devil.\But she's pretty scary.\When she becomes an adult, just you wait.\She'll become a poisonous woman.\Living under a roof with that kind of person, I bet you got tormented by her.\But, y'know, all women are scary.\You should meet my wife, sheesh... response:	Splashy
context: Strong-willed, with a face as beautiful as the devil.\But she's pretty scary.\When she becomes an adult, just you wait.\She'll become a poisonous woman.\Living under a roof with that kind of person, I bet you got tormented by her.\But, y'know, all women are scary.\You should meet my wife, sheesh...\Splashy response:	Oops!
context: But she's pretty scary.\When she becomes an adult, just you wait.\She'll become a poisonous woman.\Living under a roof with that kind of person, I bet you got tormented by her.\But, y'know, all women are scary.\You should meet my wife, sheesh...\Splashy\Oops! response:	Shudder Shudder Shudder
context: When she becomes an adult, just you wait.\She'll become a poisonous woman.\Living under a roof with that kind of person, I bet you got tormented by her.\But, y'know, all women are scary.\You should meet my wife, sheesh...\Splashy\Oops!\Shudder Shudder Shudder response:	That scary?!
context: She'll become a poisonous woman.\Living under a roof with that kind of person, I bet you got tormented by her.\But, y'know, all women are scary.\You should meet my wife, sheesh...\Splashy\Oops!\Shudder Shudder Shudder\That scary?! response:	Bad topic. It's makin' the booze go bad.
context: Living under a roof with that kind of person, I bet you got tormented by her.\But, y'know, all women are scary.\You should meet my wife, sheesh...\Splashy\Oops!\Shudder Shudder Shudder\That scary?!\Bad topic. It's makin' the booze go bad. response:	I know. Excuse me! Sake! The sake menu, please!
context: But, y'know, all women are scary.\You should meet my wife, sheesh...\Splashy\Oops!\Shudder Shudder Shudder\That scary?!\Bad topic. It's makin' the booze go bad.\I know. Excuse me! Sake! The sake menu, please! response:	Drinks
context: You should meet my wife, sheesh...\Splashy\Oops!\Shudder Shudder Shudder\That scary?!\Bad topic. It's makin' the booze go bad.\I know. Excuse me! Sake! The sake menu, please!\Drinks response:	Fukushima- Soul of Aizu
context: Splashy\Oops!\Shudder Shudder Shudder\That scary?!\Bad topic. It's makin' the booze go bad.\I know. Excuse me! Sake! The sake menu, please!\Drinks\Fukushima- Soul of Aizu response:	They've got Soul of Aizu!
context: Oops!\Shudder Shudder Shudder\That scary?!\Bad topic. It's makin' the booze go bad.\I know. Excuse me! Sake! The sake menu, please!\Drinks\Fukushima- Soul of Aizu\They've got Soul of Aizu! response:	Do you know about Soul of Aizu?
context: Shudder Shudder Shudder\That scary?!\Bad topic. It's makin' the booze go bad.\I know. Excuse me! Sake! The sake menu, please!\Drinks\Fukushima- Soul of Aizu\They've got Soul of Aizu!\Do you know about Soul of Aizu? response:	It's sake from my hometown, Aizu.
context: That scary?!\Bad topic. It's makin' the booze go bad.\I know. Excuse me! Sake! The sake menu, please!\Drinks\Fukushima- Soul of Aizu\They've got Soul of Aizu!\Do you know about Soul of Aizu?\It's sake from my hometown, Aizu. response:	It smells great.
context: Bad topic. It's makin' the booze go bad.\I know. Excuse me! Sake! The sake menu, please!\Drinks\Fukushima- Soul of Aizu\They've got Soul of Aizu!\Do you know about Soul of Aizu?\It's sake from my hometown, Aizu.\It smells great. response:	Tokyoites say people from Fukushima
context: I know. Excuse me! Sake! The sake menu, please!\Drinks\Fukushima- Soul of Aizu\They've got Soul of Aizu!\Do you know about Soul of Aizu?\It's sake from my hometown, Aizu.\It smells great.\Tokyoites say people from Fukushima response:	are stubborn and too serious.
context: Drinks\Fukushima- Soul of Aizu\They've got Soul of Aizu!\Do you know about Soul of Aizu?\It's sake from my hometown, Aizu.\It smells great.\Tokyoites say people from Fukushima\are stubborn and too serious. response:	But we're aware of our surroundings and emphasize etiquette.
context: Fukushima- Soul of Aizu\They've got Soul of Aizu!\Do you know about Soul of Aizu?\It's sake from my hometown, Aizu.\It smells great.\Tokyoites say people from Fukushima\are stubborn and too serious.\But we're aware of our surroundings and emphasize etiquette. response:	They're clueless about the soul of the true Fukushima!
context: They've got Soul of Aizu!\Do you know about Soul of Aizu?\It's sake from my hometown, Aizu.\It smells great.\Tokyoites say people from Fukushima\are stubborn and too serious.\But we're aware of our surroundings and emphasize etiquette.\They're clueless about the soul of the true Fukushima! response:	Hmph
context: Do you know about Soul of Aizu?\It's sake from my hometown, Aizu.\It smells great.\Tokyoites say people from Fukushima\are stubborn and too serious.\But we're aware of our surroundings and emphasize etiquette.\They're clueless about the soul of the true Fukushima!\Hmph response:	Shouichi Matsunaga
context: It's sake from my hometown, Aizu.\It smells great.\Tokyoites say people from Fukushima\are stubborn and too serious.\But we're aware of our surroundings and emphasize etiquette.\They're clueless about the soul of the true Fukushima!\Hmph\Shouichi Matsunaga response:	Let's go back to the year 1643.
context: It smells great.\Tokyoites say people from Fukushima\are stubborn and too serious.\But we're aware of our surroundings and emphasize etiquette.\They're clueless about the soul of the true Fukushima!\Hmph\Shouichi Matsunaga\Let's go back to the year 1643. response:	The third Tokugawa shogun, Iemitsu
context: Tokyoites say people from Fukushima\are stubborn and too serious.\But we're aware of our surroundings and emphasize etiquette.\They're clueless about the soul of the true Fukushima!\Hmph\Shouichi Matsunaga\Let's go back to the year 1643.\The third Tokugawa shogun, Iemitsu response:	recognized a minor feudal lord with just 30,000 koku
context: are stubborn and too serious.\But we're aware of our surroundings and emphasize etiquette.\They're clueless about the soul of the true Fukushima!\Hmph\Shouichi Matsunaga\Let's go back to the year 1643.\The third Tokugawa shogun, Iemitsu\recognized a minor feudal lord with just 30,000 koku response:	for his shrewdness and stern honesty.
context: But we're aware of our surroundings and emphasize etiquette.\They're clueless about the soul of the true Fukushima!\Hmph\Shouichi Matsunaga\Let's go back to the year 1643.\The third Tokugawa shogun, Iemitsu\recognized a minor feudal lord with just 30,000 koku\for his shrewdness and stern honesty. response:	He was granted an extremely generous 230,000 koku and became
context: They're clueless about the soul of the true Fukushima!\Hmph\Shouichi Matsunaga\Let's go back to the year 1643.\The third Tokugawa shogun, Iemitsu\recognized a minor feudal lord with just 30,000 koku\for his shrewdness and stern honesty.\He was granted an extremely generous 230,000 koku and became response:	Masayuki Hoshina
context: Hmph\Shouichi Matsunaga\Let's go back to the year 1643.\The third Tokugawa shogun, Iemitsu\recognized a minor feudal lord with just 30,000 koku\for his shrewdness and stern honesty.\He was granted an extremely generous 230,000 koku and became\Masayuki Hoshina response:	the first-generation feudal lord of Aizu. That was Masayuki Hoshina.
context: Shouichi Matsunaga\Let's go back to the year 1643.\The third Tokugawa shogun, Iemitsu\recognized a minor feudal lord with just 30,000 koku\for his shrewdness and stern honesty.\He was granted an extremely generous 230,000 koku and became\Masayuki Hoshina\the first-generation feudal lord of Aizu. That was Masayuki Hoshina. response:	He was a truly wise ruler!
context: Let's go back to the year 1643.\The third Tokugawa shogun, Iemitsu\recognized a minor feudal lord with just 30,000 koku\for his shrewdness and stern honesty.\He was granted an extremely generous 230,000 koku and became\Masayuki Hoshina\the first-generation feudal lord of Aizu. That was Masayuki Hoshina.\He was a truly wise ruler! response:	Masayuki was not only an administrator, but was made the adjunct
context: The third Tokugawa shogun, Iemitsu\recognized a minor feudal lord with just 30,000 koku\for his shrewdness and stern honesty.\He was granted an extremely generous 230,000 koku and became\Masayuki Hoshina\the first-generation feudal lord of Aizu. That was Masayuki Hoshina.\He was a truly wise ruler!\Masayuki was not only an administrator, but was made the adjunct response:	to the fourth Tokugawa shogun, Ietsuna.
context: recognized a minor feudal lord with just 30,000 koku\for his shrewdness and stern honesty.\He was granted an extremely generous 230,000 koku and became\Masayuki Hoshina\the first-generation feudal lord of Aizu. That was Masayuki Hoshina.\He was a truly wise ruler!\Masayuki was not only an administrator, but was made the adjunct\to the fourth Tokugawa shogun, Ietsuna. response:	As the center of the shogunate administration, he set forth a number of policies.
context: for his shrewdness and stern honesty.\He was granted an extremely generous 230,000 koku and became\Masayuki Hoshina\the first-generation feudal lord of Aizu. That was Masayuki Hoshina.\He was a truly wise ruler!\Masayuki was not only an administrator, but was made the adjunct\to the fourth Tokugawa shogun, Ietsuna.\As the center of the shogunate administration, he set forth a number of policies. response:	Tamagawa Water Supply
context: He was granted an extremely generous 230,000 koku and became\Masayuki Hoshina\the first-generation feudal lord of Aizu. That was Masayuki Hoshina.\He was a truly wise ruler!\Masayuki was not only an administrator, but was made the adjunct\to the fourth Tokugawa shogun, Ietsuna.\As the center of the shogunate administration, he set forth a number of policies.\Tamagawa Water Supply response:	In order to provide the residents of Edo with drinking water,
context: Masayuki Hoshina\the first-generation feudal lord of Aizu. That was Masayuki Hoshina.\He was a truly wise ruler!\Masayuki was not only an administrator, but was made the adjunct\to the fourth Tokugawa shogun, Ietsuna.\As the center of the shogunate administration, he set forth a number of policies.\Tamagawa Water Supply\In order to provide the residents of Edo with drinking water, response:	he created the Tamagawa water supply river works.
context: the first-generation feudal lord of Aizu. That was Masayuki Hoshina.\He was a truly wise ruler!\Masayuki was not only an administrator, but was made the adjunct\to the fourth Tokugawa shogun, Ietsuna.\As the center of the shogunate administration, he set forth a number of policies.\Tamagawa Water Supply\In order to provide the residents of Edo with drinking water,\he created the Tamagawa water supply river works. response:	To prevent neighboring dwellings from burning in a fire,
context: He was a truly wise ruler!\Masayuki was not only an administrator, but was made the adjunct\to the fourth Tokugawa shogun, Ietsuna.\As the center of the shogunate administration, he set forth a number of policies.\Tamagawa Water Supply\In order to provide the residents of Edo with drinking water,\he created the Tamagawa water supply river works.\To prevent neighboring dwellings from burning in a fire, response:	Ueno Main Streets
