context: The VVV Project? response:	Given their stated position of peace through neutrality, JIOR can't possess a big military.
context: And this isn't the only benefit to come from the Seven R's.\Senpai, who will you vote for?\Isn't it obvious? For the winning candidate.\Our public relations activities via the wired are also going all-out now.\To give an example\I'm running for election, too! Thank you for your support!\So you were serious, Yamada...\How many times do I have to tell you it's Thunder? response:	To keep our secret, it would be best if one of us was in a leadership position.
context: Senpai, who will you vote for?\Isn't it obvious? For the winning candidate.\Our public relations activities via the wired are also going all-out now.\To give an example\I'm running for election, too! Thank you for your support!\So you were serious, Yamada...\How many times do I have to tell you it's Thunder?\To keep our secret, it would be best if one of us was in a leadership position. response:	You run, Haruto.
context: Isn't it obvious? For the winning candidate.\Our public relations activities via the wired are also going all-out now.\To give an example\I'm running for election, too! Thank you for your support!\So you were serious, Yamada...\How many times do I have to tell you it's Thunder?\To keep our secret, it would be best if one of us was in a leadership position.\You run, Haruto. response:	I can't! I just don't have it in me.
context: Our public relations activities via the wired are also going all-out now.\To give an example\I'm running for election, too! Thank you for your support!\So you were serious, Yamada...\How many times do I have to tell you it's Thunder?\To keep our secret, it would be best if one of us was in a leadership position.\You run, Haruto.\I can't! I just don't have it in me. response:	Yeah, somebody crazy like Shoko would be a better fit.
context: To give an example\I'm running for election, too! Thank you for your support!\So you were serious, Yamada...\How many times do I have to tell you it's Thunder?\To keep our secret, it would be best if one of us was in a leadership position.\You run, Haruto.\I can't! I just don't have it in me.\Yeah, somebody crazy like Shoko would be a better fit. response:	If it's crazy that matters, he might actually be a good choice.
context: I'm running for election, too! Thank you for your support!\So you were serious, Yamada...\How many times do I have to tell you it's Thunder?\To keep our secret, it would be best if one of us was in a leadership position.\You run, Haruto.\I can't! I just don't have it in me.\Yeah, somebody crazy like Shoko would be a better fit.\If it's crazy that matters, he might actually be a good choice. response:	Say what?!
context: So you were serious, Yamada...\How many times do I have to tell you it's Thunder?\To keep our secret, it would be best if one of us was in a leadership position.\You run, Haruto.\I can't! I just don't have it in me.\Yeah, somebody crazy like Shoko would be a better fit.\If it's crazy that matters, he might actually be a good choice.\Say what?! response:	It's a compliment! She's saying that you're more of a leader than I am.
context: How many times do I have to tell you it's Thunder?\To keep our secret, it would be best if one of us was in a leadership position.\You run, Haruto.\I can't! I just don't have it in me.\Yeah, somebody crazy like Shoko would be a better fit.\If it's crazy that matters, he might actually be a good choice.\Say what?!\It's a compliment! She's saying that you're more of a leader than I am. response:	Oh, she is? I suppose I am...
context: To keep our secret, it would be best if one of us was in a leadership position.\You run, Haruto.\I can't! I just don't have it in me.\Yeah, somebody crazy like Shoko would be a better fit.\If it's crazy that matters, he might actually be a good choice.\Say what?!\It's a compliment! She's saying that you're more of a leader than I am.\Oh, she is? I suppose I am... response:	You're a real sweetheart, ain'tcha?
context: You run, Haruto.\I can't! I just don't have it in me.\Yeah, somebody crazy like Shoko would be a better fit.\If it's crazy that matters, he might actually be a good choice.\Say what?!\It's a compliment! She's saying that you're more of a leader than I am.\Oh, she is? I suppose I am...\You're a real sweetheart, ain'tcha? response:	Thanks.
context: I can't! I just don't have it in me.\Yeah, somebody crazy like Shoko would be a better fit.\If it's crazy that matters, he might actually be a good choice.\Say what?!\It's a compliment! She's saying that you're more of a leader than I am.\Oh, she is? I suppose I am...\You're a real sweetheart, ain'tcha?\Thanks. response:	I'm surprised. I didn't expect you to volunteer to act as election supervisor.
context: Yeah, somebody crazy like Shoko would be a better fit.\If it's crazy that matters, he might actually be a good choice.\Say what?!\It's a compliment! She's saying that you're more of a leader than I am.\Oh, she is? I suppose I am...\You're a real sweetheart, ain'tcha?\Thanks.\I'm surprised. I didn't expect you to volunteer to act as election supervisor. response:	I'm a refugee, so I don't have voting rights.
context: If it's crazy that matters, he might actually be a good choice.\Say what?!\It's a compliment! She's saying that you're more of a leader than I am.\Oh, she is? I suppose I am...\You're a real sweetheart, ain'tcha?\Thanks.\I'm surprised. I didn't expect you to volunteer to act as election supervisor.\I'm a refugee, so I don't have voting rights. response:	I assume you aren't trying to pull a fast one on us again?
context: Say what?!\It's a compliment! She's saying that you're more of a leader than I am.\Oh, she is? I suppose I am...\You're a real sweetheart, ain'tcha?\Thanks.\I'm surprised. I didn't expect you to volunteer to act as election supervisor.\I'm a refugee, so I don't have voting rights.\I assume you aren't trying to pull a fast one on us again? response:	The election of a representative aligns with my own objectives.
context: It's a compliment! She's saying that you're more of a leader than I am.\Oh, she is? I suppose I am...\You're a real sweetheart, ain'tcha?\Thanks.\I'm surprised. I didn't expect you to volunteer to act as election supervisor.\I'm a refugee, so I don't have voting rights.\I assume you aren't trying to pull a fast one on us again?\The election of a representative aligns with my own objectives. response:	It will be a fair election.
context: Oh, she is? I suppose I am...\You're a real sweetheart, ain'tcha?\Thanks.\I'm surprised. I didn't expect you to volunteer to act as election supervisor.\I'm a refugee, so I don't have voting rights.\I assume you aren't trying to pull a fast one on us again?\The election of a representative aligns with my own objectives.\It will be a fair election. response:	I thought you wanted to quit being our representative.
context: You're a real sweetheart, ain'tcha?\Thanks.\I'm surprised. I didn't expect you to volunteer to act as election supervisor.\I'm a refugee, so I don't have voting rights.\I assume you aren't trying to pull a fast one on us again?\The election of a representative aligns with my own objectives.\It will be a fair election.\I thought you wanted to quit being our representative. response:	I don't want to run away from it.
context: Thanks.\I'm surprised. I didn't expect you to volunteer to act as election supervisor.\I'm a refugee, so I don't have voting rights.\I assume you aren't trying to pull a fast one on us again?\The election of a representative aligns with my own objectives.\It will be a fair election.\I thought you wanted to quit being our representative.\I don't want to run away from it. response:	If I'm going to represent everyone,
context: I'm surprised. I didn't expect you to volunteer to act as election supervisor.\I'm a refugee, so I don't have voting rights.\I assume you aren't trying to pull a fast one on us again?\The election of a representative aligns with my own objectives.\It will be a fair election.\I thought you wanted to quit being our representative.\I don't want to run away from it.\If I'm going to represent everyone, response:	I want to be properly chosen to do it.
context: I'm a refugee, so I don't have voting rights.\I assume you aren't trying to pull a fast one on us again?\The election of a representative aligns with my own objectives.\It will be a fair election.\I thought you wanted to quit being our representative.\I don't want to run away from it.\If I'm going to represent everyone,\I want to be properly chosen to do it. response:	I see.
context: I assume you aren't trying to pull a fast one on us again?\The election of a representative aligns with my own objectives.\It will be a fair election.\I thought you wanted to quit being our representative.\I don't want to run away from it.\If I'm going to represent everyone,\I want to be properly chosen to do it.\I see. response:	You would've made one hell of a teacher.
context: The election of a representative aligns with my own objectives.\It will be a fair election.\I thought you wanted to quit being our representative.\I don't want to run away from it.\If I'm going to represent everyone,\I want to be properly chosen to do it.\I see.\You would've made one hell of a teacher. response:	Don't treat me like a child!
context: It will be a fair election.\I thought you wanted to quit being our representative.\I don't want to run away from it.\If I'm going to represent everyone,\I want to be properly chosen to do it.\I see.\You would've made one hell of a teacher.\Don't treat me like a child! response:	Sorry, my bad!
context: I thought you wanted to quit being our representative.\I don't want to run away from it.\If I'm going to represent everyone,\I want to be properly chosen to do it.\I see.\You would've made one hell of a teacher.\Don't treat me like a child!\Sorry, my bad! response:	He wasn't elected student council president three years in a row for nothing.
context: I don't want to run away from it.\If I'm going to represent everyone,\I want to be properly chosen to do it.\I see.\You would've made one hell of a teacher.\Don't treat me like a child!\Sorry, my bad!\He wasn't elected student council president three years in a row for nothing. response:	Trapped in a room together...
context: If I'm going to represent everyone,\I want to be properly chosen to do it.\I see.\You would've made one hell of a teacher.\Don't treat me like a child!\Sorry, my bad!\He wasn't elected student council president three years in a row for nothing.\Trapped in a room together... response:	I'll keep you girls safe.
context: I want to be properly chosen to do it.\I see.\You would've made one hell of a teacher.\Don't treat me like a child!\Sorry, my bad!\He wasn't elected student council president three years in a row for nothing.\Trapped in a room together...\I'll keep you girls safe. response:	Also, your mouth... There's too many words coming out of it.
context: I see.\You would've made one hell of a teacher.\Don't treat me like a child!\Sorry, my bad!\He wasn't elected student council president three years in a row for nothing.\Trapped in a room together...\I'll keep you girls safe.\Also, your mouth... There's too many words coming out of it. response:	Takahi-senpai, I
context: You would've made one hell of a teacher.\Don't treat me like a child!\Sorry, my bad!\He wasn't elected student council president three years in a row for nothing.\Trapped in a room together...\I'll keep you girls safe.\Also, your mouth... There's too many words coming out of it.\Takahi-senpai, I response:	Get over yourself!
context: Don't treat me like a child!\Sorry, my bad!\He wasn't elected student council president three years in a row for nothing.\Trapped in a room together...\I'll keep you girls safe.\Also, your mouth... There's too many words coming out of it.\Takahi-senpai, I\Get over yourself! response:	I don't care how famous you are or that you're a pilot!
context: Sorry, my bad!\He wasn't elected student council president three years in a row for nothing.\Trapped in a room together...\I'll keep you girls safe.\Also, your mouth... There's too many words coming out of it.\Takahi-senpai, I\Get over yourself!\I don't care how famous you are or that you're a pilot! response:	You're just an underclassman to me!
context: He wasn't elected student council president three years in a row for nothing.\Trapped in a room together...\I'll keep you girls safe.\Also, your mouth... There's too many words coming out of it.\Takahi-senpai, I\Get over yourself!\I don't care how famous you are or that you're a pilot!\You're just an underclassman to me! response:	Before this war broke out, I didn't even know your name!
context: Trapped in a room together...\I'll keep you girls safe.\Also, your mouth... There's too many words coming out of it.\Takahi-senpai, I\Get over yourself!\I don't care how famous you are or that you're a pilot!\You're just an underclassman to me!\Before this war broke out, I didn't even know your name! response:	I'm not as
context: I'll keep you girls safe.\Also, your mouth... There's too many words coming out of it.\Takahi-senpai, I\Get over yourself!\I don't care how famous you are or that you're a pilot!\You're just an underclassman to me!\Before this war broke out, I didn't even know your name!\I'm not as response:	What's wrong, Tokishma?
context: Also, your mouth... There's too many words coming out of it.\Takahi-senpai, I\Get over yourself!\I don't care how famous you are or that you're a pilot!\You're just an underclassman to me!\Before this war broke out, I didn't even know your name!\I'm not as\What's wrong, Tokishma? response:	Takahi-senpai, stand back...
context: Takahi-senpai, I\Get over yourself!\I don't care how famous you are or that you're a pilot!\You're just an underclassman to me!\Before this war broke out, I didn't even know your name!\I'm not as\What's wrong, Tokishma?\Takahi-senpai, stand back... response:	Miss Rukino?!
context: Get over yourself!\I don't care how famous you are or that you're a pilot!\You're just an underclassman to me!\Before this war broke out, I didn't even know your name!\I'm not as\What's wrong, Tokishma?\Takahi-senpai, stand back...\Miss Rukino?! response:	You go after everything, don't you?
context: I don't care how famous you are or that you're a pilot!\You're just an underclassman to me!\Before this war broke out, I didn't even know your name!\I'm not as\What's wrong, Tokishma?\Takahi-senpai, stand back...\Miss Rukino?!\You go after everything, don't you? response:	Haru-tard, you can't jump her just because she's got a sexy body.
context: You're just an underclassman to me!\Before this war broke out, I didn't even know your name!\I'm not as\What's wrong, Tokishma?\Takahi-senpai, stand back...\Miss Rukino?!\You go after everything, don't you?\Haru-tard, you can't jump her just because she's got a sexy body. response:	Oh. Um, I...
context: Before this war broke out, I didn't even know your name!\I'm not as\What's wrong, Tokishma?\Takahi-senpai, stand back...\Miss Rukino?!\You go after everything, don't you?\Haru-tard, you can't jump her just because she's got a sexy body.\Oh. Um, I... response:	She's right! You're so sexy
context: I'm not as\What's wrong, Tokishma?\Takahi-senpai, stand back...\Miss Rukino?!\You go after everything, don't you?\Haru-tard, you can't jump her just because she's got a sexy body.\Oh. Um, I...\She's right! You're so sexy response:	I mean lovely, that I couldn't help myself.
context: What's wrong, Tokishma?\Takahi-senpai, stand back...\Miss Rukino?!\You go after everything, don't you?\Haru-tard, you can't jump her just because she's got a sexy body.\Oh. Um, I...\She's right! You're so sexy\I mean lovely, that I couldn't help myself. response:	Dressed like that, you're asking for all kinds of unwanted attention from the boys.
context: Takahi-senpai, stand back...\Miss Rukino?!\You go after everything, don't you?\Haru-tard, you can't jump her just because she's got a sexy body.\Oh. Um, I...\She's right! You're so sexy\I mean lovely, that I couldn't help myself.\Dressed like that, you're asking for all kinds of unwanted attention from the boys. response:	I'm really sorry!
context: Miss Rukino?!\You go after everything, don't you?\Haru-tard, you can't jump her just because she's got a sexy body.\Oh. Um, I...\She's right! You're so sexy\I mean lovely, that I couldn't help myself.\Dressed like that, you're asking for all kinds of unwanted attention from the boys.\I'm really sorry! response:	Wait a minute! Come back!
context: You go after everything, don't you?\Haru-tard, you can't jump her just because she's got a sexy body.\Oh. Um, I...\She's right! You're so sexy\I mean lovely, that I couldn't help myself.\Dressed like that, you're asking for all kinds of unwanted attention from the boys.\I'm really sorry!\Wait a minute! Come back! response:	The interval between attacks is shortening?
context: Haru-tard, you can't jump her just because she's got a sexy body.\Oh. Um, I...\She's right! You're so sexy\I mean lovely, that I couldn't help myself.\Dressed like that, you're asking for all kinds of unwanted attention from the boys.\I'm really sorry!\Wait a minute! Come back!\The interval between attacks is shortening? response:	I'm scared. What if it keeps getting shorter and eventually reaches zero?
context: Oh. Um, I...\She's right! You're so sexy\I mean lovely, that I couldn't help myself.\Dressed like that, you're asking for all kinds of unwanted attention from the boys.\I'm really sorry!\Wait a minute! Come back!\The interval between attacks is shortening?\I'm scared. What if it keeps getting shorter and eventually reaches zero? response:	I'm worried that I'll run around attacking people like some kind of animal.
context: She's right! You're so sexy\I mean lovely, that I couldn't help myself.\Dressed like that, you're asking for all kinds of unwanted attention from the boys.\I'm really sorry!\Wait a minute! Come back!\The interval between attacks is shortening?\I'm scared. What if it keeps getting shorter and eventually reaches zero?\I'm worried that I'll run around attacking people like some kind of animal. response:	Haruto.
context: I mean lovely, that I couldn't help myself.\Dressed like that, you're asking for all kinds of unwanted attention from the boys.\I'm really sorry!\Wait a minute! Come back!\The interval between attacks is shortening?\I'm scared. What if it keeps getting shorter and eventually reaches zero?\I'm worried that I'll run around attacking people like some kind of animal.\Haruto. response:	If that ever happens, I'll put you down.
context: Dressed like that, you're asking for all kinds of unwanted attention from the boys.\I'm really sorry!\Wait a minute! Come back!\The interval between attacks is shortening?\I'm scared. What if it keeps getting shorter and eventually reaches zero?\I'm worried that I'll run around attacking people like some kind of animal.\Haruto.\If that ever happens, I'll put you down. response:	If I'm going to be killed by someone, I'd like it to be you.
context: I'm really sorry!\Wait a minute! Come back!\The interval between attacks is shortening?\I'm scared. What if it keeps getting shorter and eventually reaches zero?\I'm worried that I'll run around attacking people like some kind of animal.\Haruto.\If that ever happens, I'll put you down.\If I'm going to be killed by someone, I'd like it to be you. response:	Shoko!
context: Wait a minute! Come back!\The interval between attacks is shortening?\I'm scared. What if it keeps getting shorter and eventually reaches zero?\I'm worried that I'll run around attacking people like some kind of animal.\Haruto.\If that ever happens, I'll put you down.\If I'm going to be killed by someone, I'd like it to be you.\Shoko! response:	Miss Rukino... Um, are you guys training?
context: The interval between attacks is shortening?\I'm scared. What if it keeps getting shorter and eventually reaches zero?\I'm worried that I'll run around attacking people like some kind of animal.\Haruto.\If that ever happens, I'll put you down.\If I'm going to be killed by someone, I'd like it to be you.\Shoko!\Miss Rukino... Um, are you guys training? response:	No, we just bumped into each other, and
context: I'm scared. What if it keeps getting shorter and eventually reaches zero?\I'm worried that I'll run around attacking people like some kind of animal.\Haruto.\If that ever happens, I'll put you down.\If I'm going to be killed by someone, I'd like it to be you.\Shoko!\Miss Rukino... Um, are you guys training?\No, we just bumped into each other, and response:	You're not running?
context: I'm worried that I'll run around attacking people like some kind of animal.\Haruto.\If that ever happens, I'll put you down.\If I'm going to be killed by someone, I'd like it to be you.\Shoko!\Miss Rukino... Um, are you guys training?\No, we just bumped into each other, and\You're not running? response:	The election.
context: Haruto.\If that ever happens, I'll put you down.\If I'm going to be killed by someone, I'd like it to be you.\Shoko!\Miss Rukino... Um, are you guys training?\No, we just bumped into each other, and\You're not running?\The election. response:	No, no! I'm not cut out for that stuff.
context: If that ever happens, I'll put you down.\If I'm going to be killed by someone, I'd like it to be you.\Shoko!\Miss Rukino... Um, are you guys training?\No, we just bumped into each other, and\You're not running?\The election.\No, no! I'm not cut out for that stuff. response:	It should be a third-year who
context: If I'm going to be killed by someone, I'd like it to be you.\Shoko!\Miss Rukino... Um, are you guys training?\No, we just bumped into each other, and\You're not running?\The election.\No, no! I'm not cut out for that stuff.\It should be a third-year who response:	Hey!
context: Shoko!\Miss Rukino... Um, are you guys training?\No, we just bumped into each other, and\You're not running?\The election.\No, no! I'm not cut out for that stuff.\It should be a third-year who\Hey! response:	The members of the Youth Culture Club decided to vote for you, Shoko!
context: Miss Rukino... Um, are you guys training?\No, we just bumped into each other, and\You're not running?\The election.\No, no! I'm not cut out for that stuff.\It should be a third-year who\Hey!\The members of the Youth Culture Club decided to vote for you, Shoko! response:	You saved my Shadow X, remember?
context: No, we just bumped into each other, and\You're not running?\The election.\No, no! I'm not cut out for that stuff.\It should be a third-year who\Hey!\The members of the Youth Culture Club decided to vote for you, Shoko!\You saved my Shadow X, remember? response:	And I hear you went to the student council president and renegotiated the Light Music Club's budget!
context: You're not running?\The election.\No, no! I'm not cut out for that stuff.\It should be a third-year who\Hey!\The members of the Youth Culture Club decided to vote for you, Shoko!\You saved my Shadow X, remember?\And I hear you went to the student council president and renegotiated the Light Music Club's budget! response:	I only did that because I'm a fan of theirs.
context: The election.\No, no! I'm not cut out for that stuff.\It should be a third-year who\Hey!\The members of the Youth Culture Club decided to vote for you, Shoko!\You saved my Shadow X, remember?\And I hear you went to the student council president and renegotiated the Light Music Club's budget!\I only did that because I'm a fan of theirs. response:	What's this? Are you gonna run in the election, Shoko?
context: No, no! I'm not cut out for that stuff.\It should be a third-year who\Hey!\The members of the Youth Culture Club decided to vote for you, Shoko!\You saved my Shadow X, remember?\And I hear you went to the student council president and renegotiated the Light Music Club's budget!\I only did that because I'm a fan of theirs.\What's this? Are you gonna run in the election, Shoko? response:	No, no way!
context: It should be a third-year who\Hey!\The members of the Youth Culture Club decided to vote for you, Shoko!\You saved my Shadow X, remember?\And I hear you went to the student council president and renegotiated the Light Music Club's budget!\I only did that because I'm a fan of theirs.\What's this? Are you gonna run in the election, Shoko?\No, no way! response:	You'd do a great job! I know it! You've got to run!
context: Hey!\The members of the Youth Culture Club decided to vote for you, Shoko!\You saved my Shadow X, remember?\And I hear you went to the student council president and renegotiated the Light Music Club's budget!\I only did that because I'm a fan of theirs.\What's this? Are you gonna run in the election, Shoko?\No, no way!\You'd do a great job! I know it! You've got to run! response:	But I'm just not
context: The members of the Youth Culture Club decided to vote for you, Shoko!\You saved my Shadow X, remember?\And I hear you went to the student council president and renegotiated the Light Music Club's budget!\I only did that because I'm a fan of theirs.\What's this? Are you gonna run in the election, Shoko?\No, no way!\You'd do a great job! I know it! You've got to run!\But I'm just not response:	You've always been there at our matches, cheering us on!
context: You saved my Shadow X, remember?\And I hear you went to the student council president and renegotiated the Light Music Club's budget!\I only did that because I'm a fan of theirs.\What's this? Are you gonna run in the election, Shoko?\No, no way!\You'd do a great job! I know it! You've got to run!\But I'm just not\You've always been there at our matches, cheering us on! response:	And you've always brought us food, too! I honestly think you can do it, Shoko!
context: And I hear you went to the student council president and renegotiated the Light Music Club's budget!\I only did that because I'm a fan of theirs.\What's this? Are you gonna run in the election, Shoko?\No, no way!\You'd do a great job! I know it! You've got to run!\But I'm just not\You've always been there at our matches, cheering us on!\And you've always brought us food, too! I honestly think you can do it, Shoko! response:	Cut it out, I'm not like that at all.
context: I only did that because I'm a fan of theirs.\What's this? Are you gonna run in the election, Shoko?\No, no way!\You'd do a great job! I know it! You've got to run!\But I'm just not\You've always been there at our matches, cheering us on!\And you've always brought us food, too! I honestly think you can do it, Shoko!\Cut it out, I'm not like that at all. response:	You're giving me too much credit, really!
context: What's this? Are you gonna run in the election, Shoko?\No, no way!\You'd do a great job! I know it! You've got to run!\But I'm just not\You've always been there at our matches, cheering us on!\And you've always brought us food, too! I honestly think you can do it, Shoko!\Cut it out, I'm not like that at all.\You're giving me too much credit, really! response:	Oh, come on!
context: No, no way!\You'd do a great job! I know it! You've got to run!\But I'm just not\You've always been there at our matches, cheering us on!\And you've always brought us food, too! I honestly think you can do it, Shoko!\Cut it out, I'm not like that at all.\You're giving me too much credit, really!\Oh, come on! response:	Do it!
context: You'd do a great job! I know it! You've got to run!\But I'm just not\You've always been there at our matches, cheering us on!\And you've always brought us food, too! I honestly think you can do it, Shoko!\Cut it out, I'm not like that at all.\You're giving me too much credit, really!\Oh, come on!\Do it! response:	I can't, I can't!
context: But I'm just not\You've always been there at our matches, cheering us on!\And you've always brought us food, too! I honestly think you can do it, Shoko!\Cut it out, I'm not like that at all.\You're giving me too much credit, really!\Oh, come on!\Do it!\I can't, I can't! response:	If they can reach the neutral territory of the Moon, we'll no longer be able to move against them.
context: You've always been there at our matches, cheering us on!\And you've always brought us food, too! I honestly think you can do it, Shoko!\Cut it out, I'm not like that at all.\You're giving me too much credit, really!\Oh, come on!\Do it!\I can't, I can't!\If they can reach the neutral territory of the Moon, we'll no longer be able to move against them. response:	This next battle will likely be the last.
context: And you've always brought us food, too! I honestly think you can do it, Shoko!\Cut it out, I'm not like that at all.\You're giving me too much credit, really!\Oh, come on!\Do it!\I can't, I can't!\If they can reach the neutral territory of the Moon, we'll no longer be able to move against them.\This next battle will likely be the last. response:	We won't let them escape, sir.
context: Cut it out, I'm not like that at all.\You're giving me too much credit, really!\Oh, come on!\Do it!\I can't, I can't!\If they can reach the neutral territory of the Moon, we'll no longer be able to move against them.\This next battle will likely be the last.\We won't let them escape, sir. response:	We swear on the honor of the Karlstein Agency.
context: You're giving me too much credit, really!\Oh, come on!\Do it!\I can't, I can't!\If they can reach the neutral territory of the Moon, we'll no longer be able to move against them.\This next battle will likely be the last.\We won't let them escape, sir.\We swear on the honor of the Karlstein Agency. response:	I'll be joining you this time.
context: Oh, come on!\Do it!\I can't, I can't!\If they can reach the neutral territory of the Moon, we'll no longer be able to move against them.\This next battle will likely be the last.\We won't let them escape, sir.\We swear on the honor of the Karlstein Agency.\I'll be joining you this time. response:	If the Valvraves slip through my grasp, it might cost me my head.
context: Do it!\I can't, I can't!\If they can reach the neutral territory of the Moon, we'll no longer be able to move against them.\This next battle will likely be the last.\We won't let them escape, sir.\We swear on the honor of the Karlstein Agency.\I'll be joining you this time.\If the Valvraves slip through my grasp, it might cost me my head. response:	Never!
context: I can't, I can't!\If they can reach the neutral territory of the Moon, we'll no longer be able to move against them.\This next battle will likely be the last.\We won't let them escape, sir.\We swear on the honor of the Karlstein Agency.\I'll be joining you this time.\If the Valvraves slip through my grasp, it might cost me my head.\Never! response:	Impossible, you are the Chancellor's close friend.
context: If they can reach the neutral territory of the Moon, we'll no longer be able to move against them.\This next battle will likely be the last.\We won't let them escape, sir.\We swear on the honor of the Karlstein Agency.\I'll be joining you this time.\If the Valvraves slip through my grasp, it might cost me my head.\Never!\Impossible, you are the Chancellor's close friend. response:	That wasn't the case 20 years ago.
context: This next battle will likely be the last.\We won't let them escape, sir.\We swear on the honor of the Karlstein Agency.\I'll be joining you this time.\If the Valvraves slip through my grasp, it might cost me my head.\Never!\Impossible, you are the Chancellor's close friend.\That wasn't the case 20 years ago. response:	And he wasn't the Chancellor then, either.
context: We won't let them escape, sir.\We swear on the honor of the Karlstein Agency.\I'll be joining you this time.\If the Valvraves slip through my grasp, it might cost me my head.\Never!\Impossible, you are the Chancellor's close friend.\That wasn't the case 20 years ago.\And he wasn't the Chancellor then, either. response:	Are you concerned about the royalists staging a comeback, sir?
context: We swear on the honor of the Karlstein Agency.\I'll be joining you this time.\If the Valvraves slip through my grasp, it might cost me my head.\Never!\Impossible, you are the Chancellor's close friend.\That wasn't the case 20 years ago.\And he wasn't the Chancellor then, either.\Are you concerned about the royalists staging a comeback, sir? response:	That is part of it...
context: I'll be joining you this time.\If the Valvraves slip through my grasp, it might cost me my head.\Never!\Impossible, you are the Chancellor's close friend.\That wasn't the case 20 years ago.\And he wasn't the Chancellor then, either.\Are you concerned about the royalists staging a comeback, sir?\That is part of it... response:	Where is H-neun?
context: If the Valvraves slip through my grasp, it might cost me my head.\Never!\Impossible, you are the Chancellor's close friend.\That wasn't the case 20 years ago.\And he wasn't the Chancellor then, either.\Are you concerned about the royalists staging a comeback, sir?\That is part of it...\Where is H-neun? response:	Playing hooky, sir!
context: Never!\Impossible, you are the Chancellor's close friend.\That wasn't the case 20 years ago.\And he wasn't the Chancellor then, either.\Are you concerned about the royalists staging a comeback, sir?\That is part of it...\Where is H-neun?\Playing hooky, sir! response:	My dear!
context: Impossible, you are the Chancellor's close friend.\That wasn't the case 20 years ago.\And he wasn't the Chancellor then, either.\Are you concerned about the royalists staging a comeback, sir?\That is part of it...\Where is H-neun?\Playing hooky, sir!\My dear! response:	You and me, we're like peas in a pod!
context: That wasn't the case 20 years ago.\And he wasn't the Chancellor then, either.\Are you concerned about the royalists staging a comeback, sir?\That is part of it...\Where is H-neun?\Playing hooky, sir!\My dear!\You and me, we're like peas in a pod! response:	Us running into each other here, don't you feel the hand of fate at work?
context: And he wasn't the Chancellor then, either.\Are you concerned about the royalists staging a comeback, sir?\That is part of it...\Where is H-neun?\Playing hooky, sir!\My dear!\You and me, we're like peas in a pod!\Us running into each other here, don't you feel the hand of fate at work? response:	What are you doing here?
context: Are you concerned about the royalists staging a comeback, sir?\That is part of it...\Where is H-neun?\Playing hooky, sir!\My dear!\You and me, we're like peas in a pod!\Us running into each other here, don't you feel the hand of fate at work?\What are you doing here? response:	That's a long story...
context: That is part of it...\Where is H-neun?\Playing hooky, sir!\My dear!\You and me, we're like peas in a pod!\Us running into each other here, don't you feel the hand of fate at work?\What are you doing here?\That's a long story... response:	For now, how about some tea?
context: Where is H-neun?\Playing hooky, sir!\My dear!\You and me, we're like peas in a pod!\Us running into each other here, don't you feel the hand of fate at work?\What are you doing here?\That's a long story...\For now, how about some tea? response:	Where's Shoko? Isn't she with you?
context: Playing hooky, sir!\My dear!\You and me, we're like peas in a pod!\Us running into each other here, don't you feel the hand of fate at work?\What are you doing here?\That's a long story...\For now, how about some tea?\Where's Shoko? Isn't she with you? response:	She said she would catch up with us later.
context: My dear!\You and me, we're like peas in a pod!\Us running into each other here, don't you feel the hand of fate at work?\What are you doing here?\That's a long story...\For now, how about some tea?\Where's Shoko? Isn't she with you?\She said she would catch up with us later. response:	Why do you ask?
context: You and me, we're like peas in a pod!\Us running into each other here, don't you feel the hand of fate at work?\What are you doing here?\That's a long story...\For now, how about some tea?\Where's Shoko? Isn't she with you?\She said she would catch up with us later.\Why do you ask? response:	She just seemed like she wasn't her usual self.
context: Us running into each other here, don't you feel the hand of fate at work?\What are you doing here?\That's a long story...\For now, how about some tea?\Where's Shoko? Isn't she with you?\She said she would catch up with us later.\Why do you ask?\She just seemed like she wasn't her usual self. response:	You think?
context: What are you doing here?\That's a long story...\For now, how about some tea?\Where's Shoko? Isn't she with you?\She said she would catch up with us later.\Why do you ask?\She just seemed like she wasn't her usual self.\You think? response:	She didn't look all that different to me.
context: That's a long story...\For now, how about some tea?\Where's Shoko? Isn't she with you?\She said she would catch up with us later.\Why do you ask?\She just seemed like she wasn't her usual self.\You think?\She didn't look all that different to me. response:	Well, she was just
context: For now, how about some tea?\Where's Shoko? Isn't she with you?\She said she would catch up with us later.\Why do you ask?\She just seemed like she wasn't her usual self.\You think?\She didn't look all that different to me.\Well, she was just response:	Haruto.
context: Where's Shoko? Isn't she with you?\She said she would catch up with us later.\Why do you ask?\She just seemed like she wasn't her usual self.\You think?\She didn't look all that different to me.\Well, she was just\Haruto. response:	Can I trust you to look out for Shoko?
context: She said she would catch up with us later.\Why do you ask?\She just seemed like she wasn't her usual self.\You think?\She didn't look all that different to me.\Well, she was just\Haruto.\Can I trust you to look out for Shoko? response:	I'll come right out and ask her what's wrong.
context: Why do you ask?\She just seemed like she wasn't her usual self.\You think?\She didn't look all that different to me.\Well, she was just\Haruto.\Can I trust you to look out for Shoko?\I'll come right out and ask her what's wrong. response:	I'll leave her to you, then.
context: She just seemed like she wasn't her usual self.\You think?\She didn't look all that different to me.\Well, she was just\Haruto.\Can I trust you to look out for Shoko?\I'll come right out and ask her what's wrong.\I'll leave her to you, then. response:	I'll go look for her!
