context: Wh-what?! response:	That's my secret technique, the Sweets Canyon!
context: Hmm?\Umaruuun!\Hikari, is it possible you've been coming here without saying anything? That would make your sister worry...\Say, Big Brother, why don't you call her?\Gah! Th-there's no need!\Well, it IS more dangerous at night, and she's probably made dinner already...\My sister works overtime on Tuesdays. I've just been eating on my own.\Oh, really? Well, we don't mind at all! response:	I'll be working late tonight, but I've made dinner and put it in the fridge.
context: Umaruuun!\Hikari, is it possible you've been coming here without saying anything? That would make your sister worry...\Say, Big Brother, why don't you call her?\Gah! Th-there's no need!\Well, it IS more dangerous at night, and she's probably made dinner already...\My sister works overtime on Tuesdays. I've just been eating on my own.\Oh, really? Well, we don't mind at all!\I'll be working late tonight, but I've made dinner and put it in the fridge. response:	Huh? I've gotta eat alone?
context: Hikari, is it possible you've been coming here without saying anything? That would make your sister worry...\Say, Big Brother, why don't you call her?\Gah! Th-there's no need!\Well, it IS more dangerous at night, and she's probably made dinner already...\My sister works overtime on Tuesdays. I've just been eating on my own.\Oh, really? Well, we don't mind at all!\I'll be working late tonight, but I've made dinner and put it in the fridge.\Huh? I've gotta eat alone? response:	Well, fine, if there's no other option...
context: Say, Big Brother, why don't you call her?\Gah! Th-there's no need!\Well, it IS more dangerous at night, and she's probably made dinner already...\My sister works overtime on Tuesdays. I've just been eating on my own.\Oh, really? Well, we don't mind at all!\I'll be working late tonight, but I've made dinner and put it in the fridge.\Huh? I've gotta eat alone?\Well, fine, if there's no other option... response:	Huh?
context: Gah! Th-there's no need!\Well, it IS more dangerous at night, and she's probably made dinner already...\My sister works overtime on Tuesdays. I've just been eating on my own.\Oh, really? Well, we don't mind at all!\I'll be working late tonight, but I've made dinner and put it in the fridge.\Huh? I've gotta eat alone?\Well, fine, if there's no other option...\Huh? response:	Hurry up or it'll get cold.
context: Well, it IS more dangerous at night, and she's probably made dinner already...\My sister works overtime on Tuesdays. I've just been eating on my own.\Oh, really? Well, we don't mind at all!\I'll be working late tonight, but I've made dinner and put it in the fridge.\Huh? I've gotta eat alone?\Well, fine, if there's no other option...\Huh?\Hurry up or it'll get cold. response:	Okay.
context: My sister works overtime on Tuesdays. I've just been eating on my own.\Oh, really? Well, we don't mind at all!\I'll be working late tonight, but I've made dinner and put it in the fridge.\Huh? I've gotta eat alone?\Well, fine, if there's no other option...\Huh?\Hurry up or it'll get cold.\Okay. response:	You sure you don't need me to walk you home?
context: Oh, really? Well, we don't mind at all!\I'll be working late tonight, but I've made dinner and put it in the fridge.\Huh? I've gotta eat alone?\Well, fine, if there's no other option...\Huh?\Hurry up or it'll get cold.\Okay.\You sure you don't need me to walk you home? response:	No, I'm meeting someone, so I'll be fine.
context: I'll be working late tonight, but I've made dinner and put it in the fridge.\Huh? I've gotta eat alone?\Well, fine, if there's no other option...\Huh?\Hurry up or it'll get cold.\Okay.\You sure you don't need me to walk you home?\No, I'm meeting someone, so I'll be fine. response:	U-um, Big Brother? Is it all right if I come again?
context: Huh? I've gotta eat alone?\Well, fine, if there's no other option...\Huh?\Hurry up or it'll get cold.\Okay.\You sure you don't need me to walk you home?\No, I'm meeting someone, so I'll be fine.\U-um, Big Brother? Is it all right if I come again? response:	Well, yeah, I guess.
context: Well, fine, if there's no other option...\Huh?\Hurry up or it'll get cold.\Okay.\You sure you don't need me to walk you home?\No, I'm meeting someone, so I'll be fine.\U-um, Big Brother? Is it all right if I come again?\Well, yeah, I guess. response:	Come whenever you like, Hikari.
context: Huh?\Hurry up or it'll get cold.\Okay.\You sure you don't need me to walk you home?\No, I'm meeting someone, so I'll be fine.\U-um, Big Brother? Is it all right if I come again?\Well, yeah, I guess.\Come whenever you like, Hikari. response:	Okay!
context: Hurry up or it'll get cold.\Okay.\You sure you don't need me to walk you home?\No, I'm meeting someone, so I'll be fine.\U-um, Big Brother? Is it all right if I come again?\Well, yeah, I guess.\Come whenever you like, Hikari.\Okay! response:	Just don't make a habit of coming every week, yeah?
context: Okay.\You sure you don't need me to walk you home?\No, I'm meeting someone, so I'll be fine.\U-um, Big Brother? Is it all right if I come again?\Well, yeah, I guess.\Come whenever you like, Hikari.\Okay!\Just don't make a habit of coming every week, yeah? response:	I shall.
context: You sure you don't need me to walk you home?\No, I'm meeting someone, so I'll be fine.\U-um, Big Brother? Is it all right if I come again?\Well, yeah, I guess.\Come whenever you like, Hikari.\Okay!\Just don't make a habit of coming every week, yeah?\I shall. response:	Hey! What are you doing, Hikari?!
context: No, I'm meeting someone, so I'll be fine.\U-um, Big Brother? Is it all right if I come again?\Well, yeah, I guess.\Come whenever you like, Hikari.\Okay!\Just don't make a habit of coming every week, yeah?\I shall.\Hey! What are you doing, Hikari?! response:	I'm home, Hikari.
context: U-um, Big Brother? Is it all right if I come again?\Well, yeah, I guess.\Come whenever you like, Hikari.\Okay!\Just don't make a habit of coming every week, yeah?\I shall.\Hey! What are you doing, Hikari?!\I'm home, Hikari. response:	Hikari! You went out tonight, didn't you?!
context: Well, yeah, I guess.\Come whenever you like, Hikari.\Okay!\Just don't make a habit of coming every week, yeah?\I shall.\Hey! What are you doing, Hikari?!\I'm home, Hikari.\Hikari! You went out tonight, didn't you?! response:	Liar! I know you've been going out on Tuesdays when I work overtime!
context: Come whenever you like, Hikari.\Okay!\Just don't make a habit of coming every week, yeah?\I shall.\Hey! What are you doing, Hikari?!\I'm home, Hikari.\Hikari! You went out tonight, didn't you?!\Liar! I know you've been going out on Tuesdays when I work overtime! response:	I-I only went to get something to eat.
context: Okay!\Just don't make a habit of coming every week, yeah?\I shall.\Hey! What are you doing, Hikari?!\I'm home, Hikari.\Hikari! You went out tonight, didn't you?!\Liar! I know you've been going out on Tuesdays when I work overtime!\I-I only went to get something to eat. response:	It's dangerous to be out this late, okay?!
context: Just don't make a habit of coming every week, yeah?\I shall.\Hey! What are you doing, Hikari?!\I'm home, Hikari.\Hikari! You went out tonight, didn't you?!\Liar! I know you've been going out on Tuesdays when I work overtime!\I-I only went to get something to eat.\It's dangerous to be out this late, okay?! response:	I thought for sure you'd object when Hikari said she wanted to come over again.
context: I shall.\Hey! What are you doing, Hikari?!\I'm home, Hikari.\Hikari! You went out tonight, didn't you?!\Liar! I know you've been going out on Tuesdays when I work overtime!\I-I only went to get something to eat.\It's dangerous to be out this late, okay?!\I thought for sure you'd object when Hikari said she wanted to come over again. response:	N-nah, I don't really mind...
context: Hey! What are you doing, Hikari?!\I'm home, Hikari.\Hikari! You went out tonight, didn't you?!\Liar! I know you've been going out on Tuesdays when I work overtime!\I-I only went to get something to eat.\It's dangerous to be out this late, okay?!\I thought for sure you'd object when Hikari said she wanted to come over again.\N-nah, I don't really mind... response:	Oh, my!
context: I'm home, Hikari.\Hikari! You went out tonight, didn't you?!\Liar! I know you've been going out on Tuesdays when I work overtime!\I-I only went to get something to eat.\It's dangerous to be out this late, okay?!\I thought for sure you'd object when Hikari said she wanted to come over again.\N-nah, I don't really mind...\Oh, my! response:	Hm? What is it, TSF?
context: Hikari! You went out tonight, didn't you?!\Liar! I know you've been going out on Tuesdays when I work overtime!\I-I only went to get something to eat.\It's dangerous to be out this late, okay?!\I thought for sure you'd object when Hikari said she wanted to come over again.\N-nah, I don't really mind...\Oh, my!\Hm? What is it, TSF? response:	UMR, didn't this used to be a beauty shop?
context: Liar! I know you've been going out on Tuesdays when I work overtime!\I-I only went to get something to eat.\It's dangerous to be out this late, okay?!\I thought for sure you'd object when Hikari said she wanted to come over again.\N-nah, I don't really mind...\Oh, my!\Hm? What is it, TSF?\UMR, didn't this used to be a beauty shop? response:	Hey, you're right! TSF, had you been here before?
context: I-I only went to get something to eat.\It's dangerous to be out this late, okay?!\I thought for sure you'd object when Hikari said she wanted to come over again.\N-nah, I don't really mind...\Oh, my!\Hm? What is it, TSF?\UMR, didn't this used to be a beauty shop?\Hey, you're right! TSF, had you been here before? response:	No. But it had an old-timey feel, and I liked it, indeed!
context: It's dangerous to be out this late, okay?!\I thought for sure you'd object when Hikari said she wanted to come over again.\N-nah, I don't really mind...\Oh, my!\Hm? What is it, TSF?\UMR, didn't this used to be a beauty shop?\Hey, you're right! TSF, had you been here before?\No. But it had an old-timey feel, and I liked it, indeed! response:	It's indeed a shame when a shop you like goes away...
context: I thought for sure you'd object when Hikari said she wanted to come over again.\N-nah, I don't really mind...\Oh, my!\Hm? What is it, TSF?\UMR, didn't this used to be a beauty shop?\Hey, you're right! TSF, had you been here before?\No. But it had an old-timey feel, and I liked it, indeed!\It's indeed a shame when a shop you like goes away... response:	You do like retro-style buildings, don't you? I do too, I guess.
context: N-nah, I don't really mind...\Oh, my!\Hm? What is it, TSF?\UMR, didn't this used to be a beauty shop?\Hey, you're right! TSF, had you been here before?\No. But it had an old-timey feel, and I liked it, indeed!\It's indeed a shame when a shop you like goes away...\You do like retro-style buildings, don't you? I do too, I guess. response:	Still, you sure know a lot about old-school department stores and candy shops,
context: Oh, my!\Hm? What is it, TSF?\UMR, didn't this used to be a beauty shop?\Hey, you're right! TSF, had you been here before?\No. But it had an old-timey feel, and I liked it, indeed!\It's indeed a shame when a shop you like goes away...\You do like retro-style buildings, don't you? I do too, I guess.\Still, you sure know a lot about old-school department stores and candy shops, response:	even though you lived in Germany.
context: Hm? What is it, TSF?\UMR, didn't this used to be a beauty shop?\Hey, you're right! TSF, had you been here before?\No. But it had an old-timey feel, and I liked it, indeed!\It's indeed a shame when a shop you like goes away...\You do like retro-style buildings, don't you? I do too, I guess.\Still, you sure know a lot about old-school department stores and candy shops,\even though you lived in Germany. response:	I do! Such things are nostalgic, indeed!
context: UMR, didn't this used to be a beauty shop?\Hey, you're right! TSF, had you been here before?\No. But it had an old-timey feel, and I liked it, indeed!\It's indeed a shame when a shop you like goes away...\You do like retro-style buildings, don't you? I do too, I guess.\Still, you sure know a lot about old-school department stores and candy shops,\even though you lived in Germany.\I do! Such things are nostalgic, indeed! response:	Nostalgic? You've got the same kind of stuff in Germany?
context: Hey, you're right! TSF, had you been here before?\No. But it had an old-timey feel, and I liked it, indeed!\It's indeed a shame when a shop you like goes away...\You do like retro-style buildings, don't you? I do too, I guess.\Still, you sure know a lot about old-school department stores and candy shops,\even though you lived in Germany.\I do! Such things are nostalgic, indeed!\Nostalgic? You've got the same kind of stuff in Germany? response:	Well, no. But I'd been to Japan once before.
context: No. But it had an old-timey feel, and I liked it, indeed!\It's indeed a shame when a shop you like goes away...\You do like retro-style buildings, don't you? I do too, I guess.\Still, you sure know a lot about old-school department stores and candy shops,\even though you lived in Germany.\I do! Such things are nostalgic, indeed!\Nostalgic? You've got the same kind of stuff in Germany?\Well, no. But I'd been to Japan once before. response:	When I was six, I made quite the fuss until I was brought here for some sightseeing!
context: It's indeed a shame when a shop you like goes away...\You do like retro-style buildings, don't you? I do too, I guess.\Still, you sure know a lot about old-school department stores and candy shops,\even though you lived in Germany.\I do! Such things are nostalgic, indeed!\Nostalgic? You've got the same kind of stuff in Germany?\Well, no. But I'd been to Japan once before.\When I was six, I made quite the fuss until I was brought here for some sightseeing! response:	Making such a fuss that they brought her from Germany here to Japan is pretty impressive...
context: You do like retro-style buildings, don't you? I do too, I guess.\Still, you sure know a lot about old-school department stores and candy shops,\even though you lived in Germany.\I do! Such things are nostalgic, indeed!\Nostalgic? You've got the same kind of stuff in Germany?\Well, no. But I'd been to Japan once before.\When I was six, I made quite the fuss until I was brought here for some sightseeing!\Making such a fuss that they brought her from Germany here to Japan is pretty impressive... response:	And when I came, I saw an old arcade with a beautiful lake and a giant swan.
context: Still, you sure know a lot about old-school department stores and candy shops,\even though you lived in Germany.\I do! Such things are nostalgic, indeed!\Nostalgic? You've got the same kind of stuff in Germany?\Well, no. But I'd been to Japan once before.\When I was six, I made quite the fuss until I was brought here for some sightseeing!\Making such a fuss that they brought her from Germany here to Japan is pretty impressive...\And when I came, I saw an old arcade with a beautiful lake and a giant swan. response:	It's a wonderful memory, one that I've kept to this day.
context: even though you lived in Germany.\I do! Such things are nostalgic, indeed!\Nostalgic? You've got the same kind of stuff in Germany?\Well, no. But I'd been to Japan once before.\When I was six, I made quite the fuss until I was brought here for some sightseeing!\Making such a fuss that they brought her from Germany here to Japan is pretty impressive...\And when I came, I saw an old arcade with a beautiful lake and a giant swan.\It's a wonderful memory, one that I've kept to this day. response:	Well, do you want to head out there today?
context: I do! Such things are nostalgic, indeed!\Nostalgic? You've got the same kind of stuff in Germany?\Well, no. But I'd been to Japan once before.\When I was six, I made quite the fuss until I was brought here for some sightseeing!\Making such a fuss that they brought her from Germany here to Japan is pretty impressive...\And when I came, I saw an old arcade with a beautiful lake and a giant swan.\It's a wonderful memory, one that I've kept to this day.\Well, do you want to head out there today? response:	That's all right. I don't remember where it is, and I doubt it exists anymore.
context: Nostalgic? You've got the same kind of stuff in Germany?\Well, no. But I'd been to Japan once before.\When I was six, I made quite the fuss until I was brought here for some sightseeing!\Making such a fuss that they brought her from Germany here to Japan is pretty impressive...\And when I came, I saw an old arcade with a beautiful lake and a giant swan.\It's a wonderful memory, one that I've kept to this day.\Well, do you want to head out there today?\That's all right. I don't remember where it is, and I doubt it exists anymore. response:	No, it's still there.
context: Well, no. But I'd been to Japan once before.\When I was six, I made quite the fuss until I was brought here for some sightseeing!\Making such a fuss that they brought her from Germany here to Japan is pretty impressive...\And when I came, I saw an old arcade with a beautiful lake and a giant swan.\It's a wonderful memory, one that I've kept to this day.\Well, do you want to head out there today?\That's all right. I don't remember where it is, and I doubt it exists anymore.\No, it's still there. response:	Hm?
context: When I was six, I made quite the fuss until I was brought here for some sightseeing!\Making such a fuss that they brought her from Germany here to Japan is pretty impressive...\And when I came, I saw an old arcade with a beautiful lake and a giant swan.\It's a wonderful memory, one that I've kept to this day.\Well, do you want to head out there today?\That's all right. I don't remember where it is, and I doubt it exists anymore.\No, it's still there.\Hm? response:	I think it's probably that mecca for retro gamers.
context: Making such a fuss that they brought her from Germany here to Japan is pretty impressive...\And when I came, I saw an old arcade with a beautiful lake and a giant swan.\It's a wonderful memory, one that I've kept to this day.\Well, do you want to head out there today?\That's all right. I don't remember where it is, and I doubt it exists anymore.\No, it's still there.\Hm?\I think it's probably that mecca for retro gamers. response:	I'm somewhat afraid, UMR.
context: And when I came, I saw an old arcade with a beautiful lake and a giant swan.\It's a wonderful memory, one that I've kept to this day.\Well, do you want to head out there today?\That's all right. I don't remember where it is, and I doubt it exists anymore.\No, it's still there.\Hm?\I think it's probably that mecca for retro gamers.\I'm somewhat afraid, UMR. response:	Hm?
context: It's a wonderful memory, one that I've kept to this day.\Well, do you want to head out there today?\That's all right. I don't remember where it is, and I doubt it exists anymore.\No, it's still there.\Hm?\I think it's probably that mecca for retro gamers.\I'm somewhat afraid, UMR.\Hm? response:	If the scenery has changed from how I remember it... I think it would be a bit of a shock.
context: Well, do you want to head out there today?\That's all right. I don't remember where it is, and I doubt it exists anymore.\No, it's still there.\Hm?\I think it's probably that mecca for retro gamers.\I'm somewhat afraid, UMR.\Hm?\If the scenery has changed from how I remember it... I think it would be a bit of a shock. response:	Don't you worry, TSF.
context: That's all right. I don't remember where it is, and I doubt it exists anymore.\No, it's still there.\Hm?\I think it's probably that mecca for retro gamers.\I'm somewhat afraid, UMR.\Hm?\If the scenery has changed from how I remember it... I think it would be a bit of a shock.\Don't you worry, TSF. response:	Staying the same is what makes the mecca a mecca.
context: No, it's still there.\Hm?\I think it's probably that mecca for retro gamers.\I'm somewhat afraid, UMR.\Hm?\If the scenery has changed from how I remember it... I think it would be a bit of a shock.\Don't you worry, TSF.\Staying the same is what makes the mecca a mecca. response:	Whaaat?!
context: Hm?\I think it's probably that mecca for retro gamers.\I'm somewhat afraid, UMR.\Hm?\If the scenery has changed from how I remember it... I think it would be a bit of a shock.\Don't you worry, TSF.\Staying the same is what makes the mecca a mecca.\Whaaat?! response:	I-it can't be...
context: I think it's probably that mecca for retro gamers.\I'm somewhat afraid, UMR.\Hm?\If the scenery has changed from how I remember it... I think it would be a bit of a shock.\Don't you worry, TSF.\Staying the same is what makes the mecca a mecca.\Whaaat?!\I-it can't be... response:	It's completely unchanged!
context: I'm somewhat afraid, UMR.\Hm?\If the scenery has changed from how I remember it... I think it would be a bit of a shock.\Don't you worry, TSF.\Staying the same is what makes the mecca a mecca.\Whaaat?!\I-it can't be...\It's completely unchanged! response:	Exactly.
context: Hm?\If the scenery has changed from how I remember it... I think it would be a bit of a shock.\Don't you worry, TSF.\Staying the same is what makes the mecca a mecca.\Whaaat?!\I-it can't be...\It's completely unchanged!\Exactly. response:	Sagamiko Park hasn't changed a bit.
context: If the scenery has changed from how I remember it... I think it would be a bit of a shock.\Don't you worry, TSF.\Staying the same is what makes the mecca a mecca.\Whaaat?!\I-it can't be...\It's completely unchanged!\Exactly.\Sagamiko Park hasn't changed a bit. response:	The buildings are the same...
context: Don't you worry, TSF.\Staying the same is what makes the mecca a mecca.\Whaaat?!\I-it can't be...\It's completely unchanged!\Exactly.\Sagamiko Park hasn't changed a bit.\The buildings are the same... response:	Even the signs are the same!
context: Staying the same is what makes the mecca a mecca.\Whaaat?!\I-it can't be...\It's completely unchanged!\Exactly.\Sagamiko Park hasn't changed a bit.\The buildings are the same...\Even the signs are the same! response:	It's the same store employee!
context: Whaaat?!\I-it can't be...\It's completely unchanged!\Exactly.\Sagamiko Park hasn't changed a bit.\The buildings are the same...\Even the signs are the same!\It's the same store employee! response:	Look! It's the all-important pinball!
context: I-it can't be...\It's completely unchanged!\Exactly.\Sagamiko Park hasn't changed a bit.\The buildings are the same...\Even the signs are the same!\It's the same store employee!\Look! It's the all-important pinball! response:	Indeed, even that is the same as back then!
context: It's completely unchanged!\Exactly.\Sagamiko Park hasn't changed a bit.\The buildings are the same...\Even the signs are the same!\It's the same store employee!\Look! It's the all-important pinball!\Indeed, even that is the same as back then! response:	Ah, there you are!
context: Exactly.\Sagamiko Park hasn't changed a bit.\The buildings are the same...\Even the signs are the same!\It's the same store employee!\Look! It's the all-important pinball!\Indeed, even that is the same as back then!\Ah, there you are! response:	Big Brother!
context: Sagamiko Park hasn't changed a bit.\The buildings are the same...\Even the signs are the same!\It's the same store employee!\Look! It's the all-important pinball!\Indeed, even that is the same as back then!\Ah, there you are!\Big Brother! response:	Hurry up. The Swan Boat is gonna leave!
context: The buildings are the same...\Even the signs are the same!\It's the same store employee!\Look! It's the all-important pinball!\Indeed, even that is the same as back then!\Ah, there you are!\Big Brother!\Hurry up. The Swan Boat is gonna leave! response:	Okay!
context: Even the signs are the same!\It's the same store employee!\Look! It's the all-important pinball!\Indeed, even that is the same as back then!\Ah, there you are!\Big Brother!\Hurry up. The Swan Boat is gonna leave!\Okay! response:	TSF, there's a rare game over here that I've never seen before!
context: It's the same store employee!\Look! It's the all-important pinball!\Indeed, even that is the same as back then!\Ah, there you are!\Big Brother!\Hurry up. The Swan Boat is gonna leave!\Okay!\TSF, there's a rare game over here that I've never seen before! response:	Okay!
context: Look! It's the all-important pinball!\Indeed, even that is the same as back then!\Ah, there you are!\Big Brother!\Hurry up. The Swan Boat is gonna leave!\Okay!\TSF, there's a rare game over here that I've never seen before!\Okay! response:	It looks like most of the people on those boats are couples.
context: Indeed, even that is the same as back then!\Ah, there you are!\Big Brother!\Hurry up. The Swan Boat is gonna leave!\Okay!\TSF, there's a rare game over here that I've never seen before!\Okay!\It looks like most of the people on those boats are couples. response:	Yes, indeed!
context: Ah, there you are!\Big Brother!\Hurry up. The Swan Boat is gonna leave!\Okay!\TSF, there's a rare game over here that I've never seen before!\Okay!\It looks like most of the people on those boats are couples.\Yes, indeed! response:	Sylph, why don't you want to leave?
context: Big Brother!\Hurry up. The Swan Boat is gonna leave!\Okay!\TSF, there's a rare game over here that I've never seen before!\Okay!\It looks like most of the people on those boats are couples.\Yes, indeed!\Sylph, why don't you want to leave? response:	Because after today, we'll go back to Germany!
context: Hurry up. The Swan Boat is gonna leave!\Okay!\TSF, there's a rare game over here that I've never seen before!\Okay!\It looks like most of the people on those boats are couples.\Yes, indeed!\Sylph, why don't you want to leave?\Because after today, we'll go back to Germany! response:	And I... I won't be able to see Big Brother anymore!
context: Okay!\TSF, there's a rare game over here that I've never seen before!\Okay!\It looks like most of the people on those boats are couples.\Yes, indeed!\Sylph, why don't you want to leave?\Because after today, we'll go back to Germany!\And I... I won't be able to see Big Brother anymore! response:	Sylphin.
context: TSF, there's a rare game over here that I've never seen before!\Okay!\It looks like most of the people on those boats are couples.\Yes, indeed!\Sylph, why don't you want to leave?\Because after today, we'll go back to Germany!\And I... I won't be able to see Big Brother anymore!\Sylphin. response:	Brother?
context: Okay!\It looks like most of the people on those boats are couples.\Yes, indeed!\Sylph, why don't you want to leave?\Because after today, we'll go back to Germany!\And I... I won't be able to see Big Brother anymore!\Sylphin.\Brother? response:	She hasn't said a word since I mentioned couples...
context: It looks like most of the people on those boats are couples.\Yes, indeed!\Sylph, why don't you want to leave?\Because after today, we'll go back to Germany!\And I... I won't be able to see Big Brother anymore!\Sylphin.\Brother?\She hasn't said a word since I mentioned couples... response:	TSF? What's the matter?
context: Yes, indeed!\Sylph, why don't you want to leave?\Because after today, we'll go back to Germany!\And I... I won't be able to see Big Brother anymore!\Sylphin.\Brother?\She hasn't said a word since I mentioned couples...\TSF? What's the matter? response:	UMR, let's ride one of those boats!
context: Sylph, why don't you want to leave?\Because after today, we'll go back to Germany!\And I... I won't be able to see Big Brother anymore!\Sylphin.\Brother?\She hasn't said a word since I mentioned couples...\TSF? What's the matter?\UMR, let's ride one of those boats! response:	Huh?!
context: Because after today, we'll go back to Germany!\And I... I won't be able to see Big Brother anymore!\Sylphin.\Brother?\She hasn't said a word since I mentioned couples...\TSF? What's the matter?\UMR, let's ride one of those boats!\Huh?! response:	THAT'S where this conversation led to?
context: And I... I won't be able to see Big Brother anymore!\Sylphin.\Brother?\She hasn't said a word since I mentioned couples...\TSF? What's the matter?\UMR, let's ride one of those boats!\Huh?!\THAT'S where this conversation led to? response:	Hup! Whoa! This thing is shaky!
context: Sylphin.\Brother?\She hasn't said a word since I mentioned couples...\TSF? What's the matter?\UMR, let's ride one of those boats!\Huh?!\THAT'S where this conversation led to?\Hup! Whoa! This thing is shaky! response:	This is the first time I've been on a boat.
context: Brother?\She hasn't said a word since I mentioned couples...\TSF? What's the matter?\UMR, let's ride one of those boats!\Huh?!\THAT'S where this conversation led to?\Hup! Whoa! This thing is shaky!\This is the first time I've been on a boat. response:	You're my all-knowing hero, UMR. You'll be fine indeed!
context: She hasn't said a word since I mentioned couples...\TSF? What's the matter?\UMR, let's ride one of those boats!\Huh?!\THAT'S where this conversation led to?\Hup! Whoa! This thing is shaky!\This is the first time I've been on a boat.\You're my all-knowing hero, UMR. You'll be fine indeed! response:	I'm hardly all-knowing. I only knew about the Sagamiko arcade because it's famous.
context: TSF? What's the matter?\UMR, let's ride one of those boats!\Huh?!\THAT'S where this conversation led to?\Hup! Whoa! This thing is shaky!\This is the first time I've been on a boat.\You're my all-knowing hero, UMR. You'll be fine indeed!\I'm hardly all-knowing. I only knew about the Sagamiko arcade because it's famous. response:	UMR!
context: UMR, let's ride one of those boats!\Huh?!\THAT'S where this conversation led to?\Hup! Whoa! This thing is shaky!\This is the first time I've been on a boat.\You're my all-knowing hero, UMR. You'll be fine indeed!\I'm hardly all-knowing. I only knew about the Sagamiko arcade because it's famous.\UMR! response:	Hm?
context: Huh?!\THAT'S where this conversation led to?\Hup! Whoa! This thing is shaky!\This is the first time I've been on a boat.\You're my all-knowing hero, UMR. You'll be fine indeed!\I'm hardly all-knowing. I only knew about the Sagamiko arcade because it's famous.\UMR!\Hm? response:	Thank you so much for coming for me!
context: THAT'S where this conversation led to?\Hup! Whoa! This thing is shaky!\This is the first time I've been on a boat.\You're my all-knowing hero, UMR. You'll be fine indeed!\I'm hardly all-knowing. I only knew about the Sagamiko arcade because it's famous.\UMR!\Hm?\Thank you so much for coming for me! response:	Don't you mean, Thank you for BRINGING me?
context: Hup! Whoa! This thing is shaky!\This is the first time I've been on a boat.\You're my all-knowing hero, UMR. You'll be fine indeed!\I'm hardly all-knowing. I only knew about the Sagamiko arcade because it's famous.\UMR!\Hm?\Thank you so much for coming for me!\Don't you mean, Thank you for BRINGING me? response:	I think it's perfectly fitting, indeed!
context: This is the first time I've been on a boat.\You're my all-knowing hero, UMR. You'll be fine indeed!\I'm hardly all-knowing. I only knew about the Sagamiko arcade because it's famous.\UMR!\Hm?\Thank you so much for coming for me!\Don't you mean, Thank you for BRINGING me?\I think it's perfectly fitting, indeed! response:	Let's do this again. I'll come for you.
context: You're my all-knowing hero, UMR. You'll be fine indeed!\I'm hardly all-knowing. I only knew about the Sagamiko arcade because it's famous.\UMR!\Hm?\Thank you so much for coming for me!\Don't you mean, Thank you for BRINGING me?\I think it's perfectly fitting, indeed!\Let's do this again. I'll come for you. response:	Okay!
context: I'm hardly all-knowing. I only knew about the Sagamiko arcade because it's famous.\UMR!\Hm?\Thank you so much for coming for me!\Don't you mean, Thank you for BRINGING me?\I think it's perfectly fitting, indeed!\Let's do this again. I'll come for you.\Okay! response:	Tests start tomorrow, huh?
context: UMR!\Hm?\Thank you so much for coming for me!\Don't you mean, Thank you for BRINGING me?\I think it's perfectly fitting, indeed!\Let's do this again. I'll come for you.\Okay!\Tests start tomorrow, huh? response:	It's been a while, indeed!
context: Hm?\Thank you so much for coming for me!\Don't you mean, Thank you for BRINGING me?\I think it's perfectly fitting, indeed!\Let's do this again. I'll come for you.\Okay!\Tests start tomorrow, huh?\It's been a while, indeed! response:	Are you feeling confident, Umaru?
context: Thank you so much for coming for me!\Don't you mean, Thank you for BRINGING me?\I think it's perfectly fitting, indeed!\Let's do this again. I'll come for you.\Okay!\Tests start tomorrow, huh?\It's been a while, indeed!\Are you feeling confident, Umaru? response:	There sure is a lot we have to know this time...
context: Don't you mean, Thank you for BRINGING me?\I think it's perfectly fitting, indeed!\Let's do this again. I'll come for you.\Okay!\Tests start tomorrow, huh?\It's been a while, indeed!\Are you feeling confident, Umaru?\There sure is a lot we have to know this time... response:	Hm? What is it, Ebina?
context: I think it's perfectly fitting, indeed!\Let's do this again. I'll come for you.\Okay!\Tests start tomorrow, huh?\It's been a while, indeed!\Are you feeling confident, Umaru?\There sure is a lot we have to know this time...\Hm? What is it, Ebina? response:	I think I'm going to fail tomorrow's tests... I might not even make it to the next grade!
context: Let's do this again. I'll come for you.\Okay!\Tests start tomorrow, huh?\It's been a while, indeed!\Are you feeling confident, Umaru?\There sure is a lot we have to know this time...\Hm? What is it, Ebina?\I think I'm going to fail tomorrow's tests... I might not even make it to the next grade! response:	Huh?
context: Okay!\Tests start tomorrow, huh?\It's been a while, indeed!\Are you feeling confident, Umaru?\There sure is a lot we have to know this time...\Hm? What is it, Ebina?\I think I'm going to fail tomorrow's tests... I might not even make it to the next grade!\Huh? response:	What did you mean, you won't make it to the next grade?
context: Tests start tomorrow, huh?\It's been a while, indeed!\Are you feeling confident, Umaru?\There sure is a lot we have to know this time...\Hm? What is it, Ebina?\I think I'm going to fail tomorrow's tests... I might not even make it to the next grade!\Huh?\What did you mean, you won't make it to the next grade? response:	B-but this is the day before exams! Why are you only now...?!
context: It's been a while, indeed!\Are you feeling confident, Umaru?\There sure is a lot we have to know this time...\Hm? What is it, Ebina?\I think I'm going to fail tomorrow's tests... I might not even make it to the next grade!\Huh?\What did you mean, you won't make it to the next grade?\B-but this is the day before exams! Why are you only now...?! response:	The timing just didn't feel right. I hope I pass along with the rest of you, but maybe I...
context: Are you feeling confident, Umaru?\There sure is a lot we have to know this time...\Hm? What is it, Ebina?\I think I'm going to fail tomorrow's tests... I might not even make it to the next grade!\Huh?\What did you mean, you won't make it to the next grade?\B-but this is the day before exams! Why are you only now...?!\The timing just didn't feel right. I hope I pass along with the rest of you, but maybe I... response:	Ebina...
