context: Hats and Underwear go on your Head!? response:	AM 2:00 - Night Before the Sports Meet
context: What's wrong with you!\We're on the same team! See?\C-C-Calm down...\She can only see the hats now...\The sports meet is like an aphrodisiac to her, making her mad with desire.\Stop your stupid rambling and get her under control!\Come on.\No- Stop moving... response:	There you go, Futaba. Get her!
context: We're on the same team! See?\C-C-Calm down...\She can only see the hats now...\The sports meet is like an aphrodisiac to her, making her mad with desire.\Stop your stupid rambling and get her under control!\Come on.\No- Stop moving...\There you go, Futaba. Get her! response:	Mitsuba's pissed me off!
context: C-C-Calm down...\She can only see the hats now...\The sports meet is like an aphrodisiac to her, making her mad with desire.\Stop your stupid rambling and get her under control!\Come on.\No- Stop moving...\There you go, Futaba. Get her!\Mitsuba's pissed me off! response:	Get away from me, this is pointless!
context: She can only see the hats now...\The sports meet is like an aphrodisiac to her, making her mad with desire.\Stop your stupid rambling and get her under control!\Come on.\No- Stop moving...\There you go, Futaba. Get her!\Mitsuba's pissed me off!\Get away from me, this is pointless! response:	So high...gonna fall, gonna die...
context: The sports meet is like an aphrodisiac to her, making her mad with desire.\Stop your stupid rambling and get her under control!\Come on.\No- Stop moving...\There you go, Futaba. Get her!\Mitsuba's pissed me off!\Get away from me, this is pointless!\So high...gonna fall, gonna die... response:	I'm dying...I'm dead, my life is ending-
context: Stop your stupid rambling and get her under control!\Come on.\No- Stop moving...\There you go, Futaba. Get her!\Mitsuba's pissed me off!\Get away from me, this is pointless!\So high...gonna fall, gonna die...\I'm dying...I'm dead, my life is ending- response:	Charge, Futaba!
context: Come on.\No- Stop moving...\There you go, Futaba. Get her!\Mitsuba's pissed me off!\Get away from me, this is pointless!\So high...gonna fall, gonna die...\I'm dying...I'm dead, my life is ending-\Charge, Futaba! response:	Freakin' hyenas!
context: No- Stop moving...\There you go, Futaba. Get her!\Mitsuba's pissed me off!\Get away from me, this is pointless!\So high...gonna fall, gonna die...\I'm dying...I'm dead, my life is ending-\Charge, Futaba!\Freakin' hyenas! response:	S-So scary!
context: There you go, Futaba. Get her!\Mitsuba's pissed me off!\Get away from me, this is pointless!\So high...gonna fall, gonna die...\I'm dying...I'm dead, my life is ending-\Charge, Futaba!\Freakin' hyenas!\S-So scary! response:	I was so scared!
context: Mitsuba's pissed me off!\Get away from me, this is pointless!\So high...gonna fall, gonna die...\I'm dying...I'm dead, my life is ending-\Charge, Futaba!\Freakin' hyenas!\S-So scary!\I was so scared! response:	No, I came to watch my daughters!
context: Get away from me, this is pointless!\So high...gonna fall, gonna die...\I'm dying...I'm dead, my life is ending-\Charge, Futaba!\Freakin' hyenas!\S-So scary!\I was so scared!\No, I came to watch my daughters! response:	That's what they all say.
context: So high...gonna fall, gonna die...\I'm dying...I'm dead, my life is ending-\Charge, Futaba!\Freakin' hyenas!\S-So scary!\I was so scared!\No, I came to watch my daughters!\That's what they all say. response:	I just want to see them trying their best!
context: I'm dying...I'm dead, my life is ending-\Charge, Futaba!\Freakin' hyenas!\S-So scary!\I was so scared!\No, I came to watch my daughters!\That's what they all say.\I just want to see them trying their best! response:	You're trapped Mitsuba, hand over the caps!
context: Charge, Futaba!\Freakin' hyenas!\S-So scary!\I was so scared!\No, I came to watch my daughters!\That's what they all say.\I just want to see them trying their best!\You're trapped Mitsuba, hand over the caps! response:	The caps...they're gone!
context: Freakin' hyenas!\S-So scary!\I was so scared!\No, I came to watch my daughters!\That's what they all say.\I just want to see them trying their best!\You're trapped Mitsuba, hand over the caps!\The caps...they're gone! response:	You thought I'd let you losers steal my glory? As if!
context: S-So scary!\I was so scared!\No, I came to watch my daughters!\That's what they all say.\I just want to see them trying their best!\You're trapped Mitsuba, hand over the caps!\The caps...they're gone!\You thought I'd let you losers steal my glory? As if! response:	You don't have boobs, Micchan.
context: I was so scared!\No, I came to watch my daughters!\That's what they all say.\I just want to see them trying their best!\You're trapped Mitsuba, hand over the caps!\The caps...they're gone!\You thought I'd let you losers steal my glory? As if!\You don't have boobs, Micchan. response:	S-Shut up! And get off me!
context: No, I came to watch my daughters!\That's what they all say.\I just want to see them trying their best!\You're trapped Mitsuba, hand over the caps!\The caps...they're gone!\You thought I'd let you losers steal my glory? As if!\You don't have boobs, Micchan.\S-Shut up! And get off me! response:	Why does this always happen to me?!
context: That's what they all say.\I just want to see them trying their best!\You're trapped Mitsuba, hand over the caps!\The caps...they're gone!\You thought I'd let you losers steal my glory? As if!\You don't have boobs, Micchan.\S-Shut up! And get off me!\Why does this always happen to me?! response:	Because you're dirty and dishonorable.
context: I just want to see them trying their best!\You're trapped Mitsuba, hand over the caps!\The caps...they're gone!\You thought I'd let you losers steal my glory? As if!\You don't have boobs, Micchan.\S-Shut up! And get off me!\Why does this always happen to me?!\Because you're dirty and dishonorable. response:	You're one to talk!
context: You're trapped Mitsuba, hand over the caps!\The caps...they're gone!\You thought I'd let you losers steal my glory? As if!\You don't have boobs, Micchan.\S-Shut up! And get off me!\Why does this always happen to me?!\Because you're dirty and dishonorable.\You're one to talk! response:	Look, the hats are the only way to stop Futaba.
context: The caps...they're gone!\You thought I'd let you losers steal my glory? As if!\You don't have boobs, Micchan.\S-Shut up! And get off me!\Why does this always happen to me?!\Because you're dirty and dishonorable.\You're one to talk!\Look, the hats are the only way to stop Futaba. response:	Even a couple would do it...I'd give them up.
context: You thought I'd let you losers steal my glory? As if!\You don't have boobs, Micchan.\S-Shut up! And get off me!\Why does this always happen to me?!\Because you're dirty and dishonorable.\You're one to talk!\Look, the hats are the only way to stop Futaba.\Even a couple would do it...I'd give them up. response:	Why? I got them fair and square.
context: You don't have boobs, Micchan.\S-Shut up! And get off me!\Why does this always happen to me?!\Because you're dirty and dishonorable.\You're one to talk!\Look, the hats are the only way to stop Futaba.\Even a couple would do it...I'd give them up.\Why? I got them fair and square. response:	Does that really matter now?
context: S-Shut up! And get off me!\Why does this always happen to me?!\Because you're dirty and dishonorable.\You're one to talk!\Look, the hats are the only way to stop Futaba.\Even a couple would do it...I'd give them up.\Why? I got them fair and square.\Does that really matter now? response:	Okay, okay!
context: Why does this always happen to me?!\Because you're dirty and dishonorable.\You're one to talk!\Look, the hats are the only way to stop Futaba.\Even a couple would do it...I'd give them up.\Why? I got them fair and square.\Does that really matter now?\Okay, okay! response:	Just a couple!
context: Because you're dirty and dishonorable.\You're one to talk!\Look, the hats are the only way to stop Futaba.\Even a couple would do it...I'd give them up.\Why? I got them fair and square.\Does that really matter now?\Okay, okay!\Just a couple! response:	That's all of them, you cheater!
context: You're one to talk!\Look, the hats are the only way to stop Futaba.\Even a couple would do it...I'd give them up.\Why? I got them fair and square.\Does that really matter now?\Okay, okay!\Just a couple!\That's all of them, you cheater! response:	So it is.
context: Look, the hats are the only way to stop Futaba.\Even a couple would do it...I'd give them up.\Why? I got them fair and square.\Does that really matter now?\Okay, okay!\Just a couple!\That's all of them, you cheater!\So it is. response:	Youngest got'em?
context: Even a couple would do it...I'd give them up.\Why? I got them fair and square.\Does that really matter now?\Okay, okay!\Just a couple!\That's all of them, you cheater!\So it is.\Youngest got'em? response:	All of them?!
context: Why? I got them fair and square.\Does that really matter now?\Okay, okay!\Just a couple!\That's all of them, you cheater!\So it is.\Youngest got'em?\All of them?! response:	See, all you had to do was try!
context: Does that really matter now?\Okay, okay!\Just a couple!\That's all of them, you cheater!\So it is.\Youngest got'em?\All of them?!\See, all you had to do was try! response:	I'm impressed.
context: Okay, okay!\Just a couple!\That's all of them, you cheater!\So it is.\Youngest got'em?\All of them?!\See, all you had to do was try!\I'm impressed. response:	Whoa-wait-stop, stop!
context: Just a couple!\That's all of them, you cheater!\So it is.\Youngest got'em?\All of them?!\See, all you had to do was try!\I'm impressed.\Whoa-wait-stop, stop! response:	My fantastic achievements...
context: That's all of them, you cheater!\So it is.\Youngest got'em?\All of them?!\See, all you had to do was try!\I'm impressed.\Whoa-wait-stop, stop!\My fantastic achievements... response:	Stop, Futaba.
context: So it is.\Youngest got'em?\All of them?!\See, all you had to do was try!\I'm impressed.\Whoa-wait-stop, stop!\My fantastic achievements...\Stop, Futaba. response:	Spit them back up this instant!
context: Youngest got'em?\All of them?!\See, all you had to do was try!\I'm impressed.\Whoa-wait-stop, stop!\My fantastic achievements...\Stop, Futaba.\Spit them back up this instant! response:	Yabe-sensei collapsed with a fever during class.
context: All of them?!\See, all you had to do was try!\I'm impressed.\Whoa-wait-stop, stop!\My fantastic achievements...\Stop, Futaba.\Spit them back up this instant!\Yabe-sensei collapsed with a fever during class. response:	Study Hall
context: See, all you had to do was try!\I'm impressed.\Whoa-wait-stop, stop!\My fantastic achievements...\Stop, Futaba.\Spit them back up this instant!\Yabe-sensei collapsed with a fever during class.\Study Hall response:	Yabecchi's lessons are boring anyway, I don't mind having study hall every now and then.
context: I'm impressed.\Whoa-wait-stop, stop!\My fantastic achievements...\Stop, Futaba.\Spit them back up this instant!\Yabe-sensei collapsed with a fever during class.\Study Hall\Yabecchi's lessons are boring anyway, I don't mind having study hall every now and then. response:	Yesterday's idol sports meet ruled.
context: Whoa-wait-stop, stop!\My fantastic achievements...\Stop, Futaba.\Spit them back up this instant!\Yabe-sensei collapsed with a fever during class.\Study Hall\Yabecchi's lessons are boring anyway, I don't mind having study hall every now and then.\Yesterday's idol sports meet ruled. response:	I doubt it's anything big, but everyone gets noisy during study hall, so I'm out.
context: My fantastic achievements...\Stop, Futaba.\Spit them back up this instant!\Yabe-sensei collapsed with a fever during class.\Study Hall\Yabecchi's lessons are boring anyway, I don't mind having study hall every now and then.\Yesterday's idol sports meet ruled.\I doubt it's anything big, but everyone gets noisy during study hall, so I'm out. response:	Nurse
context: Stop, Futaba.\Spit them back up this instant!\Yabe-sensei collapsed with a fever during class.\Study Hall\Yabecchi's lessons are boring anyway, I don't mind having study hall every now and then.\Yesterday's idol sports meet ruled.\I doubt it's anything big, but everyone gets noisy during study hall, so I'm out.\Nurse response:	I want him cured.
context: Spit them back up this instant!\Yabe-sensei collapsed with a fever during class.\Study Hall\Yabecchi's lessons are boring anyway, I don't mind having study hall every now and then.\Yesterday's idol sports meet ruled.\I doubt it's anything big, but everyone gets noisy during study hall, so I'm out.\Nurse\I want him cured. response:	Wh-What're you-
context: Yabe-sensei collapsed with a fever during class.\Study Hall\Yabecchi's lessons are boring anyway, I don't mind having study hall every now and then.\Yesterday's idol sports meet ruled.\I doubt it's anything big, but everyone gets noisy during study hall, so I'm out.\Nurse\I want him cured.\Wh-What're you- response:	Oh, Youngest-san.
context: Study Hall\Yabecchi's lessons are boring anyway, I don't mind having study hall every now and then.\Yesterday's idol sports meet ruled.\I doubt it's anything big, but everyone gets noisy during study hall, so I'm out.\Nurse\I want him cured.\Wh-What're you-\Oh, Youngest-san. response:	I'm still writing sutras on Yabecchi's body.
context: Yabecchi's lessons are boring anyway, I don't mind having study hall every now and then.\Yesterday's idol sports meet ruled.\I doubt it's anything big, but everyone gets noisy during study hall, so I'm out.\Nurse\I want him cured.\Wh-What're you-\Oh, Youngest-san.\I'm still writing sutras on Yabecchi's body. response:	With the way he collapsed so suddenly,
context: Yesterday's idol sports meet ruled.\I doubt it's anything big, but everyone gets noisy during study hall, so I'm out.\Nurse\I want him cured.\Wh-What're you-\Oh, Youngest-san.\I'm still writing sutras on Yabecchi's body.\With the way he collapsed so suddenly, response:	there's no doubt in my mind he's in the clutches of some malicious spirit!
context: I doubt it's anything big, but everyone gets noisy during study hall, so I'm out.\Nurse\I want him cured.\Wh-What're you-\Oh, Youngest-san.\I'm still writing sutras on Yabecchi's body.\With the way he collapsed so suddenly,\there's no doubt in my mind he's in the clutches of some malicious spirit! response:	There's been a lot of weird stuff going down in the room, you know?
context: Nurse\I want him cured.\Wh-What're you-\Oh, Youngest-san.\I'm still writing sutras on Yabecchi's body.\With the way he collapsed so suddenly,\there's no doubt in my mind he's in the clutches of some malicious spirit!\There's been a lot of weird stuff going down in the room, you know? response:	Things keep getting destroyed,
context: I want him cured.\Wh-What're you-\Oh, Youngest-san.\I'm still writing sutras on Yabecchi's body.\With the way he collapsed so suddenly,\there's no doubt in my mind he's in the clutches of some malicious spirit!\There's been a lot of weird stuff going down in the room, you know?\Things keep getting destroyed, response:	healthy people being injured...
context: Wh-What're you-\Oh, Youngest-san.\I'm still writing sutras on Yabecchi's body.\With the way he collapsed so suddenly,\there's no doubt in my mind he's in the clutches of some malicious spirit!\There's been a lot of weird stuff going down in the room, you know?\Things keep getting destroyed,\healthy people being injured... response:	It's cursed, I know it!
context: Oh, Youngest-san.\I'm still writing sutras on Yabecchi's body.\With the way he collapsed so suddenly,\there's no doubt in my mind he's in the clutches of some malicious spirit!\There's been a lot of weird stuff going down in the room, you know?\Things keep getting destroyed,\healthy people being injured...\It's cursed, I know it! response:	I'm sorry...I'm her sister...
context: I'm still writing sutras on Yabecchi's body.\With the way he collapsed so suddenly,\there's no doubt in my mind he's in the clutches of some malicious spirit!\There's been a lot of weird stuff going down in the room, you know?\Things keep getting destroyed,\healthy people being injured...\It's cursed, I know it!\I'm sorry...I'm her sister... response:	It's not your fault, Youngest-san.
context: With the way he collapsed so suddenly,\there's no doubt in my mind he's in the clutches of some malicious spirit!\There's been a lot of weird stuff going down in the room, you know?\Things keep getting destroyed,\healthy people being injured...\It's cursed, I know it!\I'm sorry...I'm her sister...\It's not your fault, Youngest-san. response:	Maybe you tend to draw spirits to you as a result of your work,
context: there's no doubt in my mind he's in the clutches of some malicious spirit!\There's been a lot of weird stuff going down in the room, you know?\Things keep getting destroyed,\healthy people being injured...\It's cursed, I know it!\I'm sorry...I'm her sister...\It's not your fault, Youngest-san.\Maybe you tend to draw spirits to you as a result of your work, response:	but anyways, what's your opinion as a beautiful genius prodigy exorcist?
context: There's been a lot of weird stuff going down in the room, you know?\Things keep getting destroyed,\healthy people being injured...\It's cursed, I know it!\I'm sorry...I'm her sister...\It's not your fault, Youngest-san.\Maybe you tend to draw spirits to you as a result of your work,\but anyways, what's your opinion as a beautiful genius prodigy exorcist? response:	Wiped
context: Things keep getting destroyed,\healthy people being injured...\It's cursed, I know it!\I'm sorry...I'm her sister...\It's not your fault, Youngest-san.\Maybe you tend to draw spirits to you as a result of your work,\but anyways, what's your opinion as a beautiful genius prodigy exorcist?\Wiped response:	I think he's wiped out.
context: healthy people being injured...\It's cursed, I know it!\I'm sorry...I'm her sister...\It's not your fault, Youngest-san.\Maybe you tend to draw spirits to you as a result of your work,\but anyways, what's your opinion as a beautiful genius prodigy exorcist?\Wiped\I think he's wiped out. response:	His soul's been swiped out, eh?
context: It's cursed, I know it!\I'm sorry...I'm her sister...\It's not your fault, Youngest-san.\Maybe you tend to draw spirits to you as a result of your work,\but anyways, what's your opinion as a beautiful genius prodigy exorcist?\Wiped\I think he's wiped out.\His soul's been swiped out, eh? response:	Swiped
context: I'm sorry...I'm her sister...\It's not your fault, Youngest-san.\Maybe you tend to draw spirits to you as a result of your work,\but anyways, what's your opinion as a beautiful genius prodigy exorcist?\Wiped\I think he's wiped out.\His soul's been swiped out, eh?\Swiped response:	Oh no!
context: It's not your fault, Youngest-san.\Maybe you tend to draw spirits to you as a result of your work,\but anyways, what's your opinion as a beautiful genius prodigy exorcist?\Wiped\I think he's wiped out.\His soul's been swiped out, eh?\Swiped\Oh no! response:	Get ready to exorcise!
context: Maybe you tend to draw spirits to you as a result of your work,\but anyways, what's your opinion as a beautiful genius prodigy exorcist?\Wiped\I think he's wiped out.\His soul's been swiped out, eh?\Swiped\Oh no!\Get ready to exorcise! response:	Gotta finish this first...
context: but anyways, what's your opinion as a beautiful genius prodigy exorcist?\Wiped\I think he's wiped out.\His soul's been swiped out, eh?\Swiped\Oh no!\Get ready to exorcise!\Gotta finish this first... response:	What kind of ceremony is she prepping?
context: Wiped\I think he's wiped out.\His soul's been swiped out, eh?\Swiped\Oh no!\Get ready to exorcise!\Gotta finish this first...\What kind of ceremony is she prepping? response:	Matsuoka-san!
context: I think he's wiped out.\His soul's been swiped out, eh?\Swiped\Oh no!\Get ready to exorcise!\Gotta finish this first...\What kind of ceremony is she prepping?\Matsuoka-san! response:	How are we supposed to exorcise the demon without covering his WHOLE body in sutras?
context: His soul's been swiped out, eh?\Swiped\Oh no!\Get ready to exorcise!\Gotta finish this first...\What kind of ceremony is she prepping?\Matsuoka-san!\How are we supposed to exorcise the demon without covering his WHOLE body in sutras? response:	Off these go...
context: Swiped\Oh no!\Get ready to exorcise!\Gotta finish this first...\What kind of ceremony is she prepping?\Matsuoka-san!\How are we supposed to exorcise the demon without covering his WHOLE body in sutras?\Off these go... response:	There! Now for the back.
context: Oh no!\Get ready to exorcise!\Gotta finish this first...\What kind of ceremony is she prepping?\Matsuoka-san!\How are we supposed to exorcise the demon without covering his WHOLE body in sutras?\Off these go...\There! Now for the back. response:	Youngest-san, help me flip him over.
context: Get ready to exorcise!\Gotta finish this first...\What kind of ceremony is she prepping?\Matsuoka-san!\How are we supposed to exorcise the demon without covering his WHOLE body in sutras?\Off these go...\There! Now for the back.\Youngest-san, help me flip him over. response:	I'm going back to class.
context: Gotta finish this first...\What kind of ceremony is she prepping?\Matsuoka-san!\How are we supposed to exorcise the demon without covering his WHOLE body in sutras?\Off these go...\There! Now for the back.\Youngest-san, help me flip him over.\I'm going back to class. response:	Wha-but what about the exorcism?
context: What kind of ceremony is she prepping?\Matsuoka-san!\How are we supposed to exorcise the demon without covering his WHOLE body in sutras?\Off these go...\There! Now for the back.\Youngest-san, help me flip him over.\I'm going back to class.\Wha-but what about the exorcism? response:	Yabecchi will die if we don't do anything!
context: Matsuoka-san!\How are we supposed to exorcise the demon without covering his WHOLE body in sutras?\Off these go...\There! Now for the back.\Youngest-san, help me flip him over.\I'm going back to class.\Wha-but what about the exorcism?\Yabecchi will die if we don't do anything! response:	Nice assist, Youngest-san!
context: How are we supposed to exorcise the demon without covering his WHOLE body in sutras?\Off these go...\There! Now for the back.\Youngest-san, help me flip him over.\I'm going back to class.\Wha-but what about the exorcism?\Yabecchi will die if we don't do anything!\Nice assist, Youngest-san! response:	He really COULD die if he falls on his head.
context: Off these go...\There! Now for the back.\Youngest-san, help me flip him over.\I'm going back to class.\Wha-but what about the exorcism?\Yabecchi will die if we don't do anything!\Nice assist, Youngest-san!\He really COULD die if he falls on his head. response:	Another ploy by the demon ghost!
context: There! Now for the back.\Youngest-san, help me flip him over.\I'm going back to class.\Wha-but what about the exorcism?\Yabecchi will die if we don't do anything!\Nice assist, Youngest-san!\He really COULD die if he falls on his head.\Another ploy by the demon ghost! response:	Don't blame your screw-ups on ghosts.
context: Youngest-san, help me flip him over.\I'm going back to class.\Wha-but what about the exorcism?\Yabecchi will die if we don't do anything!\Nice assist, Youngest-san!\He really COULD die if he falls on his head.\Another ploy by the demon ghost!\Don't blame your screw-ups on ghosts. response:	What a high fever...he must be sick.
context: I'm going back to class.\Wha-but what about the exorcism?\Yabecchi will die if we don't do anything!\Nice assist, Youngest-san!\He really COULD die if he falls on his head.\Another ploy by the demon ghost!\Don't blame your screw-ups on ghosts.\What a high fever...he must be sick. response:	It needs to be washable, right?
context: Wha-but what about the exorcism?\Yabecchi will die if we don't do anything!\Nice assist, Youngest-san!\He really COULD die if he falls on his head.\Another ploy by the demon ghost!\Don't blame your screw-ups on ghosts.\What a high fever...he must be sick.\It needs to be washable, right? response:	I've learned from my previous mistakes!
context: Yabecchi will die if we don't do anything!\Nice assist, Youngest-san!\He really COULD die if he falls on his head.\Another ploy by the demon ghost!\Don't blame your screw-ups on ghosts.\What a high fever...he must be sick.\It needs to be washable, right?\I've learned from my previous mistakes! response:	Someone's coming.
context: Nice assist, Youngest-san!\He really COULD die if he falls on his head.\Another ploy by the demon ghost!\Don't blame your screw-ups on ghosts.\What a high fever...he must be sick.\It needs to be washable, right?\I've learned from my previous mistakes!\Someone's coming. response:	L-Lock the door!
context: He really COULD die if he falls on his head.\Another ploy by the demon ghost!\Don't blame your screw-ups on ghosts.\What a high fever...he must be sick.\It needs to be washable, right?\I've learned from my previous mistakes!\Someone's coming.\L-Lock the door! response:	Right, we can't let anyone interfere!
context: Another ploy by the demon ghost!\Don't blame your screw-ups on ghosts.\What a high fever...he must be sick.\It needs to be washable, right?\I've learned from my previous mistakes!\Someone's coming.\L-Lock the door!\Right, we can't let anyone interfere! response:	It's locked...
context: Don't blame your screw-ups on ghosts.\What a high fever...he must be sick.\It needs to be washable, right?\I've learned from my previous mistakes!\Someone's coming.\L-Lock the door!\Right, we can't let anyone interfere!\It's locked... response:	Wh-Where are his underwear?
context: What a high fever...he must be sick.\It needs to be washable, right?\I've learned from my previous mistakes!\Someone's coming.\L-Lock the door!\Right, we can't let anyone interfere!\It's locked...\Wh-Where are his underwear? response:	You need Yabecchi's boxers?
context: It needs to be washable, right?\I've learned from my previous mistakes!\Someone's coming.\L-Lock the door!\Right, we can't let anyone interfere!\It's locked...\Wh-Where are his underwear?\You need Yabecchi's boxers? response:	Hold on a second.
context: I've learned from my previous mistakes!\Someone's coming.\L-Lock the door!\Right, we can't let anyone interfere!\It's locked...\Wh-Where are his underwear?\You need Yabecchi's boxers?\Hold on a second. response:	Hitoha-chan?
context: Someone's coming.\L-Lock the door!\Right, we can't let anyone interfere!\It's locked...\Wh-Where are his underwear?\You need Yabecchi's boxers?\Hold on a second.\Hitoha-chan? response:	Have you been here the whole time?
context: L-Lock the door!\Right, we can't let anyone interfere!\It's locked...\Wh-Where are his underwear?\You need Yabecchi's boxers?\Hold on a second.\Hitoha-chan?\Have you been here the whole time? response:	Sorry to worry you...I'm okay now.
context: Right, we can't let anyone interfere!\It's locked...\Wh-Where are his underwear?\You need Yabecchi's boxers?\Hold on a second.\Hitoha-chan?\Have you been here the whole time?\Sorry to worry you...I'm okay now. response:	You really need more sleep. Please go back to bed.
context: It's locked...\Wh-Where are his underwear?\You need Yabecchi's boxers?\Hold on a second.\Hitoha-chan?\Have you been here the whole time?\Sorry to worry you...I'm okay now.\You really need more sleep. Please go back to bed. response:	Hitoha-chan...
context: Wh-Where are his underwear?\You need Yabecchi's boxers?\Hold on a second.\Hitoha-chan?\Have you been here the whole time?\Sorry to worry you...I'm okay now.\You really need more sleep. Please go back to bed.\Hitoha-chan... response:	She's being awfully considerate for once...
context: You need Yabecchi's boxers?\Hold on a second.\Hitoha-chan?\Have you been here the whole time?\Sorry to worry you...I'm okay now.\You really need more sleep. Please go back to bed.\Hitoha-chan...\She's being awfully considerate for once... response:	Youngest-san, here's the boxers!
context: Hold on a second.\Hitoha-chan?\Have you been here the whole time?\Sorry to worry you...I'm okay now.\You really need more sleep. Please go back to bed.\Hitoha-chan...\She's being awfully considerate for once...\Youngest-san, here's the boxers! response:	Boxers!
context: Hitoha-chan?\Have you been here the whole time?\Sorry to worry you...I'm okay now.\You really need more sleep. Please go back to bed.\Hitoha-chan...\She's being awfully considerate for once...\Youngest-san, here's the boxers!\Boxers! response:	Boxers!
context: Have you been here the whole time?\Sorry to worry you...I'm okay now.\You really need more sleep. Please go back to bed.\Hitoha-chan...\She's being awfully considerate for once...\Youngest-san, here's the boxers!\Boxers!\Boxers! response:	Okay, you've got Yabecchi's underwear, just like you wanted!
context: Sorry to worry you...I'm okay now.\You really need more sleep. Please go back to bed.\Hitoha-chan...\She's being awfully considerate for once...\Youngest-san, here's the boxers!\Boxers!\Boxers!\Okay, you've got Yabecchi's underwear, just like you wanted! response:	Thinks they're for the exorcism
context: You really need more sleep. Please go back to bed.\Hitoha-chan...\She's being awfully considerate for once...\Youngest-san, here's the boxers!\Boxers!\Boxers!\Okay, you've got Yabecchi's underwear, just like you wanted!\Thinks they're for the exorcism response:	Do it!
context: Hitoha-chan...\She's being awfully considerate for once...\Youngest-san, here's the boxers!\Boxers!\Boxers!\Okay, you've got Yabecchi's underwear, just like you wanted!\Thinks they're for the exorcism\Do it! response:	Exorcise to ghost
context: She's being awfully considerate for once...\Youngest-san, here's the boxers!\Boxers!\Boxers!\Okay, you've got Yabecchi's underwear, just like you wanted!\Thinks they're for the exorcism\Do it!\Exorcise to ghost response:	Why did you strip me naked?! What're you trying to do?!
context: Youngest-san, here's the boxers!\Boxers!\Boxers!\Okay, you've got Yabecchi's underwear, just like you wanted!\Thinks they're for the exorcism\Do it!\Exorcise to ghost\Why did you strip me naked?! What're you trying to do?! response:	And why do you want my boxers?!
context: Boxers!\Boxers!\Okay, you've got Yabecchi's underwear, just like you wanted!\Thinks they're for the exorcism\Do it!\Exorcise to ghost\Why did you strip me naked?! What're you trying to do?!\And why do you want my boxers?! response:	Yabecchi's got his energy back!
context: Boxers!\Okay, you've got Yabecchi's underwear, just like you wanted!\Thinks they're for the exorcism\Do it!\Exorcise to ghost\Why did you strip me naked?! What're you trying to do?!\And why do you want my boxers?!\Yabecchi's got his energy back! response:	Nice work, Youngest-san!
context: Okay, you've got Yabecchi's underwear, just like you wanted!\Thinks they're for the exorcism\Do it!\Exorcise to ghost\Why did you strip me naked?! What're you trying to do?!\And why do you want my boxers?!\Yabecchi's got his energy back!\Nice work, Youngest-san! response:	Hitoha-chan! Take my underwear off this instant!
context: Thinks they're for the exorcism\Do it!\Exorcise to ghost\Why did you strip me naked?! What're you trying to do?!\And why do you want my boxers?!\Yabecchi's got his energy back!\Nice work, Youngest-san!\Hitoha-chan! Take my underwear off this instant! response:	Yabe-sensei's being a sicko again!
context: Do it!\Exorcise to ghost\Why did you strip me naked?! What're you trying to do?!\And why do you want my boxers?!\Yabecchi's got his energy back!\Nice work, Youngest-san!\Hitoha-chan! Take my underwear off this instant!\Yabe-sensei's being a sicko again! response:	Mitsudomoe...
context: Exorcise to ghost\Why did you strip me naked?! What're you trying to do?!\And why do you want my boxers?!\Yabecchi's got his energy back!\Nice work, Youngest-san!\Hitoha-chan! Take my underwear off this instant!\Yabe-sensei's being a sicko again!\Mitsudomoe... response:	Look at my new Pianissimo pencil case.
context: Why did you strip me naked?! What're you trying to do?!\And why do you want my boxers?!\Yabecchi's got his energy back!\Nice work, Youngest-san!\Hitoha-chan! Take my underwear off this instant!\Yabe-sensei's being a sicko again!\Mitsudomoe...\Look at my new Pianissimo pencil case. response:	My mom got it for me.
context: And why do you want my boxers?!\Yabecchi's got his energy back!\Nice work, Youngest-san!\Hitoha-chan! Take my underwear off this instant!\Yabe-sensei's being a sicko again!\Mitsudomoe...\Look at my new Pianissimo pencil case.\My mom got it for me. response:	How cute!
context: Yabecchi's got his energy back!\Nice work, Youngest-san!\Hitoha-chan! Take my underwear off this instant!\Yabe-sensei's being a sicko again!\Mitsudomoe...\Look at my new Pianissimo pencil case.\My mom got it for me.\How cute! response:	It's a limited edition, you can't get them anywhere anymore.
context: Nice work, Youngest-san!\Hitoha-chan! Take my underwear off this instant!\Yabe-sensei's being a sicko again!\Mitsudomoe...\Look at my new Pianissimo pencil case.\My mom got it for me.\How cute!\It's a limited edition, you can't get them anywhere anymore. response:	OOOh...
context: Hitoha-chan! Take my underwear off this instant!\Yabe-sensei's being a sicko again!\Mitsudomoe...\Look at my new Pianissimo pencil case.\My mom got it for me.\How cute!\It's a limited edition, you can't get them anywhere anymore.\OOOh... response:	And what exactly is up with YOUR case, Mitsuba?
context: Yabe-sensei's being a sicko again!\Mitsudomoe...\Look at my new Pianissimo pencil case.\My mom got it for me.\How cute!\It's a limited edition, you can't get them anywhere anymore.\OOOh...\And what exactly is up with YOUR case, Mitsuba? response:	It's made of gym clothes!
context: Mitsudomoe...\Look at my new Pianissimo pencil case.\My mom got it for me.\How cute!\It's a limited edition, you can't get them anywhere anymore.\OOOh...\And what exactly is up with YOUR case, Mitsuba?\It's made of gym clothes! response:	Hey-
context: Look at my new Pianissimo pencil case.\My mom got it for me.\How cute!\It's a limited edition, you can't get them anywhere anymore.\OOOh...\And what exactly is up with YOUR case, Mitsuba?\It's made of gym clothes!\Hey- response:	Pretty lame.
