context: Have you lost sight of your pride as a Saiyan, response:	the mightiest warriors in the universe, Kakarrot!?
context: What does that mean?\What is this? What is this guy saying?\Kakarrot! What is with the condition of this planet!?\You were supposed to have been under orders to dispose of humanity!\What the hell have you been goofing around for?\Now look here, you. I don't know who you are or where you're from,\but go on back, go on back!\Shoo, shoo! You know, response:	it won't do for you to be out drunk this early in the afternoon.
context: What is this? What is this guy saying?\Kakarrot! What is with the condition of this planet!?\You were supposed to have been under orders to dispose of humanity!\What the hell have you been goofing around for?\Now look here, you. I don't know who you are or where you're from,\but go on back, go on back!\Shoo, shoo! You know,\it won't do for you to be out drunk this early in the afternoon. response:	Go on back, go on back.
context: Kakarrot! What is with the condition of this planet!?\You were supposed to have been under orders to dispose of humanity!\What the hell have you been goofing around for?\Now look here, you. I don't know who you are or where you're from,\but go on back, go on back!\Shoo, shoo! You know,\it won't do for you to be out drunk this early in the afternoon.\Go on back, go on back. response:	Kuririn! Don't get close to him!
context: You were supposed to have been under orders to dispose of humanity!\What the hell have you been goofing around for?\Now look here, you. I don't know who you are or where you're from,\but go on back, go on back!\Shoo, shoo! You know,\it won't do for you to be out drunk this early in the afternoon.\Go on back, go on back.\Kuririn! Don't get close to him! response:	Kuririn!
context: What the hell have you been goofing around for?\Now look here, you. I don't know who you are or where you're from,\but go on back, go on back!\Shoo, shoo! You know,\it won't do for you to be out drunk this early in the afternoon.\Go on back, go on back.\Kuririn! Don't get close to him!\Kuririn! response:	Why, you-!
context: Now look here, you. I don't know who you are or where you're from,\but go on back, go on back!\Shoo, shoo! You know,\it won't do for you to be out drunk this early in the afternoon.\Go on back, go on back.\Kuririn! Don't get close to him!\Kuririn!\Why, you-! response:	A- a tail! This guy has a tail!
context: but go on back, go on back!\Shoo, shoo! You know,\it won't do for you to be out drunk this early in the afternoon.\Go on back, go on back.\Kuririn! Don't get close to him!\Kuririn!\Why, you-!\A- a tail! This guy has a tail! response:	Looks like you've finally learned my identity.
context: Shoo, shoo! You know,\it won't do for you to be out drunk this early in the afternoon.\Go on back, go on back.\Kuririn! Don't get close to him!\Kuririn!\Why, you-!\A- a tail! This guy has a tail!\Looks like you've finally learned my identity. response:	Your identity?
context: it won't do for you to be out drunk this early in the afternoon.\Go on back, go on back.\Kuririn! Don't get close to him!\Kuririn!\Why, you-!\A- a tail! This guy has a tail!\Looks like you've finally learned my identity.\Your identity? response:	What do you mean!?
context: Go on back, go on back.\Kuririn! Don't get close to him!\Kuririn!\Why, you-!\A- a tail! This guy has a tail!\Looks like you've finally learned my identity.\Your identity?\What do you mean!? response:	Over here!
context: Kuririn! Don't get close to him!\Kuririn!\Why, you-!\A- a tail! This guy has a tail!\Looks like you've finally learned my identity.\Your identity?\What do you mean!?\Over here! response:	Kakarrot!
context: Kuririn!\Why, you-!\A- a tail! This guy has a tail!\Looks like you've finally learned my identity.\Your identity?\What do you mean!?\Over here!\Kakarrot! response:	Have you even forgotten about that!?
context: Why, you-!\A- a tail! This guy has a tail!\Looks like you've finally learned my identity.\Your identity?\What do you mean!?\Over here!\Kakarrot!\Have you even forgotten about that!? response:	My name ain't that funny Kaka-whatever nonsense! It's Son Goku!
context: A- a tail! This guy has a tail!\Looks like you've finally learned my identity.\Your identity?\What do you mean!?\Over here!\Kakarrot!\Have you even forgotten about that!?\My name ain't that funny Kaka-whatever nonsense! It's Son Goku! response:	How can this be?
context: Looks like you've finally learned my identity.\Your identity?\What do you mean!?\Over here!\Kakarrot!\Have you even forgotten about that!?\My name ain't that funny Kaka-whatever nonsense! It's Son Goku!\How can this be? response:	Hey, go on, now!
context: Your identity?\What do you mean!?\Over here!\Kakarrot!\Have you even forgotten about that!?\My name ain't that funny Kaka-whatever nonsense! It's Son Goku!\How can this be?\Hey, go on, now! response:	Hey, have you ever taken any strong shocks to the head in the past?
context: What do you mean!?\Over here!\Kakarrot!\Have you even forgotten about that!?\My name ain't that funny Kaka-whatever nonsense! It's Son Goku!\How can this be?\Hey, go on, now!\Hey, have you ever taken any strong shocks to the head in the past? response:	What?
context: Over here!\Kakarrot!\Have you even forgotten about that!?\My name ain't that funny Kaka-whatever nonsense! It's Son Goku!\How can this be?\Hey, go on, now!\Hey, have you ever taken any strong shocks to the head in the past?\What? response:	Back when you were a child or sometime, did you ever hit your head hard!?
context: Kakarrot!\Have you even forgotten about that!?\My name ain't that funny Kaka-whatever nonsense! It's Son Goku!\How can this be?\Hey, go on, now!\Hey, have you ever taken any strong shocks to the head in the past?\What?\Back when you were a child or sometime, did you ever hit your head hard!? response:	Answer my question!
context: Have you even forgotten about that!?\My name ain't that funny Kaka-whatever nonsense! It's Son Goku!\How can this be?\Hey, go on, now!\Hey, have you ever taken any strong shocks to the head in the past?\What?\Back when you were a child or sometime, did you ever hit your head hard!?\Answer my question! response:	I did!
context: My name ain't that funny Kaka-whatever nonsense! It's Son Goku!\How can this be?\Hey, go on, now!\Hey, have you ever taken any strong shocks to the head in the past?\What?\Back when you were a child or sometime, did you ever hit your head hard!?\Answer my question!\I did! response:	I don't remember it, but when I was good and little, I hit my head!
context: How can this be?\Hey, go on, now!\Hey, have you ever taken any strong shocks to the head in the past?\What?\Back when you were a child or sometime, did you ever hit your head hard!?\Answer my question!\I did!\I don't remember it, but when I was good and little, I hit my head! response:	W- what!?
context: Hey, go on, now!\Hey, have you ever taken any strong shocks to the head in the past?\What?\Back when you were a child or sometime, did you ever hit your head hard!?\Answer my question!\I did!\I don't remember it, but when I was good and little, I hit my head!\W- what!? response:	I still have the scar, even now.
context: Hey, have you ever taken any strong shocks to the head in the past?\What?\Back when you were a child or sometime, did you ever hit your head hard!?\Answer my question!\I did!\I don't remember it, but when I was good and little, I hit my head!\W- what!?\I still have the scar, even now. response:	So that's it after all, huh?
context: What?\Back when you were a child or sometime, did you ever hit your head hard!?\Answer my question!\I did!\I don't remember it, but when I was good and little, I hit my head!\W- what!?\I still have the scar, even now.\So that's it after all, huh? response:	But what does that have to do with anything!?
context: Back when you were a child or sometime, did you ever hit your head hard!?\Answer my question!\I did!\I don't remember it, but when I was good and little, I hit my head!\W- what!?\I still have the scar, even now.\So that's it after all, huh?\But what does that have to do with anything!? response:	Goku!
context: Answer my question!\I did!\I don't remember it, but when I was good and little, I hit my head!\W- what!?\I still have the scar, even now.\So that's it after all, huh?\But what does that have to do with anything!?\Goku! response:	Long ago, your grandfather, Son Gohan, told me something.
context: I did!\I don't remember it, but when I was good and little, I hit my head!\W- what!?\I still have the scar, even now.\So that's it after all, huh?\But what does that have to do with anything!?\Goku!\Long ago, your grandfather, Son Gohan, told me something. response:	One day, deep in a valley, he found something unusual,
context: I don't remember it, but when I was good and little, I hit my head!\W- what!?\I still have the scar, even now.\So that's it after all, huh?\But what does that have to do with anything!?\Goku!\Long ago, your grandfather, Son Gohan, told me something.\One day, deep in a valley, he found something unusual, response:	like it had fallen from the sky.
context: W- what!?\I still have the scar, even now.\So that's it after all, huh?\But what does that have to do with anything!?\Goku!\Long ago, your grandfather, Son Gohan, told me something.\One day, deep in a valley, he found something unusual,\like it had fallen from the sky. response:	When he got closer and looked at it, there was a round capsule,
context: I still have the scar, even now.\So that's it after all, huh?\But what does that have to do with anything!?\Goku!\Long ago, your grandfather, Son Gohan, told me something.\One day, deep in a valley, he found something unusual,\like it had fallen from the sky.\When he got closer and looked at it, there was a round capsule, response:	and inside it was a baby that had a tail.
context: So that's it after all, huh?\But what does that have to do with anything!?\Goku!\Long ago, your grandfather, Son Gohan, told me something.\One day, deep in a valley, he found something unusual,\like it had fallen from the sky.\When he got closer and looked at it, there was a round capsule,\and inside it was a baby that had a tail. response:	He took him home, and tried to raise him...
context: But what does that have to do with anything!?\Goku!\Long ago, your grandfather, Son Gohan, told me something.\One day, deep in a valley, he found something unusual,\like it had fallen from the sky.\When he got closer and looked at it, there was a round capsule,\and inside it was a baby that had a tail.\He took him home, and tried to raise him... response:	and he was utterly at his wit's end over him.
context: Goku!\Long ago, your grandfather, Son Gohan, told me something.\One day, deep in a valley, he found something unusual,\like it had fallen from the sky.\When he got closer and looked at it, there was a round capsule,\and inside it was a baby that had a tail.\He took him home, and tried to raise him...\and he was utterly at his wit's end over him. response:	But then, one day, he fell into a ravine by accident...
context: Long ago, your grandfather, Son Gohan, told me something.\One day, deep in a valley, he found something unusual,\like it had fallen from the sky.\When he got closer and looked at it, there was a round capsule,\and inside it was a baby that had a tail.\He took him home, and tried to raise him...\and he was utterly at his wit's end over him.\But then, one day, he fell into a ravine by accident... response:	having an unbelievable life force, the baby apparently survived.
context: One day, deep in a valley, he found something unusual,\like it had fallen from the sky.\When he got closer and looked at it, there was a round capsule,\and inside it was a baby that had a tail.\He took him home, and tried to raise him...\and he was utterly at his wit's end over him.\But then, one day, he fell into a ravine by accident...\having an unbelievable life force, the baby apparently survived. response:	What's more, afterward, his violent nature disappeared,
context: like it had fallen from the sky.\When he got closer and looked at it, there was a round capsule,\and inside it was a baby that had a tail.\He took him home, and tried to raise him...\and he was utterly at his wit's end over him.\But then, one day, he fell into a ravine by accident...\having an unbelievable life force, the baby apparently survived.\What's more, afterward, his violent nature disappeared, response:	and he became a good little boy.
context: When he got closer and looked at it, there was a round capsule,\and inside it was a baby that had a tail.\He took him home, and tried to raise him...\and he was utterly at his wit's end over him.\But then, one day, he fell into a ravine by accident...\having an unbelievable life force, the baby apparently survived.\What's more, afterward, his violent nature disappeared,\and he became a good little boy. response:	T- that was me?
context: and inside it was a baby that had a tail.\He took him home, and tried to raise him...\and he was utterly at his wit's end over him.\But then, one day, he fell into a ravine by accident...\having an unbelievable life force, the baby apparently survived.\What's more, afterward, his violent nature disappeared,\and he became a good little boy.\T- that was me? response:	Mm-hmm.
context: He took him home, and tried to raise him...\and he was utterly at his wit's end over him.\But then, one day, he fell into a ravine by accident...\having an unbelievable life force, the baby apparently survived.\What's more, afterward, his violent nature disappeared,\and he became a good little boy.\T- that was me?\Mm-hmm. response:	S- so then, what does that mean?
context: and he was utterly at his wit's end over him.\But then, one day, he fell into a ravine by accident...\having an unbelievable life force, the baby apparently survived.\What's more, afterward, his violent nature disappeared,\and he became a good little boy.\T- that was me?\Mm-hmm.\S- so then, what does that mean? response:	Does this guy and Son- kun have some kind of connection?
context: But then, one day, he fell into a ravine by accident...\having an unbelievable life force, the baby apparently survived.\What's more, afterward, his violent nature disappeared,\and he became a good little boy.\T- that was me?\Mm-hmm.\S- so then, what does that mean?\Does this guy and Son- kun have some kind of connection? response:	Hey, who the hell are you!? Tell me who you are!
context: having an unbelievable life force, the baby apparently survived.\What's more, afterward, his violent nature disappeared,\and he became a good little boy.\T- that was me?\Mm-hmm.\S- so then, what does that mean?\Does this guy and Son- kun have some kind of connection?\Hey, who the hell are you!? Tell me who you are! response:	You're being one difficult bastard, forgetting everything like this!
context: What's more, afterward, his violent nature disappeared,\and he became a good little boy.\T- that was me?\Mm-hmm.\S- so then, what does that mean?\Does this guy and Son- kun have some kind of connection?\Hey, who the hell are you!? Tell me who you are!\You're being one difficult bastard, forgetting everything like this! response:	Fine. I'll remind you, then.
context: and he became a good little boy.\T- that was me?\Mm-hmm.\S- so then, what does that mean?\Does this guy and Son- kun have some kind of connection?\Hey, who the hell are you!? Tell me who you are!\You're being one difficult bastard, forgetting everything like this!\Fine. I'll remind you, then. response:	From here on, I'll have a lot of work for you to do for me, after all...
context: T- that was me?\Mm-hmm.\S- so then, what does that mean?\Does this guy and Son- kun have some kind of connection?\Hey, who the hell are you!? Tell me who you are!\You're being one difficult bastard, forgetting everything like this!\Fine. I'll remind you, then.\From here on, I'll have a lot of work for you to do for me, after all... response:	Are you okay, Kuririn?
context: Mm-hmm.\S- so then, what does that mean?\Does this guy and Son- kun have some kind of connection?\Hey, who the hell are you!? Tell me who you are!\You're being one difficult bastard, forgetting everything like this!\Fine. I'll remind you, then.\From here on, I'll have a lot of work for you to do for me, after all...\Are you okay, Kuririn? response:	Be careful, Goku! That's no ordinary guy!
context: S- so then, what does that mean?\Does this guy and Son- kun have some kind of connection?\Hey, who the hell are you!? Tell me who you are!\You're being one difficult bastard, forgetting everything like this!\Fine. I'll remind you, then.\From here on, I'll have a lot of work for you to do for me, after all...\Are you okay, Kuririn?\Be careful, Goku! That's no ordinary guy! response:	Mm-hmm, so it would appear.
context: Does this guy and Son- kun have some kind of connection?\Hey, who the hell are you!? Tell me who you are!\You're being one difficult bastard, forgetting everything like this!\Fine. I'll remind you, then.\From here on, I'll have a lot of work for you to do for me, after all...\Are you okay, Kuririn?\Be careful, Goku! That's no ordinary guy!\Mm-hmm, so it would appear. response:	To be honest,
context: Hey, who the hell are you!? Tell me who you are!\You're being one difficult bastard, forgetting everything like this!\Fine. I'll remind you, then.\From here on, I'll have a lot of work for you to do for me, after all...\Are you okay, Kuririn?\Be careful, Goku! That's no ordinary guy!\Mm-hmm, so it would appear.\To be honest, response:	just us standing here looking at each other like this has got me scared!
context: You're being one difficult bastard, forgetting everything like this!\Fine. I'll remind you, then.\From here on, I'll have a lot of work for you to do for me, after all...\Are you okay, Kuririn?\Be careful, Goku! That's no ordinary guy!\Mm-hmm, so it would appear.\To be honest,\just us standing here looking at each other like this has got me scared! response:	This has never happened to me before!
context: Fine. I'll remind you, then.\From here on, I'll have a lot of work for you to do for me, after all...\Are you okay, Kuririn?\Be careful, Goku! That's no ordinary guy!\Mm-hmm, so it would appear.\To be honest,\just us standing here looking at each other like this has got me scared!\This has never happened to me before! response:	I'll tell you, then. You are not a human from this planet.
context: From here on, I'll have a lot of work for you to do for me, after all...\Are you okay, Kuririn?\Be careful, Goku! That's no ordinary guy!\Mm-hmm, so it would appear.\To be honest,\just us standing here looking at each other like this has got me scared!\This has never happened to me before!\I'll tell you, then. You are not a human from this planet. response:	You were born on Planet Vegeta.
context: Are you okay, Kuririn?\Be careful, Goku! That's no ordinary guy!\Mm-hmm, so it would appear.\To be honest,\just us standing here looking at each other like this has got me scared!\This has never happened to me before!\I'll tell you, then. You are not a human from this planet.\You were born on Planet Vegeta. response:	You are a proud Saiyan, the mightiest warrior race in the universe!
context: Be careful, Goku! That's no ordinary guy!\Mm-hmm, so it would appear.\To be honest,\just us standing here looking at each other like this has got me scared!\This has never happened to me before!\I'll tell you, then. You are not a human from this planet.\You were born on Planet Vegeta.\You are a proud Saiyan, the mightiest warrior race in the universe! response:	The universe?
context: Mm-hmm, so it would appear.\To be honest,\just us standing here looking at each other like this has got me scared!\This has never happened to me before!\I'll tell you, then. You are not a human from this planet.\You were born on Planet Vegeta.\You are a proud Saiyan, the mightiest warrior race in the universe!\The universe? response:	Warriors?
context: To be honest,\just us standing here looking at each other like this has got me scared!\This has never happened to me before!\I'll tell you, then. You are not a human from this planet.\You were born on Planet Vegeta.\You are a proud Saiyan, the mightiest warrior race in the universe!\The universe?\Warriors? response:	Saiyan?
context: just us standing here looking at each other like this has got me scared!\This has never happened to me before!\I'll tell you, then. You are not a human from this planet.\You were born on Planet Vegeta.\You are a proud Saiyan, the mightiest warrior race in the universe!\The universe?\Warriors?\Saiyan? response:	And I am your older brother, Raditz!
context: This has never happened to me before!\I'll tell you, then. You are not a human from this planet.\You were born on Planet Vegeta.\You are a proud Saiyan, the mightiest warrior race in the universe!\The universe?\Warriors?\Saiyan?\And I am your older brother, Raditz! response:	G- Goku's older brother!?
context: I'll tell you, then. You are not a human from this planet.\You were born on Planet Vegeta.\You are a proud Saiyan, the mightiest warrior race in the universe!\The universe?\Warriors?\Saiyan?\And I am your older brother, Raditz!\G- Goku's older brother!? response:	B- brothers!? You're kidding!
context: You were born on Planet Vegeta.\You are a proud Saiyan, the mightiest warrior race in the universe!\The universe?\Warriors?\Saiyan?\And I am your older brother, Raditz!\G- Goku's older brother!?\B- brothers!? You're kidding! response:	Stop talking nonsense!
context: You are a proud Saiyan, the mightiest warrior race in the universe!\The universe?\Warriors?\Saiyan?\And I am your older brother, Raditz!\G- Goku's older brother!?\B- brothers!? You're kidding!\Stop talking nonsense! response:	R- right! If Goku is from outer space, then what is he doing on Earth!?
context: The universe?\Warriors?\Saiyan?\And I am your older brother, Raditz!\G- Goku's older brother!?\B- brothers!? You're kidding!\Stop talking nonsense!\R- right! If Goku is from outer space, then what is he doing on Earth!? response:	The answer is simple. Kakarrot, you were sent here
context: Warriors?\Saiyan?\And I am your older brother, Raditz!\G- Goku's older brother!?\B- brothers!? You're kidding!\Stop talking nonsense!\R- right! If Goku is from outer space, then what is he doing on Earth!?\The answer is simple. Kakarrot, you were sent here response:	to exterminate the bothersome humans that live on this planet!
context: Saiyan?\And I am your older brother, Raditz!\G- Goku's older brother!?\B- brothers!? You're kidding!\Stop talking nonsense!\R- right! If Goku is from outer space, then what is he doing on Earth!?\The answer is simple. Kakarrot, you were sent here\to exterminate the bothersome humans that live on this planet! response:	I was what!?
context: And I am your older brother, Raditz!\G- Goku's older brother!?\B- brothers!? You're kidding!\Stop talking nonsense!\R- right! If Goku is from outer space, then what is he doing on Earth!?\The answer is simple. Kakarrot, you were sent here\to exterminate the bothersome humans that live on this planet!\I was what!? response:	We Saiyans are a renowned warrior race!
context: G- Goku's older brother!?\B- brothers!? You're kidding!\Stop talking nonsense!\R- right! If Goku is from outer space, then what is he doing on Earth!?\The answer is simple. Kakarrot, you were sent here\to exterminate the bothersome humans that live on this planet!\I was what!?\We Saiyans are a renowned warrior race! response:	Our task is to go through space,
context: B- brothers!? You're kidding!\Stop talking nonsense!\R- right! If Goku is from outer space, then what is he doing on Earth!?\The answer is simple. Kakarrot, you were sent here\to exterminate the bothersome humans that live on this planet!\I was what!?\We Saiyans are a renowned warrior race!\Our task is to go through space, response:	searching for planets with good environments,
context: Stop talking nonsense!\R- right! If Goku is from outer space, then what is he doing on Earth!?\The answer is simple. Kakarrot, you were sent here\to exterminate the bothersome humans that live on this planet!\I was what!?\We Saiyans are a renowned warrior race!\Our task is to go through space,\searching for planets with good environments, response:	and once we've exterminated those who already live there,
context: R- right! If Goku is from outer space, then what is he doing on Earth!?\The answer is simple. Kakarrot, you were sent here\to exterminate the bothersome humans that live on this planet!\I was what!?\We Saiyans are a renowned warrior race!\Our task is to go through space,\searching for planets with good environments,\and once we've exterminated those who already live there, response:	we sell them for a high price to aliens who are looking for a suitable planet.
context: The answer is simple. Kakarrot, you were sent here\to exterminate the bothersome humans that live on this planet!\I was what!?\We Saiyans are a renowned warrior race!\Our task is to go through space,\searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet. response:	Adult warriors embark directly upon planets
context: to exterminate the bothersome humans that live on this planet!\I was what!?\We Saiyans are a renowned warrior race!\Our task is to go through space,\searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\Adult warriors embark directly upon planets response:	where those with a higher battle power live.
context: I was what!?\We Saiyans are a renowned warrior race!\Our task is to go through space,\searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\Adult warriors embark directly upon planets\where those with a higher battle power live. response:	But to planets like this one, which have a lower level,
context: We Saiyans are a renowned warrior race!\Our task is to go through space,\searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\Adult warriors embark directly upon planets\where those with a higher battle power live.\But to planets like this one, which have a lower level, response:	we send babies like you.
context: Our task is to go through space,\searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\Adult warriors embark directly upon planets\where those with a higher battle power live.\But to planets like this one, which have a lower level,\we send babies like you. response:	I- if that's the truth, then you guys are awful!
context: searching for planets with good environments,\and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\Adult warriors embark directly upon planets\where those with a higher battle power live.\But to planets like this one, which have a lower level,\we send babies like you.\I- if that's the truth, then you guys are awful! response:	That's crazy! You even make Piccolo look lovable!
context: and once we've exterminated those who already live there,\we sell them for a high price to aliens who are looking for a suitable planet.\Adult warriors embark directly upon planets\where those with a higher battle power live.\But to planets like this one, which have a lower level,\we send babies like you.\I- if that's the truth, then you guys are awful!\That's crazy! You even make Piccolo look lovable! response:	How can you send babies off on their own!?
context: we sell them for a high price to aliens who are looking for a suitable planet.\Adult warriors embark directly upon planets\where those with a higher battle power live.\But to planets like this one, which have a lower level,\we send babies like you.\I- if that's the truth, then you guys are awful!\That's crazy! You even make Piccolo look lovable!\How can you send babies off on their own!? response:	Kakarrot,
context: Adult warriors embark directly upon planets\where those with a higher battle power live.\But to planets like this one, which have a lower level,\we send babies like you.\I- if that's the truth, then you guys are awful!\That's crazy! You even make Piccolo look lovable!\How can you send babies off on their own!?\Kakarrot, response:	given several years,
context: where those with a higher battle power live.\But to planets like this one, which have a lower level,\we send babies like you.\I- if that's the truth, then you guys are awful!\That's crazy! You even make Piccolo look lovable!\How can you send babies off on their own!?\Kakarrot,\given several years, response:	you should have had plenty of time to purge these nuisances all by yourself!
context: But to planets like this one, which have a lower level,\we send babies like you.\I- if that's the truth, then you guys are awful!\That's crazy! You even make Piccolo look lovable!\How can you send babies off on their own!?\Kakarrot,\given several years,\you should have had plenty of time to purge these nuisances all by yourself! response:	If only you had remembered your orders, that is.
context: we send babies like you.\I- if that's the truth, then you guys are awful!\That's crazy! You even make Piccolo look lovable!\How can you send babies off on their own!?\Kakarrot,\given several years,\you should have had plenty of time to purge these nuisances all by yourself!\If only you had remembered your orders, that is. response:	Luckily, this planet has a moon, as well.
context: I- if that's the truth, then you guys are awful!\That's crazy! You even make Piccolo look lovable!\How can you send babies off on their own!?\Kakarrot,\given several years,\you should have had plenty of time to purge these nuisances all by yourself!\If only you had remembered your orders, that is.\Luckily, this planet has a moon, as well. response:	Hey, why is it so lucky that there's a moon here?
context: That's crazy! You even make Piccolo look lovable!\How can you send babies off on their own!?\Kakarrot,\given several years,\you should have had plenty of time to purge these nuisances all by yourself!\If only you had remembered your orders, that is.\Luckily, this planet has a moon, as well.\Hey, why is it so lucky that there's a moon here? response:	Don't play stupid! It is when the moon is at its fullest
context: How can you send babies off on their own!?\Kakarrot,\given several years,\you should have had plenty of time to purge these nuisances all by yourself!\If only you had remembered your orders, that is.\Luckily, this planet has a moon, as well.\Hey, why is it so lucky that there's a moon here?\Don't play stupid! It is when the moon is at its fullest response:	that we Saiyans are at our best, you know!
context: Kakarrot,\given several years,\you should have had plenty of time to purge these nuisances all by yourself!\If only you had remembered your orders, that is.\Luckily, this planet has a moon, as well.\Hey, why is it so lucky that there's a moon here?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know! response:	What are you talking about?
context: given several years,\you should have had plenty of time to purge these nuisances all by yourself!\If only you had remembered your orders, that is.\Luckily, this planet has a moon, as well.\Hey, why is it so lucky that there's a moon here?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\What are you talking about? response:	I don't understand what you mean at all!
context: you should have had plenty of time to purge these nuisances all by yourself!\If only you had remembered your orders, that is.\Luckily, this planet has a moon, as well.\Hey, why is it so lucky that there's a moon here?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\What are you talking about?\I don't understand what you mean at all! response:	What?
context: If only you had remembered your orders, that is.\Luckily, this planet has a moon, as well.\Hey, why is it so lucky that there's a moon here?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\What are you talking about?\I don't understand what you mean at all!\What? response:	I- it can't be... Where's your tail?
context: Luckily, this planet has a moon, as well.\Hey, why is it so lucky that there's a moon here?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\What are you talking about?\I don't understand what you mean at all!\What?\I- it can't be... Where's your tail? response:	What happened to your tail!?
context: Hey, why is it so lucky that there's a moon here?\Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\What are you talking about?\I don't understand what you mean at all!\What?\I- it can't be... Where's your tail?\What happened to your tail!? response:	It got cut off and disappeared long ago!
context: Don't play stupid! It is when the moon is at its fullest\that we Saiyans are at our best, you know!\What are you talking about?\I don't understand what you mean at all!\What?\I- it can't be... Where's your tail?\What happened to your tail!?\It got cut off and disappeared long ago! response:	H- how can this be? You miserable fool!
context: that we Saiyans are at our best, you know!\What are you talking about?\I don't understand what you mean at all!\What?\I- it can't be... Where's your tail?\What happened to your tail!?\It got cut off and disappeared long ago!\H- how can this be? You miserable fool! response:	It's no wonder you were able to get along with the beings on this planet!
context: What are you talking about?\I don't understand what you mean at all!\What?\I- it can't be... Where's your tail?\What happened to your tail!?\It got cut off and disappeared long ago!\H- how can this be? You miserable fool!\It's no wonder you were able to get along with the beings on this planet! response:	Enough!
context: I don't understand what you mean at all!\What?\I- it can't be... Where's your tail?\What happened to your tail!?\It got cut off and disappeared long ago!\H- how can this be? You miserable fool!\It's no wonder you were able to get along with the beings on this planet!\Enough! response:	It doesn't matter if I am some whatever-you-call-it guy
context: What?\I- it can't be... Where's your tail?\What happened to your tail!?\It got cut off and disappeared long ago!\H- how can this be? You miserable fool!\It's no wonder you were able to get along with the beings on this planet!\Enough!\It doesn't matter if I am some whatever-you-call-it guy response:	from another planet, or if you are my big brother!
context: I- it can't be... Where's your tail?\What happened to your tail!?\It got cut off and disappeared long ago!\H- how can this be? You miserable fool!\It's no wonder you were able to get along with the beings on this planet!\Enough!\It doesn't matter if I am some whatever-you-call-it guy\from another planet, or if you are my big brother! response:	Kuririn is right! Anyone like that is a lowlife!
context: What happened to your tail!?\It got cut off and disappeared long ago!\H- how can this be? You miserable fool!\It's no wonder you were able to get along with the beings on this planet!\Enough!\It doesn't matter if I am some whatever-you-call-it guy\from another planet, or if you are my big brother!\Kuririn is right! Anyone like that is a lowlife! response:	I am Son Goku, and I was raised here! Now get out of here right now!
context: It got cut off and disappeared long ago!\H- how can this be? You miserable fool!\It's no wonder you were able to get along with the beings on this planet!\Enough!\It doesn't matter if I am some whatever-you-call-it guy\from another planet, or if you are my big brother!\Kuririn is right! Anyone like that is a lowlife!\I am Son Goku, and I was raised here! Now get out of here right now! response:	Right! Right!
context: H- how can this be? You miserable fool!\It's no wonder you were able to get along with the beings on this planet!\Enough!\It doesn't matter if I am some whatever-you-call-it guy\from another planet, or if you are my big brother!\Kuririn is right! Anyone like that is a lowlife!\I am Son Goku, and I was raised here! Now get out of here right now!\Right! Right! response:	Like he said! Whatever his past may be,
context: It's no wonder you were able to get along with the beings on this planet!\Enough!\It doesn't matter if I am some whatever-you-call-it guy\from another planet, or if you are my big brother!\Kuririn is right! Anyone like that is a lowlife!\I am Son Goku, and I was raised here! Now get out of here right now!\Right! Right!\Like he said! Whatever his past may be, response:	right now, Son Goku is a fine Earthling, more so than anyone else!
context: Enough!\It doesn't matter if I am some whatever-you-call-it guy\from another planet, or if you are my big brother!\Kuririn is right! Anyone like that is a lowlife!\I am Son Goku, and I was raised here! Now get out of here right now!\Right! Right!\Like he said! Whatever his past may be,\right now, Son Goku is a fine Earthling, more so than anyone else! response:	Goku has even saved the world! Get lost! Get lost!
context: It doesn't matter if I am some whatever-you-call-it guy\from another planet, or if you are my big brother!\Kuririn is right! Anyone like that is a lowlife!\I am Son Goku, and I was raised here! Now get out of here right now!\Right! Right!\Like he said! Whatever his past may be,\right now, Son Goku is a fine Earthling, more so than anyone else!\Goku has even saved the world! Get lost! Get lost! response:	Even so, I cannot allow this to be.
context: from another planet, or if you are my big brother!\Kuririn is right! Anyone like that is a lowlife!\I am Son Goku, and I was raised here! Now get out of here right now!\Right! Right!\Like he said! Whatever his past may be,\right now, Son Goku is a fine Earthling, more so than anyone else!\Goku has even saved the world! Get lost! Get lost!\Even so, I cannot allow this to be. response:	The Saiyans have always been a race few in numbers,
