context: The Rising of the Shield Hero response:	The Savior of the Heavenly Fowl
context: No, me!\What am I gonna do with them?\Bio Plant Shield\Plant Modification?\What are you doing?\I unlocked a skill called Plant Modification, so I tried a little experiment.\We just barely took down that monster, so please don't be so reckless.\Thank you so much, Our Savior... No, Shield Hero! response:	I exterminated the monsters.
context: What am I gonna do with them?\Bio Plant Shield\Plant Modification?\What are you doing?\I unlocked a skill called Plant Modification, so I tried a little experiment.\We just barely took down that monster, so please don't be so reckless.\Thank you so much, Our Savior... No, Shield Hero!\I exterminated the monsters. response:	You guys clean up the withered vines yourselves.
context: Bio Plant Shield\Plant Modification?\What are you doing?\I unlocked a skill called Plant Modification, so I tried a little experiment.\We just barely took down that monster, so please don't be so reckless.\Thank you so much, Our Savior... No, Shield Hero!\I exterminated the monsters.\You guys clean up the withered vines yourselves. response:	R-Right...
context: Plant Modification?\What are you doing?\I unlocked a skill called Plant Modification, so I tried a little experiment.\We just barely took down that monster, so please don't be so reckless.\Thank you so much, Our Savior... No, Shield Hero!\I exterminated the monsters.\You guys clean up the withered vines yourselves.\R-Right... response:	I'm tired. I'm going to sleep.
context: What are you doing?\I unlocked a skill called Plant Modification, so I tried a little experiment.\We just barely took down that monster, so please don't be so reckless.\Thank you so much, Our Savior... No, Shield Hero!\I exterminated the monsters.\You guys clean up the withered vines yourselves.\R-Right...\I'm tired. I'm going to sleep. response:	Oh, sure.
context: I unlocked a skill called Plant Modification, so I tried a little experiment.\We just barely took down that monster, so please don't be so reckless.\Thank you so much, Our Savior... No, Shield Hero!\I exterminated the monsters.\You guys clean up the withered vines yourselves.\R-Right...\I'm tired. I'm going to sleep.\Oh, sure. response:	Here you go.
context: We just barely took down that monster, so please don't be so reckless.\Thank you so much, Our Savior... No, Shield Hero!\I exterminated the monsters.\You guys clean up the withered vines yourselves.\R-Right...\I'm tired. I'm going to sleep.\Oh, sure.\Here you go. response:	Thank you.
context: Thank you so much, Our Savior... No, Shield Hero!\I exterminated the monsters.\You guys clean up the withered vines yourselves.\R-Right...\I'm tired. I'm going to sleep.\Oh, sure.\Here you go.\Thank you. response:	It's hard to get a read on the Shield Hero, isn't it?
context: I exterminated the monsters.\You guys clean up the withered vines yourselves.\R-Right...\I'm tired. I'm going to sleep.\Oh, sure.\Here you go.\Thank you.\It's hard to get a read on the Shield Hero, isn't it? response:	Yes.
context: You guys clean up the withered vines yourselves.\R-Right...\I'm tired. I'm going to sleep.\Oh, sure.\Here you go.\Thank you.\It's hard to get a read on the Shield Hero, isn't it?\Yes. response:	He's so quiet and cool, isn't he?
context: R-Right...\I'm tired. I'm going to sleep.\Oh, sure.\Here you go.\Thank you.\It's hard to get a read on the Shield Hero, isn't it?\Yes.\He's so quiet and cool, isn't he? response:	U-Uh... right.
context: I'm tired. I'm going to sleep.\Oh, sure.\Here you go.\Thank you.\It's hard to get a read on the Shield Hero, isn't it?\Yes.\He's so quiet and cool, isn't he?\U-Uh... right. response:	Plant Analysis Skill Unlocked
context: Oh, sure.\Here you go.\Thank you.\It's hard to get a read on the Shield Hero, isn't it?\Yes.\He's so quiet and cool, isn't he?\U-Uh... right.\Plant Analysis Skill Unlocked response:	Bio Plant Seed
context: Here you go.\Thank you.\It's hard to get a read on the Shield Hero, isn't it?\Yes.\He's so quiet and cool, isn't he?\U-Uh... right.\Plant Analysis Skill Unlocked\Bio Plant Seed response:	I guess that'll do it.
context: Thank you.\It's hard to get a read on the Shield Hero, isn't it?\Yes.\He's so quiet and cool, isn't he?\U-Uh... right.\Plant Analysis Skill Unlocked\Bio Plant Seed\I guess that'll do it. response:	Naofumi-sama?
context: It's hard to get a read on the Shield Hero, isn't it?\Yes.\He's so quiet and cool, isn't he?\U-Uh... right.\Plant Analysis Skill Unlocked\Bio Plant Seed\I guess that'll do it.\Naofumi-sama? response:	You can sleep some more.
context: Yes.\He's so quiet and cool, isn't he?\U-Uh... right.\Plant Analysis Skill Unlocked\Bio Plant Seed\I guess that'll do it.\Naofumi-sama?\You can sleep some more. response:	No, it's fine.
context: He's so quiet and cool, isn't he?\U-Uh... right.\Plant Analysis Skill Unlocked\Bio Plant Seed\I guess that'll do it.\Naofumi-sama?\You can sleep some more.\No, it's fine. response:	Is that a seed from yesterday?
context: U-Uh... right.\Plant Analysis Skill Unlocked\Bio Plant Seed\I guess that'll do it.\Naofumi-sama?\You can sleep some more.\No, it's fine.\Is that a seed from yesterday? response:	Wait and watch.
context: Plant Analysis Skill Unlocked\Bio Plant Seed\I guess that'll do it.\Naofumi-sama?\You can sleep some more.\No, it's fine.\Is that a seed from yesterday?\Wait and watch. response:	Like I said, please don't take such risks...
context: Bio Plant Seed\I guess that'll do it.\Naofumi-sama?\You can sleep some more.\No, it's fine.\Is that a seed from yesterday?\Wait and watch.\Like I said, please don't take such risks... response:	It worked.
context: I guess that'll do it.\Naofumi-sama?\You can sleep some more.\No, it's fine.\Is that a seed from yesterday?\Wait and watch.\Like I said, please don't take such risks...\It worked. response:	Those look yummy!
context: Naofumi-sama?\You can sleep some more.\No, it's fine.\Is that a seed from yesterday?\Wait and watch.\Like I said, please don't take such risks...\It worked.\Those look yummy! response:	I curbed their breeding and mutation potential,
context: You can sleep some more.\No, it's fine.\Is that a seed from yesterday?\Wait and watch.\Like I said, please don't take such risks...\It worked.\Those look yummy!\I curbed their breeding and mutation potential, response:	then increased their growth and productivity.
context: No, it's fine.\Is that a seed from yesterday?\Wait and watch.\Like I said, please don't take such risks...\It worked.\Those look yummy!\I curbed their breeding and mutation potential,\then increased their growth and productivity. response:	With this, they should bear lots of edible fruit without turning into monsters.
context: Is that a seed from yesterday?\Wait and watch.\Like I said, please don't take such risks...\It worked.\Those look yummy!\I curbed their breeding and mutation potential,\then increased their growth and productivity.\With this, they should bear lots of edible fruit without turning into monsters. response:	Wow.
context: Wait and watch.\Like I said, please don't take such risks...\It worked.\Those look yummy!\I curbed their breeding and mutation potential,\then increased their growth and productivity.\With this, they should bear lots of edible fruit without turning into monsters.\Wow. response:	The village will never have to worry about famine again.
context: Like I said, please don't take such risks...\It worked.\Those look yummy!\I curbed their breeding and mutation potential,\then increased their growth and productivity.\With this, they should bear lots of edible fruit without turning into monsters.\Wow.\The village will never have to worry about famine again. response:	Thank you so much, Sir Hero!
context: It worked.\Those look yummy!\I curbed their breeding and mutation potential,\then increased their growth and productivity.\With this, they should bear lots of edible fruit without turning into monsters.\Wow.\The village will never have to worry about famine again.\Thank you so much, Sir Hero! response:	Not only did you save us from danger,
context: Those look yummy!\I curbed their breeding and mutation potential,\then increased their growth and productivity.\With this, they should bear lots of edible fruit without turning into monsters.\Wow.\The village will never have to worry about famine again.\Thank you so much, Sir Hero!\Not only did you save us from danger, response:	you're giving us such a wonderful gift!
context: I curbed their breeding and mutation potential,\then increased their growth and productivity.\With this, they should bear lots of edible fruit without turning into monsters.\Wow.\The village will never have to worry about famine again.\Thank you so much, Sir Hero!\Not only did you save us from danger,\you're giving us such a wonderful gift! response:	Who said anything about giving it to you?
context: then increased their growth and productivity.\With this, they should bear lots of edible fruit without turning into monsters.\Wow.\The village will never have to worry about famine again.\Thank you so much, Sir Hero!\Not only did you save us from danger,\you're giving us such a wonderful gift!\Who said anything about giving it to you? response:	Let's cut a deal.
context: With this, they should bear lots of edible fruit without turning into monsters.\Wow.\The village will never have to worry about famine again.\Thank you so much, Sir Hero!\Not only did you save us from danger,\you're giving us such a wonderful gift!\Who said anything about giving it to you?\Let's cut a deal. response:	I'll sell you these seeds.
context: Wow.\The village will never have to worry about famine again.\Thank you so much, Sir Hero!\Not only did you save us from danger,\you're giving us such a wonderful gift!\Who said anything about giving it to you?\Let's cut a deal.\I'll sell you these seeds. response:	For the right price, of course.
context: The village will never have to worry about famine again.\Thank you so much, Sir Hero!\Not only did you save us from danger,\you're giving us such a wonderful gift!\Who said anything about giving it to you?\Let's cut a deal.\I'll sell you these seeds.\For the right price, of course. response:	You're too greedy, Naofumi-sama.
context: Thank you so much, Sir Hero!\Not only did you save us from danger,\you're giving us such a wonderful gift!\Who said anything about giving it to you?\Let's cut a deal.\I'll sell you these seeds.\For the right price, of course.\You're too greedy, Naofumi-sama. response:	B-But we paid everything we had for the treatment and extermination.
context: Not only did you save us from danger,\you're giving us such a wonderful gift!\Who said anything about giving it to you?\Let's cut a deal.\I'll sell you these seeds.\For the right price, of course.\You're too greedy, Naofumi-sama.\B-But we paid everything we had for the treatment and extermination. response:	You can also exchange goods for them.
context: you're giving us such a wonderful gift!\Who said anything about giving it to you?\Let's cut a deal.\I'll sell you these seeds.\For the right price, of course.\You're too greedy, Naofumi-sama.\B-But we paid everything we had for the treatment and extermination.\You can also exchange goods for them. response:	What? But we have nothing left...
context: Who said anything about giving it to you?\Let's cut a deal.\I'll sell you these seeds.\For the right price, of course.\You're too greedy, Naofumi-sama.\B-But we paid everything we had for the treatment and extermination.\You can also exchange goods for them.\What? But we have nothing left... response:	This is fun!
context: Let's cut a deal.\I'll sell you these seeds.\For the right price, of course.\You're too greedy, Naofumi-sama.\B-But we paid everything we had for the treatment and extermination.\You can also exchange goods for them.\What? But we have nothing left...\This is fun! response:	Those guys are really tough-minded.
context: I'll sell you these seeds.\For the right price, of course.\You're too greedy, Naofumi-sama.\B-But we paid everything we had for the treatment and extermination.\You can also exchange goods for them.\What? But we have nothing left...\This is fun!\Those guys are really tough-minded. response:	This feels great!
context: For the right price, of course.\You're too greedy, Naofumi-sama.\B-But we paid everything we had for the treatment and extermination.\You can also exchange goods for them.\What? But we have nothing left...\This is fun!\Those guys are really tough-minded.\This feels great! response:	We have so much fruit,
context: You're too greedy, Naofumi-sama.\B-But we paid everything we had for the treatment and extermination.\You can also exchange goods for them.\What? But we have nothing left...\This is fun!\Those guys are really tough-minded.\This feels great!\We have so much fruit, response:	most of it will rot before we can eat it.
context: B-But we paid everything we had for the treatment and extermination.\You can also exchange goods for them.\What? But we have nothing left...\This is fun!\Those guys are really tough-minded.\This feels great!\We have so much fruit,\most of it will rot before we can eat it. response:	Don't worry. I know someone we can sell it to.
context: You can also exchange goods for them.\What? But we have nothing left...\This is fun!\Those guys are really tough-minded.\This feels great!\We have so much fruit,\most of it will rot before we can eat it.\Don't worry. I know someone we can sell it to. response:	This seed certainly is very impressive.
context: What? But we have nothing left...\This is fun!\Those guys are really tough-minded.\This feels great!\We have so much fruit,\most of it will rot before we can eat it.\Don't worry. I know someone we can sell it to.\This seed certainly is very impressive. response:	I'll gladly buy it all, including the produce.
context: This is fun!\Those guys are really tough-minded.\This feels great!\We have so much fruit,\most of it will rot before we can eat it.\Don't worry. I know someone we can sell it to.\This seed certainly is very impressive.\I'll gladly buy it all, including the produce. response:	We have a deal, then.
context: Those guys are really tough-minded.\This feels great!\We have so much fruit,\most of it will rot before we can eat it.\Don't worry. I know someone we can sell it to.\This seed certainly is very impressive.\I'll gladly buy it all, including the produce.\We have a deal, then. response:	You placed several attractive products in sight to create an advantage.
context: This feels great!\We have so much fruit,\most of it will rot before we can eat it.\Don't worry. I know someone we can sell it to.\This seed certainly is very impressive.\I'll gladly buy it all, including the produce.\We have a deal, then.\You placed several attractive products in sight to create an advantage. response:	You truly are a shining example of the trader's spirit!
context: We have so much fruit,\most of it will rot before we can eat it.\Don't worry. I know someone we can sell it to.\This seed certainly is very impressive.\I'll gladly buy it all, including the produce.\We have a deal, then.\You placed several attractive products in sight to create an advantage.\You truly are a shining example of the trader's spirit! response:	Is that so?
context: most of it will rot before we can eat it.\Don't worry. I know someone we can sell it to.\This seed certainly is very impressive.\I'll gladly buy it all, including the produce.\We have a deal, then.\You placed several attractive products in sight to create an advantage.\You truly are a shining example of the trader's spirit!\Is that so? response:	Oh, yes.
context: Don't worry. I know someone we can sell it to.\This seed certainly is very impressive.\I'll gladly buy it all, including the produce.\We have a deal, then.\You placed several attractive products in sight to create an advantage.\You truly are a shining example of the trader's spirit!\Is that so?\Oh, yes. response:	If you aren't busy, could I request your assistance with a job?
context: This seed certainly is very impressive.\I'll gladly buy it all, including the produce.\We have a deal, then.\You placed several attractive products in sight to create an advantage.\You truly are a shining example of the trader's spirit!\Is that so?\Oh, yes.\If you aren't busy, could I request your assistance with a job? response:	There's a hot springs town not too far away from here.
context: I'll gladly buy it all, including the produce.\We have a deal, then.\You placed several attractive products in sight to create an advantage.\You truly are a shining example of the trader's spirit!\Is that so?\Oh, yes.\If you aren't busy, could I request your assistance with a job?\There's a hot springs town not too far away from here. response:	I need you to deliver some goods to an inn there.
context: We have a deal, then.\You placed several attractive products in sight to create an advantage.\You truly are a shining example of the trader's spirit!\Is that so?\Oh, yes.\If you aren't busy, could I request your assistance with a job?\There's a hot springs town not too far away from here.\I need you to deliver some goods to an inn there. response:	Great. The order is complete.
context: You placed several attractive products in sight to create an advantage.\You truly are a shining example of the trader's spirit!\Is that so?\Oh, yes.\If you aren't busy, could I request your assistance with a job?\There's a hot springs town not too far away from here.\I need you to deliver some goods to an inn there.\Great. The order is complete. response:	See you.
context: You truly are a shining example of the trader's spirit!\Is that so?\Oh, yes.\If you aren't busy, could I request your assistance with a job?\There's a hot springs town not too far away from here.\I need you to deliver some goods to an inn there.\Great. The order is complete.\See you. response:	There are hot springs towns in this world, too?
context: Is that so?\Oh, yes.\If you aren't busy, could I request your assistance with a job?\There's a hot springs town not too far away from here.\I need you to deliver some goods to an inn there.\Great. The order is complete.\See you.\There are hot springs towns in this world, too? response:	So warm!
context: Oh, yes.\If you aren't busy, could I request your assistance with a job?\There's a hot springs town not too far away from here.\I need you to deliver some goods to an inn there.\Great. The order is complete.\See you.\There are hot springs towns in this world, too?\So warm! response:	Hey, Master.
context: If you aren't busy, could I request your assistance with a job?\There's a hot springs town not too far away from here.\I need you to deliver some goods to an inn there.\Great. The order is complete.\See you.\There are hot springs towns in this world, too?\So warm!\Hey, Master. response:	I wanna go in this hot spring thing, too.
context: There's a hot springs town not too far away from here.\I need you to deliver some goods to an inn there.\Great. The order is complete.\See you.\There are hot springs towns in this world, too?\So warm!\Hey, Master.\I wanna go in this hot spring thing, too. response:	Hot spring, huh?
context: I need you to deliver some goods to an inn there.\Great. The order is complete.\See you.\There are hot springs towns in this world, too?\So warm!\Hey, Master.\I wanna go in this hot spring thing, too.\Hot spring, huh? response:	How about you, Raphtalia?
context: Great. The order is complete.\See you.\There are hot springs towns in this world, too?\So warm!\Hey, Master.\I wanna go in this hot spring thing, too.\Hot spring, huh?\How about you, Raphtalia? response:	I'm not that interested.
context: See you.\There are hot springs towns in this world, too?\So warm!\Hey, Master.\I wanna go in this hot spring thing, too.\Hot spring, huh?\How about you, Raphtalia?\I'm not that interested. response:	But if you and Filo want to go, I'll accompany you.
context: There are hot springs towns in this world, too?\So warm!\Hey, Master.\I wanna go in this hot spring thing, too.\Hot spring, huh?\How about you, Raphtalia?\I'm not that interested.\But if you and Filo want to go, I'll accompany you. response:	That's that. We're spending the night here.
context: So warm!\Hey, Master.\I wanna go in this hot spring thing, too.\Hot spring, huh?\How about you, Raphtalia?\I'm not that interested.\But if you and Filo want to go, I'll accompany you.\That's that. We're spending the night here. response:	Thank you
context: Hey, Master.\I wanna go in this hot spring thing, too.\Hot spring, huh?\How about you, Raphtalia?\I'm not that interested.\But if you and Filo want to go, I'll accompany you.\That's that. We're spending the night here.\Thank you response:	Master!
context: I wanna go in this hot spring thing, too.\Hot spring, huh?\How about you, Raphtalia?\I'm not that interested.\But if you and Filo want to go, I'll accompany you.\That's that. We're spending the night here.\Thank you\Master! response:	I wuv you!
context: Hot spring, huh?\How about you, Raphtalia?\I'm not that interested.\But if you and Filo want to go, I'll accompany you.\That's that. We're spending the night here.\Thank you\Master!\I wuv you! response:	I'm happy that we're staying in a hot springs inn,
context: How about you, Raphtalia?\I'm not that interested.\But if you and Filo want to go, I'll accompany you.\That's that. We're spending the night here.\Thank you\Master!\I wuv you!\I'm happy that we're staying in a hot springs inn, response:	but Filo's being too clingy with Naofumi-sama.
context: I'm not that interested.\But if you and Filo want to go, I'll accompany you.\That's that. We're spending the night here.\Thank you\Master!\I wuv you!\I'm happy that we're staying in a hot springs inn,\but Filo's being too clingy with Naofumi-sama. response:	I want to be clingy with him, too!
context: But if you and Filo want to go, I'll accompany you.\That's that. We're spending the night here.\Thank you\Master!\I wuv you!\I'm happy that we're staying in a hot springs inn,\but Filo's being too clingy with Naofumi-sama.\I want to be clingy with him, too! response:	The origin of this hot spring, and its benefits?
context: That's that. We're spending the night here.\Thank you\Master!\I wuv you!\I'm happy that we're staying in a hot springs inn,\but Filo's being too clingy with Naofumi-sama.\I want to be clingy with him, too!\The origin of this hot spring, and its benefits? response:	What does a silver boar have to do with a hot spring?
context: Thank you\Master!\I wuv you!\I'm happy that we're staying in a hot springs inn,\but Filo's being too clingy with Naofumi-sama.\I want to be clingy with him, too!\The origin of this hot spring, and its benefits?\What does a silver boar have to do with a hot spring? response:	Whatever.
context: Master!\I wuv you!\I'm happy that we're staying in a hot springs inn,\but Filo's being too clingy with Naofumi-sama.\I want to be clingy with him, too!\The origin of this hot spring, and its benefits?\What does a silver boar have to do with a hot spring?\Whatever. response:	Its effects are... success in love?!
context: I wuv you!\I'm happy that we're staying in a hot springs inn,\but Filo's being too clingy with Naofumi-sama.\I want to be clingy with him, too!\The origin of this hot spring, and its benefits?\What does a silver boar have to do with a hot spring?\Whatever.\Its effects are... success in love?! response:	A couple that enters this hot spring together will be united forever?!
context: I'm happy that we're staying in a hot springs inn,\but Filo's being too clingy with Naofumi-sama.\I want to be clingy with him, too!\The origin of this hot spring, and its benefits?\What does a silver boar have to do with a hot spring?\Whatever.\Its effects are... success in love?!\A couple that enters this hot spring together will be united forever?! response:	Th-Then, if I can take a b-bath together with Naofumi-sama...
context: but Filo's being too clingy with Naofumi-sama.\I want to be clingy with him, too!\The origin of this hot spring, and its benefits?\What does a silver boar have to do with a hot spring?\Whatever.\Its effects are... success in love?!\A couple that enters this hot spring together will be united forever?!\Th-Then, if I can take a b-bath together with Naofumi-sama... response:	N-No, Naofumi-sama!
context: I want to be clingy with him, too!\The origin of this hot spring, and its benefits?\What does a silver boar have to do with a hot spring?\Whatever.\Its effects are... success in love?!\A couple that enters this hot spring together will be united forever?!\Th-Then, if I can take a b-bath together with Naofumi-sama...\N-No, Naofumi-sama! response:	We can't k-k-kiss! I'll get pregnant!
context: The origin of this hot spring, and its benefits?\What does a silver boar have to do with a hot spring?\Whatever.\Its effects are... success in love?!\A couple that enters this hot spring together will be united forever?!\Th-Then, if I can take a b-bath together with Naofumi-sama...\N-No, Naofumi-sama!\We can't k-k-kiss! I'll get pregnant! response:	Wow, an open-air bath?
context: What does a silver boar have to do with a hot spring?\Whatever.\Its effects are... success in love?!\A couple that enters this hot spring together will be united forever?!\Th-Then, if I can take a b-bath together with Naofumi-sama...\N-No, Naofumi-sama!\We can't k-k-kiss! I'll get pregnant!\Wow, an open-air bath? response:	Naofumi-sama?
context: Whatever.\Its effects are... success in love?!\A couple that enters this hot spring together will be united forever?!\Th-Then, if I can take a b-bath together with Naofumi-sama...\N-No, Naofumi-sama!\We can't k-k-kiss! I'll get pregnant!\Wow, an open-air bath?\Naofumi-sama? response:	So big!
context: Its effects are... success in love?!\A couple that enters this hot spring together will be united forever?!\Th-Then, if I can take a b-bath together with Naofumi-sama...\N-No, Naofumi-sama!\We can't k-k-kiss! I'll get pregnant!\Wow, an open-air bath?\Naofumi-sama?\So big! response:	Filo, don't swim in the bath.
context: A couple that enters this hot spring together will be united forever?!\Th-Then, if I can take a b-bath together with Naofumi-sama...\N-No, Naofumi-sama!\We can't k-k-kiss! I'll get pregnant!\Wow, an open-air bath?\Naofumi-sama?\So big!\Filo, don't swim in the bath. response:	I can't?
context: Th-Then, if I can take a b-bath together with Naofumi-sama...\N-No, Naofumi-sama!\We can't k-k-kiss! I'll get pregnant!\Wow, an open-air bath?\Naofumi-sama?\So big!\Filo, don't swim in the bath.\I can't? response:	Wait, is that okay in this world?
context: N-No, Naofumi-sama!\We can't k-k-kiss! I'll get pregnant!\Wow, an open-air bath?\Naofumi-sama?\So big!\Filo, don't swim in the bath.\I can't?\Wait, is that okay in this world? response:	I was wondering why Filo wasn't here yet, and she's with Naofumi-sama?
context: We can't k-k-kiss! I'll get pregnant!\Wow, an open-air bath?\Naofumi-sama?\So big!\Filo, don't swim in the bath.\I can't?\Wait, is that okay in this world?\I was wondering why Filo wasn't here yet, and she's with Naofumi-sama? response:	You swim too, Master.
context: Wow, an open-air bath?\Naofumi-sama?\So big!\Filo, don't swim in the bath.\I can't?\Wait, is that okay in this world?\I was wondering why Filo wasn't here yet, and she's with Naofumi-sama?\You swim too, Master. response:	I'm not going to.
context: Naofumi-sama?\So big!\Filo, don't swim in the bath.\I can't?\Wait, is that okay in this world?\I was wondering why Filo wasn't here yet, and she's with Naofumi-sama?\You swim too, Master.\I'm not going to. response:	Then wash my hair.
context: So big!\Filo, don't swim in the bath.\I can't?\Wait, is that okay in this world?\I was wondering why Filo wasn't here yet, and she's with Naofumi-sama?\You swim too, Master.\I'm not going to.\Then wash my hair. response:	Can't you do it yourself?
context: Filo, don't swim in the bath.\I can't?\Wait, is that okay in this world?\I was wondering why Filo wasn't here yet, and she's with Naofumi-sama?\You swim too, Master.\I'm not going to.\Then wash my hair.\Can't you do it yourself? response:	In the end, Filo was with Naofumi-sama the whole time.
context: I can't?\Wait, is that okay in this world?\I was wondering why Filo wasn't here yet, and she's with Naofumi-sama?\You swim too, Master.\I'm not going to.\Then wash my hair.\Can't you do it yourself?\In the end, Filo was with Naofumi-sama the whole time. response:	Anyway, I want to share this drink with him.
context: Wait, is that okay in this world?\I was wondering why Filo wasn't here yet, and she's with Naofumi-sama?\You swim too, Master.\I'm not going to.\Then wash my hair.\Can't you do it yourself?\In the end, Filo was with Naofumi-sama the whole time.\Anyway, I want to share this drink with him. response:	That feels good, Master.
context: I was wondering why Filo wasn't here yet, and she's with Naofumi-sama?\You swim too, Master.\I'm not going to.\Then wash my hair.\Can't you do it yourself?\In the end, Filo was with Naofumi-sama the whole time.\Anyway, I want to share this drink with him.\That feels good, Master. response:	You have way too much hair. Brushing it is a pain.
context: You swim too, Master.\I'm not going to.\Then wash my hair.\Can't you do it yourself?\In the end, Filo was with Naofumi-sama the whole time.\Anyway, I want to share this drink with him.\That feels good, Master.\You have way too much hair. Brushing it is a pain. response:	Really?
context: I'm not going to.\Then wash my hair.\Can't you do it yourself?\In the end, Filo was with Naofumi-sama the whole time.\Anyway, I want to share this drink with him.\That feels good, Master.\You have way too much hair. Brushing it is a pain.\Really? response:	Raphtalia had much shorter hair.
context: Then wash my hair.\Can't you do it yourself?\In the end, Filo was with Naofumi-sama the whole time.\Anyway, I want to share this drink with him.\That feels good, Master.\You have way too much hair. Brushing it is a pain.\Really?\Raphtalia had much shorter hair. response:	I wish he'd brush my hair too, like before.
context: Can't you do it yourself?\In the end, Filo was with Naofumi-sama the whole time.\Anyway, I want to share this drink with him.\That feels good, Master.\You have way too much hair. Brushing it is a pain.\Really?\Raphtalia had much shorter hair.\I wish he'd brush my hair too, like before. response:	Um...
context: In the end, Filo was with Naofumi-sama the whole time.\Anyway, I want to share this drink with him.\That feels good, Master.\You have way too much hair. Brushing it is a pain.\Really?\Raphtalia had much shorter hair.\I wish he'd brush my hair too, like before.\Um... response:	I also...
context: Anyway, I want to share this drink with him.\That feels good, Master.\You have way too much hair. Brushing it is a pain.\Really?\Raphtalia had much shorter hair.\I wish he'd brush my hair too, like before.\Um...\I also... response:	Master, I'm thirsty.
context: That feels good, Master.\You have way too much hair. Brushing it is a pain.\Really?\Raphtalia had much shorter hair.\I wish he'd brush my hair too, like before.\Um...\I also...\Master, I'm thirsty. response:	Sit still,
context: You have way too much hair. Brushing it is a pain.\Really?\Raphtalia had much shorter hair.\I wish he'd brush my hair too, like before.\Um...\I also...\Master, I'm thirsty.\Sit still, response:	or I won't brush your hair again.
context: Really?\Raphtalia had much shorter hair.\I wish he'd brush my hair too, like before.\Um...\I also...\Master, I'm thirsty.\Sit still,\or I won't brush your hair again. response:	No! It feels good, so keep going!
context: Raphtalia had much shorter hair.\I wish he'd brush my hair too, like before.\Um...\I also...\Master, I'm thirsty.\Sit still,\or I won't brush your hair again.\No! It feels good, so keep going! response:	Also, do my feathers, too.
context: I wish he'd brush my hair too, like before.\Um...\I also...\Master, I'm thirsty.\Sit still,\or I won't brush your hair again.\No! It feels good, so keep going!\Also, do my feathers, too. response:	Do your wings yourself.
context: Um...\I also...\Master, I'm thirsty.\Sit still,\or I won't brush your hair again.\No! It feels good, so keep going!\Also, do my feathers, too.\Do your wings yourself. response:	What's up, Raphtalia?
context: I also...\Master, I'm thirsty.\Sit still,\or I won't brush your hair again.\No! It feels good, so keep going!\Also, do my feathers, too.\Do your wings yourself.\What's up, Raphtalia? response:	Nothing.
context: Master, I'm thirsty.\Sit still,\or I won't brush your hair again.\No! It feels good, so keep going!\Also, do my feathers, too.\Do your wings yourself.\What's up, Raphtalia?\Nothing. response:	Onee-chan, gimme.
context: Sit still,\or I won't brush your hair again.\No! It feels good, so keep going!\Also, do my feathers, too.\Do your wings yourself.\What's up, Raphtalia?\Nothing.\Onee-chan, gimme. response:	I have to do something, or Filo will steal my Naofumi-sama.
context: or I won't brush your hair again.\No! It feels good, so keep going!\Also, do my feathers, too.\Do your wings yourself.\What's up, Raphtalia?\Nothing.\Onee-chan, gimme.\I have to do something, or Filo will steal my Naofumi-sama. response:	If I want to turn this around all at once...
context: No! It feels good, so keep going!\Also, do my feathers, too.\Do your wings yourself.\What's up, Raphtalia?\Nothing.\Onee-chan, gimme.\I have to do something, or Filo will steal my Naofumi-sama.\If I want to turn this around all at once... response:	Mom used to say that a gift was the best way to get your beloved's attention.
context: Also, do my feathers, too.\Do your wings yourself.\What's up, Raphtalia?\Nothing.\Onee-chan, gimme.\I have to do something, or Filo will steal my Naofumi-sama.\If I want to turn this around all at once...\Mom used to say that a gift was the best way to get your beloved's attention. response:	She fell in love with Dad after he gave her a gift, too.
context: Do your wings yourself.\What's up, Raphtalia?\Nothing.\Onee-chan, gimme.\I have to do something, or Filo will steal my Naofumi-sama.\If I want to turn this around all at once...\Mom used to say that a gift was the best way to get your beloved's attention.\She fell in love with Dad after he gave her a gift, too. response:	If I can give him some latium...
context: What's up, Raphtalia?\Nothing.\Onee-chan, gimme.\I have to do something, or Filo will steal my Naofumi-sama.\If I want to turn this around all at once...\Mom used to say that a gift was the best way to get your beloved's attention.\She fell in love with Dad after he gave her a gift, too.\If I can give him some latium... response:	Hey, have you heard of latium?
context: Nothing.\Onee-chan, gimme.\I have to do something, or Filo will steal my Naofumi-sama.\If I want to turn this around all at once...\Mom used to say that a gift was the best way to get your beloved's attention.\She fell in love with Dad after he gave her a gift, too.\If I can give him some latium...\Hey, have you heard of latium? response:	Oh, you mean that rare crystal found in this area?
context: Onee-chan, gimme.\I have to do something, or Filo will steal my Naofumi-sama.\If I want to turn this around all at once...\Mom used to say that a gift was the best way to get your beloved's attention.\She fell in love with Dad after he gave her a gift, too.\If I can give him some latium...\Hey, have you heard of latium?\Oh, you mean that rare crystal found in this area? response:	Apparently, love charms made with it work really well.
context: I have to do something, or Filo will steal my Naofumi-sama.\If I want to turn this around all at once...\Mom used to say that a gift was the best way to get your beloved's attention.\She fell in love with Dad after he gave her a gift, too.\If I can give him some latium...\Hey, have you heard of latium?\Oh, you mean that rare crystal found in this area?\Apparently, love charms made with it work really well. response:	What? Really?
context: If I want to turn this around all at once...\Mom used to say that a gift was the best way to get your beloved's attention.\She fell in love with Dad after he gave her a gift, too.\If I can give him some latium...\Hey, have you heard of latium?\Oh, you mean that rare crystal found in this area?\Apparently, love charms made with it work really well.\What? Really? response:	A bird called a gagocco collects latium,
