context: What could be the cause of the massive mosquito outbreak this year? response:	We ask Mr. Kafetch,
context: Yeah, that's my skin.\But that would mean you're bald despite being so young.\So I'm baldwhat's your problem?!\Me? You'll listen to my problems?\No thanks, I'm good.\Actually, four years ago, when I was 15, I was still a real human being.\Did you hear what I just said?\Although we had to pinch pennies, response:	my family and I lived a peaceful and fairly happy life.
context: But that would mean you're bald despite being so young.\So I'm baldwhat's your problem?!\Me? You'll listen to my problems?\No thanks, I'm good.\Actually, four years ago, when I was 15, I was still a real human being.\Did you hear what I just said?\Although we had to pinch pennies,\my family and I lived a peaceful and fairly happy life. response:	But one day, a crazy cyborg went out of control and attacked our town.
context: So I'm baldwhat's your problem?!\Me? You'll listen to my problems?\No thanks, I'm good.\Actually, four years ago, when I was 15, I was still a real human being.\Did you hear what I just said?\Although we had to pinch pennies,\my family and I lived a peaceful and fairly happy life.\But one day, a crazy cyborg went out of control and attacked our town. response:	The insane cyborg...
context: Me? You'll listen to my problems?\No thanks, I'm good.\Actually, four years ago, when I was 15, I was still a real human being.\Did you hear what I just said?\Although we had to pinch pennies,\my family and I lived a peaceful and fairly happy life.\But one day, a crazy cyborg went out of control and attacked our town.\The insane cyborg... response:	Most likely, a failed body modification generated an irregularity in his brain.
context: No thanks, I'm good.\Actually, four years ago, when I was 15, I was still a real human being.\Did you hear what I just said?\Although we had to pinch pennies,\my family and I lived a peaceful and fairly happy life.\But one day, a crazy cyborg went out of control and attacked our town.\The insane cyborg...\Most likely, a failed body modification generated an irregularity in his brain. response:	He destroyed everything in sight.
context: Actually, four years ago, when I was 15, I was still a real human being.\Did you hear what I just said?\Although we had to pinch pennies,\my family and I lived a peaceful and fairly happy life.\But one day, a crazy cyborg went out of control and attacked our town.\The insane cyborg...\Most likely, a failed body modification generated an irregularity in his brain.\He destroyed everything in sight. response:	Parks, schools, buildings, my house...
context: Did you hear what I just said?\Although we had to pinch pennies,\my family and I lived a peaceful and fairly happy life.\But one day, a crazy cyborg went out of control and attacked our town.\The insane cyborg...\Most likely, a failed body modification generated an irregularity in his brain.\He destroyed everything in sight.\Parks, schools, buildings, my house... response:	He even took my family's lives.
context: Although we had to pinch pennies,\my family and I lived a peaceful and fairly happy life.\But one day, a crazy cyborg went out of control and attacked our town.\The insane cyborg...\Most likely, a failed body modification generated an irregularity in his brain.\He destroyed everything in sight.\Parks, schools, buildings, my house...\He even took my family's lives. response:	Miraculously I survived, but being only a weak 15-year-old,
context: my family and I lived a peaceful and fairly happy life.\But one day, a crazy cyborg went out of control and attacked our town.\The insane cyborg...\Most likely, a failed body modification generated an irregularity in his brain.\He destroyed everything in sight.\Parks, schools, buildings, my house...\He even took my family's lives.\Miraculously I survived, but being only a weak 15-year-old, response:	I was alone and at the end of my strength in a ruined town.
context: But one day, a crazy cyborg went out of control and attacked our town.\The insane cyborg...\Most likely, a failed body modification generated an irregularity in his brain.\He destroyed everything in sight.\Parks, schools, buildings, my house...\He even took my family's lives.\Miraculously I survived, but being only a weak 15-year-old,\I was alone and at the end of my strength in a ruined town. response:	That's when Doctor Kuseno happened to pass through.
context: The insane cyborg...\Most likely, a failed body modification generated an irregularity in his brain.\He destroyed everything in sight.\Parks, schools, buildings, my house...\He even took my family's lives.\Miraculously I survived, but being only a weak 15-year-old,\I was alone and at the end of my strength in a ruined town.\That's when Doctor Kuseno happened to pass through. response:	Doctor Kuseno, a scientist for justice,
context: Most likely, a failed body modification generated an irregularity in his brain.\He destroyed everything in sight.\Parks, schools, buildings, my house...\He even took my family's lives.\Miraculously I survived, but being only a weak 15-year-old,\I was alone and at the end of my strength in a ruined town.\That's when Doctor Kuseno happened to pass through.\Doctor Kuseno, a scientist for justice, response:	was on a mission to stop the destruction caused by the rampaging cyborg.
context: He destroyed everything in sight.\Parks, schools, buildings, my house...\He even took my family's lives.\Miraculously I survived, but being only a weak 15-year-old,\I was alone and at the end of my strength in a ruined town.\That's when Doctor Kuseno happened to pass through.\Doctor Kuseno, a scientist for justice,\was on a mission to stop the destruction caused by the rampaging cyborg. response:	I asked Doctor Kuseno to perform body modification surgery on me.
context: Parks, schools, buildings, my house...\He even took my family's lives.\Miraculously I survived, but being only a weak 15-year-old,\I was alone and at the end of my strength in a ruined town.\That's when Doctor Kuseno happened to pass through.\Doctor Kuseno, a scientist for justice,\was on a mission to stop the destruction caused by the rampaging cyborg.\I asked Doctor Kuseno to perform body modification surgery on me. response:	That's how I was reborn as a cyborg who fights for justice.
context: He even took my family's lives.\Miraculously I survived, but being only a weak 15-year-old,\I was alone and at the end of my strength in a ruined town.\That's when Doctor Kuseno happened to pass through.\Doctor Kuseno, a scientist for justice,\was on a mission to stop the destruction caused by the rampaging cyborg.\I asked Doctor Kuseno to perform body modification surgery on me.\That's how I was reborn as a cyborg who fights for justice. response:	I promised Doctor Kuseno that one day I would terminate the evil cyborg.
context: Miraculously I survived, but being only a weak 15-year-old,\I was alone and at the end of my strength in a ruined town.\That's when Doctor Kuseno happened to pass through.\Doctor Kuseno, a scientist for justice,\was on a mission to stop the destruction caused by the rampaging cyborg.\I asked Doctor Kuseno to perform body modification surgery on me.\That's how I was reborn as a cyborg who fights for justice.\I promised Doctor Kuseno that one day I would terminate the evil cyborg. response:	I see
context: I was alone and at the end of my strength in a ruined town.\That's when Doctor Kuseno happened to pass through.\Doctor Kuseno, a scientist for justice,\was on a mission to stop the destruction caused by the rampaging cyborg.\I asked Doctor Kuseno to perform body modification surgery on me.\That's how I was reborn as a cyborg who fights for justice.\I promised Doctor Kuseno that one day I would terminate the evil cyborg.\I see response:	It's been four years since that day.
context: That's when Doctor Kuseno happened to pass through.\Doctor Kuseno, a scientist for justice,\was on a mission to stop the destruction caused by the rampaging cyborg.\I asked Doctor Kuseno to perform body modification surgery on me.\That's how I was reborn as a cyborg who fights for justice.\I promised Doctor Kuseno that one day I would terminate the evil cyborg.\I see\It's been four years since that day. response:	I'm now 19 and I've been wandering from town to town eliminating evil.
context: Doctor Kuseno, a scientist for justice,\was on a mission to stop the destruction caused by the rampaging cyborg.\I asked Doctor Kuseno to perform body modification surgery on me.\That's how I was reborn as a cyborg who fights for justice.\I promised Doctor Kuseno that one day I would terminate the evil cyborg.\I see\It's been four years since that day.\I'm now 19 and I've been wandering from town to town eliminating evil. response:	The number of monsters and criminal organizations I have destroyed
context: was on a mission to stop the destruction caused by the rampaging cyborg.\I asked Doctor Kuseno to perform body modification surgery on me.\That's how I was reborn as a cyborg who fights for justice.\I promised Doctor Kuseno that one day I would terminate the evil cyborg.\I see\It's been four years since that day.\I'm now 19 and I've been wandering from town to town eliminating evil.\The number of monsters and criminal organizations I have destroyed response:	are too many to count.
context: I asked Doctor Kuseno to perform body modification surgery on me.\That's how I was reborn as a cyborg who fights for justice.\I promised Doctor Kuseno that one day I would terminate the evil cyborg.\I see\It's been four years since that day.\I'm now 19 and I've been wandering from town to town eliminating evil.\The number of monsters and criminal organizations I have destroyed\are too many to count. response:	But I have been unable to find any clues about the insane cyborg
context: That's how I was reborn as a cyborg who fights for justice.\I promised Doctor Kuseno that one day I would terminate the evil cyborg.\I see\It's been four years since that day.\I'm now 19 and I've been wandering from town to town eliminating evil.\The number of monsters and criminal organizations I have destroyed\are too many to count.\But I have been unable to find any clues about the insane cyborg response:	and have become increasingly frustrated and restless.
context: I promised Doctor Kuseno that one day I would terminate the evil cyborg.\I see\It's been four years since that day.\I'm now 19 and I've been wandering from town to town eliminating evil.\The number of monsters and criminal organizations I have destroyed\are too many to count.\But I have been unable to find any clues about the insane cyborg\and have become increasingly frustrated and restless. response:	I find myself chasing a virtual image of that cyborg
context: I see\It's been four years since that day.\I'm now 19 and I've been wandering from town to town eliminating evil.\The number of monsters and criminal organizations I have destroyed\are too many to count.\But I have been unable to find any clues about the insane cyborg\and have become increasingly frustrated and restless.\I find myself chasing a virtual image of that cyborg response:	whenever I square off against my enemies.
context: It's been four years since that day.\I'm now 19 and I've been wandering from town to town eliminating evil.\The number of monsters and criminal organizations I have destroyed\are too many to count.\But I have been unable to find any clues about the insane cyborg\and have become increasingly frustrated and restless.\I find myself chasing a virtual image of that cyborg\whenever I square off against my enemies. response:	Then last week, when that mosquito monster appeared,
context: I'm now 19 and I've been wandering from town to town eliminating evil.\The number of monsters and criminal organizations I have destroyed\are too many to count.\But I have been unable to find any clues about the insane cyborg\and have become increasingly frustrated and restless.\I find myself chasing a virtual image of that cyborg\whenever I square off against my enemies.\Then last week, when that mosquito monster appeared, response:	I let my concentration slip.
context: The number of monsters and criminal organizations I have destroyed\are too many to count.\But I have been unable to find any clues about the insane cyborg\and have become increasingly frustrated and restless.\I find myself chasing a virtual image of that cyborg\whenever I square off against my enemies.\Then last week, when that mosquito monster appeared,\I let my concentration slip. response:	I was convinced I could not lose to anything but the rampaging cyborg,
context: are too many to count.\But I have been unable to find any clues about the insane cyborg\and have become increasingly frustrated and restless.\I find myself chasing a virtual image of that cyborg\whenever I square off against my enemies.\Then last week, when that mosquito monster appeared,\I let my concentration slip.\I was convinced I could not lose to anything but the rampaging cyborg, response:	so I neglected to even analyze the data on my opponent and rushed to confront her.
context: But I have been unable to find any clues about the insane cyborg\and have become increasingly frustrated and restless.\I find myself chasing a virtual image of that cyborg\whenever I square off against my enemies.\Then last week, when that mosquito monster appeared,\I let my concentration slip.\I was convinced I could not lose to anything but the rampaging cyborg,\so I neglected to even analyze the data on my opponent and rushed to confront her. response:	The result, as you know,
context: and have become increasingly frustrated and restless.\I find myself chasing a virtual image of that cyborg\whenever I square off against my enemies.\Then last week, when that mosquito monster appeared,\I let my concentration slip.\I was convinced I could not lose to anything but the rampaging cyborg,\so I neglected to even analyze the data on my opponent and rushed to confront her.\The result, as you know, response:	was that an opponent with immense strength bested me.
context: I find myself chasing a virtual image of that cyborg\whenever I square off against my enemies.\Then last week, when that mosquito monster appeared,\I let my concentration slip.\I was convinced I could not lose to anything but the rampaging cyborg,\so I neglected to even analyze the data on my opponent and rushed to confront her.\The result, as you know,\was that an opponent with immense strength bested me. response:	If you, Master Saitama, had not been in the area,
context: whenever I square off against my enemies.\Then last week, when that mosquito monster appeared,\I let my concentration slip.\I was convinced I could not lose to anything but the rampaging cyborg,\so I neglected to even analyze the data on my opponent and rushed to confront her.\The result, as you know,\was that an opponent with immense strength bested me.\If you, Master Saitama, had not been in the area, response:	I would have undoubtedly been destroyed.
context: Then last week, when that mosquito monster appeared,\I let my concentration slip.\I was convinced I could not lose to anything but the rampaging cyborg,\so I neglected to even analyze the data on my opponent and rushed to confront her.\The result, as you know,\was that an opponent with immense strength bested me.\If you, Master Saitama, had not been in the area,\I would have undoubtedly been destroyed. response:	Master, you saved my life.
context: I let my concentration slip.\I was convinced I could not lose to anything but the rampaging cyborg,\so I neglected to even analyze the data on my opponent and rushed to confront her.\The result, as you know,\was that an opponent with immense strength bested me.\If you, Master Saitama, had not been in the area,\I would have undoubtedly been destroyed.\Master, you saved my life. response:	My life that was once saved by Doctor Kuseno
context: I was convinced I could not lose to anything but the rampaging cyborg,\so I neglected to even analyze the data on my opponent and rushed to confront her.\The result, as you know,\was that an opponent with immense strength bested me.\If you, Master Saitama, had not been in the area,\I would have undoubtedly been destroyed.\Master, you saved my life.\My life that was once saved by Doctor Kuseno response:	has now been saved again by you, Master Saitama.
context: so I neglected to even analyze the data on my opponent and rushed to confront her.\The result, as you know,\was that an opponent with immense strength bested me.\If you, Master Saitama, had not been in the area,\I would have undoubtedly been destroyed.\Master, you saved my life.\My life that was once saved by Doctor Kuseno\has now been saved again by you, Master Saitama. response:	I feel the weight of that responsibility.
context: The result, as you know,\was that an opponent with immense strength bested me.\If you, Master Saitama, had not been in the area,\I would have undoubtedly been destroyed.\Master, you saved my life.\My life that was once saved by Doctor Kuseno\has now been saved again by you, Master Saitama.\I feel the weight of that responsibility. response:	I must not die before destroying that cyborg.
context: was that an opponent with immense strength bested me.\If you, Master Saitama, had not been in the area,\I would have undoubtedly been destroyed.\Master, you saved my life.\My life that was once saved by Doctor Kuseno\has now been saved again by you, Master Saitama.\I feel the weight of that responsibility.\I must not die before destroying that cyborg. response:	And to do that, I must continue fighting evil as a righteous cyborg
context: If you, Master Saitama, had not been in the area,\I would have undoubtedly been destroyed.\Master, you saved my life.\My life that was once saved by Doctor Kuseno\has now been saved again by you, Master Saitama.\I feel the weight of that responsibility.\I must not die before destroying that cyborg.\And to do that, I must continue fighting evil as a righteous cyborg response:	until he appears before me one day.
context: I would have undoubtedly been destroyed.\Master, you saved my life.\My life that was once saved by Doctor Kuseno\has now been saved again by you, Master Saitama.\I feel the weight of that responsibility.\I must not die before destroying that cyborg.\And to do that, I must continue fighting evil as a righteous cyborg\until he appears before me one day. response:	I need to get stronger.
context: Master, you saved my life.\My life that was once saved by Doctor Kuseno\has now been saved again by you, Master Saitama.\I feel the weight of that responsibility.\I must not die before destroying that cyborg.\And to do that, I must continue fighting evil as a righteous cyborg\until he appears before me one day.\I need to get stronger. response:	Last week, when I saw your punch,
context: My life that was once saved by Doctor Kuseno\has now been saved again by you, Master Saitama.\I feel the weight of that responsibility.\I must not die before destroying that cyborg.\And to do that, I must continue fighting evil as a righteous cyborg\until he appears before me one day.\I need to get stronger.\Last week, when I saw your punch, response:	I knew I had to study under you as your disciple.
context: has now been saved again by you, Master Saitama.\I feel the weight of that responsibility.\I must not die before destroying that cyborg.\And to do that, I must continue fighting evil as a righteous cyborg\until he appears before me one day.\I need to get stronger.\Last week, when I saw your punch,\I knew I had to study under you as your disciple. response:	If only I could be as strong as you, Master Saitama!
context: I feel the weight of that responsibility.\I must not die before destroying that cyborg.\And to do that, I must continue fighting evil as a righteous cyborg\until he appears before me one day.\I need to get stronger.\Last week, when I saw your punch,\I knew I had to study under you as your disciple.\If only I could be as strong as you, Master Saitama! response:	I have an old enemy to defeat,
context: I must not die before destroying that cyborg.\And to do that, I must continue fighting evil as a righteous cyborg\until he appears before me one day.\I need to get stronger.\Last week, when I saw your punch,\I knew I had to study under you as your disciple.\If only I could be as strong as you, Master Saitama!\I have an old enemy to defeat, response:	and the battle is not for me only.
context: And to do that, I must continue fighting evil as a righteous cyborg\until he appears before me one day.\I need to get stronger.\Last week, when I saw your punch,\I knew I had to study under you as your disciple.\If only I could be as strong as you, Master Saitama!\I have an old enemy to defeat,\and the battle is not for me only. response:	It's for my hometown, and for Doctor Kuseno too.
context: until he appears before me one day.\I need to get stronger.\Last week, when I saw your punch,\I knew I had to study under you as your disciple.\If only I could be as strong as you, Master Saitama!\I have an old enemy to defeat,\and the battle is not for me only.\It's for my hometown, and for Doctor Kuseno too. response:	I realize I am still inexperienced.
context: I need to get stronger.\Last week, when I saw your punch,\I knew I had to study under you as your disciple.\If only I could be as strong as you, Master Saitama!\I have an old enemy to defeat,\and the battle is not for me only.\It's for my hometown, and for Doctor Kuseno too.\I realize I am still inexperienced. response:	But right now, I need enormous power
context: Last week, when I saw your punch,\I knew I had to study under you as your disciple.\If only I could be as strong as you, Master Saitama!\I have an old enemy to defeat,\and the battle is not for me only.\It's for my hometown, and for Doctor Kuseno too.\I realize I am still inexperienced.\But right now, I need enormous power response:	so I can eradicate the greatest of evils!
context: I knew I had to study under you as your disciple.\If only I could be as strong as you, Master Saitama!\I have an old enemy to defeat,\and the battle is not for me only.\It's for my hometown, and for Doctor Kuseno too.\I realize I am still inexperienced.\But right now, I need enormous power\so I can eradicate the greatest of evils! response:	Doctor Kuseno is
context: If only I could be as strong as you, Master Saitama!\I have an old enemy to defeat,\and the battle is not for me only.\It's for my hometown, and for Doctor Kuseno too.\I realize I am still inexperienced.\But right now, I need enormous power\so I can eradicate the greatest of evils!\Doctor Kuseno is response:	Enough, you idiot! Shorten it to 20 words or less!
context: I have an old enemy to defeat,\and the battle is not for me only.\It's for my hometown, and for Doctor Kuseno too.\I realize I am still inexperienced.\But right now, I need enormous power\so I can eradicate the greatest of evils!\Doctor Kuseno is\Enough, you idiot! Shorten it to 20 words or less! response:	Mosquito Girl was defeated?
context: and the battle is not for me only.\It's for my hometown, and for Doctor Kuseno too.\I realize I am still inexperienced.\But right now, I need enormous power\so I can eradicate the greatest of evils!\Doctor Kuseno is\Enough, you idiot! Shorten it to 20 words or less!\Mosquito Girl was defeated? response:	With one punch, you say?
context: It's for my hometown, and for Doctor Kuseno too.\I realize I am still inexperienced.\But right now, I need enormous power\so I can eradicate the greatest of evils!\Doctor Kuseno is\Enough, you idiot! Shorten it to 20 words or less!\Mosquito Girl was defeated?\With one punch, you say? response:	Well, she was merely a prototype, after all.
context: I realize I am still inexperienced.\But right now, I need enormous power\so I can eradicate the greatest of evils!\Doctor Kuseno is\Enough, you idiot! Shorten it to 20 words or less!\Mosquito Girl was defeated?\With one punch, you say?\Well, she was merely a prototype, after all. response:	Why is he naked?
context: But right now, I need enormous power\so I can eradicate the greatest of evils!\Doctor Kuseno is\Enough, you idiot! Shorten it to 20 words or less!\Mosquito Girl was defeated?\With one punch, you say?\Well, she was merely a prototype, after all.\Why is he naked? response:	Unknown.
context: so I can eradicate the greatest of evils!\Doctor Kuseno is\Enough, you idiot! Shorten it to 20 words or less!\Mosquito Girl was defeated?\With one punch, you say?\Well, she was merely a prototype, after all.\Why is he naked?\Unknown. response:	Well, whatever.
context: Doctor Kuseno is\Enough, you idiot! Shorten it to 20 words or less!\Mosquito Girl was defeated?\With one punch, you say?\Well, she was merely a prototype, after all.\Why is he naked?\Unknown.\Well, whatever. response:	He'll make an excellent specimen.
context: Enough, you idiot! Shorten it to 20 words or less!\Mosquito Girl was defeated?\With one punch, you say?\Well, she was merely a prototype, after all.\Why is he naked?\Unknown.\Well, whatever.\He'll make an excellent specimen. response:	We shall study his physiology by force if necessary.
context: Mosquito Girl was defeated?\With one punch, you say?\Well, she was merely a prototype, after all.\Why is he naked?\Unknown.\Well, whatever.\He'll make an excellent specimen.\We shall study his physiology by force if necessary. response:	Send a messenger and invite him here,
context: With one punch, you say?\Well, she was merely a prototype, after all.\Why is he naked?\Unknown.\Well, whatever.\He'll make an excellent specimen.\We shall study his physiology by force if necessary.\Send a messenger and invite him here, response:	to our House of Evolution.
context: Well, she was merely a prototype, after all.\Why is he naked?\Unknown.\Well, whatever.\He'll make an excellent specimen.\We shall study his physiology by force if necessary.\Send a messenger and invite him here,\to our House of Evolution. response:	Please teach me the way to become strong like you.
context: Why is he naked?\Unknown.\Well, whatever.\He'll make an excellent specimen.\We shall study his physiology by force if necessary.\Send a messenger and invite him here,\to our House of Evolution.\Please teach me the way to become strong like you. response:	Genos Yes!
context: Unknown.\Well, whatever.\He'll make an excellent specimen.\We shall study his physiology by force if necessary.\Send a messenger and invite him here,\to our House of Evolution.\Please teach me the way to become strong like you.\Genos Yes! response:	How old are you?
context: Well, whatever.\He'll make an excellent specimen.\We shall study his physiology by force if necessary.\Send a messenger and invite him here,\to our House of Evolution.\Please teach me the way to become strong like you.\Genos Yes!\How old are you? response:	19.
context: He'll make an excellent specimen.\We shall study his physiology by force if necessary.\Send a messenger and invite him here,\to our House of Evolution.\Please teach me the way to become strong like you.\Genos Yes!\How old are you?\19. response:	So young
context: We shall study his physiology by force if necessary.\Send a messenger and invite him here,\to our House of Evolution.\Please teach me the way to become strong like you.\Genos Yes!\How old are you?\19.\So young response:	I'm sure you'll surpass me in no time.
context: Send a messenger and invite him here,\to our House of Evolution.\Please teach me the way to become strong like you.\Genos Yes!\How old are you?\19.\So young\I'm sure you'll surpass me in no time. response:	Do you mean that?
context: to our House of Evolution.\Please teach me the way to become strong like you.\Genos Yes!\How old are you?\19.\So young\I'm sure you'll surpass me in no time.\Do you mean that? response:	I'm 25 now, but I was 22 when I started training in the summer.
context: Please teach me the way to become strong like you.\Genos Yes!\How old are you?\19.\So young\I'm sure you'll surpass me in no time.\Do you mean that?\I'm 25 now, but I was 22 when I started training in the summer. response:	Sure, I'll teach you.
context: Genos Yes!\How old are you?\19.\So young\I'm sure you'll surpass me in no time.\Do you mean that?\I'm 25 now, but I was 22 when I started training in the summer.\Sure, I'll teach you. response:	But it won't be easy. Can you handle it?
context: How old are you?\19.\So young\I'm sure you'll surpass me in no time.\Do you mean that?\I'm 25 now, but I was 22 when I started training in the summer.\Sure, I'll teach you.\But it won't be easy. Can you handle it? response:	Yes, sir!!
context: 19.\So young\I'm sure you'll surpass me in no time.\Do you mean that?\I'm 25 now, but I was 22 when I started training in the summer.\Sure, I'll teach you.\But it won't be easy. Can you handle it?\Yes, sir!! response:	Object approaching at high speed It's here!
context: So young\I'm sure you'll surpass me in no time.\Do you mean that?\I'm 25 now, but I was 22 when I started training in the summer.\Sure, I'll teach you.\But it won't be easy. Can you handle it?\Yes, sir!!\Object approaching at high speed It's here! response:	What?
context: I'm sure you'll surpass me in no time.\Do you mean that?\I'm 25 now, but I was 22 when I started training in the summer.\Sure, I'll teach you.\But it won't be easy. Can you handle it?\Yes, sir!!\Object approaching at high speed It's here!\What? response:	My name ishuh?
context: Do you mean that?\I'm 25 now, but I was 22 when I started training in the summer.\Sure, I'll teach you.\But it won't be easy. Can you handle it?\Yes, sir!!\Object approaching at high speed It's here!\What?\My name ishuh? response:	Pay for my ceiling!
context: I'm 25 now, but I was 22 when I started training in the summer.\Sure, I'll teach you.\But it won't be easy. Can you handle it?\Yes, sir!!\Object approaching at high speed It's here!\What?\My name ishuh?\Pay for my ceiling! response:	So...
context: Sure, I'll teach you.\But it won't be easy. Can you handle it?\Yes, sir!!\Object approaching at high speed It's here!\What?\My name ishuh?\Pay for my ceiling!\So... response:	Hm?
context: But it won't be easy. Can you handle it?\Yes, sir!!\Object approaching at high speed It's here!\What?\My name ishuh?\Pay for my ceiling!\So...\Hm? response:	It seems our advance agent, Kamakyuri, is down.
context: Yes, sir!!\Object approaching at high speed It's here!\What?\My name ishuh?\Pay for my ceiling!\So...\Hm?\It seems our advance agent, Kamakyuri, is down. response:	I can't sense him with my telepathy anymore.
context: Object approaching at high speed It's here!\What?\My name ishuh?\Pay for my ceiling!\So...\Hm?\It seems our advance agent, Kamakyuri, is down.\I can't sense him with my telepathy anymore. response:	What? Wasn't he one of our stronger guys?
context: What?\My name ishuh?\Pay for my ceiling!\So...\Hm?\It seems our advance agent, Kamakyuri, is down.\I can't sense him with my telepathy anymore.\What? Wasn't he one of our stronger guys? response:	There are two more outside.
context: My name ishuh?\Pay for my ceiling!\So...\Hm?\It seems our advance agent, Kamakyuri, is down.\I can't sense him with my telepathy anymore.\What? Wasn't he one of our stronger guys?\There are two more outside. response:	Master, leave them to me!
context: Pay for my ceiling!\So...\Hm?\It seems our advance agent, Kamakyuri, is down.\I can't sense him with my telepathy anymore.\What? Wasn't he one of our stronger guys?\There are two more outside.\Master, leave them to me! response:	Don't bust people's ceilings!
context: So...\Hm?\It seems our advance agent, Kamakyuri, is down.\I can't sense him with my telepathy anymore.\What? Wasn't he one of our stronger guys?\There are two more outside.\Master, leave them to me!\Don't bust people's ceilings! response:	Oh, never mind.
context: Hm?\It seems our advance agent, Kamakyuri, is down.\I can't sense him with my telepathy anymore.\What? Wasn't he one of our stronger guys?\There are two more outside.\Master, leave them to me!\Don't bust people's ceilings!\Oh, never mind. response:	Can't you guys just come through the door?
context: It seems our advance agent, Kamakyuri, is down.\I can't sense him with my telepathy anymore.\What? Wasn't he one of our stronger guys?\There are two more outside.\Master, leave them to me!\Don't bust people's ceilings!\Oh, never mind.\Can't you guys just come through the door? response:	M-Master!
context: I can't sense him with my telepathy anymore.\What? Wasn't he one of our stronger guys?\There are two more outside.\Master, leave them to me!\Don't bust people's ceilings!\Oh, never mind.\Can't you guys just come through the door?\M-Master! response:	No, I'm fine.
context: What? Wasn't he one of our stronger guys?\There are two more outside.\Master, leave them to me!\Don't bust people's ceilings!\Oh, never mind.\Can't you guys just come through the door?\M-Master!\No, I'm fine. response:	I kinda feel like abamboo shoot.
context: There are two more outside.\Master, leave them to me!\Don't bust people's ceilings!\Oh, never mind.\Can't you guys just come through the door?\M-Master!\No, I'm fine.\I kinda feel like abamboo shoot. response:	Elevated energy levels detected.
context: Master, leave them to me!\Don't bust people's ceilings!\Oh, never mind.\Can't you guys just come through the door?\M-Master!\No, I'm fine.\I kinda feel like abamboo shoot.\Elevated energy levels detected. response:	A cyborg?
context: Don't bust people's ceilings!\Oh, never mind.\Can't you guys just come through the door?\M-Master!\No, I'm fine.\I kinda feel like abamboo shoot.\Elevated energy levels detected.\A cyborg? response:	Could it be...?
context: Oh, never mind.\Can't you guys just come through the door?\M-Master!\No, I'm fine.\I kinda feel like abamboo shoot.\Elevated energy levels detected.\A cyborg?\Could it be...? response:	You are not the target.
context: Can't you guys just come through the door?\M-Master!\No, I'm fine.\I kinda feel like abamboo shoot.\Elevated energy levels detected.\A cyborg?\Could it be...?\You are not the target. response:	What's going on? I can't see.
context: M-Master!\No, I'm fine.\I kinda feel like abamboo shoot.\Elevated energy levels detected.\A cyborg?\Could it be...?\You are not the target.\What's going on? I can't see. response:	You are in the way!
context: No, I'm fine.\I kinda feel like abamboo shoot.\Elevated energy levels detected.\A cyborg?\Could it be...?\You are not the target.\What's going on? I can't see.\You are in the way! response:	I have a few questions for you.
context: I kinda feel like abamboo shoot.\Elevated energy levels detected.\A cyborg?\Could it be...?\You are not the target.\What's going on? I can't see.\You are in the way!\I have a few questions for you. response:	It would appear you're in what they call a tight spot.
context: Elevated energy levels detected.\A cyborg?\Could it be...?\You are not the target.\What's going on? I can't see.\You are in the way!\I have a few questions for you.\It would appear you're in what they call a tight spot. response:	Well done, Ground Dragon!
context: A cyborg?\Could it be...?\You are not the target.\What's going on? I can't see.\You are in the way!\I have a few questions for you.\It would appear you're in what they call a tight spot.\Well done, Ground Dragon! response:	GROUND DRAGON
context: Could it be...?\You are not the target.\What's going on? I can't see.\You are in the way!\I have a few questions for you.\It would appear you're in what they call a tight spot.\Well done, Ground Dragon!\GROUND DRAGON response:	It complicates things if they put up a fight.
context: You are not the target.\What's going on? I can't see.\You are in the way!\I have a few questions for you.\It would appear you're in what they call a tight spot.\Well done, Ground Dragon!\GROUND DRAGON\It complicates things if they put up a fight. response:	Master!
context: What's going on? I can't see.\You are in the way!\I have a few questions for you.\It would appear you're in what they call a tight spot.\Well done, Ground Dragon!\GROUND DRAGON\It complicates things if they put up a fight.\Master! response:	You dare look away?
context: You are in the way!\I have a few questions for you.\It would appear you're in what they call a tight spot.\Well done, Ground Dragon!\GROUND DRAGON\It complicates things if they put up a fight.\Master!\You dare look away? response:	Quite courageous!
context: I have a few questions for you.\It would appear you're in what they call a tight spot.\Well done, Ground Dragon!\GROUND DRAGON\It complicates things if they put up a fight.\Master!\You dare look away?\Quite courageous! response:	I am the pinnacle of the House of Evolution's science.
context: It would appear you're in what they call a tight spot.\Well done, Ground Dragon!\GROUND DRAGON\It complicates things if they put up a fight.\Master!\You dare look away?\Quite courageous!\I am the pinnacle of the House of Evolution's science. response:	I am Armored Gorilla.
context: Well done, Ground Dragon!\GROUND DRAGON\It complicates things if they put up a fight.\Master!\You dare look away?\Quite courageous!\I am the pinnacle of the House of Evolution's science.\I am Armored Gorilla. response:	Your attacks have no effect.
context: GROUND DRAGON\It complicates things if they put up a fight.\Master!\You dare look away?\Quite courageous!\I am the pinnacle of the House of Evolution's science.\I am Armored Gorilla.\Your attacks have no effect. response:	The House of Evolution?
context: It complicates things if they put up a fight.\Master!\You dare look away?\Quite courageous!\I am the pinnacle of the House of Evolution's science.\I am Armored Gorilla.\Your attacks have no effect.\The House of Evolution? response:	What does it want with my master?
context: Master!\You dare look away?\Quite courageous!\I am the pinnacle of the House of Evolution's science.\I am Armored Gorilla.\Your attacks have no effect.\The House of Evolution?\What does it want with my master? response:	It is none of your business.
