context: Let's skip training today. response:	You were hurt pretty badly.
context: Whatever... Hurry, hurry, hurry!\Hot pot! Hot pot! Hot pot!\Come on, get off me!\I hope you don't mind my joining you, Fujimura-sensei.\Why, it's Tohsaka-san!\It's unusual to run into you at Shirou's place... Hang on.\What are you doing at Shirou's place?!\Hang on, Tohsaka-san! response:	What are you doing here at this hour?
context: Hot pot! Hot pot! Hot pot!\Come on, get off me!\I hope you don't mind my joining you, Fujimura-sensei.\Why, it's Tohsaka-san!\It's unusual to run into you at Shirou's place... Hang on.\What are you doing at Shirou's place?!\Hang on, Tohsaka-san!\What are you doing here at this hour? response:	This is thoughtless of you!
context: Come on, get off me!\I hope you don't mind my joining you, Fujimura-sensei.\Why, it's Tohsaka-san!\It's unusual to run into you at Shirou's place... Hang on.\What are you doing at Shirou's place?!\Hang on, Tohsaka-san!\What are you doing here at this hour?\This is thoughtless of you! response:	What am I doing here?
context: I hope you don't mind my joining you, Fujimura-sensei.\Why, it's Tohsaka-san!\It's unusual to run into you at Shirou's place... Hang on.\What are you doing at Shirou's place?!\Hang on, Tohsaka-san!\What are you doing here at this hour?\This is thoughtless of you!\What am I doing here? response:	I'm being treated to dinner at Emiya-kun's place.
context: Why, it's Tohsaka-san!\It's unusual to run into you at Shirou's place... Hang on.\What are you doing at Shirou's place?!\Hang on, Tohsaka-san!\What are you doing here at this hour?\This is thoughtless of you!\What am I doing here?\I'm being treated to dinner at Emiya-kun's place. response:	I think it's far more thoughtless
context: It's unusual to run into you at Shirou's place... Hang on.\What are you doing at Shirou's place?!\Hang on, Tohsaka-san!\What are you doing here at this hour?\This is thoughtless of you!\What am I doing here?\I'm being treated to dinner at Emiya-kun's place.\I think it's far more thoughtless response:	of you to barge in without even ringing the doorbell, don't you?
context: What are you doing at Shirou's place?!\Hang on, Tohsaka-san!\What are you doing here at this hour?\This is thoughtless of you!\What am I doing here?\I'm being treated to dinner at Emiya-kun's place.\I think it's far more thoughtless\of you to barge in without even ringing the doorbell, don't you? response:	I-I'm the household chaperone!
context: Hang on, Tohsaka-san!\What are you doing here at this hour?\This is thoughtless of you!\What am I doing here?\I'm being treated to dinner at Emiya-kun's place.\I think it's far more thoughtless\of you to barge in without even ringing the doorbell, don't you?\I-I'm the household chaperone! response:	I was left in charge by Emiya-kun's father,
context: What are you doing here at this hour?\This is thoughtless of you!\What am I doing here?\I'm being treated to dinner at Emiya-kun's place.\I think it's far more thoughtless\of you to barge in without even ringing the doorbell, don't you?\I-I'm the household chaperone!\I was left in charge by Emiya-kun's father, response:	so we're practically family!
context: This is thoughtless of you!\What am I doing here?\I'm being treated to dinner at Emiya-kun's place.\I think it's far more thoughtless\of you to barge in without even ringing the doorbell, don't you?\I-I'm the household chaperone!\I was left in charge by Emiya-kun's father,\so we're practically family! response:	Oh, I see.
context: What am I doing here?\I'm being treated to dinner at Emiya-kun's place.\I think it's far more thoughtless\of you to barge in without even ringing the doorbell, don't you?\I-I'm the household chaperone!\I was left in charge by Emiya-kun's father,\so we're practically family!\Oh, I see. response:	After dinner, Emiya-kun and I will be studying for a test,
context: I'm being treated to dinner at Emiya-kun's place.\I think it's far more thoughtless\of you to barge in without even ringing the doorbell, don't you?\I-I'm the household chaperone!\I was left in charge by Emiya-kun's father,\so we're practically family!\Oh, I see.\After dinner, Emiya-kun and I will be studying for a test, response:	so don't mind us.
context: I think it's far more thoughtless\of you to barge in without even ringing the doorbell, don't you?\I-I'm the household chaperone!\I was left in charge by Emiya-kun's father,\so we're practically family!\Oh, I see.\After dinner, Emiya-kun and I will be studying for a test,\so don't mind us. response:	Ouch...
context: of you to barge in without even ringing the doorbell, don't you?\I-I'm the household chaperone!\I was left in charge by Emiya-kun's father,\so we're practically family!\Oh, I see.\After dinner, Emiya-kun and I will be studying for a test,\so don't mind us.\Ouch... response:	Shirou? I mean, Emiya-kun!
context: I-I'm the household chaperone!\I was left in charge by Emiya-kun's father,\so we're practically family!\Oh, I see.\After dinner, Emiya-kun and I will be studying for a test,\so don't mind us.\Ouch...\Shirou? I mean, Emiya-kun! response:	What's the meaning of this?
context: I was left in charge by Emiya-kun's father,\so we're practically family!\Oh, I see.\After dinner, Emiya-kun and I will be studying for a test,\so don't mind us.\Ouch...\Shirou? I mean, Emiya-kun!\What's the meaning of this? response:	If it's difficult to address him formally, don't push yourself to do so.
context: so we're practically family!\Oh, I see.\After dinner, Emiya-kun and I will be studying for a test,\so don't mind us.\Ouch...\Shirou? I mean, Emiya-kun!\What's the meaning of this?\If it's difficult to address him formally, don't push yourself to do so. response:	What you call Emiya-kun is none of my concern.
context: Oh, I see.\After dinner, Emiya-kun and I will be studying for a test,\so don't mind us.\Ouch...\Shirou? I mean, Emiya-kun!\What's the meaning of this?\If it's difficult to address him formally, don't push yourself to do so.\What you call Emiya-kun is none of my concern. response:	Tohsaka-san, did you hear about this from Sakura-chan?
context: After dinner, Emiya-kun and I will be studying for a test,\so don't mind us.\Ouch...\Shirou? I mean, Emiya-kun!\What's the meaning of this?\If it's difficult to address him formally, don't push yourself to do so.\What you call Emiya-kun is none of my concern.\Tohsaka-san, did you hear about this from Sakura-chan? response:	Who knows?
context: so don't mind us.\Ouch...\Shirou? I mean, Emiya-kun!\What's the meaning of this?\If it's difficult to address him formally, don't push yourself to do so.\What you call Emiya-kun is none of my concern.\Tohsaka-san, did you hear about this from Sakura-chan?\Who knows? response:	Unfortunately, anything that Matou-san told me must be treated as confidential.
context: Ouch...\Shirou? I mean, Emiya-kun!\What's the meaning of this?\If it's difficult to address him formally, don't push yourself to do so.\What you call Emiya-kun is none of my concern.\Tohsaka-san, did you hear about this from Sakura-chan?\Who knows?\Unfortunately, anything that Matou-san told me must be treated as confidential. response:	But I hope it's exactly as you think.
context: Shirou? I mean, Emiya-kun!\What's the meaning of this?\If it's difficult to address him formally, don't push yourself to do so.\What you call Emiya-kun is none of my concern.\Tohsaka-san, did you hear about this from Sakura-chan?\Who knows?\Unfortunately, anything that Matou-san told me must be treated as confidential.\But I hope it's exactly as you think. response:	Game, set, and match.
context: What's the meaning of this?\If it's difficult to address him formally, don't push yourself to do so.\What you call Emiya-kun is none of my concern.\Tohsaka-san, did you hear about this from Sakura-chan?\Who knows?\Unfortunately, anything that Matou-san told me must be treated as confidential.\But I hope it's exactly as you think.\Game, set, and match. response:	I'll leave these here.
context: If it's difficult to address him formally, don't push yourself to do so.\What you call Emiya-kun is none of my concern.\Tohsaka-san, did you hear about this from Sakura-chan?\Who knows?\Unfortunately, anything that Matou-san told me must be treated as confidential.\But I hope it's exactly as you think.\Game, set, and match.\I'll leave these here. response:	Oh, thanks.
context: What you call Emiya-kun is none of my concern.\Tohsaka-san, did you hear about this from Sakura-chan?\Who knows?\Unfortunately, anything that Matou-san told me must be treated as confidential.\But I hope it's exactly as you think.\Game, set, and match.\I'll leave these here.\Oh, thanks. response:	Shall I do the dishes?
context: Tohsaka-san, did you hear about this from Sakura-chan?\Who knows?\Unfortunately, anything that Matou-san told me must be treated as confidential.\But I hope it's exactly as you think.\Game, set, and match.\I'll leave these here.\Oh, thanks.\Shall I do the dishes? response:	It won't be fair if I do nothing in return for dinner.
context: Who knows?\Unfortunately, anything that Matou-san told me must be treated as confidential.\But I hope it's exactly as you think.\Game, set, and match.\I'll leave these here.\Oh, thanks.\Shall I do the dishes?\It won't be fair if I do nothing in return for dinner. response:	No, just owe me one.
context: Unfortunately, anything that Matou-san told me must be treated as confidential.\But I hope it's exactly as you think.\Game, set, and match.\I'll leave these here.\Oh, thanks.\Shall I do the dishes?\It won't be fair if I do nothing in return for dinner.\No, just owe me one. response:	Fujimura-sensei, is Emiya-kun always this clumsy?
context: But I hope it's exactly as you think.\Game, set, and match.\I'll leave these here.\Oh, thanks.\Shall I do the dishes?\It won't be fair if I do nothing in return for dinner.\No, just owe me one.\Fujimura-sensei, is Emiya-kun always this clumsy? response:	No way. As long as I've known him, he's never broken a dish.
context: Game, set, and match.\I'll leave these here.\Oh, thanks.\Shall I do the dishes?\It won't be fair if I do nothing in return for dinner.\No, just owe me one.\Fujimura-sensei, is Emiya-kun always this clumsy?\No way. As long as I've known him, he's never broken a dish. response:	I bet he's self-conscious because you're here...
context: I'll leave these here.\Oh, thanks.\Shall I do the dishes?\It won't be fair if I do nothing in return for dinner.\No, just owe me one.\Fujimura-sensei, is Emiya-kun always this clumsy?\No way. As long as I've known him, he's never broken a dish.\I bet he's self-conscious because you're here... response:	As a foreign invader, naturally.
context: Oh, thanks.\Shall I do the dishes?\It won't be fair if I do nothing in return for dinner.\No, just owe me one.\Fujimura-sensei, is Emiya-kun always this clumsy?\No way. As long as I've known him, he's never broken a dish.\I bet he's self-conscious because you're here...\As a foreign invader, naturally. response:	Emiya-kun...
context: Shall I do the dishes?\It won't be fair if I do nothing in return for dinner.\No, just owe me one.\Fujimura-sensei, is Emiya-kun always this clumsy?\No way. As long as I've known him, he's never broken a dish.\I bet he's self-conscious because you're here...\As a foreign invader, naturally.\Emiya-kun... response:	I'll take it from here, so go get some rest.
context: It won't be fair if I do nothing in return for dinner.\No, just owe me one.\Fujimura-sensei, is Emiya-kun always this clumsy?\No way. As long as I've known him, he's never broken a dish.\I bet he's self-conscious because you're here...\As a foreign invader, naturally.\Emiya-kun...\I'll take it from here, so go get some rest. response:	No, I'm fine.
context: No, just owe me one.\Fujimura-sensei, is Emiya-kun always this clumsy?\No way. As long as I've known him, he's never broken a dish.\I bet he's self-conscious because you're here...\As a foreign invader, naturally.\Emiya-kun...\I'll take it from here, so go get some rest.\No, I'm fine. response:	I've got this, so go drink some tea.
context: Fujimura-sensei, is Emiya-kun always this clumsy?\No way. As long as I've known him, he's never broken a dish.\I bet he's self-conscious because you're here...\As a foreign invader, naturally.\Emiya-kun...\I'll take it from here, so go get some rest.\No, I'm fine.\I've got this, so go drink some tea. response:	Are you sure you shouldn't help?
context: No way. As long as I've known him, he's never broken a dish.\I bet he's self-conscious because you're here...\As a foreign invader, naturally.\Emiya-kun...\I'll take it from here, so go get some rest.\No, I'm fine.\I've got this, so go drink some tea.\Are you sure you shouldn't help? response:	You asked her over, and if you leave her alone, she's gonna hate you.
context: I bet he's self-conscious because you're here...\As a foreign invader, naturally.\Emiya-kun...\I'll take it from here, so go get some rest.\No, I'm fine.\I've got this, so go drink some tea.\Are you sure you shouldn't help?\You asked her over, and if you leave her alone, she's gonna hate you. response:	Wh-Why are you reading too far into this, you idiot?
context: As a foreign invader, naturally.\Emiya-kun...\I'll take it from here, so go get some rest.\No, I'm fine.\I've got this, so go drink some tea.\Are you sure you shouldn't help?\You asked her over, and if you leave her alone, she's gonna hate you.\Wh-Why are you reading too far into this, you idiot? response:	I didn't invite her over!
context: Emiya-kun...\I'll take it from here, so go get some rest.\No, I'm fine.\I've got this, so go drink some tea.\Are you sure you shouldn't help?\You asked her over, and if you leave her alone, she's gonna hate you.\Wh-Why are you reading too far into this, you idiot?\I didn't invite her over! response:	And anyway, I don't really care if Tohsaka hates me.
context: I'll take it from here, so go get some rest.\No, I'm fine.\I've got this, so go drink some tea.\Are you sure you shouldn't help?\You asked her over, and if you leave her alone, she's gonna hate you.\Wh-Why are you reading too far into this, you idiot?\I didn't invite her over!\And anyway, I don't really care if Tohsaka hates me. response:	Huh? Where's Tohsaka?
context: No, I'm fine.\I've got this, so go drink some tea.\Are you sure you shouldn't help?\You asked her over, and if you leave her alone, she's gonna hate you.\Wh-Why are you reading too far into this, you idiot?\I didn't invite her over!\And anyway, I don't really care if Tohsaka hates me.\Huh? Where's Tohsaka? response:	I believe she went out into the courtyard.
context: I've got this, so go drink some tea.\Are you sure you shouldn't help?\You asked her over, and if you leave her alone, she's gonna hate you.\Wh-Why are you reading too far into this, you idiot?\I didn't invite her over!\And anyway, I don't really care if Tohsaka hates me.\Huh? Where's Tohsaka?\I believe she went out into the courtyard. response:	The courtyard?
context: Are you sure you shouldn't help?\You asked her over, and if you leave her alone, she's gonna hate you.\Wh-Why are you reading too far into this, you idiot?\I didn't invite her over!\And anyway, I don't really care if Tohsaka hates me.\Huh? Where's Tohsaka?\I believe she went out into the courtyard.\The courtyard? response:	Tohsaka?
context: You asked her over, and if you leave her alone, she's gonna hate you.\Wh-Why are you reading too far into this, you idiot?\I didn't invite her over!\And anyway, I don't really care if Tohsaka hates me.\Huh? Where's Tohsaka?\I believe she went out into the courtyard.\The courtyard?\Tohsaka? response:	I like your Bounded Field.
context: Wh-Why are you reading too far into this, you idiot?\I didn't invite her over!\And anyway, I don't really care if Tohsaka hates me.\Huh? Where's Tohsaka?\I believe she went out into the courtyard.\The courtyard?\Tohsaka?\I like your Bounded Field. response:	Unlike the one at my house, you can sense human emotion in this one.
context: I didn't invite her over!\And anyway, I don't really care if Tohsaka hates me.\Huh? Where's Tohsaka?\I believe she went out into the courtyard.\The courtyard?\Tohsaka?\I like your Bounded Field.\Unlike the one at my house, you can sense human emotion in this one. response:	Care to join me?
context: And anyway, I don't really care if Tohsaka hates me.\Huh? Where's Tohsaka?\I believe she went out into the courtyard.\The courtyard?\Tohsaka?\I like your Bounded Field.\Unlike the one at my house, you can sense human emotion in this one.\Care to join me? response:	What?
context: Huh? Where's Tohsaka?\I believe she went out into the courtyard.\The courtyard?\Tohsaka?\I like your Bounded Field.\Unlike the one at my house, you can sense human emotion in this one.\Care to join me?\What? response:	I was just curious.
context: I believe she went out into the courtyard.\The courtyard?\Tohsaka?\I like your Bounded Field.\Unlike the one at my house, you can sense human emotion in this one.\Care to join me?\What?\I was just curious. response:	This house is unique.
context: The courtyard?\Tohsaka?\I like your Bounded Field.\Unlike the one at my house, you can sense human emotion in this one.\Care to join me?\What?\I was just curious.\This house is unique. response:	It occurred to me that maybe you're better off the way you are.
context: Tohsaka?\I like your Bounded Field.\Unlike the one at my house, you can sense human emotion in this one.\Care to join me?\What?\I was just curious.\This house is unique.\It occurred to me that maybe you're better off the way you are. response:	A hopeless amateur, you mean?
context: I like your Bounded Field.\Unlike the one at my house, you can sense human emotion in this one.\Care to join me?\What?\I was just curious.\This house is unique.\It occurred to me that maybe you're better off the way you are.\A hopeless amateur, you mean? response:	I didn't mean it that way, but maybe that's exactly it.
context: Unlike the one at my house, you can sense human emotion in this one.\Care to join me?\What?\I was just curious.\This house is unique.\It occurred to me that maybe you're better off the way you are.\A hopeless amateur, you mean?\I didn't mean it that way, but maybe that's exactly it. response:	I don't know what Emiya Kiritsugu was like as a mage,
context: Care to join me?\What?\I was just curious.\This house is unique.\It occurred to me that maybe you're better off the way you are.\A hopeless amateur, you mean?\I didn't mean it that way, but maybe that's exactly it.\I don't know what Emiya Kiritsugu was like as a mage, response:	but this compound is incredibly natural.
context: What?\I was just curious.\This house is unique.\It occurred to me that maybe you're better off the way you are.\A hopeless amateur, you mean?\I didn't mean it that way, but maybe that's exactly it.\I don't know what Emiya Kiritsugu was like as a mage,\but this compound is incredibly natural. response:	For a mage's workshop, it's quite open.
context: I was just curious.\This house is unique.\It occurred to me that maybe you're better off the way you are.\A hopeless amateur, you mean?\I didn't mean it that way, but maybe that's exactly it.\I don't know what Emiya Kiritsugu was like as a mage,\but this compound is incredibly natural.\For a mage's workshop, it's quite open. response:	It isn't like that at your house?
context: This house is unique.\It occurred to me that maybe you're better off the way you are.\A hopeless amateur, you mean?\I didn't mean it that way, but maybe that's exactly it.\I don't know what Emiya Kiritsugu was like as a mage,\but this compound is incredibly natural.\For a mage's workshop, it's quite open.\It isn't like that at your house? response:	No, it isn't.
context: It occurred to me that maybe you're better off the way you are.\A hopeless amateur, you mean?\I didn't mean it that way, but maybe that's exactly it.\I don't know what Emiya Kiritsugu was like as a mage,\but this compound is incredibly natural.\For a mage's workshop, it's quite open.\It isn't like that at your house?\No, it isn't. response:	It tries to keep people out, but once you're in, it doesn't let you leave.
context: A hopeless amateur, you mean?\I didn't mean it that way, but maybe that's exactly it.\I don't know what Emiya Kiritsugu was like as a mage,\but this compound is incredibly natural.\For a mage's workshop, it's quite open.\It isn't like that at your house?\No, it isn't.\It tries to keep people out, but once you're in, it doesn't let you leave. response:	At times, I think it's wrong, but it isn't something I can change.
context: I didn't mean it that way, but maybe that's exactly it.\I don't know what Emiya Kiritsugu was like as a mage,\but this compound is incredibly natural.\For a mage's workshop, it's quite open.\It isn't like that at your house?\No, it isn't.\It tries to keep people out, but once you're in, it doesn't let you leave.\At times, I think it's wrong, but it isn't something I can change. response:	Personally, I like it the way it is.
context: I don't know what Emiya Kiritsugu was like as a mage,\but this compound is incredibly natural.\For a mage's workshop, it's quite open.\It isn't like that at your house?\No, it isn't.\It tries to keep people out, but once you're in, it doesn't let you leave.\At times, I think it's wrong, but it isn't something I can change.\Personally, I like it the way it is. response:	I was probably chosen as the heir because my personality is this way.
context: but this compound is incredibly natural.\For a mage's workshop, it's quite open.\It isn't like that at your house?\No, it isn't.\It tries to keep people out, but once you're in, it doesn't let you leave.\At times, I think it's wrong, but it isn't something I can change.\Personally, I like it the way it is.\I was probably chosen as the heir because my personality is this way. response:	Was it hard for you?
context: For a mage's workshop, it's quite open.\It isn't like that at your house?\No, it isn't.\It tries to keep people out, but once you're in, it doesn't let you leave.\At times, I think it's wrong, but it isn't something I can change.\Personally, I like it the way it is.\I was probably chosen as the heir because my personality is this way.\Was it hard for you? response:	Training to be a mage?
context: It isn't like that at your house?\No, it isn't.\It tries to keep people out, but once you're in, it doesn't let you leave.\At times, I think it's wrong, but it isn't something I can change.\Personally, I like it the way it is.\I was probably chosen as the heir because my personality is this way.\Was it hard for you?\Training to be a mage? response:	Sorry to say, but I never found it hard.
context: No, it isn't.\It tries to keep people out, but once you're in, it doesn't let you leave.\At times, I think it's wrong, but it isn't something I can change.\Personally, I like it the way it is.\I was probably chosen as the heir because my personality is this way.\Was it hard for you?\Training to be a mage?\Sorry to say, but I never found it hard. response:	Plus, learning new things was fun.
context: It tries to keep people out, but once you're in, it doesn't let you leave.\At times, I think it's wrong, but it isn't something I can change.\Personally, I like it the way it is.\I was probably chosen as the heir because my personality is this way.\Was it hard for you?\Training to be a mage?\Sorry to say, but I never found it hard.\Plus, learning new things was fun. response:	Didn't I just tell you? That's how I'm wired.
context: At times, I think it's wrong, but it isn't something I can change.\Personally, I like it the way it is.\I was probably chosen as the heir because my personality is this way.\Was it hard for you?\Training to be a mage?\Sorry to say, but I never found it hard.\Plus, learning new things was fun.\Didn't I just tell you? That's how I'm wired. response:	So if you're worried about me, it's misplaced.
context: Personally, I like it the way it is.\I was probably chosen as the heir because my personality is this way.\Was it hard for you?\Training to be a mage?\Sorry to say, but I never found it hard.\Plus, learning new things was fun.\Didn't I just tell you? That's how I'm wired.\So if you're worried about me, it's misplaced. response:	Okay.
context: I was probably chosen as the heir because my personality is this way.\Was it hard for you?\Training to be a mage?\Sorry to say, but I never found it hard.\Plus, learning new things was fun.\Didn't I just tell you? That's how I'm wired.\So if you're worried about me, it's misplaced.\Okay. response:	Then why are you at school?
context: Was it hard for you?\Training to be a mage?\Sorry to say, but I never found it hard.\Plus, learning new things was fun.\Didn't I just tell you? That's how I'm wired.\So if you're worried about me, it's misplaced.\Okay.\Then why are you at school? response:	If you're going to live a mage's life, isn't it sort of pointless?
context: Training to be a mage?\Sorry to say, but I never found it hard.\Plus, learning new things was fun.\Didn't I just tell you? That's how I'm wired.\So if you're worried about me, it's misplaced.\Okay.\Then why are you at school?\If you're going to live a mage's life, isn't it sort of pointless? response:	It may be a detour, but it's not pointless.
context: Sorry to say, but I never found it hard.\Plus, learning new things was fun.\Didn't I just tell you? That's how I'm wired.\So if you're worried about me, it's misplaced.\Okay.\Then why are you at school?\If you're going to live a mage's life, isn't it sort of pointless?\It may be a detour, but it's not pointless. response:	It's fun to be a student.
context: Plus, learning new things was fun.\Didn't I just tell you? That's how I'm wired.\So if you're worried about me, it's misplaced.\Okay.\Then why are you at school?\If you're going to live a mage's life, isn't it sort of pointless?\It may be a detour, but it's not pointless.\It's fun to be a student. response:	And at heart, I'm a hedonist.
context: Didn't I just tell you? That's how I'm wired.\So if you're worried about me, it's misplaced.\Okay.\Then why are you at school?\If you're going to live a mage's life, isn't it sort of pointless?\It may be a detour, but it's not pointless.\It's fun to be a student.\And at heart, I'm a hedonist. response:	Succeeding my father is my duty,
context: So if you're worried about me, it's misplaced.\Okay.\Then why are you at school?\If you're going to live a mage's life, isn't it sort of pointless?\It may be a detour, but it's not pointless.\It's fun to be a student.\And at heart, I'm a hedonist.\Succeeding my father is my duty, response:	but I wouldn't do it if I didn't enjoy it.
context: Okay.\Then why are you at school?\If you're going to live a mage's life, isn't it sort of pointless?\It may be a detour, but it's not pointless.\It's fun to be a student.\And at heart, I'm a hedonist.\Succeeding my father is my duty,\but I wouldn't do it if I didn't enjoy it. response:	Even the reason for my partnership with you is because you're interesting.
context: Then why are you at school?\If you're going to live a mage's life, isn't it sort of pointless?\It may be a detour, but it's not pointless.\It's fun to be a student.\And at heart, I'm a hedonist.\Succeeding my father is my duty,\but I wouldn't do it if I didn't enjoy it.\Even the reason for my partnership with you is because you're interesting. response:	I see.
context: If you're going to live a mage's life, isn't it sort of pointless?\It may be a detour, but it's not pointless.\It's fun to be a student.\And at heart, I'm a hedonist.\Succeeding my father is my duty,\but I wouldn't do it if I didn't enjoy it.\Even the reason for my partnership with you is because you're interesting.\I see. response:	Well, I'm glad you're having fun.
context: It may be a detour, but it's not pointless.\It's fun to be a student.\And at heart, I'm a hedonist.\Succeeding my father is my duty,\but I wouldn't do it if I didn't enjoy it.\Even the reason for my partnership with you is because you're interesting.\I see.\Well, I'm glad you're having fun. response:	Thanks.
context: It's fun to be a student.\And at heart, I'm a hedonist.\Succeeding my father is my duty,\but I wouldn't do it if I didn't enjoy it.\Even the reason for my partnership with you is because you're interesting.\I see.\Well, I'm glad you're having fun.\Thanks. response:	And? It's been fun for you, too, right?
context: And at heart, I'm a hedonist.\Succeeding my father is my duty,\but I wouldn't do it if I didn't enjoy it.\Even the reason for my partnership with you is because you're interesting.\I see.\Well, I'm glad you're having fun.\Thanks.\And? It's been fun for you, too, right? response:	Why aren't you saying anything?
context: Succeeding my father is my duty,\but I wouldn't do it if I didn't enjoy it.\Even the reason for my partnership with you is because you're interesting.\I see.\Well, I'm glad you're having fun.\Thanks.\And? It's been fun for you, too, right?\Why aren't you saying anything? response:	Well, I just...
context: but I wouldn't do it if I didn't enjoy it.\Even the reason for my partnership with you is because you're interesting.\I see.\Well, I'm glad you're having fun.\Thanks.\And? It's been fun for you, too, right?\Why aren't you saying anything?\Well, I just... response:	Give me a straight answer, Emiya-kun.
context: Even the reason for my partnership with you is because you're interesting.\I see.\Well, I'm glad you're having fun.\Thanks.\And? It's been fun for you, too, right?\Why aren't you saying anything?\Well, I just...\Give me a straight answer, Emiya-kun. response:	Because I might have completely misunderstood you.
context: I see.\Well, I'm glad you're having fun.\Thanks.\And? It's been fun for you, too, right?\Why aren't you saying anything?\Well, I just...\Give me a straight answer, Emiya-kun.\Because I might have completely misunderstood you. response:	I guess I never thought of mage training as fun.
context: Well, I'm glad you're having fun.\Thanks.\And? It's been fun for you, too, right?\Why aren't you saying anything?\Well, I just...\Give me a straight answer, Emiya-kun.\Because I might have completely misunderstood you.\I guess I never thought of mage training as fun. response:	Even magic itself.
context: Thanks.\And? It's been fun for you, too, right?\Why aren't you saying anything?\Well, I just...\Give me a straight answer, Emiya-kun.\Because I might have completely misunderstood you.\I guess I never thought of mage training as fun.\Even magic itself. response:	But if the people around me were happy, I was happy.
context: And? It's been fun for you, too, right?\Why aren't you saying anything?\Well, I just...\Give me a straight answer, Emiya-kun.\Because I might have completely misunderstood you.\I guess I never thought of mage training as fun.\Even magic itself.\But if the people around me were happy, I was happy. response:	So if I studied magic, I might be able to help someone someday...
context: Why aren't you saying anything?\Well, I just...\Give me a straight answer, Emiya-kun.\Because I might have completely misunderstood you.\I guess I never thought of mage training as fun.\Even magic itself.\But if the people around me were happy, I was happy.\So if I studied magic, I might be able to help someone someday... response:	I wanted to be a hero of justice, just like Kiritsugu.
context: Well, I just...\Give me a straight answer, Emiya-kun.\Because I might have completely misunderstood you.\I guess I never thought of mage training as fun.\Even magic itself.\But if the people around me were happy, I was happy.\So if I studied magic, I might be able to help someone someday...\I wanted to be a hero of justice, just like Kiritsugu. response:	That's why I studied magic.
context: Give me a straight answer, Emiya-kun.\Because I might have completely misunderstood you.\I guess I never thought of mage training as fun.\Even magic itself.\But if the people around me were happy, I was happy.\So if I studied magic, I might be able to help someone someday...\I wanted to be a hero of justice, just like Kiritsugu.\That's why I studied magic. response:	Anyway, that's my reason.
context: Because I might have completely misunderstood you.\I guess I never thought of mage training as fun.\Even magic itself.\But if the people around me were happy, I was happy.\So if I studied magic, I might be able to help someone someday...\I wanted to be a hero of justice, just like Kiritsugu.\That's why I studied magic.\Anyway, that's my reason. response:	So then, you didn't study magic for yourself?
context: I guess I never thought of mage training as fun.\Even magic itself.\But if the people around me were happy, I was happy.\So if I studied magic, I might be able to help someone someday...\I wanted to be a hero of justice, just like Kiritsugu.\That's why I studied magic.\Anyway, that's my reason.\So then, you didn't study magic for yourself? response:	Didn't I, though?
context: Even magic itself.\But if the people around me were happy, I was happy.\So if I studied magic, I might be able to help someone someday...\I wanted to be a hero of justice, just like Kiritsugu.\That's why I studied magic.\Anyway, that's my reason.\So then, you didn't study magic for yourself?\Didn't I, though? response:	Because it makes me happy to be useful to others.
context: But if the people around me were happy, I was happy.\So if I studied magic, I might be able to help someone someday...\I wanted to be a hero of justice, just like Kiritsugu.\That's why I studied magic.\Anyway, that's my reason.\So then, you didn't study magic for yourself?\Didn't I, though?\Because it makes me happy to be useful to others. response:	Look, that's just being happy, not having fun!
context: So if I studied magic, I might be able to help someone someday...\I wanted to be a hero of justice, just like Kiritsugu.\That's why I studied magic.\Anyway, that's my reason.\So then, you didn't study magic for yourself?\Didn't I, though?\Because it makes me happy to be useful to others.\Look, that's just being happy, not having fun! response:	Listen, what I'm asking is if you personally enjoy it.
context: I wanted to be a hero of justice, just like Kiritsugu.\That's why I studied magic.\Anyway, that's my reason.\So then, you didn't study magic for yourself?\Didn't I, though?\Because it makes me happy to be useful to others.\Look, that's just being happy, not having fun!\Listen, what I'm asking is if you personally enjoy it. response:	I don't care about others,
context: That's why I studied magic.\Anyway, that's my reason.\So then, you didn't study magic for yourself?\Didn't I, though?\Because it makes me happy to be useful to others.\Look, that's just being happy, not having fun!\Listen, what I'm asking is if you personally enjoy it.\I don't care about others, response:	I'm asking if there's anything about magic that you consider fun!
context: Anyway, that's my reason.\So then, you didn't study magic for yourself?\Didn't I, though?\Because it makes me happy to be useful to others.\Look, that's just being happy, not having fun!\Listen, what I'm asking is if you personally enjoy it.\I don't care about others,\I'm asking if there's anything about magic that you consider fun! response:	It's hard to say if I personally enjoy it...
context: So then, you didn't study magic for yourself?\Didn't I, though?\Because it makes me happy to be useful to others.\Look, that's just being happy, not having fun!\Listen, what I'm asking is if you personally enjoy it.\I don't care about others,\I'm asking if there's anything about magic that you consider fun!\It's hard to say if I personally enjoy it... response:	I sort of feel like I don't deserve more wishes...
context: Didn't I, though?\Because it makes me happy to be useful to others.\Look, that's just being happy, not having fun!\Listen, what I'm asking is if you personally enjoy it.\I don't care about others,\I'm asking if there's anything about magic that you consider fun!\It's hard to say if I personally enjoy it...\I sort of feel like I don't deserve more wishes... response:	Hey!
context: Because it makes me happy to be useful to others.\Look, that's just being happy, not having fun!\Listen, what I'm asking is if you personally enjoy it.\I don't care about others,\I'm asking if there's anything about magic that you consider fun!\It's hard to say if I personally enjoy it...\I sort of feel like I don't deserve more wishes...\Hey! response:	Give me a straight answer!
