context: It's finally the second semester... response:	I'm not too sure if I feel happy or empty... it's a complicated feeling.
context: In this situation, there is a belief that the less popular group should be abolished...\B-But...!\This is too much!\If that's the case, fine.\Kurumu-chan?\In other words, we just need to prove that we're more popular than the Super Newspaper Club, right?!\Hey wait, Kurumu-chan!\That's right! We have to talk to Gin-senpai first! He's our president, after all. response:	Just leave him be!
context: B-But...!\This is too much!\If that's the case, fine.\Kurumu-chan?\In other words, we just need to prove that we're more popular than the Super Newspaper Club, right?!\Hey wait, Kurumu-chan!\That's right! We have to talk to Gin-senpai first! He's our president, after all.\Just leave him be! response:	Besides, he's probably taking pictures of girls changing again!
context: This is too much!\If that's the case, fine.\Kurumu-chan?\In other words, we just need to prove that we're more popular than the Super Newspaper Club, right?!\Hey wait, Kurumu-chan!\That's right! We have to talk to Gin-senpai first! He's our president, after all.\Just leave him be!\Besides, he's probably taking pictures of girls changing again! response:	Nice, nice!
context: If that's the case, fine.\Kurumu-chan?\In other words, we just need to prove that we're more popular than the Super Newspaper Club, right?!\Hey wait, Kurumu-chan!\That's right! We have to talk to Gin-senpai first! He's our president, after all.\Just leave him be!\Besides, he's probably taking pictures of girls changing again!\Nice, nice! response:	Which is exactly what he was doing.
context: Kurumu-chan?\In other words, we just need to prove that we're more popular than the Super Newspaper Club, right?!\Hey wait, Kurumu-chan!\That's right! We have to talk to Gin-senpai first! He's our president, after all.\Just leave him be!\Besides, he's probably taking pictures of girls changing again!\Nice, nice!\Which is exactly what he was doing. response:	Ah, man! That's harsh!
context: In other words, we just need to prove that we're more popular than the Super Newspaper Club, right?!\Hey wait, Kurumu-chan!\That's right! We have to talk to Gin-senpai first! He's our president, after all.\Just leave him be!\Besides, he's probably taking pictures of girls changing again!\Nice, nice!\Which is exactly what he was doing.\Ah, man! That's harsh! response:	That's...
context: Hey wait, Kurumu-chan!\That's right! We have to talk to Gin-senpai first! He's our president, after all.\Just leave him be!\Besides, he's probably taking pictures of girls changing again!\Nice, nice!\Which is exactly what he was doing.\Ah, man! That's harsh!\That's... response:	Youkai Academy's...
context: That's right! We have to talk to Gin-senpai first! He's our president, after all.\Just leave him be!\Besides, he's probably taking pictures of girls changing again!\Nice, nice!\Which is exactly what he was doing.\Ah, man! That's harsh!\That's...\Youkai Academy's... response:	Newspaper Club! Yahoohoohoo!
context: Just leave him be!\Besides, he's probably taking pictures of girls changing again!\Nice, nice!\Which is exactly what he was doing.\Ah, man! That's harsh!\That's...\Youkai Academy's...\Newspaper Club! Yahoohoohoo! response:	Please read our latest, content-filled issue, master!
context: Besides, he's probably taking pictures of girls changing again!\Nice, nice!\Which is exactly what he was doing.\Ah, man! That's harsh!\That's...\Youkai Academy's...\Newspaper Club! Yahoohoohoo!\Please read our latest, content-filled issue, master! response:	Ku-Kurumu-san, this outfit is too embarrassing!
context: Nice, nice!\Which is exactly what he was doing.\Ah, man! That's harsh!\That's...\Youkai Academy's...\Newspaper Club! Yahoohoohoo!\Please read our latest, content-filled issue, master!\Ku-Kurumu-san, this outfit is too embarrassing! response:	Just bear with it. We need to increase our Masters, I mean our readers.
context: Which is exactly what he was doing.\Ah, man! That's harsh!\That's...\Youkai Academy's...\Newspaper Club! Yahoohoohoo!\Please read our latest, content-filled issue, master!\Ku-Kurumu-san, this outfit is too embarrassing!\Just bear with it. We need to increase our Masters, I mean our readers. response:	I know, but...
context: Ah, man! That's harsh!\That's...\Youkai Academy's...\Newspaper Club! Yahoohoohoo!\Please read our latest, content-filled issue, master!\Ku-Kurumu-san, this outfit is too embarrassing!\Just bear with it. We need to increase our Masters, I mean our readers.\I know, but... response:	Now, for all the Masters of the Youkai Newspaper here,
context: That's...\Youkai Academy's...\Newspaper Club! Yahoohoohoo!\Please read our latest, content-filled issue, master!\Ku-Kurumu-san, this outfit is too embarrassing!\Just bear with it. We need to increase our Masters, I mean our readers.\I know, but...\Now, for all the Masters of the Youkai Newspaper here, response:	You'll get homemade cookies from me, Kuruno Kurumu!
context: Youkai Academy's...\Newspaper Club! Yahoohoohoo!\Please read our latest, content-filled issue, master!\Ku-Kurumu-san, this outfit is too embarrassing!\Just bear with it. We need to increase our Masters, I mean our readers.\I know, but...\Now, for all the Masters of the Youkai Newspaper here,\You'll get homemade cookies from me, Kuruno Kurumu! response:	Yeah!
context: Newspaper Club! Yahoohoohoo!\Please read our latest, content-filled issue, master!\Ku-Kurumu-san, this outfit is too embarrassing!\Just bear with it. We need to increase our Masters, I mean our readers.\I know, but...\Now, for all the Masters of the Youkai Newspaper here,\You'll get homemade cookies from me, Kuruno Kurumu!\Yeah! response:	Maid Clothes are the best!
context: Please read our latest, content-filled issue, master!\Ku-Kurumu-san, this outfit is too embarrassing!\Just bear with it. We need to increase our Masters, I mean our readers.\I know, but...\Now, for all the Masters of the Youkai Newspaper here,\You'll get homemade cookies from me, Kuruno Kurumu!\Yeah!\Maid Clothes are the best! response:	Alright Who's the best newspaper in the school?
context: Ku-Kurumu-san, this outfit is too embarrassing!\Just bear with it. We need to increase our Masters, I mean our readers.\I know, but...\Now, for all the Masters of the Youkai Newspaper here,\You'll get homemade cookies from me, Kuruno Kurumu!\Yeah!\Maid Clothes are the best!\Alright Who's the best newspaper in the school? response:	Youkai Newspaper!
context: Just bear with it. We need to increase our Masters, I mean our readers.\I know, but...\Now, for all the Masters of the Youkai Newspaper here,\You'll get homemade cookies from me, Kuruno Kurumu!\Yeah!\Maid Clothes are the best!\Alright Who's the best newspaper in the school?\Youkai Newspaper! response:	I win.
context: I know, but...\Now, for all the Masters of the Youkai Newspaper here,\You'll get homemade cookies from me, Kuruno Kurumu!\Yeah!\Maid Clothes are the best!\Alright Who's the best newspaper in the school?\Youkai Newspaper!\I win. response:	This is Youkai Square!
context: Now, for all the Masters of the Youkai Newspaper here,\You'll get homemade cookies from me, Kuruno Kurumu!\Yeah!\Maid Clothes are the best!\Alright Who's the best newspaper in the school?\Youkai Newspaper!\I win.\This is Youkai Square! response:	If you subscribe now, we'll give you our secret unprocessed pictures as a present!
context: You'll get homemade cookies from me, Kuruno Kurumu!\Yeah!\Maid Clothes are the best!\Alright Who's the best newspaper in the school?\Youkai Newspaper!\I win.\This is Youkai Square!\If you subscribe now, we'll give you our secret unprocessed pictures as a present! response:	Please don't use them for strange reasons, okay?
context: Yeah!\Maid Clothes are the best!\Alright Who's the best newspaper in the school?\Youkai Newspaper!\I win.\This is Youkai Square!\If you subscribe now, we'll give you our secret unprocessed pictures as a present!\Please don't use them for strange reasons, okay? response:	Ah, swimsuits!
context: Maid Clothes are the best!\Alright Who's the best newspaper in the school?\Youkai Newspaper!\I win.\This is Youkai Square!\If you subscribe now, we'll give you our secret unprocessed pictures as a present!\Please don't use them for strange reasons, okay?\Ah, swimsuits! response:	Wearing swimsuits in school isn't something you normally see, but that's fine with me!
context: Alright Who's the best newspaper in the school?\Youkai Newspaper!\I win.\This is Youkai Square!\If you subscribe now, we'll give you our secret unprocessed pictures as a present!\Please don't use them for strange reasons, okay?\Ah, swimsuits!\Wearing swimsuits in school isn't something you normally see, but that's fine with me! response:	Let me at'em too!
context: Youkai Newspaper!\I win.\This is Youkai Square!\If you subscribe now, we'll give you our secret unprocessed pictures as a present!\Please don't use them for strange reasons, okay?\Ah, swimsuits!\Wearing swimsuits in school isn't something you normally see, but that's fine with me!\Let me at'em too! response:	Hey... is that legitimate?
context: I win.\This is Youkai Square!\If you subscribe now, we'll give you our secret unprocessed pictures as a present!\Please don't use them for strange reasons, okay?\Ah, swimsuits!\Wearing swimsuits in school isn't something you normally see, but that's fine with me!\Let me at'em too!\Hey... is that legitimate? response:	Forget'legitimate', they're actually doing it!
context: This is Youkai Square!\If you subscribe now, we'll give you our secret unprocessed pictures as a present!\Please don't use them for strange reasons, okay?\Ah, swimsuits!\Wearing swimsuits in school isn't something you normally see, but that's fine with me!\Let me at'em too!\Hey... is that legitimate?\Forget'legitimate', they're actually doing it! response:	You guys are cute enough!
context: If you subscribe now, we'll give you our secret unprocessed pictures as a present!\Please don't use them for strange reasons, okay?\Ah, swimsuits!\Wearing swimsuits in school isn't something you normally see, but that's fine with me!\Let me at'em too!\Hey... is that legitimate?\Forget'legitimate', they're actually doing it!\You guys are cute enough! response:	No, nevermind.
context: Please don't use them for strange reasons, okay?\Ah, swimsuits!\Wearing swimsuits in school isn't something you normally see, but that's fine with me!\Let me at'em too!\Hey... is that legitimate?\Forget'legitimate', they're actually doing it!\You guys are cute enough!\No, nevermind. response:	Everyone, who's the most interesting newspaper?
context: Ah, swimsuits!\Wearing swimsuits in school isn't something you normally see, but that's fine with me!\Let me at'em too!\Hey... is that legitimate?\Forget'legitimate', they're actually doing it!\You guys are cute enough!\No, nevermind.\Everyone, who's the most interesting newspaper? response:	Youkai Square!
context: Wearing swimsuits in school isn't something you normally see, but that's fine with me!\Let me at'em too!\Hey... is that legitimate?\Forget'legitimate', they're actually doing it!\You guys are cute enough!\No, nevermind.\Everyone, who's the most interesting newspaper?\Youkai Square! response:	We can't lose here, Yukari-chan! Let's go with a more embarrassing outfit...
context: Let me at'em too!\Hey... is that legitimate?\Forget'legitimate', they're actually doing it!\You guys are cute enough!\No, nevermind.\Everyone, who's the most interesting newspaper?\Youkai Square!\We can't lose here, Yukari-chan! Let's go with a more embarrassing outfit... response:	You're pretty cute! I think your flat chest is so much better than the swimsuits...
context: Hey... is that legitimate?\Forget'legitimate', they're actually doing it!\You guys are cute enough!\No, nevermind.\Everyone, who's the most interesting newspaper?\Youkai Square!\We can't lose here, Yukari-chan! Let's go with a more embarrassing outfit...\You're pretty cute! I think your flat chest is so much better than the swimsuits... response:	NO!!!
context: Forget'legitimate', they're actually doing it!\You guys are cute enough!\No, nevermind.\Everyone, who's the most interesting newspaper?\Youkai Square!\We can't lose here, Yukari-chan! Let's go with a more embarrassing outfit...\You're pretty cute! I think your flat chest is so much better than the swimsuits...\NO!!! response:	Wait, Yukari-chan!
context: You guys are cute enough!\No, nevermind.\Everyone, who's the most interesting newspaper?\Youkai Square!\We can't lose here, Yukari-chan! Let's go with a more embarrassing outfit...\You're pretty cute! I think your flat chest is so much better than the swimsuits...\NO!!!\Wait, Yukari-chan! response:	Just a little bit more...
context: No, nevermind.\Everyone, who's the most interesting newspaper?\Youkai Square!\We can't lose here, Yukari-chan! Let's go with a more embarrassing outfit...\You're pretty cute! I think your flat chest is so much better than the swimsuits...\NO!!!\Wait, Yukari-chan!\Just a little bit more... response:	That was scary...
context: Everyone, who's the most interesting newspaper?\Youkai Square!\We can't lose here, Yukari-chan! Let's go with a more embarrassing outfit...\You're pretty cute! I think your flat chest is so much better than the swimsuits...\NO!!!\Wait, Yukari-chan!\Just a little bit more...\That was scary... response:	Yukari-chan, don't be discouraged... we're distributing in front of the school next!
context: Youkai Square!\We can't lose here, Yukari-chan! Let's go with a more embarrassing outfit...\You're pretty cute! I think your flat chest is so much better than the swimsuits...\NO!!!\Wait, Yukari-chan!\Just a little bit more...\That was scary...\Yukari-chan, don't be discouraged... we're distributing in front of the school next! response:	Eh? We're still going to distribute them?
context: We can't lose here, Yukari-chan! Let's go with a more embarrassing outfit...\You're pretty cute! I think your flat chest is so much better than the swimsuits...\NO!!!\Wait, Yukari-chan!\Just a little bit more...\That was scary...\Yukari-chan, don't be discouraged... we're distributing in front of the school next!\Eh? We're still going to distribute them? response:	Of course! I can't back down now!
context: You're pretty cute! I think your flat chest is so much better than the swimsuits...\NO!!!\Wait, Yukari-chan!\Just a little bit more...\That was scary...\Yukari-chan, don't be discouraged... we're distributing in front of the school next!\Eh? We're still going to distribute them?\Of course! I can't back down now! response:	This time, we'll wear swimsuits too, and fairly revealing ones at that!
context: NO!!!\Wait, Yukari-chan!\Just a little bit more...\That was scary...\Yukari-chan, don't be discouraged... we're distributing in front of the school next!\Eh? We're still going to distribute them?\Of course! I can't back down now!\This time, we'll wear swimsuits too, and fairly revealing ones at that! response:	You guys, that's enough.
context: Wait, Yukari-chan!\Just a little bit more...\That was scary...\Yukari-chan, don't be discouraged... we're distributing in front of the school next!\Eh? We're still going to distribute them?\Of course! I can't back down now!\This time, we'll wear swimsuits too, and fairly revealing ones at that!\You guys, that's enough. response:	In the end, things were looking bad, so we talked to Gin-senpai...
context: Just a little bit more...\That was scary...\Yukari-chan, don't be discouraged... we're distributing in front of the school next!\Eh? We're still going to distribute them?\Of course! I can't back down now!\This time, we'll wear swimsuits too, and fairly revealing ones at that!\You guys, that's enough.\In the end, things were looking bad, so we talked to Gin-senpai... response:	And then...
context: That was scary...\Yukari-chan, don't be discouraged... we're distributing in front of the school next!\Eh? We're still going to distribute them?\Of course! I can't back down now!\This time, we'll wear swimsuits too, and fairly revealing ones at that!\You guys, that's enough.\In the end, things were looking bad, so we talked to Gin-senpai...\And then... response:	Give up this time. Nothing will happen if you compete with them.
context: Yukari-chan, don't be discouraged... we're distributing in front of the school next!\Eh? We're still going to distribute them?\Of course! I can't back down now!\This time, we'll wear swimsuits too, and fairly revealing ones at that!\You guys, that's enough.\In the end, things were looking bad, so we talked to Gin-senpai...\And then...\Give up this time. Nothing will happen if you compete with them. response:	No way! But our opponents are just idiots running around in swimsuits!
context: Eh? We're still going to distribute them?\Of course! I can't back down now!\This time, we'll wear swimsuits too, and fairly revealing ones at that!\You guys, that's enough.\In the end, things were looking bad, so we talked to Gin-senpai...\And then...\Give up this time. Nothing will happen if you compete with them.\No way! But our opponents are just idiots running around in swimsuits! response:	And you were planning to do the same thing yourself...
context: Of course! I can't back down now!\This time, we'll wear swimsuits too, and fairly revealing ones at that!\You guys, that's enough.\In the end, things were looking bad, so we talked to Gin-senpai...\And then...\Give up this time. Nothing will happen if you compete with them.\No way! But our opponents are just idiots running around in swimsuits!\And you were planning to do the same thing yourself... response:	Ouch!
context: This time, we'll wear swimsuits too, and fairly revealing ones at that!\You guys, that's enough.\In the end, things were looking bad, so we talked to Gin-senpai...\And then...\Give up this time. Nothing will happen if you compete with them.\No way! But our opponents are just idiots running around in swimsuits!\And you were planning to do the same thing yourself...\Ouch! response:	Those guys... are backed by the Public Safety Commission.
context: You guys, that's enough.\In the end, things were looking bad, so we talked to Gin-senpai...\And then...\Give up this time. Nothing will happen if you compete with them.\No way! But our opponents are just idiots running around in swimsuits!\And you were planning to do the same thing yourself...\Ouch!\Those guys... are backed by the Public Safety Commission. response:	Public Safety...
context: In the end, things were looking bad, so we talked to Gin-senpai...\And then...\Give up this time. Nothing will happen if you compete with them.\No way! But our opponents are just idiots running around in swimsuits!\And you were planning to do the same thing yourself...\Ouch!\Those guys... are backed by the Public Safety Commission.\Public Safety... response:	Commission?
context: And then...\Give up this time. Nothing will happen if you compete with them.\No way! But our opponents are just idiots running around in swimsuits!\And you were planning to do the same thing yourself...\Ouch!\Those guys... are backed by the Public Safety Commission.\Public Safety...\Commission? response:	What is that?
context: Give up this time. Nothing will happen if you compete with them.\No way! But our opponents are just idiots running around in swimsuits!\And you were planning to do the same thing yourself...\Ouch!\Those guys... are backed by the Public Safety Commission.\Public Safety...\Commission?\What is that? response:	In a word, they're a more violent version of a morality police.
context: No way! But our opponents are just idiots running around in swimsuits!\And you were planning to do the same thing yourself...\Ouch!\Those guys... are backed by the Public Safety Commission.\Public Safety...\Commission?\What is that?\In a word, they're a more violent version of a morality police. response:	In order to protect the peace of the school, a militant group was made to control evil activities.
context: And you were planning to do the same thing yourself...\Ouch!\Those guys... are backed by the Public Safety Commission.\Public Safety...\Commission?\What is that?\In a word, they're a more violent version of a morality police.\In order to protect the peace of the school, a militant group was made to control evil activities. response:	That's the school's police force: the Public Safety Commission.
context: Ouch!\Those guys... are backed by the Public Safety Commission.\Public Safety...\Commission?\What is that?\In a word, they're a more violent version of a morality police.\In order to protect the peace of the school, a militant group was made to control evil activities.\That's the school's police force: the Public Safety Commission. response:	School police? But that's...
context: Those guys... are backed by the Public Safety Commission.\Public Safety...\Commission?\What is that?\In a word, they're a more violent version of a morality police.\In order to protect the peace of the school, a militant group was made to control evil activities.\That's the school's police force: the Public Safety Commission.\School police? But that's... response:	We haven't done anything wrong...
context: Public Safety...\Commission?\What is that?\In a word, they're a more violent version of a morality police.\In order to protect the peace of the school, a militant group was made to control evil activities.\That's the school's police force: the Public Safety Commission.\School police? But that's...\We haven't done anything wrong... response:	It's a common occurrence, but because of their power, they've started becoming corrupt.
context: Commission?\What is that?\In a word, they're a more violent version of a morality police.\In order to protect the peace of the school, a militant group was made to control evil activities.\That's the school's police force: the Public Safety Commission.\School police? But that's...\We haven't done anything wrong...\It's a common occurrence, but because of their power, they've started becoming corrupt. response:	The commission now is just a bunch of violent thugs that collect money and tributes from others.
context: What is that?\In a word, they're a more violent version of a morality police.\In order to protect the peace of the school, a militant group was made to control evil activities.\That's the school's police force: the Public Safety Commission.\School police? But that's...\We haven't done anything wrong...\It's a common occurrence, but because of their power, they've started becoming corrupt.\The commission now is just a bunch of violent thugs that collect money and tributes from others. response:	To think that something that crazy is happening within the school...
context: In a word, they're a more violent version of a morality police.\In order to protect the peace of the school, a militant group was made to control evil activities.\That's the school's police force: the Public Safety Commission.\School police? But that's...\We haven't done anything wrong...\It's a common occurrence, but because of their power, they've started becoming corrupt.\The commission now is just a bunch of violent thugs that collect money and tributes from others.\To think that something that crazy is happening within the school... response:	This incident is also probably because we've slowly become popular and become an eyesore to them.
context: In order to protect the peace of the school, a militant group was made to control evil activities.\That's the school's police force: the Public Safety Commission.\School police? But that's...\We haven't done anything wrong...\It's a common occurrence, but because of their power, they've started becoming corrupt.\The commission now is just a bunch of violent thugs that collect money and tributes from others.\To think that something that crazy is happening within the school...\This incident is also probably because we've slowly become popular and become an eyesore to them. response:	Wait a minute! If these people are doing bad things, then isn't it the duty for our Newspaper Club to reveal it?
context: That's the school's police force: the Public Safety Commission.\School police? But that's...\We haven't done anything wrong...\It's a common occurrence, but because of their power, they've started becoming corrupt.\The commission now is just a bunch of violent thugs that collect money and tributes from others.\To think that something that crazy is happening within the school...\This incident is also probably because we've slowly become popular and become an eyesore to them.\Wait a minute! If these people are doing bad things, then isn't it the duty for our Newspaper Club to reveal it? response:	Tsukune-san, well said!
context: School police? But that's...\We haven't done anything wrong...\It's a common occurrence, but because of their power, they've started becoming corrupt.\The commission now is just a bunch of violent thugs that collect money and tributes from others.\To think that something that crazy is happening within the school...\This incident is also probably because we've slowly become popular and become an eyesore to them.\Wait a minute! If these people are doing bad things, then isn't it the duty for our Newspaper Club to reveal it?\Tsukune-san, well said! response:	That's right! We just need to write a bunch of articles against them!
context: We haven't done anything wrong...\It's a common occurrence, but because of their power, they've started becoming corrupt.\The commission now is just a bunch of violent thugs that collect money and tributes from others.\To think that something that crazy is happening within the school...\This incident is also probably because we've slowly become popular and become an eyesore to them.\Wait a minute! If these people are doing bad things, then isn't it the duty for our Newspaper Club to reveal it?\Tsukune-san, well said!\That's right! We just need to write a bunch of articles against them! response:	Gin-senpai?
context: It's a common occurrence, but because of their power, they've started becoming corrupt.\The commission now is just a bunch of violent thugs that collect money and tributes from others.\To think that something that crazy is happening within the school...\This incident is also probably because we've slowly become popular and become an eyesore to them.\Wait a minute! If these people are doing bad things, then isn't it the duty for our Newspaper Club to reveal it?\Tsukune-san, well said!\That's right! We just need to write a bunch of articles against them!\Gin-senpai? response:	There's no use in just chatting away! Burn all the newspapers here.
context: The commission now is just a bunch of violent thugs that collect money and tributes from others.\To think that something that crazy is happening within the school...\This incident is also probably because we've slowly become popular and become an eyesore to them.\Wait a minute! If these people are doing bad things, then isn't it the duty for our Newspaper Club to reveal it?\Tsukune-san, well said!\That's right! We just need to write a bunch of articles against them!\Gin-senpai?\There's no use in just chatting away! Burn all the newspapers here. response:	Got it?
context: To think that something that crazy is happening within the school...\This incident is also probably because we've slowly become popular and become an eyesore to them.\Wait a minute! If these people are doing bad things, then isn't it the duty for our Newspaper Club to reveal it?\Tsukune-san, well said!\That's right! We just need to write a bunch of articles against them!\Gin-senpai?\There's no use in just chatting away! Burn all the newspapers here.\Got it? response:	No way!
context: This incident is also probably because we've slowly become popular and become an eyesore to them.\Wait a minute! If these people are doing bad things, then isn't it the duty for our Newspaper Club to reveal it?\Tsukune-san, well said!\That's right! We just need to write a bunch of articles against them!\Gin-senpai?\There's no use in just chatting away! Burn all the newspapers here.\Got it?\No way! response:	Our newspapers...
context: Wait a minute! If these people are doing bad things, then isn't it the duty for our Newspaper Club to reveal it?\Tsukune-san, well said!\That's right! We just need to write a bunch of articles against them!\Gin-senpai?\There's no use in just chatting away! Burn all the newspapers here.\Got it?\No way!\Our newspapers... response:	I'll leave the rest to you.
context: Tsukune-san, well said!\That's right! We just need to write a bunch of articles against them!\Gin-senpai?\There's no use in just chatting away! Burn all the newspapers here.\Got it?\No way!\Our newspapers...\I'll leave the rest to you. response:	That's something I can't accept!
context: That's right! We just need to write a bunch of articles against them!\Gin-senpai?\There's no use in just chatting away! Burn all the newspapers here.\Got it?\No way!\Our newspapers...\I'll leave the rest to you.\That's something I can't accept! response:	This is an official decision of the Newspaper Club.
context: Gin-senpai?\There's no use in just chatting away! Burn all the newspapers here.\Got it?\No way!\Our newspapers...\I'll leave the rest to you.\That's something I can't accept!\This is an official decision of the Newspaper Club. response:	Is this all of it?
context: There's no use in just chatting away! Burn all the newspapers here.\Got it?\No way!\Our newspapers...\I'll leave the rest to you.\That's something I can't accept!\This is an official decision of the Newspaper Club.\Is this all of it? response:	There's some left, I'll go get them.
context: Got it?\No way!\Our newspapers...\I'll leave the rest to you.\That's something I can't accept!\This is an official decision of the Newspaper Club.\Is this all of it?\There's some left, I'll go get them. response:	Are you fine by yourself?
context: No way!\Our newspapers...\I'll leave the rest to you.\That's something I can't accept!\This is an official decision of the Newspaper Club.\Is this all of it?\There's some left, I'll go get them.\Are you fine by yourself? response:	I'll go help too.
context: Our newspapers...\I'll leave the rest to you.\That's something I can't accept!\This is an official decision of the Newspaper Club.\Is this all of it?\There's some left, I'll go get them.\Are you fine by yourself?\I'll go help too. response:	Even though we did our best making these...
context: I'll leave the rest to you.\That's something I can't accept!\This is an official decision of the Newspaper Club.\Is this all of it?\There's some left, I'll go get them.\Are you fine by yourself?\I'll go help too.\Even though we did our best making these... response:	Shirayuki-san sulked off... I wonder what's going to happen to our Newspaper Club?
context: That's something I can't accept!\This is an official decision of the Newspaper Club.\Is this all of it?\There's some left, I'll go get them.\Are you fine by yourself?\I'll go help too.\Even though we did our best making these...\Shirayuki-san sulked off... I wonder what's going to happen to our Newspaper Club? response:	Hey, Tsukune...
context: This is an official decision of the Newspaper Club.\Is this all of it?\There's some left, I'll go get them.\Are you fine by yourself?\I'll go help too.\Even though we did our best making these...\Shirayuki-san sulked off... I wonder what's going to happen to our Newspaper Club?\Hey, Tsukune... response:	These newspapers... let's go distribute them now.
context: Is this all of it?\There's some left, I'll go get them.\Are you fine by yourself?\I'll go help too.\Even though we did our best making these...\Shirayuki-san sulked off... I wonder what's going to happen to our Newspaper Club?\Hey, Tsukune...\These newspapers... let's go distribute them now. response:	But, we can't disobey Gin-senpai's decision-
context: There's some left, I'll go get them.\Are you fine by yourself?\I'll go help too.\Even though we did our best making these...\Shirayuki-san sulked off... I wonder what's going to happen to our Newspaper Club?\Hey, Tsukune...\These newspapers... let's go distribute them now.\But, we can't disobey Gin-senpai's decision- response:	No.
context: Are you fine by yourself?\I'll go help too.\Even though we did our best making these...\Shirayuki-san sulked off... I wonder what's going to happen to our Newspaper Club?\Hey, Tsukune...\These newspapers... let's go distribute them now.\But, we can't disobey Gin-senpai's decision-\No. response:	Kurumu-chan?
context: I'll go help too.\Even though we did our best making these...\Shirayuki-san sulked off... I wonder what's going to happen to our Newspaper Club?\Hey, Tsukune...\These newspapers... let's go distribute them now.\But, we can't disobey Gin-senpai's decision-\No.\Kurumu-chan? response:	Because these newspapers are like treasures to me.
context: Even though we did our best making these...\Shirayuki-san sulked off... I wonder what's going to happen to our Newspaper Club?\Hey, Tsukune...\These newspapers... let's go distribute them now.\But, we can't disobey Gin-senpai's decision-\No.\Kurumu-chan?\Because these newspapers are like treasures to me. response:	It's the first thing that you and I made together.
context: Shirayuki-san sulked off... I wonder what's going to happen to our Newspaper Club?\Hey, Tsukune...\These newspapers... let's go distribute them now.\But, we can't disobey Gin-senpai's decision-\No.\Kurumu-chan?\Because these newspapers are like treasures to me.\It's the first thing that you and I made together. response:	To... to burn these... I...
context: Hey, Tsukune...\These newspapers... let's go distribute them now.\But, we can't disobey Gin-senpai's decision-\No.\Kurumu-chan?\Because these newspapers are like treasures to me.\It's the first thing that you and I made together.\To... to burn these... I... response:	Can't do it!
context: These newspapers... let's go distribute them now.\But, we can't disobey Gin-senpai's decision-\No.\Kurumu-chan?\Because these newspapers are like treasures to me.\It's the first thing that you and I made together.\To... to burn these... I...\Can't do it! response:	Kurumu-chan...
context: But, we can't disobey Gin-senpai's decision-\No.\Kurumu-chan?\Because these newspapers are like treasures to me.\It's the first thing that you and I made together.\To... to burn these... I...\Can't do it!\Kurumu-chan... response:	Onee-sama!
context: No.\Kurumu-chan?\Because these newspapers are like treasures to me.\It's the first thing that you and I made together.\To... to burn these... I...\Can't do it!\Kurumu-chan...\Onee-sama! response:	They're still planning on distributing their shitty newspapers!
context: Kurumu-chan?\Because these newspapers are like treasures to me.\It's the first thing that you and I made together.\To... to burn these... I...\Can't do it!\Kurumu-chan...\Onee-sama!\They're still planning on distributing their shitty newspapers! response:	Punish them please!
context: Because these newspapers are like treasures to me.\It's the first thing that you and I made together.\To... to burn these... I...\Can't do it!\Kurumu-chan...\Onee-sama!\They're still planning on distributing their shitty newspapers!\Punish them please! response:	You guys!
context: It's the first thing that you and I made together.\To... to burn these... I...\Can't do it!\Kurumu-chan...\Onee-sama!\They're still planning on distributing their shitty newspapers!\Punish them please!\You guys! response:	Onee-sama?!
context: To... to burn these... I...\Can't do it!\Kurumu-chan...\Onee-sama!\They're still planning on distributing their shitty newspapers!\Punish them please!\You guys!\Onee-sama?! response:	For a shitty contentless newspapers, it's pretty lightweight.
context: Can't do it!\Kurumu-chan...\Onee-sama!\They're still planning on distributing their shitty newspapers!\Punish them please!\You guys!\Onee-sama?!\For a shitty contentless newspapers, it's pretty lightweight. response:	You guys, thanks for observing.
context: Kurumu-chan...\Onee-sama!\They're still planning on distributing their shitty newspapers!\Punish them please!\You guys!\Onee-sama?!\For a shitty contentless newspapers, it's pretty lightweight.\You guys, thanks for observing. response:	Ah, onee-sama!
context: Onee-sama!\They're still planning on distributing their shitty newspapers!\Punish them please!\You guys!\Onee-sama?!\For a shitty contentless newspapers, it's pretty lightweight.\You guys, thanks for observing.\Ah, onee-sama! response:	Hey, why are you guys doing-
context: They're still planning on distributing their shitty newspapers!\Punish them please!\You guys!\Onee-sama?!\For a shitty contentless newspapers, it's pretty lightweight.\You guys, thanks for observing.\Ah, onee-sama!\Hey, why are you guys doing- response:	Tell us; why are you guys harassing our Newspaper Club?
context: Punish them please!\You guys!\Onee-sama?!\For a shitty contentless newspapers, it's pretty lightweight.\You guys, thanks for observing.\Ah, onee-sama!\Hey, why are you guys doing-\Tell us; why are you guys harassing our Newspaper Club? response:	Oh my... I guess you guys didn't hear anything from Morioka Ginei.
context: You guys!\Onee-sama?!\For a shitty contentless newspapers, it's pretty lightweight.\You guys, thanks for observing.\Ah, onee-sama!\Hey, why are you guys doing-\Tell us; why are you guys harassing our Newspaper Club?\Oh my... I guess you guys didn't hear anything from Morioka Ginei. response:	From Gin-senpai?
context: Onee-sama?!\For a shitty contentless newspapers, it's pretty lightweight.\You guys, thanks for observing.\Ah, onee-sama!\Hey, why are you guys doing-\Tell us; why are you guys harassing our Newspaper Club?\Oh my... I guess you guys didn't hear anything from Morioka Ginei.\From Gin-senpai? response:	Anyway, your little Newspaper Club is finished.
