context: Yeah, that's right, short stuff, do as much as you can. response:	I, ReaCoom- san, will let you match up against me, okay?
context: I won't be beaten...\G- Gohan...\I have to... defeat you guys... for Piccolo- san... Yamucha- san...\Tenshinhan- san... Chaozu- san...\Or I can't bring anyone back to life!\All right, here I come!\ReaCoom Bomber!!\Go, go, go, go, go, go, go! Go! response:	Whoops, I'm over here!
context: G- Gohan...\I have to... defeat you guys... for Piccolo- san... Yamucha- san...\Tenshinhan- san... Chaozu- san...\Or I can't bring anyone back to life!\All right, here I come!\ReaCoom Bomber!!\Go, go, go, go, go, go, go! Go!\Whoops, I'm over here! response:	Have you finally reached your limit?
context: I have to... defeat you guys... for Piccolo- san... Yamucha- san...\Tenshinhan- san... Chaozu- san...\Or I can't bring anyone back to life!\All right, here I come!\ReaCoom Bomber!!\Go, go, go, go, go, go, go! Go!\Whoops, I'm over here!\Have you finally reached your limit? response:	D- don't get up anymore, Gohan...
context: Tenshinhan- san... Chaozu- san...\Or I can't bring anyone back to life!\All right, here I come!\ReaCoom Bomber!!\Go, go, go, go, go, go, go! Go!\Whoops, I'm over here!\Have you finally reached your limit?\D- don't get up anymore, Gohan... response:	Darn it...
context: Or I can't bring anyone back to life!\All right, here I come!\ReaCoom Bomber!!\Go, go, go, go, go, go, go! Go!\Whoops, I'm over here!\Have you finally reached your limit?\D- don't get up anymore, Gohan...\Darn it... response:	I- I am... Father's...
context: All right, here I come!\ReaCoom Bomber!!\Go, go, go, go, go, go, go! Go!\Whoops, I'm over here!\Have you finally reached your limit?\D- don't get up anymore, Gohan...\Darn it...\I- I am... Father's... response:	You wont... you won't...
context: ReaCoom Bomber!!\Go, go, go, go, go, go, go! Go!\Whoops, I'm over here!\Have you finally reached your limit?\D- don't get up anymore, Gohan...\Darn it...\I- I am... Father's...\You wont... you won't... response:	Oho, you still have enough energy left to be spouting that sort of nonsense, huh?
context: Go, go, go, go, go, go, go! Go!\Whoops, I'm over here!\Have you finally reached your limit?\D- don't get up anymore, Gohan...\Darn it...\I- I am... Father's...\You wont... you won't...\Oho, you still have enough energy left to be spouting that sort of nonsense, huh? response:	I don't know what planet you're from, kid, but this is surprising.
context: Whoops, I'm over here!\Have you finally reached your limit?\D- don't get up anymore, Gohan...\Darn it...\I- I am... Father's...\You wont... you won't...\Oho, you still have enough energy left to be spouting that sort of nonsense, huh?\I don't know what planet you're from, kid, but this is surprising. response:	Your opponent is too much for you, huh?
context: Have you finally reached your limit?\D- don't get up anymore, Gohan...\Darn it...\I- I am... Father's...\You wont... you won't...\Oho, you still have enough energy left to be spouting that sort of nonsense, huh?\I don't know what planet you're from, kid, but this is surprising.\Your opponent is too much for you, huh? response:	I won't be beaten!!
context: D- don't get up anymore, Gohan...\Darn it...\I- I am... Father's...\You wont... you won't...\Oho, you still have enough energy left to be spouting that sort of nonsense, huh?\I don't know what planet you're from, kid, but this is surprising.\Your opponent is too much for you, huh?\I won't be beaten!! response:	Whoa!
context: Darn it...\I- I am... Father's...\You wont... you won't...\Oho, you still have enough energy left to be spouting that sort of nonsense, huh?\I don't know what planet you're from, kid, but this is surprising.\Your opponent is too much for you, huh?\I won't be beaten!!\Whoa! response:	He's just about ready to croak. He doesn't have any battle power left.
context: I- I am... Father's...\You wont... you won't...\Oho, you still have enough energy left to be spouting that sort of nonsense, huh?\I don't know what planet you're from, kid, but this is surprising.\Your opponent is too much for you, huh?\I won't be beaten!!\Whoa!\He's just about ready to croak. He doesn't have any battle power left. response:	Of course not. His neck has been broken.
context: You wont... you won't...\Oho, you still have enough energy left to be spouting that sort of nonsense, huh?\I don't know what planet you're from, kid, but this is surprising.\Your opponent is too much for you, huh?\I won't be beaten!!\Whoa!\He's just about ready to croak. He doesn't have any battle power left.\Of course not. His neck has been broken. response:	Gohan!
context: Oho, you still have enough energy left to be spouting that sort of nonsense, huh?\I don't know what planet you're from, kid, but this is surprising.\Your opponent is too much for you, huh?\I won't be beaten!!\Whoa!\He's just about ready to croak. He doesn't have any battle power left.\Of course not. His neck has been broken.\Gohan! response:	P- pathetic little brat... And here I thought he'd gotten a little better...
context: I don't know what planet you're from, kid, but this is surprising.\Your opponent is too much for you, huh?\I won't be beaten!!\Whoa!\He's just about ready to croak. He doesn't have any battle power left.\Of course not. His neck has been broken.\Gohan!\P- pathetic little brat... And here I thought he'd gotten a little better... response:	Gohan- chan...
context: Your opponent is too much for you, huh?\I won't be beaten!!\Whoa!\He's just about ready to croak. He doesn't have any battle power left.\Of course not. His neck has been broken.\Gohan!\P- pathetic little brat... And here I thought he'd gotten a little better...\Gohan- chan... response:	Yo, are you awake?
context: I won't be beaten!!\Whoa!\He's just about ready to croak. He doesn't have any battle power left.\Of course not. His neck has been broken.\Gohan!\P- pathetic little brat... And here I thought he'd gotten a little better...\Gohan- chan...\Yo, are you awake? response:	Are you all right, Missus?
context: Whoa!\He's just about ready to croak. He doesn't have any battle power left.\Of course not. His neck has been broken.\Gohan!\P- pathetic little brat... And here I thought he'd gotten a little better...\Gohan- chan...\Yo, are you awake?\Are you all right, Missus? response:	Gohan- chan is... Gohan- chan is-!
context: He's just about ready to croak. He doesn't have any battle power left.\Of course not. His neck has been broken.\Gohan!\P- pathetic little brat... And here I thought he'd gotten a little better...\Gohan- chan...\Yo, are you awake?\Are you all right, Missus?\Gohan- chan is... Gohan- chan is-! response:	Oh, my...
context: Of course not. His neck has been broken.\Gohan!\P- pathetic little brat... And here I thought he'd gotten a little better...\Gohan- chan...\Yo, are you awake?\Are you all right, Missus?\Gohan- chan is... Gohan- chan is-!\Oh, my... response:	Sheesh...
context: Gohan!\P- pathetic little brat... And here I thought he'd gotten a little better...\Gohan- chan...\Yo, are you awake?\Are you all right, Missus?\Gohan- chan is... Gohan- chan is-!\Oh, my...\Sheesh... response:	These guys were all just worthless scum.
context: P- pathetic little brat... And here I thought he'd gotten a little better...\Gohan- chan...\Yo, are you awake?\Are you all right, Missus?\Gohan- chan is... Gohan- chan is-!\Oh, my...\Sheesh...\These guys were all just worthless scum. response:	I don't understand why Freeza- sama expressly called in the Ginyu Special Corps for this.
context: Gohan- chan...\Yo, are you awake?\Are you all right, Missus?\Gohan- chan is... Gohan- chan is-!\Oh, my...\Sheesh...\These guys were all just worthless scum.\I don't understand why Freeza- sama expressly called in the Ginyu Special Corps for this. response:	Well, nonetheless, I guess I should finish off all three of them.
context: Yo, are you awake?\Are you all right, Missus?\Gohan- chan is... Gohan- chan is-!\Oh, my...\Sheesh...\These guys were all just worthless scum.\I don't understand why Freeza- sama expressly called in the Ginyu Special Corps for this.\Well, nonetheless, I guess I should finish off all three of them. response:	What's that?
context: Are you all right, Missus?\Gohan- chan is... Gohan- chan is-!\Oh, my...\Sheesh...\These guys were all just worthless scum.\I don't understand why Freeza- sama expressly called in the Ginyu Special Corps for this.\Well, nonetheless, I guess I should finish off all three of them.\What's that? response:	It's a ship. It's landing.
context: Gohan- chan is... Gohan- chan is-!\Oh, my...\Sheesh...\These guys were all just worthless scum.\I don't understand why Freeza- sama expressly called in the Ginyu Special Corps for this.\Well, nonetheless, I guess I should finish off all three of them.\What's that?\It's a ship. It's landing. response:	At last, Goku had touched down.
context: Oh, my...\Sheesh...\These guys were all just worthless scum.\I don't understand why Freeza- sama expressly called in the Ginyu Special Corps for this.\Well, nonetheless, I guess I should finish off all three of them.\What's that?\It's a ship. It's landing.\At last, Goku had touched down. response:	Goku, rescue the desperate Gohan and friends from the devilish hands of ReaCoom!
