context: Come on! Hurry up! response:	That was pathetic.
context: Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Sudo-kun.\Mizusawa High School, Ayase-san.\Dead on...\Retrot cards are scary!\Good luck.\G-Good luck. response:	Oh! Sorry!
context: Mizusawa High School, Komano-kun.\Hokuo Academy, Sudo-kun.\Mizusawa High School, Ayase-san.\Dead on...\Retrot cards are scary!\Good luck.\G-Good luck.\Oh! Sorry! response:	Say, Please forgive me.
context: Hokuo Academy, Sudo-kun.\Mizusawa High School, Ayase-san.\Dead on...\Retrot cards are scary!\Good luck.\G-Good luck.\Oh! Sorry!\Say, Please forgive me. response:	Huh?
context: Mizusawa High School, Ayase-san.\Dead on...\Retrot cards are scary!\Good luck.\G-Good luck.\Oh! Sorry!\Say, Please forgive me.\Huh? response:	There he goes again.
context: Dead on...\Retrot cards are scary!\Good luck.\G-Good luck.\Oh! Sorry!\Say, Please forgive me.\Huh?\There he goes again. response:	Where's my apology?
context: Retrot cards are scary!\Good luck.\G-Good luck.\Oh! Sorry!\Say, Please forgive me.\Huh?\There he goes again.\Where's my apology? response:	I said I was sorry...
context: Good luck.\G-Good luck.\Oh! Sorry!\Say, Please forgive me.\Huh?\There he goes again.\Where's my apology?\I said I was sorry... response:	The only apology I'll accept is a Please forgive me.
context: G-Good luck.\Oh! Sorry!\Say, Please forgive me.\Huh?\There he goes again.\Where's my apology?\I said I was sorry...\The only apology I'll accept is a Please forgive me. response:	Huh?
context: Oh! Sorry!\Say, Please forgive me.\Huh?\There he goes again.\Where's my apology?\I said I was sorry...\The only apology I'll accept is a Please forgive me.\Huh? response:	Please place your cards.
context: Say, Please forgive me.\Huh?\There he goes again.\Where's my apology?\I said I was sorry...\The only apology I'll accept is a Please forgive me.\Huh?\Please place your cards. response:	Memorization time will begin now.
context: Huh?\There he goes again.\Where's my apology?\I said I was sorry...\The only apology I'll accept is a Please forgive me.\Huh?\Please place your cards.\Memorization time will begin now. response:	Wh-What's wrong with this guy?
context: There he goes again.\Where's my apology?\I said I was sorry...\The only apology I'll accept is a Please forgive me.\Huh?\Please place your cards.\Memorization time will begin now.\Wh-What's wrong with this guy? response:	the red that is the Tatsuta River
context: Where's my apology?\I said I was sorry...\The only apology I'll accept is a Please forgive me.\Huh?\Please place your cards.\Memorization time will begin now.\Wh-What's wrong with this guy?\the red that is the Tatsuta River response:	Why did he put that there?
context: I said I was sorry...\The only apology I'll accept is a Please forgive me.\Huh?\Please place your cards.\Memorization time will begin now.\Wh-What's wrong with this guy?\the red that is the Tatsuta River\Why did he put that there? response:	Stay calm.
context: The only apology I'll accept is a Please forgive me.\Huh?\Please place your cards.\Memorization time will begin now.\Wh-What's wrong with this guy?\the red that is the Tatsuta River\Why did he put that there?\Stay calm. response:	He's trying to get in your head by using your favorite card.
context: Huh?\Please place your cards.\Memorization time will begin now.\Wh-What's wrong with this guy?\the red that is the Tatsuta River\Why did he put that there?\Stay calm.\He's trying to get in your head by using your favorite card. response:	Why, if it isn't Mochida-kun.
context: Please place your cards.\Memorization time will begin now.\Wh-What's wrong with this guy?\the red that is the Tatsuta River\Why did he put that there?\Stay calm.\He's trying to get in your head by using your favorite card.\Why, if it isn't Mochida-kun. response:	Oh, Harada-san!
context: Memorization time will begin now.\Wh-What's wrong with this guy?\the red that is the Tatsuta River\Why did he put that there?\Stay calm.\He's trying to get in your head by using your favorite card.\Why, if it isn't Mochida-kun.\Oh, Harada-san! response:	Oh, so you're the coach for Hokuo Academy.
context: Wh-What's wrong with this guy?\the red that is the Tatsuta River\Why did he put that there?\Stay calm.\He's trying to get in your head by using your favorite card.\Why, if it isn't Mochida-kun.\Oh, Harada-san!\Oh, so you're the coach for Hokuo Academy. response:	I'm just a fan who's not very good.
context: the red that is the Tatsuta River\Why did he put that there?\Stay calm.\He's trying to get in your head by using your favorite card.\Why, if it isn't Mochida-kun.\Oh, Harada-san!\Oh, so you're the coach for Hokuo Academy.\I'm just a fan who's not very good. response:	All I can do is pray...
context: Why did he put that there?\Stay calm.\He's trying to get in your head by using your favorite card.\Why, if it isn't Mochida-kun.\Oh, Harada-san!\Oh, so you're the coach for Hokuo Academy.\I'm just a fan who's not very good.\All I can do is pray... response:	The boy on the end is placing his cards in a peculiar manner.
context: Stay calm.\He's trying to get in your head by using your favorite card.\Why, if it isn't Mochida-kun.\Oh, Harada-san!\Oh, so you're the coach for Hokuo Academy.\I'm just a fan who's not very good.\All I can do is pray...\The boy on the end is placing his cards in a peculiar manner. response:	Gosh, Sudo-kun is such a strange boy.
context: He's trying to get in your head by using your favorite card.\Why, if it isn't Mochida-kun.\Oh, Harada-san!\Oh, so you're the coach for Hokuo Academy.\I'm just a fan who's not very good.\All I can do is pray...\The boy on the end is placing his cards in a peculiar manner.\Gosh, Sudo-kun is such a strange boy. response:	He always rubs people the wrong way.
context: Why, if it isn't Mochida-kun.\Oh, Harada-san!\Oh, so you're the coach for Hokuo Academy.\I'm just a fan who's not very good.\All I can do is pray...\The boy on the end is placing his cards in a peculiar manner.\Gosh, Sudo-kun is such a strange boy.\He always rubs people the wrong way. response:	But if it weren't for that,
context: Oh, Harada-san!\Oh, so you're the coach for Hokuo Academy.\I'm just a fan who's not very good.\All I can do is pray...\The boy on the end is placing his cards in a peculiar manner.\Gosh, Sudo-kun is such a strange boy.\He always rubs people the wrong way.\But if it weren't for that, response:	he would certainly have the potential to become a Master.
context: Oh, so you're the coach for Hokuo Academy.\I'm just a fan who's not very good.\All I can do is pray...\The boy on the end is placing his cards in a peculiar manner.\Gosh, Sudo-kun is such a strange boy.\He always rubs people the wrong way.\But if it weren't for that,\he would certainly have the potential to become a Master. response:	But he might lose to one of my pupils.
context: I'm just a fan who's not very good.\All I can do is pray...\The boy on the end is placing his cards in a peculiar manner.\Gosh, Sudo-kun is such a strange boy.\He always rubs people the wrong way.\But if it weren't for that,\he would certainly have the potential to become a Master.\But he might lose to one of my pupils. response:	Please.
context: All I can do is pray...\The boy on the end is placing his cards in a peculiar manner.\Gosh, Sudo-kun is such a strange boy.\He always rubs people the wrong way.\But if it weren't for that,\he would certainly have the potential to become a Master.\But he might lose to one of my pupils.\Please. response:	That girl's only a first-year.
context: The boy on the end is placing his cards in a peculiar manner.\Gosh, Sudo-kun is such a strange boy.\He always rubs people the wrong way.\But if it weren't for that,\he would certainly have the potential to become a Master.\But he might lose to one of my pupils.\Please.\That girl's only a first-year. response:	No, I truly believe...
context: Gosh, Sudo-kun is such a strange boy.\He always rubs people the wrong way.\But if it weren't for that,\he would certainly have the potential to become a Master.\But he might lose to one of my pupils.\Please.\That girl's only a first-year.\No, I truly believe... response:	That she will be a Queen in the future.
context: He always rubs people the wrong way.\But if it weren't for that,\he would certainly have the potential to become a Master.\But he might lose to one of my pupils.\Please.\That girl's only a first-year.\No, I truly believe...\That she will be a Queen in the future. response:	Katsugi Books
context: But if it weren't for that,\he would certainly have the potential to become a Master.\But he might lose to one of my pupils.\Please.\That girl's only a first-year.\No, I truly believe...\That she will be a Queen in the future.\Katsugi Books response:	Manager, can I use the computer?
context: he would certainly have the potential to become a Master.\But he might lose to one of my pupils.\Please.\That girl's only a first-year.\No, I truly believe...\That she will be a Queen in the future.\Katsugi Books\Manager, can I use the computer? response:	Don't start looking at porn.
context: But he might lose to one of my pupils.\Please.\That girl's only a first-year.\No, I truly believe...\That she will be a Queen in the future.\Katsugi Books\Manager, can I use the computer?\Don't start looking at porn. response:	I'm just checking my e-mail.
context: Please.\That girl's only a first-year.\No, I truly believe...\That she will be a Queen in the future.\Katsugi Books\Manager, can I use the computer?\Don't start looking at porn.\I'm just checking my e-mail. response:	My computer's been acting up.
context: That girl's only a first-year.\No, I truly believe...\That she will be a Queen in the future.\Katsugi Books\Manager, can I use the computer?\Don't start looking at porn.\I'm just checking my e-mail.\My computer's been acting up. response:	Not that I spend much time on e-mail.
context: No, I truly believe...\That she will be a Queen in the future.\Katsugi Books\Manager, can I use the computer?\Don't start looking at porn.\I'm just checking my e-mail.\My computer's been acting up.\Not that I spend much time on e-mail. response:	Logging In
context: That she will be a Queen in the future.\Katsugi Books\Manager, can I use the computer?\Don't start looking at porn.\I'm just checking my e-mail.\My computer's been acting up.\Not that I spend much time on e-mail.\Logging In response:	49 New Messages
context: Katsugi Books\Manager, can I use the computer?\Don't start looking at porn.\I'm just checking my e-mail.\My computer's been acting up.\Not that I spend much time on e-mail.\Logging In\49 New Messages response:	Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain Subject: Rain was leaking into our clubroom Subject: This is our clubroom. Subject: I got in trouble with Dr. Harada Subject: How do I cut down on faults? Subject: This is Chihaya Subject: Karuta players are... Subject: About hakama Subject: Guess what happened today Subject: Notice for the Tokyo regional tournament
context: Manager, can I use the computer?\Don't start looking at porn.\I'm just checking my e-mail.\My computer's been acting up.\Not that I spend much time on e-mail.\Logging In\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain Subject: Rain was leaking into our clubroom Subject: This is our clubroom. Subject: I got in trouble with Dr. Harada Subject: How do I cut down on faults? Subject: This is Chihaya Subject: Karuta players are... Subject: About hakama Subject: Guess what happened today Subject: Notice for the Tokyo regional tournament response:	What?! Is it spam?!
context: Don't start looking at porn.\I'm just checking my e-mail.\My computer's been acting up.\Not that I spend much time on e-mail.\Logging In\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain Subject: Rain was leaking into our clubroom Subject: This is our clubroom. Subject: I got in trouble with Dr. Harada Subject: How do I cut down on faults? Subject: This is Chihaya Subject: Karuta players are... Subject: About hakama Subject: Guess what happened today Subject: Notice for the Tokyo regional tournament\What?! Is it spam?! response:	49 New Messages
context: I'm just checking my e-mail.\My computer's been acting up.\Not that I spend much time on e-mail.\Logging In\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain Subject: Rain was leaking into our clubroom Subject: This is our clubroom. Subject: I got in trouble with Dr. Harada Subject: How do I cut down on faults? Subject: This is Chihaya Subject: Karuta players are... Subject: About hakama Subject: Guess what happened today Subject: Notice for the Tokyo regional tournament\What?! Is it spam?!\49 New Messages response:	Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain
context: My computer's been acting up.\Not that I spend much time on e-mail.\Logging In\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain Subject: Rain was leaking into our clubroom Subject: This is our clubroom. Subject: I got in trouble with Dr. Harada Subject: How do I cut down on faults? Subject: This is Chihaya Subject: Karuta players are... Subject: About hakama Subject: Guess what happened today Subject: Notice for the Tokyo regional tournament\What?! Is it spam?!\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain response:	This is Chihaya. Thank you for sending a birthday message. I didn't think you actually remembered my birthday.
context: Not that I spend much time on e-mail.\Logging In\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain Subject: Rain was leaking into our clubroom Subject: This is our clubroom. Subject: I got in trouble with Dr. Harada Subject: How do I cut down on faults? Subject: This is Chihaya Subject: Karuta players are... Subject: About hakama Subject: Guess what happened today Subject: Notice for the Tokyo regional tournament\What?! Is it spam?!\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain\This is Chihaya. Thank you for sending a birthday message. I didn't think you actually remembered my birthday. response:	Notice for the Tokyo regional tournament Yay! We have five members now, so we can enter the tournament! Today, we received...
context: Logging In\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain Subject: Rain was leaking into our clubroom Subject: This is our clubroom. Subject: I got in trouble with Dr. Harada Subject: How do I cut down on faults? Subject: This is Chihaya Subject: Karuta players are... Subject: About hakama Subject: Guess what happened today Subject: Notice for the Tokyo regional tournament\What?! Is it spam?!\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain\This is Chihaya. Thank you for sending a birthday message. I didn't think you actually remembered my birthday.\Notice for the Tokyo regional tournament Yay! We have five members now, so we can enter the tournament! Today, we received... response:	Mizusawa High School's first victory! We won!! Taichi and Porky both did well.
context: 49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain Subject: Rain was leaking into our clubroom Subject: This is our clubroom. Subject: I got in trouble with Dr. Harada Subject: How do I cut down on faults? Subject: This is Chihaya Subject: Karuta players are... Subject: About hakama Subject: Guess what happened today Subject: Notice for the Tokyo regional tournament\What?! Is it spam?!\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain\This is Chihaya. Thank you for sending a birthday message. I didn't think you actually remembered my birthday.\Notice for the Tokyo regional tournament Yay! We have five members now, so we can enter the tournament! Today, we received...\Mizusawa High School's first victory! We won!! Taichi and Porky both did well. response:	We made it out of the group stage! We won group B 3-0!
context: Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain Subject: Rain was leaking into our clubroom Subject: This is our clubroom. Subject: I got in trouble with Dr. Harada Subject: How do I cut down on faults? Subject: This is Chihaya Subject: Karuta players are... Subject: About hakama Subject: Guess what happened today Subject: Notice for the Tokyo regional tournament\What?! Is it spam?!\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain\This is Chihaya. Thank you for sending a birthday message. I didn't think you actually remembered my birthday.\Notice for the Tokyo regional tournament Yay! We have five members now, so we can enter the tournament! Today, we received...\Mizusawa High School's first victory! We won!! Taichi and Porky both did well.\We made it out of the group stage! We won group B 3-0! response:	We've made it to the finals! I'm off to win. - Chihaya
context: What?! Is it spam?!\49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain\This is Chihaya. Thank you for sending a birthday message. I didn't think you actually remembered my birthday.\Notice for the Tokyo regional tournament Yay! We have five members now, so we can enter the tournament! Today, we received...\Mizusawa High School's first victory! We won!! Taichi and Porky both did well.\We made it out of the group stage! We won group B 3-0!\We've made it to the finals! I'm off to win. - Chihaya response:	Memorization time is over.
context: 49 New Messages\Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain\This is Chihaya. Thank you for sending a birthday message. I didn't think you actually remembered my birthday.\Notice for the Tokyo regional tournament Yay! We have five members now, so we can enter the tournament! Today, we received...\Mizusawa High School's first victory! We won!! Taichi and Porky both did well.\We made it out of the group stage! We won group B 3-0!\We've made it to the finals! I'm off to win. - Chihaya\Memorization time is over. response:	Let's begin then.
context: Subject: Thanks! Subject: This is Chihaya Subject: It's getting warmer Subject: It's starting to rain\This is Chihaya. Thank you for sending a birthday message. I didn't think you actually remembered my birthday.\Notice for the Tokyo regional tournament Yay! We have five members now, so we can enter the tournament! Today, we received...\Mizusawa High School's first victory! We won!! Taichi and Porky both did well.\We made it out of the group stage! We won group B 3-0!\We've made it to the finals! I'm off to win. - Chihaya\Memorization time is over.\Let's begin then. response:	Naniwa Bay, now the flower blooms, but for winter
context: This is Chihaya. Thank you for sending a birthday message. I didn't think you actually remembered my birthday.\Notice for the Tokyo regional tournament Yay! We have five members now, so we can enter the tournament! Today, we received...\Mizusawa High School's first victory! We won!! Taichi and Porky both did well.\We made it out of the group stage! We won group B 3-0!\We've made it to the finals! I'm off to win. - Chihaya\Memorization time is over.\Let's begin then.\Naniwa Bay, now the flower blooms, but for winter response:	Hokuo! Five wins for a sweep!
context: Notice for the Tokyo regional tournament Yay! We have five members now, so we can enter the tournament! Today, we received...\Mizusawa High School's first victory! We won!! Taichi and Porky both did well.\We made it out of the group stage! We won group B 3-0!\We've made it to the finals! I'm off to win. - Chihaya\Memorization time is over.\Let's begin then.\Naniwa Bay, now the flower blooms, but for winter\Hokuo! Five wins for a sweep! response:	Here comes spring, now the flower blooms
context: Mizusawa High School's first victory! We won!! Taichi and Porky both did well.\We made it out of the group stage! We won group B 3-0!\We've made it to the finals! I'm off to win. - Chihaya\Memorization time is over.\Let's begin then.\Naniwa Bay, now the flower blooms, but for winter\Hokuo! Five wins for a sweep!\Here comes spring, now the flower blooms response:	Yeah!
context: We made it out of the group stage! We won group B 3-0!\We've made it to the finals! I'm off to win. - Chihaya\Memorization time is over.\Let's begin then.\Naniwa Bay, now the flower blooms, but for winter\Hokuo! Five wins for a sweep!\Here comes spring, now the flower blooms\Yeah! response:	Mi!
context: We've made it to the finals! I'm off to win. - Chihaya\Memorization time is over.\Let's begin then.\Naniwa Bay, now the flower blooms, but for winter\Hokuo! Five wins for a sweep!\Here comes spring, now the flower blooms\Yeah!\Mi! response:	Zu!
context: Memorization time is over.\Let's begin then.\Naniwa Bay, now the flower blooms, but for winter\Hokuo! Five wins for a sweep!\Here comes spring, now the flower blooms\Yeah!\Mi!\Zu! response:	Fight!
context: Let's begin then.\Naniwa Bay, now the flower blooms, but for winter\Hokuo! Five wins for a sweep!\Here comes spring, now the flower blooms\Yeah!\Mi!\Zu!\Fight! response:	Here comes spring, now the flower blooms
context: Naniwa Bay, now the flower blooms, but for winter\Hokuo! Five wins for a sweep!\Here comes spring, now the flower blooms\Yeah!\Mi!\Zu!\Fight!\Here comes spring, now the flower blooms response:	I don't remember Mizusawa having a cheer.
context: Hokuo! Five wins for a sweep!\Here comes spring, now the flower blooms\Yeah!\Mi!\Zu!\Fight!\Here comes spring, now the flower blooms\I don't remember Mizusawa having a cheer. response:	They must have just come up with it.
context: Here comes spring, now the flower blooms\Yeah!\Mi!\Zu!\Fight!\Here comes spring, now the flower blooms\I don't remember Mizusawa having a cheer.\They must have just come up with it. response:	Don't let the Chihaya card distract me.
context: Yeah!\Mi!\Zu!\Fight!\Here comes spring, now the flower blooms\I don't remember Mizusawa having a cheer.\They must have just come up with it.\Don't let the Chihaya card distract me. response:	Stick to my usual style.
context: Mi!\Zu!\Fight!\Here comes spring, now the flower blooms\I don't remember Mizusawa having a cheer.\They must have just come up with it.\Don't let the Chihaya card distract me.\Stick to my usual style. response:	Go on the attack.
context: Zu!\Fight!\Here comes spring, now the flower blooms\I don't remember Mizusawa having a cheer.\They must have just come up with it.\Don't let the Chihaya card distract me.\Stick to my usual style.\Go on the attack. response:	Note that though...
context: Fight!\Here comes spring, now the flower blooms\I don't remember Mizusawa having a cheer.\They must have just come up with it.\Don't let the Chihaya card distract me.\Stick to my usual style.\Go on the attack.\Note that though... response:	He was covering the Nothing card on
context: Here comes spring, now the flower blooms\I don't remember Mizusawa having a cheer.\They must have just come up with it.\Don't let the Chihaya card distract me.\Stick to my usual style.\Go on the attack.\Note that though...\He was covering the Nothing card on response:	Chihaya's side before he took her Note card...
context: I don't remember Mizusawa having a cheer.\They must have just come up with it.\Don't let the Chihaya card distract me.\Stick to my usual style.\Go on the attack.\Note that though...\He was covering the Nothing card on\Chihaya's side before he took her Note card... response:	His style is also offensive.
context: They must have just come up with it.\Don't let the Chihaya card distract me.\Stick to my usual style.\Go on the attack.\Note that though...\He was covering the Nothing card on\Chihaya's side before he took her Note card...\His style is also offensive. response:	The S in Sudo stands for striker.
context: Don't let the Chihaya card distract me.\Stick to my usual style.\Go on the attack.\Note that though...\He was covering the Nothing card on\Chihaya's side before he took her Note card...\His style is also offensive.\The S in Sudo stands for striker. response:	Excellent.
context: Stick to my usual style.\Go on the attack.\Note that though...\He was covering the Nothing card on\Chihaya's side before he took her Note card...\His style is also offensive.\The S in Sudo stands for striker.\Excellent. response:	I held mine!
context: Go on the attack.\Note that though...\He was covering the Nothing card on\Chihaya's side before he took her Note card...\His style is also offensive.\The S in Sudo stands for striker.\Excellent.\I held mine! response:	I took the card!
context: Note that though...\He was covering the Nothing card on\Chihaya's side before he took her Note card...\His style is also offensive.\The S in Sudo stands for striker.\Excellent.\I held mine!\I took the card! response:	Got it!
context: He was covering the Nothing card on\Chihaya's side before he took her Note card...\His style is also offensive.\The S in Sudo stands for striker.\Excellent.\I held mine!\I took the card!\Got it! response:	What about Sudo?
context: Chihaya's side before he took her Note card...\His style is also offensive.\The S in Sudo stands for striker.\Excellent.\I held mine!\I took the card!\Got it!\What about Sudo? response:	I scored the first card, naturally.
context: His style is also offensive.\The S in Sudo stands for striker.\Excellent.\I held mine!\I took the card!\Got it!\What about Sudo?\I scored the first card, naturally. response:	Everyone lost that card?
context: The S in Sudo stands for striker.\Excellent.\I held mine!\I took the card!\Got it!\What about Sudo?\I scored the first card, naturally.\Everyone lost that card? response:	We're just getting started!
context: Excellent.\I held mine!\I took the card!\Got it!\What about Sudo?\I scored the first card, naturally.\Everyone lost that card?\We're just getting started! response:	Attack, Mizusawa!
context: I held mine!\I took the card!\Got it!\What about Sudo?\I scored the first card, naturally.\Everyone lost that card?\We're just getting started!\Attack, Mizusawa! response:	Attack.
context: I took the card!\Got it!\What about Sudo?\I scored the first card, naturally.\Everyone lost that card?\We're just getting started!\Attack, Mizusawa!\Attack. response:	It doesn't matter if you're wrong sometimes.
context: Got it!\What about Sudo?\I scored the first card, naturally.\Everyone lost that card?\We're just getting started!\Attack, Mizusawa!\Attack.\It doesn't matter if you're wrong sometimes. response:	Stay active!
context: What about Sudo?\I scored the first card, naturally.\Everyone lost that card?\We're just getting started!\Attack, Mizusawa!\Attack.\It doesn't matter if you're wrong sometimes.\Stay active! response:	Pressure your opponent's side of the field!
context: I scored the first card, naturally.\Everyone lost that card?\We're just getting started!\Attack, Mizusawa!\Attack.\It doesn't matter if you're wrong sometimes.\Stay active!\Pressure your opponent's side of the field! response:	Why are you getting so excited, Mashima?
context: Everyone lost that card?\We're just getting started!\Attack, Mizusawa!\Attack.\It doesn't matter if you're wrong sometimes.\Stay active!\Pressure your opponent's side of the field!\Why are you getting so excited, Mashima? response:	that you pine for me as the Inaba mountain pines,
context: We're just getting started!\Attack, Mizusawa!\Attack.\It doesn't matter if you're wrong sometimes.\Stay active!\Pressure your opponent's side of the field!\Why are you getting so excited, Mashima?\that you pine for me as the Inaba mountain pines, response:	I don't remember you being a hothead.
context: Attack, Mizusawa!\Attack.\It doesn't matter if you're wrong sometimes.\Stay active!\Pressure your opponent's side of the field!\Why are you getting so excited, Mashima?\that you pine for me as the Inaba mountain pines,\I don't remember you being a hothead. response:	I shall return to you
context: Attack.\It doesn't matter if you're wrong sometimes.\Stay active!\Pressure your opponent's side of the field!\Why are you getting so excited, Mashima?\that you pine for me as the Inaba mountain pines,\I don't remember you being a hothead.\I shall return to you response:	Missing***
context: It doesn't matter if you're wrong sometimes.\Stay active!\Pressure your opponent's side of the field!\Why are you getting so excited, Mashima?\that you pine for me as the Inaba mountain pines,\I don't remember you being a hothead.\I shall return to you\Missing*** response:	When the wind sends waves...
context: Stay active!\Pressure your opponent's side of the field!\Why are you getting so excited, Mashima?\that you pine for me as the Inaba mountain pines,\I don't remember you being a hothead.\I shall return to you\Missing***\When the wind sends waves... response:	Here.
context: Pressure your opponent's side of the field!\Why are you getting so excited, Mashima?\that you pine for me as the Inaba mountain pines,\I don't remember you being a hothead.\I shall return to you\Missing***\When the wind sends waves...\Here. response:	After I determined to...
context: Why are you getting so excited, Mashima?\that you pine for me as the Inaba mountain pines,\I don't remember you being a hothead.\I shall return to you\Missing***\When the wind sends waves...\Here.\After I determined to... response:	I want to go on the attack, but I'm having no luck.
context: that you pine for me as the Inaba mountain pines,\I don't remember you being a hothead.\I shall return to you\Missing***\When the wind sends waves...\Here.\After I determined to...\I want to go on the attack, but I'm having no luck. response:	She keeps reading cards on my side.
context: I don't remember you being a hothead.\I shall return to you\Missing***\When the wind sends waves...\Here.\After I determined to...\I want to go on the attack, but I'm having no luck.\She keeps reading cards on my side. response:	Here.
context: I shall return to you\Missing***\When the wind sends waves...\Here.\After I determined to...\I want to go on the attack, but I'm having no luck.\She keeps reading cards on my side.\Here. response:	Offensive karuta is meant to weaken your opponent's psyche,
context: Missing***\When the wind sends waves...\Here.\After I determined to...\I want to go on the attack, but I'm having no luck.\She keeps reading cards on my side.\Here.\Offensive karuta is meant to weaken your opponent's psyche, response:	but it also provides more opportunities
context: When the wind sends waves...\Here.\After I determined to...\I want to go on the attack, but I'm having no luck.\She keeps reading cards on my side.\Here.\Offensive karuta is meant to weaken your opponent's psyche,\but it also provides more opportunities response:	for sending cards to put yourself in a better position.
context: Here.\After I determined to...\I want to go on the attack, but I'm having no luck.\She keeps reading cards on my side.\Here.\Offensive karuta is meant to weaken your opponent's psyche,\but it also provides more opportunities\for sending cards to put yourself in a better position. response:	Chihaya-chan is losing control of the game.
context: After I determined to...\I want to go on the attack, but I'm having no luck.\She keeps reading cards on my side.\Here.\Offensive karuta is meant to weaken your opponent's psyche,\but it also provides more opportunities\for sending cards to put yourself in a better position.\Chihaya-chan is losing control of the game. response:	Stay calm...
context: I want to go on the attack, but I'm having no luck.\She keeps reading cards on my side.\Here.\Offensive karuta is meant to weaken your opponent's psyche,\but it also provides more opportunities\for sending cards to put yourself in a better position.\Chihaya-chan is losing control of the game.\Stay calm... response:	Check the cards.
context: She keeps reading cards on my side.\Here.\Offensive karuta is meant to weaken your opponent's psyche,\but it also provides more opportunities\for sending cards to put yourself in a better position.\Chihaya-chan is losing control of the game.\Stay calm...\Check the cards. response:	The Chihaya card keeps getting in my way.
context: Here.\Offensive karuta is meant to weaken your opponent's psyche,\but it also provides more opportunities\for sending cards to put yourself in a better position.\Chihaya-chan is losing control of the game.\Stay calm...\Check the cards.\The Chihaya card keeps getting in my way. response:	Feel the love...
context: Offensive karuta is meant to weaken your opponent's psyche,\but it also provides more opportunities\for sending cards to put yourself in a better position.\Chihaya-chan is losing control of the game.\Stay calm...\Check the cards.\The Chihaya card keeps getting in my way.\Feel the love... response:	She finally read a card on the opponent's side!
context: but it also provides more opportunities\for sending cards to put yourself in a better position.\Chihaya-chan is losing control of the game.\Stay calm...\Check the cards.\The Chihaya card keeps getting in my way.\Feel the love...\She finally read a card on the opponent's side! response:	That's what you get for not apologizing.
context: for sending cards to put yourself in a better position.\Chihaya-chan is losing control of the game.\Stay calm...\Check the cards.\The Chihaya card keeps getting in my way.\Feel the love...\She finally read a card on the opponent's side!\That's what you get for not apologizing. response:	Got it!
context: Chihaya-chan is losing control of the game.\Stay calm...\Check the cards.\The Chihaya card keeps getting in my way.\Feel the love...\She finally read a card on the opponent's side!\That's what you get for not apologizing.\Got it! response:	I got it! I took a card!
context: Stay calm...\Check the cards.\The Chihaya card keeps getting in my way.\Feel the love...\She finally read a card on the opponent's side!\That's what you get for not apologizing.\Got it!\I got it! I took a card! response:	Yes!
context: Check the cards.\The Chihaya card keeps getting in my way.\Feel the love...\She finally read a card on the opponent's side!\That's what you get for not apologizing.\Got it!\I got it! I took a card!\Yes! response:	Ayase! I took a card from the opponent's side!
context: The Chihaya card keeps getting in my way.\Feel the love...\She finally read a card on the opponent's side!\That's what you get for not apologizing.\Got it!\I got it! I took a card!\Yes!\Ayase! I took a card from the opponent's side! response:	You have to do the same!
context: Feel the love...\She finally read a card on the opponent's side!\That's what you get for not apologizing.\Got it!\I got it! I took a card!\Yes!\Ayase! I took a card from the opponent's side!\You have to do the same! response:	I got the card, too!
context: She finally read a card on the opponent's side!\That's what you get for not apologizing.\Got it!\I got it! I took a card!\Yes!\Ayase! I took a card from the opponent's side!\You have to do the same!\I got the card, too! response:	I held onto mine!
context: That's what you get for not apologizing.\Got it!\I got it! I took a card!\Yes!\Ayase! I took a card from the opponent's side!\You have to do the same!\I got the card, too!\I held onto mine! response:	I'm gonna take the next card!
context: Got it!\I got it! I took a card!\Yes!\Ayase! I took a card from the opponent's side!\You have to do the same!\I got the card, too!\I held onto mine!\I'm gonna take the next card! response:	In an individual match,
