context: My name is Shippo. response:	I'm a baby fox-demon of justice!
context: Why doesn't he just come out and ask?\First, we separate Shippo from the others with a boulder.\Kagome!\Shippo!\What's he doing?!\Nooo!\It went well, Soten!\Ohhh yes! I forgot! Change! response:	Help!
context: First, we separate Shippo from the others with a boulder.\Kagome!\Shippo!\What's he doing?!\Nooo!\It went well, Soten!\Ohhh yes! I forgot! Change!\Help! response:	Shippo!
context: Kagome!\Shippo!\What's he doing?!\Nooo!\It went well, Soten!\Ohhh yes! I forgot! Change!\Help!\Shippo! response:	- That klutz! - He's done for.
context: Shippo!\What's he doing?!\Nooo!\It went well, Soten!\Ohhh yes! I forgot! Change!\Help!\Shippo!\- That klutz! - He's done for. response:	Damn! He's hopeless!
context: What's he doing?!\Nooo!\It went well, Soten!\Ohhh yes! I forgot! Change!\Help!\Shippo!\- That klutz! - He's done for.\Damn! He's hopeless! response:	Hey! Lemme outta here!
context: Nooo!\It went well, Soten!\Ohhh yes! I forgot! Change!\Help!\Shippo!\- That klutz! - He's done for.\Damn! He's hopeless!\Hey! Lemme outta here! response:	Huh? I don't have any business with a small fry like you.
context: It went well, Soten!\Ohhh yes! I forgot! Change!\Help!\Shippo!\- That klutz! - He's done for.\Damn! He's hopeless!\Hey! Lemme outta here!\Huh? I don't have any business with a small fry like you. response:	Where's the leader?
context: Ohhh yes! I forgot! Change!\Help!\Shippo!\- That klutz! - He's done for.\Damn! He's hopeless!\Hey! Lemme outta here!\Huh? I don't have any business with a small fry like you.\Where's the leader? response:	Call Soten the leader of the Raiju Tribe.
context: Help!\Shippo!\- That klutz! - He's done for.\Damn! He's hopeless!\Hey! Lemme outta here!\Huh? I don't have any business with a small fry like you.\Where's the leader?\Call Soten the leader of the Raiju Tribe. response:	- That's me. - Huh?
context: Shippo!\- That klutz! - He's done for.\Damn! He's hopeless!\Hey! Lemme outta here!\Huh? I don't have any business with a small fry like you.\Where's the leader?\Call Soten the leader of the Raiju Tribe.\- That's me. - Huh? response:	- You must be lying. - I'm not! Can't you see?
context: - That klutz! - He's done for.\Damn! He's hopeless!\Hey! Lemme outta here!\Huh? I don't have any business with a small fry like you.\Where's the leader?\Call Soten the leader of the Raiju Tribe.\- That's me. - Huh?\- You must be lying. - I'm not! Can't you see? response:	No, I can't. That's why I'm asking.
context: Damn! He's hopeless!\Hey! Lemme outta here!\Huh? I don't have any business with a small fry like you.\Where's the leader?\Call Soten the leader of the Raiju Tribe.\- That's me. - Huh?\- You must be lying. - I'm not! Can't you see?\No, I can't. That's why I'm asking. response:	How stupid! I don't have time to be playing with a kid.
context: Hey! Lemme outta here!\Huh? I don't have any business with a small fry like you.\Where's the leader?\Call Soten the leader of the Raiju Tribe.\- That's me. - Huh?\- You must be lying. - I'm not! Can't you see?\No, I can't. That's why I'm asking.\How stupid! I don't have time to be playing with a kid. response:	What?!
context: Huh? I don't have any business with a small fry like you.\Where's the leader?\Call Soten the leader of the Raiju Tribe.\- That's me. - Huh?\- You must be lying. - I'm not! Can't you see?\No, I can't. That's why I'm asking.\How stupid! I don't have time to be playing with a kid.\What?! response:	Don't treat me like a kid!
context: Where's the leader?\Call Soten the leader of the Raiju Tribe.\- That's me. - Huh?\- You must be lying. - I'm not! Can't you see?\No, I can't. That's why I'm asking.\How stupid! I don't have time to be playing with a kid.\What?!\Don't treat me like a kid! response:	Oh, really?
context: Call Soten the leader of the Raiju Tribe.\- That's me. - Huh?\- You must be lying. - I'm not! Can't you see?\No, I can't. That's why I'm asking.\How stupid! I don't have time to be playing with a kid.\What?!\Don't treat me like a kid!\Oh, really? response:	Oh?
context: - That's me. - Huh?\- You must be lying. - I'm not! Can't you see?\No, I can't. That's why I'm asking.\How stupid! I don't have time to be playing with a kid.\What?!\Don't treat me like a kid!\Oh, really?\Oh? response:	That's nice, what you have there. Let me have it.
context: - You must be lying. - I'm not! Can't you see?\No, I can't. That's why I'm asking.\How stupid! I don't have time to be playing with a kid.\What?!\Don't treat me like a kid!\Oh, really?\Oh?\That's nice, what you have there. Let me have it. response:	See? You ARE a kid!
context: No, I can't. That's why I'm asking.\How stupid! I don't have time to be playing with a kid.\What?!\Don't treat me like a kid!\Oh, really?\Oh?\That's nice, what you have there. Let me have it.\See? You ARE a kid! response:	What about you!
context: How stupid! I don't have time to be playing with a kid.\What?!\Don't treat me like a kid!\Oh, really?\Oh?\That's nice, what you have there. Let me have it.\See? You ARE a kid!\What about you! response:	What? I'm a fine full-fledged demon!
context: What?!\Don't treat me like a kid!\Oh, really?\Oh?\That's nice, what you have there. Let me have it.\See? You ARE a kid!\What about you!\What? I'm a fine full-fledged demon! response:	So am I! Stop blabbering and give it to me!
context: Don't treat me like a kid!\Oh, really?\Oh?\That's nice, what you have there. Let me have it.\See? You ARE a kid!\What about you!\What? I'm a fine full-fledged demon!\So am I! Stop blabbering and give it to me! response:	No way! No way!
context: Oh, really?\Oh?\That's nice, what you have there. Let me have it.\See? You ARE a kid!\What about you!\What? I'm a fine full-fledged demon!\So am I! Stop blabbering and give it to me!\No way! No way! response:	They're both so childish.
context: Oh?\That's nice, what you have there. Let me have it.\See? You ARE a kid!\What about you!\What? I'm a fine full-fledged demon!\So am I! Stop blabbering and give it to me!\No way! No way!\They're both so childish. response:	Hey Koryu! There are things you must do!
context: That's nice, what you have there. Let me have it.\See? You ARE a kid!\What about you!\What? I'm a fine full-fledged demon!\So am I! Stop blabbering and give it to me!\No way! No way!\They're both so childish.\Hey Koryu! There are things you must do! response:	Oh, yes... You're right.
context: See? You ARE a kid!\What about you!\What? I'm a fine full-fledged demon!\So am I! Stop blabbering and give it to me!\No way! No way!\They're both so childish.\Hey Koryu! There are things you must do!\Oh, yes... You're right. response:	What's that?
context: What about you!\What? I'm a fine full-fledged demon!\So am I! Stop blabbering and give it to me!\No way! No way!\They're both so childish.\Hey Koryu! There are things you must do!\Oh, yes... You're right.\What's that? response:	Next, we take Kirara out.
context: What? I'm a fine full-fledged demon!\So am I! Stop blabbering and give it to me!\No way! No way!\They're both so childish.\Hey Koryu! There are things you must do!\Oh, yes... You're right.\What's that?\Next, we take Kirara out. response:	Even if she transforms, she's still just a cat.
context: So am I! Stop blabbering and give it to me!\No way! No way!\They're both so childish.\Hey Koryu! There are things you must do!\Oh, yes... You're right.\What's that?\Next, we take Kirara out.\Even if she transforms, she's still just a cat. response:	She should get drunk on silver vine.
context: No way! No way!\They're both so childish.\Hey Koryu! There are things you must do!\Oh, yes... You're right.\What's that?\Next, we take Kirara out.\Even if she transforms, she's still just a cat.\She should get drunk on silver vine. response:	Evil minds are so active.
context: They're both so childish.\Hey Koryu! There are things you must do!\Oh, yes... You're right.\What's that?\Next, we take Kirara out.\Even if she transforms, she's still just a cat.\She should get drunk on silver vine.\Evil minds are so active. response:	What's the matter, Kirara?
context: Hey Koryu! There are things you must do!\Oh, yes... You're right.\What's that?\Next, we take Kirara out.\Even if she transforms, she's still just a cat.\She should get drunk on silver vine.\Evil minds are so active.\What's the matter, Kirara? response:	- This smell is silver vine. - What?
context: Oh, yes... You're right.\What's that?\Next, we take Kirara out.\Even if she transforms, she's still just a cat.\She should get drunk on silver vine.\Evil minds are so active.\What's the matter, Kirara?\- This smell is silver vine. - What? response:	Oh dear... Is this another trap?
context: What's that?\Next, we take Kirara out.\Even if she transforms, she's still just a cat.\She should get drunk on silver vine.\Evil minds are so active.\What's the matter, Kirara?\- This smell is silver vine. - What?\Oh dear... Is this another trap? response:	We'll just have to walk from here.
context: Next, we take Kirara out.\Even if she transforms, she's still just a cat.\She should get drunk on silver vine.\Evil minds are so active.\What's the matter, Kirara?\- This smell is silver vine. - What?\Oh dear... Is this another trap?\We'll just have to walk from here. response:	What's the matter, miss?
context: Even if she transforms, she's still just a cat.\She should get drunk on silver vine.\Evil minds are so active.\What's the matter, Kirara?\- This smell is silver vine. - What?\Oh dear... Is this another trap?\We'll just have to walk from here.\What's the matter, miss? response:	Please help me...
context: She should get drunk on silver vine.\Evil minds are so active.\What's the matter, Kirara?\- This smell is silver vine. - What?\Oh dear... Is this another trap?\We'll just have to walk from here.\What's the matter, miss?\Please help me... response:	Miroku! Be careful! It may be a trap!
context: Evil minds are so active.\What's the matter, Kirara?\- This smell is silver vine. - What?\Oh dear... Is this another trap?\We'll just have to walk from here.\What's the matter, miss?\Please help me...\Miroku! Be careful! It may be a trap! response:	Sango, I live according to Buddha's teachings.
context: What's the matter, Kirara?\- This smell is silver vine. - What?\Oh dear... Is this another trap?\We'll just have to walk from here.\What's the matter, miss?\Please help me...\Miroku! Be careful! It may be a trap!\Sango, I live according to Buddha's teachings. response:	No matter when or why, I will never turn my back on one in need.
context: - This smell is silver vine. - What?\Oh dear... Is this another trap?\We'll just have to walk from here.\What's the matter, miss?\Please help me...\Miroku! Be careful! It may be a trap!\Sango, I live according to Buddha's teachings.\No matter when or why, I will never turn my back on one in need. response:	If this is a trap, I will gladly fall into it.
context: Oh dear... Is this another trap?\We'll just have to walk from here.\What's the matter, miss?\Please help me...\Miroku! Be careful! It may be a trap!\Sango, I live according to Buddha's teachings.\No matter when or why, I will never turn my back on one in need.\If this is a trap, I will gladly fall into it. response:	You're SUCH a nice person, Miroku.
context: We'll just have to walk from here.\What's the matter, miss?\Please help me...\Miroku! Be careful! It may be a trap!\Sango, I live according to Buddha's teachings.\No matter when or why, I will never turn my back on one in need.\If this is a trap, I will gladly fall into it.\You're SUCH a nice person, Miroku. response:	Miroku's weakness is women.
context: What's the matter, miss?\Please help me...\Miroku! Be careful! It may be a trap!\Sango, I live according to Buddha's teachings.\No matter when or why, I will never turn my back on one in need.\If this is a trap, I will gladly fall into it.\You're SUCH a nice person, Miroku.\Miroku's weakness is women. response:	And Sango cannot leave Miroku alone.
context: Please help me...\Miroku! Be careful! It may be a trap!\Sango, I live according to Buddha's teachings.\No matter when or why, I will never turn my back on one in need.\If this is a trap, I will gladly fall into it.\You're SUCH a nice person, Miroku.\Miroku's weakness is women.\And Sango cannot leave Miroku alone. response:	We'll use those traits to our advantage to get them both.
context: Miroku! Be careful! It may be a trap!\Sango, I live according to Buddha's teachings.\No matter when or why, I will never turn my back on one in need.\If this is a trap, I will gladly fall into it.\You're SUCH a nice person, Miroku.\Miroku's weakness is women.\And Sango cannot leave Miroku alone.\We'll use those traits to our advantage to get them both. response:	Please... Please come closer.
context: Sango, I live according to Buddha's teachings.\No matter when or why, I will never turn my back on one in need.\If this is a trap, I will gladly fall into it.\You're SUCH a nice person, Miroku.\Miroku's weakness is women.\And Sango cannot leave Miroku alone.\We'll use those traits to our advantage to get them both.\Please... Please come closer. response:	Oh yes, of course.
context: No matter when or why, I will never turn my back on one in need.\If this is a trap, I will gladly fall into it.\You're SUCH a nice person, Miroku.\Miroku's weakness is women.\And Sango cannot leave Miroku alone.\We'll use those traits to our advantage to get them both.\Please... Please come closer.\Oh yes, of course. response:	Stop, Miroku!
context: If this is a trap, I will gladly fall into it.\You're SUCH a nice person, Miroku.\Miroku's weakness is women.\And Sango cannot leave Miroku alone.\We'll use those traits to our advantage to get them both.\Please... Please come closer.\Oh yes, of course.\Stop, Miroku! response:	Please tell me what's wrong...
context: You're SUCH a nice person, Miroku.\Miroku's weakness is women.\And Sango cannot leave Miroku alone.\We'll use those traits to our advantage to get them both.\Please... Please come closer.\Oh yes, of course.\Stop, Miroku!\Please tell me what's wrong... response:	Good!
context: Miroku's weakness is women.\And Sango cannot leave Miroku alone.\We'll use those traits to our advantage to get them both.\Please... Please come closer.\Oh yes, of course.\Stop, Miroku!\Please tell me what's wrong...\Good! response:	Didn't I tell you?! It's all your fault!
context: And Sango cannot leave Miroku alone.\We'll use those traits to our advantage to get them both.\Please... Please come closer.\Oh yes, of course.\Stop, Miroku!\Please tell me what's wrong...\Good!\Didn't I tell you?! It's all your fault! response:	I'm ashamed of myself.
context: We'll use those traits to our advantage to get them both.\Please... Please come closer.\Oh yes, of course.\Stop, Miroku!\Please tell me what's wrong...\Good!\Didn't I tell you?! It's all your fault!\I'm ashamed of myself. response:	Lemme out! I thought you wanted a duel!
context: Please... Please come closer.\Oh yes, of course.\Stop, Miroku!\Please tell me what's wrong...\Good!\Didn't I tell you?! It's all your fault!\I'm ashamed of myself.\Lemme out! I thought you wanted a duel! response:	Don't try to intimidate me.
context: Oh yes, of course.\Stop, Miroku!\Please tell me what's wrong...\Good!\Didn't I tell you?! It's all your fault!\I'm ashamed of myself.\Lemme out! I thought you wanted a duel!\Don't try to intimidate me. response:	What?! Didn't you send this?!
context: Stop, Miroku!\Please tell me what's wrong...\Good!\Didn't I tell you?! It's all your fault!\I'm ashamed of myself.\Lemme out! I thought you wanted a duel!\Don't try to intimidate me.\What?! Didn't you send this?! response:	Fool! That was just a trap to lure you out!
context: Please tell me what's wrong...\Good!\Didn't I tell you?! It's all your fault!\I'm ashamed of myself.\Lemme out! I thought you wanted a duel!\Don't try to intimidate me.\What?! Didn't you send this?!\Fool! That was just a trap to lure you out! response:	Trap?!
context: Good!\Didn't I tell you?! It's all your fault!\I'm ashamed of myself.\Lemme out! I thought you wanted a duel!\Don't try to intimidate me.\What?! Didn't you send this?!\Fool! That was just a trap to lure you out!\Trap?! response:	Why you! What're you planning to do with me?
context: Didn't I tell you?! It's all your fault!\I'm ashamed of myself.\Lemme out! I thought you wanted a duel!\Don't try to intimidate me.\What?! Didn't you send this?!\Fool! That was just a trap to lure you out!\Trap?!\Why you! What're you planning to do with me? response:	Hm-hmmm... I'm going to kill you very slowly.
context: I'm ashamed of myself.\Lemme out! I thought you wanted a duel!\Don't try to intimidate me.\What?! Didn't you send this?!\Fool! That was just a trap to lure you out!\Trap?!\Why you! What're you planning to do with me?\Hm-hmmm... I'm going to kill you very slowly. response:	What?!
context: Lemme out! I thought you wanted a duel!\Don't try to intimidate me.\What?! Didn't you send this?!\Fool! That was just a trap to lure you out!\Trap?!\Why you! What're you planning to do with me?\Hm-hmmm... I'm going to kill you very slowly.\What?! response:	Cry! Scream! All you want!
context: Don't try to intimidate me.\What?! Didn't you send this?!\Fool! That was just a trap to lure you out!\Trap?!\Why you! What're you planning to do with me?\Hm-hmmm... I'm going to kill you very slowly.\What?!\Cry! Scream! All you want! response:	Damn!
context: What?! Didn't you send this?!\Fool! That was just a trap to lure you out!\Trap?!\Why you! What're you planning to do with me?\Hm-hmmm... I'm going to kill you very slowly.\What?!\Cry! Scream! All you want!\Damn! response:	Oh, I guess... You're weak.
context: Fool! That was just a trap to lure you out!\Trap?!\Why you! What're you planning to do with me?\Hm-hmmm... I'm going to kill you very slowly.\What?!\Cry! Scream! All you want!\Damn!\Oh, I guess... You're weak. response:	That's why you're avoiding a fight.
context: Trap?!\Why you! What're you planning to do with me?\Hm-hmmm... I'm going to kill you very slowly.\What?!\Cry! Scream! All you want!\Damn!\Oh, I guess... You're weak.\That's why you're avoiding a fight. response:	You're pretty shrewd.
context: Why you! What're you planning to do with me?\Hm-hmmm... I'm going to kill you very slowly.\What?!\Cry! Scream! All you want!\Damn!\Oh, I guess... You're weak.\That's why you're avoiding a fight.\You're pretty shrewd. response:	But! I'm smart.
context: Hm-hmmm... I'm going to kill you very slowly.\What?!\Cry! Scream! All you want!\Damn!\Oh, I guess... You're weak.\That's why you're avoiding a fight.\You're pretty shrewd.\But! I'm smart. response:	In order to compensate for my weakness,
context: What?!\Cry! Scream! All you want!\Damn!\Oh, I guess... You're weak.\That's why you're avoiding a fight.\You're pretty shrewd.\But! I'm smart.\In order to compensate for my weakness, response:	I've come up with brilliant strategies!
context: Cry! Scream! All you want!\Damn!\Oh, I guess... You're weak.\That's why you're avoiding a fight.\You're pretty shrewd.\But! I'm smart.\In order to compensate for my weakness,\I've come up with brilliant strategies! response:	That's dirty, you coward!
context: Damn!\Oh, I guess... You're weak.\That's why you're avoiding a fight.\You're pretty shrewd.\But! I'm smart.\In order to compensate for my weakness,\I've come up with brilliant strategies!\That's dirty, you coward! response:	Silence! You're the coward! Depending on your comrades for help!
context: Oh, I guess... You're weak.\That's why you're avoiding a fight.\You're pretty shrewd.\But! I'm smart.\In order to compensate for my weakness,\I've come up with brilliant strategies!\That's dirty, you coward!\Silence! You're the coward! Depending on your comrades for help! response:	I did not ask them for help! They just came!
context: That's why you're avoiding a fight.\You're pretty shrewd.\But! I'm smart.\In order to compensate for my weakness,\I've come up with brilliant strategies!\That's dirty, you coward!\Silence! You're the coward! Depending on your comrades for help!\I did not ask them for help! They just came! response:	- Excuses! Weakling! - I'm not a weakling! Coward!
context: You're pretty shrewd.\But! I'm smart.\In order to compensate for my weakness,\I've come up with brilliant strategies!\That's dirty, you coward!\Silence! You're the coward! Depending on your comrades for help!\I did not ask them for help! They just came!\- Excuses! Weakling! - I'm not a weakling! Coward! response:	- Weakling! Weakling! Weakling! - Coward! Coward! Coward! Coward!
context: But! I'm smart.\In order to compensate for my weakness,\I've come up with brilliant strategies!\That's dirty, you coward!\Silence! You're the coward! Depending on your comrades for help!\I did not ask them for help! They just came!\- Excuses! Weakling! - I'm not a weakling! Coward!\- Weakling! Weakling! Weakling! - Coward! Coward! Coward! Coward! response:	What are Miroku and Sango doing?!
context: In order to compensate for my weakness,\I've come up with brilliant strategies!\That's dirty, you coward!\Silence! You're the coward! Depending on your comrades for help!\I did not ask them for help! They just came!\- Excuses! Weakling! - I'm not a weakling! Coward!\- Weakling! Weakling! Weakling! - Coward! Coward! Coward! Coward!\What are Miroku and Sango doing?! response:	They're late.
context: I've come up with brilliant strategies!\That's dirty, you coward!\Silence! You're the coward! Depending on your comrades for help!\I did not ask them for help! They just came!\- Excuses! Weakling! - I'm not a weakling! Coward!\- Weakling! Weakling! Weakling! - Coward! Coward! Coward! Coward!\What are Miroku and Sango doing?!\They're late. response:	All right, here they come.
context: That's dirty, you coward!\Silence! You're the coward! Depending on your comrades for help!\I did not ask them for help! They just came!\- Excuses! Weakling! - I'm not a weakling! Coward!\- Weakling! Weakling! Weakling! - Coward! Coward! Coward! Coward!\What are Miroku and Sango doing?!\They're late.\All right, here they come. response:	Inuyasha is helpless against Kagome's sitcommand.
context: Silence! You're the coward! Depending on your comrades for help!\I did not ask them for help! They just came!\- Excuses! Weakling! - I'm not a weakling! Coward!\- Weakling! Weakling! Weakling! - Coward! Coward! Coward! Coward!\What are Miroku and Sango doing?!\They're late.\All right, here they come.\Inuyasha is helpless against Kagome's sitcommand. response:	So this is it!
context: I did not ask them for help! They just came!\- Excuses! Weakling! - I'm not a weakling! Coward!\- Weakling! Weakling! Weakling! - Coward! Coward! Coward! Coward!\What are Miroku and Sango doing?!\They're late.\All right, here they come.\Inuyasha is helpless against Kagome's sitcommand.\So this is it! response:	Inuyasha!
context: - Excuses! Weakling! - I'm not a weakling! Coward!\- Weakling! Weakling! Weakling! - Coward! Coward! Coward! Coward!\What are Miroku and Sango doing?!\They're late.\All right, here they come.\Inuyasha is helpless against Kagome's sitcommand.\So this is it!\Inuyasha! response:	Sit!
context: - Weakling! Weakling! Weakling! - Coward! Coward! Coward! Coward!\What are Miroku and Sango doing?!\They're late.\All right, here they come.\Inuyasha is helpless against Kagome's sitcommand.\So this is it!\Inuyasha!\Sit! response:	Sit! Sit! Sit! Sit!
context: What are Miroku and Sango doing?!\They're late.\All right, here they come.\Inuyasha is helpless against Kagome's sitcommand.\So this is it!\Inuyasha!\Sit!\Sit! Sit! Sit! Sit! response:	Hey!
context: They're late.\All right, here they come.\Inuyasha is helpless against Kagome's sitcommand.\So this is it!\Inuyasha!\Sit!\Sit! Sit! Sit! Sit!\Hey! response:	Why?! Why doesn't Kagome's sit work?!
context: All right, here they come.\Inuyasha is helpless against Kagome's sitcommand.\So this is it!\Inuyasha!\Sit!\Sit! Sit! Sit! Sit!\Hey!\Why?! Why doesn't Kagome's sit work?! response:	What?! That's supposed to be ME?!
context: Inuyasha is helpless against Kagome's sitcommand.\So this is it!\Inuyasha!\Sit!\Sit! Sit! Sit! Sit!\Hey!\Why?! Why doesn't Kagome's sit work?!\What?! That's supposed to be ME?! response:	Isn't she identical?
context: So this is it!\Inuyasha!\Sit!\Sit! Sit! Sit! Sit!\Hey!\Why?! Why doesn't Kagome's sit work?!\What?! That's supposed to be ME?!\Isn't she identical? response:	What's identical about her?!
context: Inuyasha!\Sit!\Sit! Sit! Sit! Sit!\Hey!\Why?! Why doesn't Kagome's sit work?!\What?! That's supposed to be ME?!\Isn't she identical?\What's identical about her?! response:	Why you! Hope you're prepared.
context: Sit!\Sit! Sit! Sit! Sit!\Hey!\Why?! Why doesn't Kagome's sit work?!\What?! That's supposed to be ME?!\Isn't she identical?\What's identical about her?!\Why you! Hope you're prepared. response:	Oh, I have to be getting back.
context: Sit! Sit! Sit! Sit!\Hey!\Why?! Why doesn't Kagome's sit work?!\What?! That's supposed to be ME?!\Isn't she identical?\What's identical about her?!\Why you! Hope you're prepared.\Oh, I have to be getting back. response:	Wait! As if I'll let you go!
context: Hey!\Why?! Why doesn't Kagome's sit work?!\What?! That's supposed to be ME?!\Isn't she identical?\What's identical about her?!\Why you! Hope you're prepared.\Oh, I have to be getting back.\Wait! As if I'll let you go! response:	Oh dear...
context: Why?! Why doesn't Kagome's sit work?!\What?! That's supposed to be ME?!\Isn't she identical?\What's identical about her?!\Why you! Hope you're prepared.\Oh, I have to be getting back.\Wait! As if I'll let you go!\Oh dear... response:	Well?! Give up?
context: What?! That's supposed to be ME?!\Isn't she identical?\What's identical about her?!\Why you! Hope you're prepared.\Oh, I have to be getting back.\Wait! As if I'll let you go!\Oh dear...\Well?! Give up? response:	Silence! You're the one who has to surrender!
context: Isn't she identical?\What's identical about her?!\Why you! Hope you're prepared.\Oh, I have to be getting back.\Wait! As if I'll let you go!\Oh dear...\Well?! Give up?\Silence! You're the one who has to surrender! response:	But you have strange writing utensils.
context: What's identical about her?!\Why you! Hope you're prepared.\Oh, I have to be getting back.\Wait! As if I'll let you go!\Oh dear...\Well?! Give up?\Silence! You're the one who has to surrender!\But you have strange writing utensils. response:	These? Kagome gave me these... They're called crayons.
context: Why you! Hope you're prepared.\Oh, I have to be getting back.\Wait! As if I'll let you go!\Oh dear...\Well?! Give up?\Silence! You're the one who has to surrender!\But you have strange writing utensils.\These? Kagome gave me these... They're called crayons. response:	How nice! Give them to me.
context: Oh, I have to be getting back.\Wait! As if I'll let you go!\Oh dear...\Well?! Give up?\Silence! You're the one who has to surrender!\But you have strange writing utensils.\These? Kagome gave me these... They're called crayons.\How nice! Give them to me. response:	Absolutely not!
context: Wait! As if I'll let you go!\Oh dear...\Well?! Give up?\Silence! You're the one who has to surrender!\But you have strange writing utensils.\These? Kagome gave me these... They're called crayons.\How nice! Give them to me.\Absolutely not! response:	Give them to me! Stingy!
context: Oh dear...\Well?! Give up?\Silence! You're the one who has to surrender!\But you have strange writing utensils.\These? Kagome gave me these... They're called crayons.\How nice! Give them to me.\Absolutely not!\Give them to me! Stingy! response:	Let's see... If you let me out, I may consider it.
context: Well?! Give up?\Silence! You're the one who has to surrender!\But you have strange writing utensils.\These? Kagome gave me these... They're called crayons.\How nice! Give them to me.\Absolutely not!\Give them to me! Stingy!\Let's see... If you let me out, I may consider it. response:	Look! Isn't it nice?
context: Silence! You're the one who has to surrender!\But you have strange writing utensils.\These? Kagome gave me these... They're called crayons.\How nice! Give them to me.\Absolutely not!\Give them to me! Stingy!\Let's see... If you let me out, I may consider it.\Look! Isn't it nice? response:	I want them! Want them! Want them!
context: But you have strange writing utensils.\These? Kagome gave me these... They're called crayons.\How nice! Give them to me.\Absolutely not!\Give them to me! Stingy!\Let's see... If you let me out, I may consider it.\Look! Isn't it nice?\I want them! Want them! Want them! response:	Then come on... Let me out.
context: These? Kagome gave me these... They're called crayons.\How nice! Give them to me.\Absolutely not!\Give them to me! Stingy!\Let's see... If you let me out, I may consider it.\Look! Isn't it nice?\I want them! Want them! Want them!\Then come on... Let me out. response:	I won't fall for that. I'm going to slowly kill you.
context: How nice! Give them to me.\Absolutely not!\Give them to me! Stingy!\Let's see... If you let me out, I may consider it.\Look! Isn't it nice?\I want them! Want them! Want them!\Then come on... Let me out.\I won't fall for that. I'm going to slowly kill you. response:	Then let's duel and the winner can have the crayons.
context: Absolutely not!\Give them to me! Stingy!\Let's see... If you let me out, I may consider it.\Look! Isn't it nice?\I want them! Want them! Want them!\Then come on... Let me out.\I won't fall for that. I'm going to slowly kill you.\Then let's duel and the winner can have the crayons. response:	Oh, that's a good idea.
context: Give them to me! Stingy!\Let's see... If you let me out, I may consider it.\Look! Isn't it nice?\I want them! Want them! Want them!\Then come on... Let me out.\I won't fall for that. I'm going to slowly kill you.\Then let's duel and the winner can have the crayons.\Oh, that's a good idea. response:	He could be really dumb...
context: Let's see... If you let me out, I may consider it.\Look! Isn't it nice?\I want them! Want them! Want them!\Then come on... Let me out.\I won't fall for that. I'm going to slowly kill you.\Then let's duel and the winner can have the crayons.\Oh, that's a good idea.\He could be really dumb... response:	How unusual... A flying snake.
context: Look! Isn't it nice?\I want them! Want them! Want them!\Then come on... Let me out.\I won't fall for that. I'm going to slowly kill you.\Then let's duel and the winner can have the crayons.\Oh, that's a good idea.\He could be really dumb...\How unusual... A flying snake. response:	A dragon!
context: I want them! Want them! Want them!\Then come on... Let me out.\I won't fall for that. I'm going to slowly kill you.\Then let's duel and the winner can have the crayons.\Oh, that's a good idea.\He could be really dumb...\How unusual... A flying snake.\A dragon! response:	Don't talk big!
context: Then come on... Let me out.\I won't fall for that. I'm going to slowly kill you.\Then let's duel and the winner can have the crayons.\Oh, that's a good idea.\He could be really dumb...\How unusual... A flying snake.\A dragon!\Don't talk big! response:	You're a Raiju demon, aren't you?
context: I won't fall for that. I'm going to slowly kill you.\Then let's duel and the winner can have the crayons.\Oh, that's a good idea.\He could be really dumb...\How unusual... A flying snake.\A dragon!\Don't talk big!\You're a Raiju demon, aren't you? response:	How dare you!
context: Then let's duel and the winner can have the crayons.\Oh, that's a good idea.\He could be really dumb...\How unusual... A flying snake.\A dragon!\Don't talk big!\You're a Raiju demon, aren't you?\How dare you! response:	I belong to the honorable dragon!
context: Oh, that's a good idea.\He could be really dumb...\How unusual... A flying snake.\A dragon!\Don't talk big!\You're a Raiju demon, aren't you?\How dare you!\I belong to the honorable dragon! response:	Don't talk big, I said!
context: He could be really dumb...\How unusual... A flying snake.\A dragon!\Don't talk big!\You're a Raiju demon, aren't you?\How dare you!\I belong to the honorable dragon!\Don't talk big, I said! response:	Damn... Just one more time!
context: How unusual... A flying snake.\A dragon!\Don't talk big!\You're a Raiju demon, aren't you?\How dare you!\I belong to the honorable dragon!\Don't talk big, I said!\Damn... Just one more time! response:	Hey! What do you think my head is?!
context: A dragon!\Don't talk big!\You're a Raiju demon, aren't you?\How dare you!\I belong to the honorable dragon!\Don't talk big, I said!\Damn... Just one more time!\Hey! What do you think my head is?! response:	Shut up!
context: Don't talk big!\You're a Raiju demon, aren't you?\How dare you!\I belong to the honorable dragon!\Don't talk big, I said!\Damn... Just one more time!\Hey! What do you think my head is?!\Shut up! response:	Now I'll be able to escape.
context: You're a Raiju demon, aren't you?\How dare you!\I belong to the honorable dragon!\Don't talk big, I said!\Damn... Just one more time!\Hey! What do you think my head is?!\Shut up!\Now I'll be able to escape. response:	Inuyasha!
context: How dare you!\I belong to the honorable dragon!\Don't talk big, I said!\Damn... Just one more time!\Hey! What do you think my head is?!\Shut up!\Now I'll be able to escape.\Inuyasha! response:	Enough already. Poor thing.
context: I belong to the honorable dragon!\Don't talk big, I said!\Damn... Just one more time!\Hey! What do you think my head is?!\Shut up!\Now I'll be able to escape.\Inuyasha!\Enough already. Poor thing. response:	Kagome! Stay out of it!
context: Don't talk big, I said!\Damn... Just one more time!\Hey! What do you think my head is?!\Shut up!\Now I'll be able to escape.\Inuyasha!\Enough already. Poor thing.\Kagome! Stay out of it! response:	I don't need your pity!
