context: Okay! response:	I'm off!
context: The past doesn't matter!\After all, I don't know about that Giuvigiuvi's past!\Yes... You're right, Madoka.\Right now, I have every reason to fight him!\Let's kick his butt!\Then... here!\Let's get fully charged!\Thank you. response:	My wife... well, she's my ex-wife now.
context: After all, I don't know about that Giuvigiuvi's past!\Yes... You're right, Madoka.\Right now, I have every reason to fight him!\Let's kick his butt!\Then... here!\Let's get fully charged!\Thank you.\My wife... well, she's my ex-wife now. response:	But she also had quite a sharp tongue.
context: Yes... You're right, Madoka.\Right now, I have every reason to fight him!\Let's kick his butt!\Then... here!\Let's get fully charged!\Thank you.\My wife... well, she's my ex-wife now.\But she also had quite a sharp tongue. response:	She always let me have an earful.
context: Right now, I have every reason to fight him!\Let's kick his butt!\Then... here!\Let's get fully charged!\Thank you.\My wife... well, she's my ex-wife now.\But she also had quite a sharp tongue.\She always let me have an earful. response:	To be honest, it hurts even now, especially when I'm feeling lonely.
context: Let's kick his butt!\Then... here!\Let's get fully charged!\Thank you.\My wife... well, she's my ex-wife now.\But she also had quite a sharp tongue.\She always let me have an earful.\To be honest, it hurts even now, especially when I'm feeling lonely. response:	But during times like that...
context: Then... here!\Let's get fully charged!\Thank you.\My wife... well, she's my ex-wife now.\But she also had quite a sharp tongue.\She always let me have an earful.\To be honest, it hurts even now, especially when I'm feeling lonely.\But during times like that... response:	And who might you be?
context: Let's get fully charged!\Thank you.\My wife... well, she's my ex-wife now.\But she also had quite a sharp tongue.\She always let me have an earful.\To be honest, it hurts even now, especially when I'm feeling lonely.\But during times like that...\And who might you be? response:	I'm from Novumundus Japan.
context: Thank you.\My wife... well, she's my ex-wife now.\But she also had quite a sharp tongue.\She always let me have an earful.\To be honest, it hurts even now, especially when I'm feeling lonely.\But during times like that...\And who might you be?\I'm from Novumundus Japan. response:	Novumundus Foundation Japan
context: My wife... well, she's my ex-wife now.\But she also had quite a sharp tongue.\She always let me have an earful.\To be honest, it hurts even now, especially when I'm feeling lonely.\But during times like that...\And who might you be?\I'm from Novumundus Japan.\Novumundus Foundation Japan response:	Novumundus Foundation Japan
context: But she also had quite a sharp tongue.\She always let me have an earful.\To be honest, it hurts even now, especially when I'm feeling lonely.\But during times like that...\And who might you be?\I'm from Novumundus Japan.\Novumundus Foundation Japan\Novumundus Foundation Japan response:	Novumundus Foundation Japan
context: She always let me have an earful.\To be honest, it hurts even now, especially when I'm feeling lonely.\But during times like that...\And who might you be?\I'm from Novumundus Japan.\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan response:	Novumundus Foundation Japan
context: To be honest, it hurts even now, especially when I'm feeling lonely.\But during times like that...\And who might you be?\I'm from Novumundus Japan.\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan response:	Novumundus Foundation Japan
context: But during times like that...\And who might you be?\I'm from Novumundus Japan.\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan response:	International Management Group Chief Advisor
context: And who might you be?\I'm from Novumundus Japan.\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\International Management Group Chief Advisor response:	International Management Group Chief Advisor
context: I'm from Novumundus Japan.\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\International Management Group Chief Advisor\International Management Group Chief Advisor response:	International Management Group Chief Advisor
context: Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor response:	International Management Group Chief Advisor
context: Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor response:	Balance T. Moid
context: Novumundus Foundation Japan\Novumundus Foundation Japan\Novumundus Foundation Japan\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\Balance T. Moid response:	Balance T. Moid
context: Novumundus Foundation Japan\Novumundus Foundation Japan\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\Balance T. Moid\Balance T. Moid response:	Balance T. Moid
context: Novumundus Foundation Japan\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\Balance T. Moid\Balance T. Moid\Balance T. Moid response:	If you're here for Madoka, she already left.
context: International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\Balance T. Moid\Balance T. Moid\Balance T. Moid\If you're here for Madoka, she already left. response:	I have some business with her.
context: International Management Group Chief Advisor\International Management Group Chief Advisor\International Management Group Chief Advisor\Balance T. Moid\Balance T. Moid\Balance T. Moid\If you're here for Madoka, she already left.\I have some business with her. response:	Enemy unit presence confirmed. All hands to battle stations.
context: International Management Group Chief Advisor\International Management Group Chief Advisor\Balance T. Moid\Balance T. Moid\Balance T. Moid\If you're here for Madoka, she already left.\I have some business with her.\Enemy unit presence confirmed. All hands to battle stations. response:	I repeat...
context: International Management Group Chief Advisor\Balance T. Moid\Balance T. Moid\Balance T. Moid\If you're here for Madoka, she already left.\I have some business with her.\Enemy unit presence confirmed. All hands to battle stations.\I repeat... response:	Enemy unit presence confirmed. All hands to battle stations.
context: Balance T. Moid\Balance T. Moid\Balance T. Moid\If you're here for Madoka, she already left.\I have some business with her.\Enemy unit presence confirmed. All hands to battle stations.\I repeat...\Enemy unit presence confirmed. All hands to battle stations. response:	What is the enemy mother ship's position?
context: Balance T. Moid\Balance T. Moid\If you're here for Madoka, she already left.\I have some business with her.\Enemy unit presence confirmed. All hands to battle stations.\I repeat...\Enemy unit presence confirmed. All hands to battle stations.\What is the enemy mother ship's position? response:	It's maintaining relative velocity with this ship
context: Balance T. Moid\If you're here for Madoka, she already left.\I have some business with her.\Enemy unit presence confirmed. All hands to battle stations.\I repeat...\Enemy unit presence confirmed. All hands to battle stations.\What is the enemy mother ship's position?\It's maintaining relative velocity with this ship response:	and hovering above satellite tracking range.
context: If you're here for Madoka, she already left.\I have some business with her.\Enemy unit presence confirmed. All hands to battle stations.\I repeat...\Enemy unit presence confirmed. All hands to battle stations.\What is the enemy mother ship's position?\It's maintaining relative velocity with this ship\and hovering above satellite tracking range. response:	Then why aren't they attacking?
context: I have some business with her.\Enemy unit presence confirmed. All hands to battle stations.\I repeat...\Enemy unit presence confirmed. All hands to battle stations.\What is the enemy mother ship's position?\It's maintaining relative velocity with this ship\and hovering above satellite tracking range.\Then why aren't they attacking? response:	I thought I ordered all noncombatant personnel off this ship.
context: Enemy unit presence confirmed. All hands to battle stations.\I repeat...\Enemy unit presence confirmed. All hands to battle stations.\What is the enemy mother ship's position?\It's maintaining relative velocity with this ship\and hovering above satellite tracking range.\Then why aren't they attacking?\I thought I ordered all noncombatant personnel off this ship. response:	Oh, don't mind us.
context: I repeat...\Enemy unit presence confirmed. All hands to battle stations.\What is the enemy mother ship's position?\It's maintaining relative velocity with this ship\and hovering above satellite tracking range.\Then why aren't they attacking?\I thought I ordered all noncombatant personnel off this ship.\Oh, don't mind us. response:	I'm related to that girl.
context: Enemy unit presence confirmed. All hands to battle stations.\What is the enemy mother ship's position?\It's maintaining relative velocity with this ship\and hovering above satellite tracking range.\Then why aren't they attacking?\I thought I ordered all noncombatant personnel off this ship.\Oh, don't mind us.\I'm related to that girl. response:	Put me on speaker with the two pilots.
context: What is the enemy mother ship's position?\It's maintaining relative velocity with this ship\and hovering above satellite tracking range.\Then why aren't they attacking?\I thought I ordered all noncombatant personnel off this ship.\Oh, don't mind us.\I'm related to that girl.\Put me on speaker with the two pilots. response:	It's almost daybreak.
context: It's maintaining relative velocity with this ship\and hovering above satellite tracking range.\Then why aren't they attacking?\I thought I ordered all noncombatant personnel off this ship.\Oh, don't mind us.\I'm related to that girl.\Put me on speaker with the two pilots.\It's almost daybreak. response:	The enemy is right above us.
context: and hovering above satellite tracking range.\Then why aren't they attacking?\I thought I ordered all noncombatant personnel off this ship.\Oh, don't mind us.\I'm related to that girl.\Put me on speaker with the two pilots.\It's almost daybreak.\The enemy is right above us. response:	They're practically sitting on top of us and we can't run or hide.
context: Then why aren't they attacking?\I thought I ordered all noncombatant personnel off this ship.\Oh, don't mind us.\I'm related to that girl.\Put me on speaker with the two pilots.\It's almost daybreak.\The enemy is right above us.\They're practically sitting on top of us and we can't run or hide. response:	By the way, what's wrong with Laffinty?
context: I thought I ordered all noncombatant personnel off this ship.\Oh, don't mind us.\I'm related to that girl.\Put me on speaker with the two pilots.\It's almost daybreak.\The enemy is right above us.\They're practically sitting on top of us and we can't run or hide.\By the way, what's wrong with Laffinty? response:	It seems she drank too much Energy.
context: Oh, don't mind us.\I'm related to that girl.\Put me on speaker with the two pilots.\It's almost daybreak.\The enemy is right above us.\They're practically sitting on top of us and we can't run or hide.\By the way, what's wrong with Laffinty?\It seems she drank too much Energy. response:	Aren't you supposed to dilute that stuff before drinking it?
context: I'm related to that girl.\Put me on speaker with the two pilots.\It's almost daybreak.\The enemy is right above us.\They're practically sitting on top of us and we can't run or hide.\By the way, what's wrong with Laffinty?\It seems she drank too much Energy.\Aren't you supposed to dilute that stuff before drinking it? response:	I'm all right.
context: Put me on speaker with the two pilots.\It's almost daybreak.\The enemy is right above us.\They're practically sitting on top of us and we can't run or hide.\By the way, what's wrong with Laffinty?\It seems she drank too much Energy.\Aren't you supposed to dilute that stuff before drinking it?\I'm all right. response:	I'm good to go.
context: It's almost daybreak.\The enemy is right above us.\They're practically sitting on top of us and we can't run or hide.\By the way, what's wrong with Laffinty?\It seems she drank too much Energy.\Aren't you supposed to dilute that stuff before drinking it?\I'm all right.\I'm good to go. response:	Just remember your previous battle.
context: The enemy is right above us.\They're practically sitting on top of us and we can't run or hide.\By the way, what's wrong with Laffinty?\It seems she drank too much Energy.\Aren't you supposed to dilute that stuff before drinking it?\I'm all right.\I'm good to go.\Just remember your previous battle. response:	The two of you can do this!
context: They're practically sitting on top of us and we can't run or hide.\By the way, what's wrong with Laffinty?\It seems she drank too much Energy.\Aren't you supposed to dilute that stuff before drinking it?\I'm all right.\I'm good to go.\Just remember your previous battle.\The two of you can do this! response:	Attack!
context: By the way, what's wrong with Laffinty?\It seems she drank too much Energy.\Aren't you supposed to dilute that stuff before drinking it?\I'm all right.\I'm good to go.\Just remember your previous battle.\The two of you can do this!\Attack! response:	Opening barrier walls numbers one and two.
context: It seems she drank too much Energy.\Aren't you supposed to dilute that stuff before drinking it?\I'm all right.\I'm good to go.\Just remember your previous battle.\The two of you can do this!\Attack!\Opening barrier walls numbers one and two. response:	Pilot's heart rate, blood pressure, respiratory rate, all normal.
context: Aren't you supposed to dilute that stuff before drinking it?\I'm all right.\I'm good to go.\Just remember your previous battle.\The two of you can do this!\Attack!\Opening barrier walls numbers one and two.\Pilot's heart rate, blood pressure, respiratory rate, all normal. response:	Opening the top hatch.
context: I'm all right.\I'm good to go.\Just remember your previous battle.\The two of you can do this!\Attack!\Opening barrier walls numbers one and two.\Pilot's heart rate, blood pressure, respiratory rate, all normal.\Opening the top hatch. response:	A.I. Remote Systems are normal.
context: I'm good to go.\Just remember your previous battle.\The two of you can do this!\Attack!\Opening barrier walls numbers one and two.\Pilot's heart rate, blood pressure, respiratory rate, all normal.\Opening the top hatch.\A.I. Remote Systems are normal. response:	All systems go.
context: Just remember your previous battle.\The two of you can do this!\Attack!\Opening barrier walls numbers one and two.\Pilot's heart rate, blood pressure, respiratory rate, all normal.\Opening the top hatch.\A.I. Remote Systems are normal.\All systems go. response:	Vox Aura, Vox Lympha, take off!
context: The two of you can do this!\Attack!\Opening barrier walls numbers one and two.\Pilot's heart rate, blood pressure, respiratory rate, all normal.\Opening the top hatch.\A.I. Remote Systems are normal.\All systems go.\Vox Aura, Vox Lympha, take off! response:	Let's go, Midori!
context: Attack!\Opening barrier walls numbers one and two.\Pilot's heart rate, blood pressure, respiratory rate, all normal.\Opening the top hatch.\A.I. Remote Systems are normal.\All systems go.\Vox Aura, Vox Lympha, take off!\Let's go, Midori! response:	Orca! Taking off!
context: Opening barrier walls numbers one and two.\Pilot's heart rate, blood pressure, respiratory rate, all normal.\Opening the top hatch.\A.I. Remote Systems are normal.\All systems go.\Vox Aura, Vox Lympha, take off!\Let's go, Midori!\Orca! Taking off! response:	It's not dawn yet, you two.
context: Pilot's heart rate, blood pressure, respiratory rate, all normal.\Opening the top hatch.\A.I. Remote Systems are normal.\All systems go.\Vox Aura, Vox Lympha, take off!\Let's go, Midori!\Orca! Taking off!\It's not dawn yet, you two. response:	Madoka!
context: Opening the top hatch.\A.I. Remote Systems are normal.\All systems go.\Vox Aura, Vox Lympha, take off!\Let's go, Midori!\Orca! Taking off!\It's not dawn yet, you two.\Madoka! response:	Are you kidding me?
context: A.I. Remote Systems are normal.\All systems go.\Vox Aura, Vox Lympha, take off!\Let's go, Midori!\Orca! Taking off!\It's not dawn yet, you two.\Madoka!\Are you kidding me? response:	Confirming multiple Ovid units launched from the enemy ship.
context: All systems go.\Vox Aura, Vox Lympha, take off!\Let's go, Midori!\Orca! Taking off!\It's not dawn yet, you two.\Madoka!\Are you kidding me?\Confirming multiple Ovid units launched from the enemy ship. response:	Their numbers are...
context: Vox Aura, Vox Lympha, take off!\Let's go, Midori!\Orca! Taking off!\It's not dawn yet, you two.\Madoka!\Are you kidding me?\Confirming multiple Ovid units launched from the enemy ship.\Their numbers are... response:	What is it?
context: Let's go, Midori!\Orca! Taking off!\It's not dawn yet, you two.\Madoka!\Are you kidding me?\Confirming multiple Ovid units launched from the enemy ship.\Their numbers are...\What is it? response:	The two Vox crafts are about to make contact with the enemy units!
context: Orca! Taking off!\It's not dawn yet, you two.\Madoka!\Are you kidding me?\Confirming multiple Ovid units launched from the enemy ship.\Their numbers are...\What is it?\The two Vox crafts are about to make contact with the enemy units! response:	Get the weapon prototypes ready for launch, now!
context: It's not dawn yet, you two.\Madoka!\Are you kidding me?\Confirming multiple Ovid units launched from the enemy ship.\Their numbers are...\What is it?\The two Vox crafts are about to make contact with the enemy units!\Get the weapon prototypes ready for launch, now! response:	Yes, sir!
context: Madoka!\Are you kidding me?\Confirming multiple Ovid units launched from the enemy ship.\Their numbers are...\What is it?\The two Vox crafts are about to make contact with the enemy units!\Get the weapon prototypes ready for launch, now!\Yes, sir! response:	Where are Madoka and Lan?
context: Are you kidding me?\Confirming multiple Ovid units launched from the enemy ship.\Their numbers are...\What is it?\The two Vox crafts are about to make contact with the enemy units!\Get the weapon prototypes ready for launch, now!\Yes, sir!\Where are Madoka and Lan? response:	They took off to get revenge for you.
context: Confirming multiple Ovid units launched from the enemy ship.\Their numbers are...\What is it?\The two Vox crafts are about to make contact with the enemy units!\Get the weapon prototypes ready for launch, now!\Yes, sir!\Where are Madoka and Lan?\They took off to get revenge for you. response:	Normally, one shouldn't sympathize with the enemy.
context: Their numbers are...\What is it?\The two Vox crafts are about to make contact with the enemy units!\Get the weapon prototypes ready for launch, now!\Yes, sir!\Where are Madoka and Lan?\They took off to get revenge for you.\Normally, one shouldn't sympathize with the enemy. response:	But after hearing your story,
context: What is it?\The two Vox crafts are about to make contact with the enemy units!\Get the weapon prototypes ready for launch, now!\Yes, sir!\Where are Madoka and Lan?\They took off to get revenge for you.\Normally, one shouldn't sympathize with the enemy.\But after hearing your story, response:	even I felt like punching that man.
context: The two Vox crafts are about to make contact with the enemy units!\Get the weapon prototypes ready for launch, now!\Yes, sir!\Where are Madoka and Lan?\They took off to get revenge for you.\Normally, one shouldn't sympathize with the enemy.\But after hearing your story,\even I felt like punching that man. response:	Villagiulio is a terrible man.
context: Get the weapon prototypes ready for launch, now!\Yes, sir!\Where are Madoka and Lan?\They took off to get revenge for you.\Normally, one shouldn't sympathize with the enemy.\But after hearing your story,\even I felt like punching that man.\Villagiulio is a terrible man. response:	A subordinate risks her life to sneak behind enemy lines
context: Yes, sir!\Where are Madoka and Lan?\They took off to get revenge for you.\Normally, one shouldn't sympathize with the enemy.\But after hearing your story,\even I felt like punching that man.\Villagiulio is a terrible man.\A subordinate risks her life to sneak behind enemy lines response:	and manages to steal their treasure.
context: Where are Madoka and Lan?\They took off to get revenge for you.\Normally, one shouldn't sympathize with the enemy.\But after hearing your story,\even I felt like punching that man.\Villagiulio is a terrible man.\A subordinate risks her life to sneak behind enemy lines\and manages to steal their treasure. response:	Yet he shows no remorse in discarding her, simply because she acted against his wishes.
context: They took off to get revenge for you.\Normally, one shouldn't sympathize with the enemy.\But after hearing your story,\even I felt like punching that man.\Villagiulio is a terrible man.\A subordinate risks her life to sneak behind enemy lines\and manages to steal their treasure.\Yet he shows no remorse in discarding her, simply because she acted against his wishes. response:	Even though he was aware of your sincere feelings for him.
context: Normally, one shouldn't sympathize with the enemy.\But after hearing your story,\even I felt like punching that man.\Villagiulio is a terrible man.\A subordinate risks her life to sneak behind enemy lines\and manages to steal their treasure.\Yet he shows no remorse in discarding her, simply because she acted against his wishes.\Even though he was aware of your sincere feelings for him. response:	How ungrateful of him.
context: But after hearing your story,\even I felt like punching that man.\Villagiulio is a terrible man.\A subordinate risks her life to sneak behind enemy lines\and manages to steal their treasure.\Yet he shows no remorse in discarding her, simply because she acted against his wishes.\Even though he was aware of your sincere feelings for him.\How ungrateful of him. response:	Doesn't he realize that not everyone can achieve Memoria?
context: even I felt like punching that man.\Villagiulio is a terrible man.\A subordinate risks her life to sneak behind enemy lines\and manages to steal their treasure.\Yet he shows no remorse in discarding her, simply because she acted against his wishes.\Even though he was aware of your sincere feelings for him.\How ungrateful of him.\Doesn't he realize that not everyone can achieve Memoria? response:	Hey, you have some neat stuff!
context: Villagiulio is a terrible man.\A subordinate risks her life to sneak behind enemy lines\and manages to steal their treasure.\Yet he shows no remorse in discarding her, simply because she acted against his wishes.\Even though he was aware of your sincere feelings for him.\How ungrateful of him.\Doesn't he realize that not everyone can achieve Memoria?\Hey, you have some neat stuff! response:	Be careful.
context: A subordinate risks her life to sneak behind enemy lines\and manages to steal their treasure.\Yet he shows no remorse in discarding her, simply because she acted against his wishes.\Even though he was aware of your sincere feelings for him.\How ungrateful of him.\Doesn't he realize that not everyone can achieve Memoria?\Hey, you have some neat stuff!\Be careful. response:	Thanks!
context: and manages to steal their treasure.\Yet he shows no remorse in discarding her, simply because she acted against his wishes.\Even though he was aware of your sincere feelings for him.\How ungrateful of him.\Doesn't he realize that not everyone can achieve Memoria?\Hey, you have some neat stuff!\Be careful.\Thanks! response:	Man! There's no end to this!
context: Yet he shows no remorse in discarding her, simply because she acted against his wishes.\Even though he was aware of your sincere feelings for him.\How ungrateful of him.\Doesn't he realize that not everyone can achieve Memoria?\Hey, you have some neat stuff!\Be careful.\Thanks!\Man! There's no end to this! response:	Help is on its way.
context: Even though he was aware of your sincere feelings for him.\How ungrateful of him.\Doesn't he realize that not everyone can achieve Memoria?\Hey, you have some neat stuff!\Be careful.\Thanks!\Man! There's no end to this!\Help is on its way. response:	Moid?
context: How ungrateful of him.\Doesn't he realize that not everyone can achieve Memoria?\Hey, you have some neat stuff!\Be careful.\Thanks!\Man! There's no end to this!\Help is on its way.\Moid? response:	Cap!
context: Doesn't he realize that not everyone can achieve Memoria?\Hey, you have some neat stuff!\Be careful.\Thanks!\Man! There's no end to this!\Help is on its way.\Moid?\Cap! response:	There's someone in the cockpit of Ignis!
context: Hey, you have some neat stuff!\Be careful.\Thanks!\Man! There's no end to this!\Help is on its way.\Moid?\Cap!\There's someone in the cockpit of Ignis! response:	Put it up on the monitor!
context: Be careful.\Thanks!\Man! There's no end to this!\Help is on its way.\Moid?\Cap!\There's someone in the cockpit of Ignis!\Put it up on the monitor! response:	Her?!
context: Thanks!\Man! There's no end to this!\Help is on its way.\Moid?\Cap!\There's someone in the cockpit of Ignis!\Put it up on the monitor!\Her?! response:	Get her off now!
context: Man! There's no end to this!\Help is on its way.\Moid?\Cap!\There's someone in the cockpit of Ignis!\Put it up on the monitor!\Her?!\Get her off now! response:	I can't!
context: Help is on its way.\Moid?\Cap!\There's someone in the cockpit of Ignis!\Put it up on the monitor!\Her?!\Get her off now!\I can't! response:	She's already entered the T.O. sequence!
context: Moid?\Cap!\There's someone in the cockpit of Ignis!\Put it up on the monitor!\Her?!\Get her off now!\I can't!\She's already entered the T.O. sequence! response:	She's taking off!
context: Cap!\There's someone in the cockpit of Ignis!\Put it up on the monitor!\Her?!\Get her off now!\I can't!\She's already entered the T.O. sequence!\She's taking off! response:	Brother...
context: There's someone in the cockpit of Ignis!\Put it up on the monitor!\Her?!\Get her off now!\I can't!\She's already entered the T.O. sequence!\She's taking off!\Brother... response:	I'm serious!
context: Put it up on the monitor!\Her?!\Get her off now!\I can't!\She's already entered the T.O. sequence!\She's taking off!\Brother...\I'm serious! response:	If you don't stop me now...
context: Her?!\Get her off now!\I can't!\She's already entered the T.O. sequence!\She's taking off!\Brother...\I'm serious!\If you don't stop me now... response:	This will really, really
context: Get her off now!\I can't!\She's already entered the T.O. sequence!\She's taking off!\Brother...\I'm serious!\If you don't stop me now...\This will really, really response:	be goodbye!
context: I can't!\She's already entered the T.O. sequence!\She's taking off!\Brother...\I'm serious!\If you don't stop me now...\This will really, really\be goodbye! response:	Muginami?
context: She's already entered the T.O. sequence!\She's taking off!\Brother...\I'm serious!\If you don't stop me now...\This will really, really\be goodbye!\Muginami? response:	She doesn't know when to give up.
context: She's taking off!\Brother...\I'm serious!\If you don't stop me now...\This will really, really\be goodbye!\Muginami?\She doesn't know when to give up. response:	Ignis's Vox System has been activated.
context: Brother...\I'm serious!\If you don't stop me now...\This will really, really\be goodbye!\Muginami?\She doesn't know when to give up.\Ignis's Vox System has been activated. response:	We can no longer control it with the A.I. Remote!
context: I'm serious!\If you don't stop me now...\This will really, really\be goodbye!\Muginami?\She doesn't know when to give up.\Ignis's Vox System has been activated.\We can no longer control it with the A.I. Remote! response:	I find her to be quite gifted.
context: If you don't stop me now...\This will really, really\be goodbye!\Muginami?\She doesn't know when to give up.\Ignis's Vox System has been activated.\We can no longer control it with the A.I. Remote!\I find her to be quite gifted. response:	Don't you agree?
context: This will really, really\be goodbye!\Muginami?\She doesn't know when to give up.\Ignis's Vox System has been activated.\We can no longer control it with the A.I. Remote!\I find her to be quite gifted.\Don't you agree? response:	Who asked you to...?
context: be goodbye!\Muginami?\She doesn't know when to give up.\Ignis's Vox System has been activated.\We can no longer control it with the A.I. Remote!\I find her to be quite gifted.\Don't you agree?\Who asked you to...? response:	You can scold me later.
context: Muginami?\She doesn't know when to give up.\Ignis's Vox System has been activated.\We can no longer control it with the A.I. Remote!\I find her to be quite gifted.\Don't you agree?\Who asked you to...?\You can scold me later. response:	Just what's so funny?
context: She doesn't know when to give up.\Ignis's Vox System has been activated.\We can no longer control it with the A.I. Remote!\I find her to be quite gifted.\Don't you agree?\Who asked you to...?\You can scold me later.\Just what's so funny? response:	Brother, if this means goodbye...
context: Ignis's Vox System has been activated.\We can no longer control it with the A.I. Remote!\I find her to be quite gifted.\Don't you agree?\Who asked you to...?\You can scold me later.\Just what's so funny?\Brother, if this means goodbye... response:	It's okay... I'll just...
context: We can no longer control it with the A.I. Remote!\I find her to be quite gifted.\Don't you agree?\Who asked you to...?\You can scold me later.\Just what's so funny?\Brother, if this means goodbye...\It's okay... I'll just... response:	Is she planning to go in alone?!
context: I find her to be quite gifted.\Don't you agree?\Who asked you to...?\You can scold me later.\Just what's so funny?\Brother, if this means goodbye...\It's okay... I'll just...\Is she planning to go in alone?! response:	Muginami!
context: Don't you agree?\Who asked you to...?\You can scold me later.\Just what's so funny?\Brother, if this means goodbye...\It's okay... I'll just...\Is she planning to go in alone?!\Muginami! response:	Let's go!
context: Who asked you to...?\You can scold me later.\Just what's so funny?\Brother, if this means goodbye...\It's okay... I'll just...\Is she planning to go in alone?!\Muginami!\Let's go! response:	Right...
context: You can scold me later.\Just what's so funny?\Brother, if this means goodbye...\It's okay... I'll just...\Is she planning to go in alone?!\Muginami!\Let's go!\Right... response:	Hold it.
context: Just what's so funny?\Brother, if this means goodbye...\It's okay... I'll just...\Is she planning to go in alone?!\Muginami!\Let's go!\Right...\Hold it. response:	You boys standby.
context: Brother, if this means goodbye...\It's okay... I'll just...\Is she planning to go in alone?!\Muginami!\Let's go!\Right...\Hold it.\You boys standby. response:	What are you talking about?
context: It's okay... I'll just...\Is she planning to go in alone?!\Muginami!\Let's go!\Right...\Hold it.\You boys standby.\What are you talking about? response:	Are you planning to take on those three by yourself?
context: Is she planning to go in alone?!\Muginami!\Let's go!\Right...\Hold it.\You boys standby.\What are you talking about?\Are you planning to take on those three by yourself? response:	Harem night!
context: Muginami!\Let's go!\Right...\Hold it.\You boys standby.\What are you talking about?\Are you planning to take on those three by yourself?\Harem night! response:	Oh wait. It's almost morning, huh?
context: Let's go!\Right...\Hold it.\You boys standby.\What are you talking about?\Are you planning to take on those three by yourself?\Harem night!\Oh wait. It's almost morning, huh? response:	It's another manned enemy craft!
context: Right...\Hold it.\You boys standby.\What are you talking about?\Are you planning to take on those three by yourself?\Harem night!\Oh wait. It's almost morning, huh?\It's another manned enemy craft! response:	Henceforth, it will be identified as enemy unit four!
context: Hold it.\You boys standby.\What are you talking about?\Are you planning to take on those three by yourself?\Harem night!\Oh wait. It's almost morning, huh?\It's another manned enemy craft!\Henceforth, it will be identified as enemy unit four! response:	That must be the one that appeared in Kamogawa last night.
context: You boys standby.\What are you talking about?\Are you planning to take on those three by yourself?\Harem night!\Oh wait. It's almost morning, huh?\It's another manned enemy craft!\Henceforth, it will be identified as enemy unit four!\That must be the one that appeared in Kamogawa last night. response:	Brother!
context: What are you talking about?\Are you planning to take on those three by yourself?\Harem night!\Oh wait. It's almost morning, huh?\It's another manned enemy craft!\Henceforth, it will be identified as enemy unit four!\That must be the one that appeared in Kamogawa last night.\Brother! response:	It's him!
context: Are you planning to take on those three by yourself?\Harem night!\Oh wait. It's almost morning, huh?\It's another manned enemy craft!\Henceforth, it will be identified as enemy unit four!\That must be the one that appeared in Kamogawa last night.\Brother!\It's him! response:	This is goodbye.
context: Harem night!\Oh wait. It's almost morning, huh?\It's another manned enemy craft!\Henceforth, it will be identified as enemy unit four!\That must be the one that appeared in Kamogawa last night.\Brother!\It's him!\This is goodbye. response:	Brother...
context: Oh wait. It's almost morning, huh?\It's another manned enemy craft!\Henceforth, it will be identified as enemy unit four!\That must be the one that appeared in Kamogawa last night.\Brother!\It's him!\This is goodbye.\Brother... response:	Giuvigiubaro!
context: It's another manned enemy craft!\Henceforth, it will be identified as enemy unit four!\That must be the one that appeared in Kamogawa last night.\Brother!\It's him!\This is goodbye.\Brother...\Giuvigiubaro! response:	Madoka!
context: Henceforth, it will be identified as enemy unit four!\That must be the one that appeared in Kamogawa last night.\Brother!\It's him!\This is goodbye.\Brother...\Giuvigiubaro!\Madoka! response:	Stop, Madoka!
context: That must be the one that appeared in Kamogawa last night.\Brother!\It's him!\This is goodbye.\Brother...\Giuvigiubaro!\Madoka!\Stop, Madoka! response:	It's my fault for acting on my own
context: Brother!\It's him!\This is goodbye.\Brother...\Giuvigiubaro!\Madoka!\Stop, Madoka!\It's my fault for acting on my own response:	without ever thinking about Brother's feelings!
context: It's him!\This is goodbye.\Brother...\Giuvigiubaro!\Madoka!\Stop, Madoka!\It's my fault for acting on my own\without ever thinking about Brother's feelings! response:	Brother isn't to blame!
context: This is goodbye.\Brother...\Giuvigiubaro!\Madoka!\Stop, Madoka!\It's my fault for acting on my own\without ever thinking about Brother's feelings!\Brother isn't to blame! response:	This is all my fault!
