context: Miyazawa Yukino's mornings begin early. response:	And are just as methodical as the novitiates of Mt. Kouya.
context: Um, actually... yeah.\All right, here's some attention!\Hey, ow!\I guess I'm the only one who's showing their hand.\You're so cold.\I feel like I'm the only one expressing my love.\I bet you don't really love me all that much.\What?! How could you say that?! response:	I don't want to hear that from someone
context: All right, here's some attention!\Hey, ow!\I guess I'm the only one who's showing their hand.\You're so cold.\I feel like I'm the only one expressing my love.\I bet you don't really love me all that much.\What?! How could you say that?!\I don't want to hear that from someone response:	who cares about their own grades more than me!
context: Hey, ow!\I guess I'm the only one who's showing their hand.\You're so cold.\I feel like I'm the only one expressing my love.\I bet you don't really love me all that much.\What?! How could you say that?!\I don't want to hear that from someone\who cares about their own grades more than me! response:	Ouch, that hurt.
context: I guess I'm the only one who's showing their hand.\You're so cold.\I feel like I'm the only one expressing my love.\I bet you don't really love me all that much.\What?! How could you say that?!\I don't want to hear that from someone\who cares about their own grades more than me!\Ouch, that hurt. response:	That's not what's going on at all!
context: You're so cold.\I feel like I'm the only one expressing my love.\I bet you don't really love me all that much.\What?! How could you say that?!\I don't want to hear that from someone\who cares about their own grades more than me!\Ouch, that hurt.\That's not what's going on at all! response:	Did I make him mad?
context: I feel like I'm the only one expressing my love.\I bet you don't really love me all that much.\What?! How could you say that?!\I don't want to hear that from someone\who cares about their own grades more than me!\Ouch, that hurt.\That's not what's going on at all!\Did I make him mad? response:	That was supposed to be a joke...
context: I bet you don't really love me all that much.\What?! How could you say that?!\I don't want to hear that from someone\who cares about their own grades more than me!\Ouch, that hurt.\That's not what's going on at all!\Did I make him mad?\That was supposed to be a joke... response:	Shall I show you then...
context: What?! How could you say that?!\I don't want to hear that from someone\who cares about their own grades more than me!\Ouch, that hurt.\That's not what's going on at all!\Did I make him mad?\That was supposed to be a joke...\Shall I show you then... response:	Ah...
context: I don't want to hear that from someone\who cares about their own grades more than me!\Ouch, that hurt.\That's not what's going on at all!\Did I make him mad?\That was supposed to be a joke...\Shall I show you then...\Ah... response:	It seems that my emotions get out of control sometimes.
context: who cares about their own grades more than me!\Ouch, that hurt.\That's not what's going on at all!\Did I make him mad?\That was supposed to be a joke...\Shall I show you then...\Ah...\It seems that my emotions get out of control sometimes. response:	I didn't want to scare you,
context: Ouch, that hurt.\That's not what's going on at all!\Did I make him mad?\That was supposed to be a joke...\Shall I show you then...\Ah...\It seems that my emotions get out of control sometimes.\I didn't want to scare you, response:	so I haven't let them loose yet.
context: That's not what's going on at all!\Did I make him mad?\That was supposed to be a joke...\Shall I show you then...\Ah...\It seems that my emotions get out of control sometimes.\I didn't want to scare you,\so I haven't let them loose yet. response:	Could this be...
context: Did I make him mad?\That was supposed to be a joke...\Shall I show you then...\Ah...\It seems that my emotions get out of control sometimes.\I didn't want to scare you,\so I haven't let them loose yet.\Could this be... response:	Would you like to find out, Miyazawa?
context: That was supposed to be a joke...\Shall I show you then...\Ah...\It seems that my emotions get out of control sometimes.\I didn't want to scare you,\so I haven't let them loose yet.\Could this be...\Would you like to find out, Miyazawa? response:	Would you like to find out?
context: Shall I show you then...\Ah...\It seems that my emotions get out of control sometimes.\I didn't want to scare you,\so I haven't let them loose yet.\Could this be...\Would you like to find out, Miyazawa?\Would you like to find out? response:	Provoking me...
context: Ah...\It seems that my emotions get out of control sometimes.\I didn't want to scare you,\so I haven't let them loose yet.\Could this be...\Would you like to find out, Miyazawa?\Would you like to find out?\Provoking me... response:	We're now
context: It seems that my emotions get out of control sometimes.\I didn't want to scare you,\so I haven't let them loose yet.\Could this be...\Would you like to find out, Miyazawa?\Would you like to find out?\Provoking me...\We're now response:	in a delicate balance.
context: I didn't want to scare you,\so I haven't let them loose yet.\Could this be...\Would you like to find out, Miyazawa?\Would you like to find out?\Provoking me...\We're now\in a delicate balance. response:	The slender thread of emotion...
context: so I haven't let them loose yet.\Could this be...\Would you like to find out, Miyazawa?\Would you like to find out?\Provoking me...\We're now\in a delicate balance.\The slender thread of emotion... response:	That was totally different from our previous kiss.
context: Could this be...\Would you like to find out, Miyazawa?\Would you like to find out?\Provoking me...\We're now\in a delicate balance.\The slender thread of emotion...\That was totally different from our previous kiss. response:	I felt like my heart would fly off somewhere far away.
context: Would you like to find out, Miyazawa?\Would you like to find out?\Provoking me...\We're now\in a delicate balance.\The slender thread of emotion...\That was totally different from our previous kiss.\I felt like my heart would fly off somewhere far away. response:	I was acutely aware of Arima's presence.
context: Would you like to find out?\Provoking me...\We're now\in a delicate balance.\The slender thread of emotion...\That was totally different from our previous kiss.\I felt like my heart would fly off somewhere far away.\I was acutely aware of Arima's presence. response:	Miyazawa!
context: Provoking me...\We're now\in a delicate balance.\The slender thread of emotion...\That was totally different from our previous kiss.\I felt like my heart would fly off somewhere far away.\I was acutely aware of Arima's presence.\Miyazawa! response:	I'll walk you home.
context: We're now\in a delicate balance.\The slender thread of emotion...\That was totally different from our previous kiss.\I felt like my heart would fly off somewhere far away.\I was acutely aware of Arima's presence.\Miyazawa!\I'll walk you home. response:	That's ok. I'll take the bus back.
context: in a delicate balance.\The slender thread of emotion...\That was totally different from our previous kiss.\I felt like my heart would fly off somewhere far away.\I was acutely aware of Arima's presence.\Miyazawa!\I'll walk you home.\That's ok. I'll take the bus back. response:	I bet my face is all red, so I'll cool off on the way home.
context: The slender thread of emotion...\That was totally different from our previous kiss.\I felt like my heart would fly off somewhere far away.\I was acutely aware of Arima's presence.\Miyazawa!\I'll walk you home.\That's ok. I'll take the bus back.\I bet my face is all red, so I'll cool off on the way home. response:	Oh, okay.
context: That was totally different from our previous kiss.\I felt like my heart would fly off somewhere far away.\I was acutely aware of Arima's presence.\Miyazawa!\I'll walk you home.\That's ok. I'll take the bus back.\I bet my face is all red, so I'll cool off on the way home.\Oh, okay. response:	Yeah.
context: I felt like my heart would fly off somewhere far away.\I was acutely aware of Arima's presence.\Miyazawa!\I'll walk you home.\That's ok. I'll take the bus back.\I bet my face is all red, so I'll cool off on the way home.\Oh, okay.\Yeah. response:	Sorry about that.
context: I was acutely aware of Arima's presence.\Miyazawa!\I'll walk you home.\That's ok. I'll take the bus back.\I bet my face is all red, so I'll cool off on the way home.\Oh, okay.\Yeah.\Sorry about that. response:	It's ok.
context: Miyazawa!\I'll walk you home.\That's ok. I'll take the bus back.\I bet my face is all red, so I'll cool off on the way home.\Oh, okay.\Yeah.\Sorry about that.\It's ok. response:	Well, see you tomorrow.
context: I'll walk you home.\That's ok. I'll take the bus back.\I bet my face is all red, so I'll cool off on the way home.\Oh, okay.\Yeah.\Sorry about that.\It's ok.\Well, see you tomorrow. response:	Yeah, see you tomorrow.
context: That's ok. I'll take the bus back.\I bet my face is all red, so I'll cool off on the way home.\Oh, okay.\Yeah.\Sorry about that.\It's ok.\Well, see you tomorrow.\Yeah, see you tomorrow. response:	It was a strange day today.
context: I bet my face is all red, so I'll cool off on the way home.\Oh, okay.\Yeah.\Sorry about that.\It's ok.\Well, see you tomorrow.\Yeah, see you tomorrow.\It was a strange day today. response:	But I got closer to Arima.
context: Oh, okay.\Yeah.\Sorry about that.\It's ok.\Well, see you tomorrow.\Yeah, see you tomorrow.\It was a strange day today.\But I got closer to Arima. response:	And so the days accumulate...
context: Yeah.\Sorry about that.\It's ok.\Well, see you tomorrow.\Yeah, see you tomorrow.\It was a strange day today.\But I got closer to Arima.\And so the days accumulate... response:	I'm home!
context: Sorry about that.\It's ok.\Well, see you tomorrow.\Yeah, see you tomorrow.\It was a strange day today.\But I got closer to Arima.\And so the days accumulate...\I'm home! response:	Dinner! Let's eat!
context: It's ok.\Well, see you tomorrow.\Yeah, see you tomorrow.\It was a strange day today.\But I got closer to Arima.\And so the days accumulate...\I'm home!\Dinner! Let's eat! response:	Good night!
context: Well, see you tomorrow.\Yeah, see you tomorrow.\It was a strange day today.\But I got closer to Arima.\And so the days accumulate...\I'm home!\Dinner! Let's eat!\Good night! response:	Sis...
context: Yeah, see you tomorrow.\It was a strange day today.\But I got closer to Arima.\And so the days accumulate...\I'm home!\Dinner! Let's eat!\Good night!\Sis... response:	Are you an elementary school kid or something?
context: It was a strange day today.\But I got closer to Arima.\And so the days accumulate...\I'm home!\Dinner! Let's eat!\Good night!\Sis...\Are you an elementary school kid or something? response:	This is the story of how I met you.
context: But I got closer to Arima.\And so the days accumulate...\I'm home!\Dinner! Let's eat!\Good night!\Sis...\Are you an elementary school kid or something?\This is the story of how I met you. response:	Oh, crap! It's time for fifth period!
context: And so the days accumulate...\I'm home!\Dinner! Let's eat!\Good night!\Sis...\Are you an elementary school kid or something?\This is the story of how I met you.\Oh, crap! It's time for fifth period! response:	Spring. Not long after starting high school.
context: I'm home!\Dinner! Let's eat!\Good night!\Sis...\Are you an elementary school kid or something?\This is the story of how I met you.\Oh, crap! It's time for fifth period!\Spring. Not long after starting high school. response:	April. I was still alone.
context: Dinner! Let's eat!\Good night!\Sis...\Are you an elementary school kid or something?\This is the story of how I met you.\Oh, crap! It's time for fifth period!\Spring. Not long after starting high school.\April. I was still alone. response:	I'm sorry. I fell asleep.
context: Good night!\Sis...\Are you an elementary school kid or something?\This is the story of how I met you.\Oh, crap! It's time for fifth period!\Spring. Not long after starting high school.\April. I was still alone.\I'm sorry. I fell asleep. response:	I apologize for coming to class late.
context: Sis...\Are you an elementary school kid or something?\This is the story of how I met you.\Oh, crap! It's time for fifth period!\Spring. Not long after starting high school.\April. I was still alone.\I'm sorry. I fell asleep.\I apologize for coming to class late. response:	Come on now someone who was just
context: Are you an elementary school kid or something?\This is the story of how I met you.\Oh, crap! It's time for fifth period!\Spring. Not long after starting high school.\April. I was still alone.\I'm sorry. I fell asleep.\I apologize for coming to class late.\Come on now someone who was just response:	speaker for the incoming class shouldn't be doing such a thing.
context: This is the story of how I met you.\Oh, crap! It's time for fifth period!\Spring. Not long after starting high school.\April. I was still alone.\I'm sorry. I fell asleep.\I apologize for coming to class late.\Come on now someone who was just\speaker for the incoming class shouldn't be doing such a thing. response:	When we're done, you can clean all the lab equipment.
context: Oh, crap! It's time for fifth period!\Spring. Not long after starting high school.\April. I was still alone.\I'm sorry. I fell asleep.\I apologize for coming to class late.\Come on now someone who was just\speaker for the incoming class shouldn't be doing such a thing.\When we're done, you can clean all the lab equipment. response:	Wow, Arima, you're covered in cherry blossom petals.
context: Spring. Not long after starting high school.\April. I was still alone.\I'm sorry. I fell asleep.\I apologize for coming to class late.\Come on now someone who was just\speaker for the incoming class shouldn't be doing such a thing.\When we're done, you can clean all the lab equipment.\Wow, Arima, you're covered in cherry blossom petals. response:	Oh, these?
context: April. I was still alone.\I'm sorry. I fell asleep.\I apologize for coming to class late.\Come on now someone who was just\speaker for the incoming class shouldn't be doing such a thing.\When we're done, you can clean all the lab equipment.\Wow, Arima, you're covered in cherry blossom petals.\Oh, these? response:	There's a row of cherry trees across the river.
context: I'm sorry. I fell asleep.\I apologize for coming to class late.\Come on now someone who was just\speaker for the incoming class shouldn't be doing such a thing.\When we're done, you can clean all the lab equipment.\Wow, Arima, you're covered in cherry blossom petals.\Oh, these?\There's a row of cherry trees across the river. response:	Really? I went over there for lunch break.
context: I apologize for coming to class late.\Come on now someone who was just\speaker for the incoming class shouldn't be doing such a thing.\When we're done, you can clean all the lab equipment.\Wow, Arima, you're covered in cherry blossom petals.\Oh, these?\There's a row of cherry trees across the river.\Really? I went over there for lunch break. response:	I didn't know there was a place like that.
context: Come on now someone who was just\speaker for the incoming class shouldn't be doing such a thing.\When we're done, you can clean all the lab equipment.\Wow, Arima, you're covered in cherry blossom petals.\Oh, these?\There's a row of cherry trees across the river.\Really? I went over there for lunch break.\I didn't know there was a place like that. response:	I went there to eat my lunch and read,
context: speaker for the incoming class shouldn't be doing such a thing.\When we're done, you can clean all the lab equipment.\Wow, Arima, you're covered in cherry blossom petals.\Oh, these?\There's a row of cherry trees across the river.\Really? I went over there for lunch break.\I didn't know there was a place like that.\I went there to eat my lunch and read, response:	but it felt so nice, I dozed off.
context: When we're done, you can clean all the lab equipment.\Wow, Arima, you're covered in cherry blossom petals.\Oh, these?\There's a row of cherry trees across the river.\Really? I went over there for lunch break.\I didn't know there was a place like that.\I went there to eat my lunch and read,\but it felt so nice, I dozed off. response:	Why didn't you take us with you? Not fair!
context: Wow, Arima, you're covered in cherry blossom petals.\Oh, these?\There's a row of cherry trees across the river.\Really? I went over there for lunch break.\I didn't know there was a place like that.\I went there to eat my lunch and read,\but it felt so nice, I dozed off.\Why didn't you take us with you? Not fair! response:	Not fair!
context: Oh, these?\There's a row of cherry trees across the river.\Really? I went over there for lunch break.\I didn't know there was a place like that.\I went there to eat my lunch and read,\but it felt so nice, I dozed off.\Why didn't you take us with you? Not fair!\Not fair! response:	Sorry, sorry.
context: There's a row of cherry trees across the river.\Really? I went over there for lunch break.\I didn't know there was a place like that.\I went there to eat my lunch and read,\but it felt so nice, I dozed off.\Why didn't you take us with you? Not fair!\Not fair!\Sorry, sorry. response:	Why don't we go on a picnic as a class?
context: Really? I went over there for lunch break.\I didn't know there was a place like that.\I went there to eat my lunch and read,\but it felt so nice, I dozed off.\Why didn't you take us with you? Not fair!\Not fair!\Sorry, sorry.\Why don't we go on a picnic as a class? response:	Oh, that's a great idea.
context: I didn't know there was a place like that.\I went there to eat my lunch and read,\but it felt so nice, I dozed off.\Why didn't you take us with you? Not fair!\Not fair!\Sorry, sorry.\Why don't we go on a picnic as a class?\Oh, that's a great idea. response:	With some snacks and stuff?
context: I went there to eat my lunch and read,\but it felt so nice, I dozed off.\Why didn't you take us with you? Not fair!\Not fair!\Sorry, sorry.\Why don't we go on a picnic as a class?\Oh, that's a great idea.\With some snacks and stuff? response:	All right! Party-time!
context: but it felt so nice, I dozed off.\Why didn't you take us with you? Not fair!\Not fair!\Sorry, sorry.\Why don't we go on a picnic as a class?\Oh, that's a great idea.\With some snacks and stuff?\All right! Party-time! response:	Hey, Arima, you're coming, too, aren't you?
context: Why didn't you take us with you? Not fair!\Not fair!\Sorry, sorry.\Why don't we go on a picnic as a class?\Oh, that's a great idea.\With some snacks and stuff?\All right! Party-time!\Hey, Arima, you're coming, too, aren't you? response:	What? Sure, sounds good.
context: Not fair!\Sorry, sorry.\Why don't we go on a picnic as a class?\Oh, that's a great idea.\With some snacks and stuff?\All right! Party-time!\Hey, Arima, you're coming, too, aren't you?\What? Sure, sounds good. response:	It's decided!
context: Sorry, sorry.\Why don't we go on a picnic as a class?\Oh, that's a great idea.\With some snacks and stuff?\All right! Party-time!\Hey, Arima, you're coming, too, aren't you?\What? Sure, sounds good.\It's decided! response:	If Arima's going, I'm going, too.
context: Why don't we go on a picnic as a class?\Oh, that's a great idea.\With some snacks and stuff?\All right! Party-time!\Hey, Arima, you're coming, too, aren't you?\What? Sure, sounds good.\It's decided!\If Arima's going, I'm going, too. response:	Arima.
context: Oh, that's a great idea.\With some snacks and stuff?\All right! Party-time!\Hey, Arima, you're coming, too, aren't you?\What? Sure, sounds good.\It's decided!\If Arima's going, I'm going, too.\Arima. response:	Oh, you didn't have to do this.
context: With some snacks and stuff?\All right! Party-time!\Hey, Arima, you're coming, too, aren't you?\What? Sure, sounds good.\It's decided!\If Arima's going, I'm going, too.\Arima.\Oh, you didn't have to do this. response:	It's my turn for cleanup duty today.
context: All right! Party-time!\Hey, Arima, you're coming, too, aren't you?\What? Sure, sounds good.\It's decided!\If Arima's going, I'm going, too.\Arima.\Oh, you didn't have to do this.\It's my turn for cleanup duty today. response:	Miyazawa. It's okay.
context: Hey, Arima, you're coming, too, aren't you?\What? Sure, sounds good.\It's decided!\If Arima's going, I'm going, too.\Arima.\Oh, you didn't have to do this.\It's my turn for cleanup duty today.\Miyazawa. It's okay. response:	It's my own fault, so I'll do it.
context: What? Sure, sounds good.\It's decided!\If Arima's going, I'm going, too.\Arima.\Oh, you didn't have to do this.\It's my turn for cleanup duty today.\Miyazawa. It's okay.\It's my own fault, so I'll do it. response:	Really? But I still feel bad...
context: It's decided!\If Arima's going, I'm going, too.\Arima.\Oh, you didn't have to do this.\It's my turn for cleanup duty today.\Miyazawa. It's okay.\It's my own fault, so I'll do it.\Really? But I still feel bad... response:	Her name is Miyazawa Yukino.
context: If Arima's going, I'm going, too.\Arima.\Oh, you didn't have to do this.\It's my turn for cleanup duty today.\Miyazawa. It's okay.\It's my own fault, so I'll do it.\Really? But I still feel bad...\Her name is Miyazawa Yukino. response:	Starting this month,
context: Arima.\Oh, you didn't have to do this.\It's my turn for cleanup duty today.\Miyazawa. It's okay.\It's my own fault, so I'll do it.\Really? But I still feel bad...\Her name is Miyazawa Yukino.\Starting this month, response:	she became the representative for class A with me.
context: Oh, you didn't have to do this.\It's my turn for cleanup duty today.\Miyazawa. It's okay.\It's my own fault, so I'll do it.\Really? But I still feel bad...\Her name is Miyazawa Yukino.\Starting this month,\she became the representative for class A with me. response:	She radiates older sister,
context: It's my turn for cleanup duty today.\Miyazawa. It's okay.\It's my own fault, so I'll do it.\Really? But I still feel bad...\Her name is Miyazawa Yukino.\Starting this month,\she became the representative for class A with me.\She radiates older sister, response:	and is responsible and very smart.
context: Miyazawa. It's okay.\It's my own fault, so I'll do it.\Really? But I still feel bad...\Her name is Miyazawa Yukino.\Starting this month,\she became the representative for class A with me.\She radiates older sister,\and is responsible and very smart. response:	She also does her committee work very efficiently,
context: It's my own fault, so I'll do it.\Really? But I still feel bad...\Her name is Miyazawa Yukino.\Starting this month,\she became the representative for class A with me.\She radiates older sister,\and is responsible and very smart.\She also does her committee work very efficiently, response:	and is a wise and mature person.
context: Really? But I still feel bad...\Her name is Miyazawa Yukino.\Starting this month,\she became the representative for class A with me.\She radiates older sister,\and is responsible and very smart.\She also does her committee work very efficiently,\and is a wise and mature person. response:	Miyazawa,
context: Her name is Miyazawa Yukino.\Starting this month,\she became the representative for class A with me.\She radiates older sister,\and is responsible and very smart.\She also does her committee work very efficiently,\and is a wise and mature person.\Miyazawa, response:	those are the printouts from the committee meeting this morning, right?
context: Starting this month,\she became the representative for class A with me.\She radiates older sister,\and is responsible and very smart.\She also does her committee work very efficiently,\and is a wise and mature person.\Miyazawa,\those are the printouts from the committee meeting this morning, right? response:	Give me half of them.
context: she became the representative for class A with me.\She radiates older sister,\and is responsible and very smart.\She also does her committee work very efficiently,\and is a wise and mature person.\Miyazawa,\those are the printouts from the committee meeting this morning, right?\Give me half of them. response:	Oh, but I already finished them all myself.
context: She radiates older sister,\and is responsible and very smart.\She also does her committee work very efficiently,\and is a wise and mature person.\Miyazawa,\those are the printouts from the committee meeting this morning, right?\Give me half of them.\Oh, but I already finished them all myself. response:	What?! All of them, by yourself?
context: and is responsible and very smart.\She also does her committee work very efficiently,\and is a wise and mature person.\Miyazawa,\those are the printouts from the committee meeting this morning, right?\Give me half of them.\Oh, but I already finished them all myself.\What?! All of them, by yourself? response:	Yeah. I had some time...
context: She also does her committee work very efficiently,\and is a wise and mature person.\Miyazawa,\those are the printouts from the committee meeting this morning, right?\Give me half of them.\Oh, but I already finished them all myself.\What?! All of them, by yourself?\Yeah. I had some time... response:	I'm sorry. I couldn't make it
context: and is a wise and mature person.\Miyazawa,\those are the printouts from the committee meeting this morning, right?\Give me half of them.\Oh, but I already finished them all myself.\What?! All of them, by yourself?\Yeah. I had some time...\I'm sorry. I couldn't make it response:	because of practice this morning...
context: Miyazawa,\those are the printouts from the committee meeting this morning, right?\Give me half of them.\Oh, but I already finished them all myself.\What?! All of them, by yourself?\Yeah. I had some time...\I'm sorry. I couldn't make it\because of practice this morning... response:	It's all right. Besides, you helped me out with the cleanup.
context: those are the printouts from the committee meeting this morning, right?\Give me half of them.\Oh, but I already finished them all myself.\What?! All of them, by yourself?\Yeah. I had some time...\I'm sorry. I couldn't make it\because of practice this morning...\It's all right. Besides, you helped me out with the cleanup. response:	Thank you.
context: Give me half of them.\Oh, but I already finished them all myself.\What?! All of them, by yourself?\Yeah. I had some time...\I'm sorry. I couldn't make it\because of practice this morning...\It's all right. Besides, you helped me out with the cleanup.\Thank you. response:	Miyazawa's amazing. She's nice, and doesn't seem to have any faults...
context: Oh, but I already finished them all myself.\What?! All of them, by yourself?\Yeah. I had some time...\I'm sorry. I couldn't make it\because of practice this morning...\It's all right. Besides, you helped me out with the cleanup.\Thank you.\Miyazawa's amazing. She's nice, and doesn't seem to have any faults... response:	I've realized that there really are people like her in the world.
context: What?! All of them, by yourself?\Yeah. I had some time...\I'm sorry. I couldn't make it\because of practice this morning...\It's all right. Besides, you helped me out with the cleanup.\Thank you.\Miyazawa's amazing. She's nice, and doesn't seem to have any faults...\I've realized that there really are people like her in the world. response:	What the heck are you talking about, Arima?
context: Yeah. I had some time...\I'm sorry. I couldn't make it\because of practice this morning...\It's all right. Besides, you helped me out with the cleanup.\Thank you.\Miyazawa's amazing. She's nice, and doesn't seem to have any faults...\I've realized that there really are people like her in the world.\What the heck are you talking about, Arima? response:	You're talking about yourself.
context: I'm sorry. I couldn't make it\because of practice this morning...\It's all right. Besides, you helped me out with the cleanup.\Thank you.\Miyazawa's amazing. She's nice, and doesn't seem to have any faults...\I've realized that there really are people like her in the world.\What the heck are you talking about, Arima?\You're talking about yourself. response:	Ah...?
context: because of practice this morning...\It's all right. Besides, you helped me out with the cleanup.\Thank you.\Miyazawa's amazing. She's nice, and doesn't seem to have any faults...\I've realized that there really are people like her in the world.\What the heck are you talking about, Arima?\You're talking about yourself.\Ah...? response:	Highest scorer on the entrance exams!
context: It's all right. Besides, you helped me out with the cleanup.\Thank you.\Miyazawa's amazing. She's nice, and doesn't seem to have any faults...\I've realized that there really are people like her in the world.\What the heck are you talking about, Arima?\You're talking about yourself.\Ah...?\Highest scorer on the entrance exams! response:	Outstanding in sports!
context: Thank you.\Miyazawa's amazing. She's nice, and doesn't seem to have any faults...\I've realized that there really are people like her in the world.\What the heck are you talking about, Arima?\You're talking about yourself.\Ah...?\Highest scorer on the entrance exams!\Outstanding in sports! response:	Handsome!
context: Miyazawa's amazing. She's nice, and doesn't seem to have any faults...\I've realized that there really are people like her in the world.\What the heck are you talking about, Arima?\You're talking about yourself.\Ah...?\Highest scorer on the entrance exams!\Outstanding in sports!\Handsome! response:	Nice!
context: I've realized that there really are people like her in the world.\What the heck are you talking about, Arima?\You're talking about yourself.\Ah...?\Highest scorer on the entrance exams!\Outstanding in sports!\Handsome!\Nice! response:	The most popular person in the whole class!
context: What the heck are you talking about, Arima?\You're talking about yourself.\Ah...?\Highest scorer on the entrance exams!\Outstanding in sports!\Handsome!\Nice!\The most popular person in the whole class! response:	You're perfect!
context: You're talking about yourself.\Ah...?\Highest scorer on the entrance exams!\Outstanding in sports!\Handsome!\Nice!\The most popular person in the whole class!\You're perfect! response:	Ah...?
context: Ah...?\Highest scorer on the entrance exams!\Outstanding in sports!\Handsome!\Nice!\The most popular person in the whole class!\You're perfect!\Ah...? response:	How can you sit there and be impressed by someone else?!
context: Highest scorer on the entrance exams!\Outstanding in sports!\Handsome!\Nice!\The most popular person in the whole class!\You're perfect!\Ah...?\How can you sit there and be impressed by someone else?! response:	You don't know who you are, do you?!
context: Outstanding in sports!\Handsome!\Nice!\The most popular person in the whole class!\You're perfect!\Ah...?\How can you sit there and be impressed by someone else?!\You don't know who you are, do you?! response:	You're so famous that there's no one at this school who doesn't know about you!
context: Handsome!\Nice!\The most popular person in the whole class!\You're perfect!\Ah...?\How can you sit there and be impressed by someone else?!\You don't know who you are, do you?!\You're so famous that there's no one at this school who doesn't know about you! response:	I haven't done anything that conspicuous.
context: Nice!\The most popular person in the whole class!\You're perfect!\Ah...?\How can you sit there and be impressed by someone else?!\You don't know who you are, do you?!\You're so famous that there's no one at this school who doesn't know about you!\I haven't done anything that conspicuous. response:	You stand out just by speaking!
context: The most popular person in the whole class!\You're perfect!\Ah...?\How can you sit there and be impressed by someone else?!\You don't know who you are, do you?!\You're so famous that there's no one at this school who doesn't know about you!\I haven't done anything that conspicuous.\You stand out just by speaking! response:	You and Miyazawa are peerless!
context: You're perfect!\Ah...?\How can you sit there and be impressed by someone else?!\You don't know who you are, do you?!\You're so famous that there's no one at this school who doesn't know about you!\I haven't done anything that conspicuous.\You stand out just by speaking!\You and Miyazawa are peerless! response:	You can say that again!
context: Ah...?\How can you sit there and be impressed by someone else?!\You don't know who you are, do you?!\You're so famous that there's no one at this school who doesn't know about you!\I haven't done anything that conspicuous.\You stand out just by speaking!\You and Miyazawa are peerless!\You can say that again! response:	It looks like all the girls are after you, too, you little punk.
context: How can you sit there and be impressed by someone else?!\You don't know who you are, do you?!\You're so famous that there's no one at this school who doesn't know about you!\I haven't done anything that conspicuous.\You stand out just by speaking!\You and Miyazawa are peerless!\You can say that again!\It looks like all the girls are after you, too, you little punk. response:	Awake or asleep, it's nonstop Arima, Arima...
context: You don't know who you are, do you?!\You're so famous that there's no one at this school who doesn't know about you!\I haven't done anything that conspicuous.\You stand out just by speaking!\You and Miyazawa are peerless!\You can say that again!\It looks like all the girls are after you, too, you little punk.\Awake or asleep, it's nonstop Arima, Arima... response:	Don't you get it?
context: You're so famous that there's no one at this school who doesn't know about you!\I haven't done anything that conspicuous.\You stand out just by speaking!\You and Miyazawa are peerless!\You can say that again!\It looks like all the girls are after you, too, you little punk.\Awake or asleep, it's nonstop Arima, Arima...\Don't you get it? response:	What a pain!
context: I haven't done anything that conspicuous.\You stand out just by speaking!\You and Miyazawa are peerless!\You can say that again!\It looks like all the girls are after you, too, you little punk.\Awake or asleep, it's nonstop Arima, Arima...\Don't you get it?\What a pain! response:	I should be seriously pissed off.
context: You stand out just by speaking!\You and Miyazawa are peerless!\You can say that again!\It looks like all the girls are after you, too, you little punk.\Awake or asleep, it's nonstop Arima, Arima...\Don't you get it?\What a pain!\I should be seriously pissed off. response:	Yeah, you were born under a lucky star.
context: You and Miyazawa are peerless!\You can say that again!\It looks like all the girls are after you, too, you little punk.\Awake or asleep, it's nonstop Arima, Arima...\Don't you get it?\What a pain!\I should be seriously pissed off.\Yeah, you were born under a lucky star. response:	Unlike us...
context: You can say that again!\It looks like all the girls are after you, too, you little punk.\Awake or asleep, it's nonstop Arima, Arima...\Don't you get it?\What a pain!\I should be seriously pissed off.\Yeah, you were born under a lucky star.\Unlike us... response:	Such a beautiful world.
context: It looks like all the girls are after you, too, you little punk.\Awake or asleep, it's nonstop Arima, Arima...\Don't you get it?\What a pain!\I should be seriously pissed off.\Yeah, you were born under a lucky star.\Unlike us...\Such a beautiful world. response:	There was always a
context: Awake or asleep, it's nonstop Arima, Arima...\Don't you get it?\What a pain!\I should be seriously pissed off.\Yeah, you were born under a lucky star.\Unlike us...\Such a beautiful world.\There was always a response:	peaceful atmosphere around me.
context: Don't you get it?\What a pain!\I should be seriously pissed off.\Yeah, you were born under a lucky star.\Unlike us...\Such a beautiful world.\There was always a\peaceful atmosphere around me. response:	Arima,
context: What a pain!\I should be seriously pissed off.\Yeah, you were born under a lucky star.\Unlike us...\Such a beautiful world.\There was always a\peaceful atmosphere around me.\Arima, response:	have you gotten used to high school classes yet?
context: I should be seriously pissed off.\Yeah, you were born under a lucky star.\Unlike us...\Such a beautiful world.\There was always a\peaceful atmosphere around me.\Arima,\have you gotten used to high school classes yet? response:	Yes, more or less.
context: Yeah, you were born under a lucky star.\Unlike us...\Such a beautiful world.\There was always a\peaceful atmosphere around me.\Arima,\have you gotten used to high school classes yet?\Yes, more or less. response:	You're a very smart student.
context: Unlike us...\Such a beautiful world.\There was always a\peaceful atmosphere around me.\Arima,\have you gotten used to high school classes yet?\Yes, more or less.\You're a very smart student. response:	All of the teachers
context: Such a beautiful world.\There was always a\peaceful atmosphere around me.\Arima,\have you gotten used to high school classes yet?\Yes, more or less.\You're a very smart student.\All of the teachers response:	enjoy teaching you.
