context: I love you, Haru. response:	I-I can't believe I just said that...
context: What do you jerks think you're doing?!\Run, Mizutani-san!\That was scary.\I thought you were going to fight them.\That's crazy talk.\I've never been in a fight in my life.\Let's get out of this place.\Hey! Wait up! response:	Whoa, you're so slow!
context: Run, Mizutani-san!\That was scary.\I thought you were going to fight them.\That's crazy talk.\I've never been in a fight in my life.\Let's get out of this place.\Hey! Wait up!\Whoa, you're so slow! response:	Yoshida!
context: That was scary.\I thought you were going to fight them.\That's crazy talk.\I've never been in a fight in my life.\Let's get out of this place.\Hey! Wait up!\Whoa, you're so slow!\Yoshida! response:	Behind you!
context: I thought you were going to fight them.\That's crazy talk.\I've never been in a fight in my life.\Let's get out of this place.\Hey! Wait up!\Whoa, you're so slow!\Yoshida!\Behind you! response:	Mizutani-san's in trouble!
context: That's crazy talk.\I've never been in a fight in my life.\Let's get out of this place.\Hey! Wait up!\Whoa, you're so slow!\Yoshida!\Behind you!\Mizutani-san's in trouble! response:	Haru!
context: I've never been in a fight in my life.\Let's get out of this place.\Hey! Wait up!\Whoa, you're so slow!\Yoshida!\Behind you!\Mizutani-san's in trouble!\Haru! response:	Hey, Haru! Wait!
context: Let's get out of this place.\Hey! Wait up!\Whoa, you're so slow!\Yoshida!\Behind you!\Mizutani-san's in trouble!\Haru!\Hey, Haru! Wait! response:	No way...
context: Hey! Wait up!\Whoa, you're so slow!\Yoshida!\Behind you!\Mizutani-san's in trouble!\Haru!\Hey, Haru! Wait!\No way... response:	Oh, it's you guys.
context: Whoa, you're so slow!\Yoshida!\Behind you!\Mizutani-san's in trouble!\Haru!\Hey, Haru! Wait!\No way...\Oh, it's you guys. response:	Crap.
context: Yoshida!\Behind you!\Mizutani-san's in trouble!\Haru!\Hey, Haru! Wait!\No way...\Oh, it's you guys.\Crap. response:	Just run, Haru!
context: Behind you!\Mizutani-san's in trouble!\Haru!\Hey, Haru! Wait!\No way...\Oh, it's you guys.\Crap.\Just run, Haru! response:	You're so slow, Shizuku.
context: Mizutani-san's in trouble!\Haru!\Hey, Haru! Wait!\No way...\Oh, it's you guys.\Crap.\Just run, Haru!\You're so slow, Shizuku. response:	Uh-huh, yeah.
context: Haru!\Hey, Haru! Wait!\No way...\Oh, it's you guys.\Crap.\Just run, Haru!\You're so slow, Shizuku.\Uh-huh, yeah. response:	Sorry, but can you buy what we need, Natsume-san?
context: Hey, Haru! Wait!\No way...\Oh, it's you guys.\Crap.\Just run, Haru!\You're so slow, Shizuku.\Uh-huh, yeah.\Sorry, but can you buy what we need, Natsume-san? response:	They might still be around.
context: No way...\Oh, it's you guys.\Crap.\Just run, Haru!\You're so slow, Shizuku.\Uh-huh, yeah.\Sorry, but can you buy what we need, Natsume-san?\They might still be around. response:	Thanks.
context: Oh, it's you guys.\Crap.\Just run, Haru!\You're so slow, Shizuku.\Uh-huh, yeah.\Sorry, but can you buy what we need, Natsume-san?\They might still be around.\Thanks. response:	I'll go help her carry everything.
context: Crap.\Just run, Haru!\You're so slow, Shizuku.\Uh-huh, yeah.\Sorry, but can you buy what we need, Natsume-san?\They might still be around.\Thanks.\I'll go help her carry everything. response:	Yoshida, look after Mizutani-san.
context: Just run, Haru!\You're so slow, Shizuku.\Uh-huh, yeah.\Sorry, but can you buy what we need, Natsume-san?\They might still be around.\Thanks.\I'll go help her carry everything.\Yoshida, look after Mizutani-san. response:	Sure.
context: You're so slow, Shizuku.\Uh-huh, yeah.\Sorry, but can you buy what we need, Natsume-san?\They might still be around.\Thanks.\I'll go help her carry everything.\Yoshida, look after Mizutani-san.\Sure. response:	Drink this.
context: Uh-huh, yeah.\Sorry, but can you buy what we need, Natsume-san?\They might still be around.\Thanks.\I'll go help her carry everything.\Yoshida, look after Mizutani-san.\Sure.\Drink this. response:	Thanks.
context: Sorry, but can you buy what we need, Natsume-san?\They might still be around.\Thanks.\I'll go help her carry everything.\Yoshida, look after Mizutani-san.\Sure.\Drink this.\Thanks. response:	Are you okay?
context: They might still be around.\Thanks.\I'll go help her carry everything.\Yoshida, look after Mizutani-san.\Sure.\Drink this.\Thanks.\Are you okay? response:	Yeah...
context: Thanks.\I'll go help her carry everything.\Yoshida, look after Mizutani-san.\Sure.\Drink this.\Thanks.\Are you okay?\Yeah... response:	The surprises never end with you.
context: I'll go help her carry everything.\Yoshida, look after Mizutani-san.\Sure.\Drink this.\Thanks.\Are you okay?\Yeah...\The surprises never end with you. response:	You sent him flying with one arm...
context: Yoshida, look after Mizutani-san.\Sure.\Drink this.\Thanks.\Are you okay?\Yeah...\The surprises never end with you.\You sent him flying with one arm... response:	What am I supposed to say to the guy I just rejected?
context: Sure.\Drink this.\Thanks.\Are you okay?\Yeah...\The surprises never end with you.\You sent him flying with one arm...\What am I supposed to say to the guy I just rejected? response:	You're acting weird.
context: Drink this.\Thanks.\Are you okay?\Yeah...\The surprises never end with you.\You sent him flying with one arm...\What am I supposed to say to the guy I just rejected?\You're acting weird. response:	Huh?
context: Thanks.\Are you okay?\Yeah...\The surprises never end with you.\You sent him flying with one arm...\What am I supposed to say to the guy I just rejected?\You're acting weird.\Huh? response:	Normally, you would refuse to look after the rooster.
context: Are you okay?\Yeah...\The surprises never end with you.\You sent him flying with one arm...\What am I supposed to say to the guy I just rejected?\You're acting weird.\Huh?\Normally, you would refuse to look after the rooster. response:	You would refuse to go out over the weekend.
context: Yeah...\The surprises never end with you.\You sent him flying with one arm...\What am I supposed to say to the guy I just rejected?\You're acting weird.\Huh?\Normally, you would refuse to look after the rooster.\You would refuse to go out over the weekend. response:	It's weird.
context: The surprises never end with you.\You sent him flying with one arm...\What am I supposed to say to the guy I just rejected?\You're acting weird.\Huh?\Normally, you would refuse to look after the rooster.\You would refuse to go out over the weekend.\It's weird. response:	Did something happen?
context: You sent him flying with one arm...\What am I supposed to say to the guy I just rejected?\You're acting weird.\Huh?\Normally, you would refuse to look after the rooster.\You would refuse to go out over the weekend.\It's weird.\Did something happen? response:	He's right...
context: What am I supposed to say to the guy I just rejected?\You're acting weird.\Huh?\Normally, you would refuse to look after the rooster.\You would refuse to go out over the weekend.\It's weird.\Did something happen?\He's right... response:	This guy is weirdly perceptive.
context: You're acting weird.\Huh?\Normally, you would refuse to look after the rooster.\You would refuse to go out over the weekend.\It's weird.\Did something happen?\He's right...\This guy is weirdly perceptive. response:	Nothing happened.
context: Huh?\Normally, you would refuse to look after the rooster.\You would refuse to go out over the weekend.\It's weird.\Did something happen?\He's right...\This guy is weirdly perceptive.\Nothing happened. response:	Don't lie to me.
context: Normally, you would refuse to look after the rooster.\You would refuse to go out over the weekend.\It's weird.\Did something happen?\He's right...\This guy is weirdly perceptive.\Nothing happened.\Don't lie to me. response:	I-I'm not lying.
context: You would refuse to go out over the weekend.\It's weird.\Did something happen?\He's right...\This guy is weirdly perceptive.\Nothing happened.\Don't lie to me.\I-I'm not lying. response:	Are you sure?
context: It's weird.\Did something happen?\He's right...\This guy is weirdly perceptive.\Nothing happened.\Don't lie to me.\I-I'm not lying.\Are you sure? response:	If you say so.
context: Did something happen?\He's right...\This guy is weirdly perceptive.\Nothing happened.\Don't lie to me.\I-I'm not lying.\Are you sure?\If you say so. response:	They're taking forever.
context: He's right...\This guy is weirdly perceptive.\Nothing happened.\Don't lie to me.\I-I'm not lying.\Are you sure?\If you say so.\They're taking forever. response:	Was he worried about me?
context: This guy is weirdly perceptive.\Nothing happened.\Don't lie to me.\I-I'm not lying.\Are you sure?\If you say so.\They're taking forever.\Was he worried about me? response:	Hey!
context: Nothing happened.\Don't lie to me.\I-I'm not lying.\Are you sure?\If you say so.\They're taking forever.\Was he worried about me?\Hey! response:	We bring goodies!
context: Don't lie to me.\I-I'm not lying.\Are you sure?\If you say so.\They're taking forever.\Was he worried about me?\Hey!\We bring goodies! response:	Misawa Batting Center
context: I-I'm not lying.\Are you sure?\If you say so.\They're taking forever.\Was he worried about me?\Hey!\We bring goodies!\Misawa Batting Center response:	Parking Lot
context: Are you sure?\If you say so.\They're taking forever.\Was he worried about me?\Hey!\We bring goodies!\Misawa Batting Center\Parking Lot response:	Cutting wood is a pain in the ass.
context: If you say so.\They're taking forever.\Was he worried about me?\Hey!\We bring goodies!\Misawa Batting Center\Parking Lot\Cutting wood is a pain in the ass. response:	I told you to ask the store to cut it for us.
context: They're taking forever.\Was he worried about me?\Hey!\We bring goodies!\Misawa Batting Center\Parking Lot\Cutting wood is a pain in the ass.\I told you to ask the store to cut it for us. response:	It doesn't seem realistic for the four of us
context: Was he worried about me?\Hey!\We bring goodies!\Misawa Batting Center\Parking Lot\Cutting wood is a pain in the ass.\I told you to ask the store to cut it for us.\It doesn't seem realistic for the four of us response:	to build this coop by ourselves.
context: Hey!\We bring goodies!\Misawa Batting Center\Parking Lot\Cutting wood is a pain in the ass.\I told you to ask the store to cut it for us.\It doesn't seem realistic for the four of us\to build this coop by ourselves. response:	I went with the simplest instructions I could find...
context: We bring goodies!\Misawa Batting Center\Parking Lot\Cutting wood is a pain in the ass.\I told you to ask the store to cut it for us.\It doesn't seem realistic for the four of us\to build this coop by ourselves.\I went with the simplest instructions I could find... response:	I told you we should have bought that cool one.
context: Misawa Batting Center\Parking Lot\Cutting wood is a pain in the ass.\I told you to ask the store to cut it for us.\It doesn't seem realistic for the four of us\to build this coop by ourselves.\I went with the simplest instructions I could find...\I told you we should have bought that cool one. response:	Oh? What's this?
context: Parking Lot\Cutting wood is a pain in the ass.\I told you to ask the store to cut it for us.\It doesn't seem realistic for the four of us\to build this coop by ourselves.\I went with the simplest instructions I could find...\I told you we should have bought that cool one.\Oh? What's this? response:	You're already giving up?
context: Cutting wood is a pain in the ass.\I told you to ask the store to cut it for us.\It doesn't seem realistic for the four of us\to build this coop by ourselves.\I went with the simplest instructions I could find...\I told you we should have bought that cool one.\Oh? What's this?\You're already giving up? response:	Sawing wood?
context: I told you to ask the store to cut it for us.\It doesn't seem realistic for the four of us\to build this coop by ourselves.\I went with the simplest instructions I could find...\I told you we should have bought that cool one.\Oh? What's this?\You're already giving up?\Sawing wood? response:	That's grueling work.
context: It doesn't seem realistic for the four of us\to build this coop by ourselves.\I went with the simplest instructions I could find...\I told you we should have bought that cool one.\Oh? What's this?\You're already giving up?\Sawing wood?\That's grueling work. response:	Oh, I have a chainsaw you can use.
context: to build this coop by ourselves.\I went with the simplest instructions I could find...\I told you we should have bought that cool one.\Oh? What's this?\You're already giving up?\Sawing wood?\That's grueling work.\Oh, I have a chainsaw you can use. response:	Why didn't you mention that sooner?!
context: I went with the simplest instructions I could find...\I told you we should have bought that cool one.\Oh? What's this?\You're already giving up?\Sawing wood?\That's grueling work.\Oh, I have a chainsaw you can use.\Why didn't you mention that sooner?! response:	Man... I'll go grab it.
context: I told you we should have bought that cool one.\Oh? What's this?\You're already giving up?\Sawing wood?\That's grueling work.\Oh, I have a chainsaw you can use.\Why didn't you mention that sooner?!\Man... I'll go grab it. response:	Then I'll go buy ice cream.
context: Oh? What's this?\You're already giving up?\Sawing wood?\That's grueling work.\Oh, I have a chainsaw you can use.\Why didn't you mention that sooner?!\Man... I'll go grab it.\Then I'll go buy ice cream. response:	What do you want?
context: You're already giving up?\Sawing wood?\That's grueling work.\Oh, I have a chainsaw you can use.\Why didn't you mention that sooner?!\Man... I'll go grab it.\Then I'll go buy ice cream.\What do you want? response:	Get me a soda flavored Garigari-kun popsicle.
context: Sawing wood?\That's grueling work.\Oh, I have a chainsaw you can use.\Why didn't you mention that sooner?!\Man... I'll go grab it.\Then I'll go buy ice cream.\What do you want?\Get me a soda flavored Garigari-kun popsicle. response:	I'll have a Choco Monaca Jumbo.
context: That's grueling work.\Oh, I have a chainsaw you can use.\Why didn't you mention that sooner?!\Man... I'll go grab it.\Then I'll go buy ice cream.\What do you want?\Get me a soda flavored Garigari-kun popsicle.\I'll have a Choco Monaca Jumbo. response:	You've got it!
context: Oh, I have a chainsaw you can use.\Why didn't you mention that sooner?!\Man... I'll go grab it.\Then I'll go buy ice cream.\What do you want?\Get me a soda flavored Garigari-kun popsicle.\I'll have a Choco Monaca Jumbo.\You've got it! response:	Are we going to finish this today?
context: Why didn't you mention that sooner?!\Man... I'll go grab it.\Then I'll go buy ice cream.\What do you want?\Get me a soda flavored Garigari-kun popsicle.\I'll have a Choco Monaca Jumbo.\You've got it!\Are we going to finish this today? response:	Found ya.
context: Man... I'll go grab it.\Then I'll go buy ice cream.\What do you want?\Get me a soda flavored Garigari-kun popsicle.\I'll have a Choco Monaca Jumbo.\You've got it!\Are we going to finish this today?\Found ya. response:	Whoa, they're back.
context: Then I'll go buy ice cream.\What do you want?\Get me a soda flavored Garigari-kun popsicle.\I'll have a Choco Monaca Jumbo.\You've got it!\Are we going to finish this today?\Found ya.\Whoa, they're back. response:	Don't be too hasty.
context: What do you want?\Get me a soda flavored Garigari-kun popsicle.\I'll have a Choco Monaca Jumbo.\You've got it!\Are we going to finish this today?\Found ya.\Whoa, they're back.\Don't be too hasty. response:	We want to talk.
context: Get me a soda flavored Garigari-kun popsicle.\I'll have a Choco Monaca Jumbo.\You've got it!\Are we going to finish this today?\Found ya.\Whoa, they're back.\Don't be too hasty.\We want to talk. response:	Anyway, we kinda feel bad,
context: I'll have a Choco Monaca Jumbo.\You've got it!\Are we going to finish this today?\Found ya.\Whoa, they're back.\Don't be too hasty.\We want to talk.\Anyway, we kinda feel bad, response:	but he's been ignoring us.
context: You've got it!\Are we going to finish this today?\Found ya.\Whoa, they're back.\Don't be too hasty.\We want to talk.\Anyway, we kinda feel bad,\but he's been ignoring us. response:	Oh.
context: Are we going to finish this today?\Found ya.\Whoa, they're back.\Don't be too hasty.\We want to talk.\Anyway, we kinda feel bad,\but he's been ignoring us.\Oh. response:	Why don't you apologize then?
context: Found ya.\Whoa, they're back.\Don't be too hasty.\We want to talk.\Anyway, we kinda feel bad,\but he's been ignoring us.\Oh.\Why don't you apologize then? response:	Right, Mizutani-san?
context: Whoa, they're back.\Don't be too hasty.\We want to talk.\Anyway, we kinda feel bad,\but he's been ignoring us.\Oh.\Why don't you apologize then?\Right, Mizutani-san? response:	I think it's selfish to expect him to listen after you hurt his feelings,
context: Don't be too hasty.\We want to talk.\Anyway, we kinda feel bad,\but he's been ignoring us.\Oh.\Why don't you apologize then?\Right, Mizutani-san?\I think it's selfish to expect him to listen after you hurt his feelings, response:	As long as you don't interfere with our work.
context: We want to talk.\Anyway, we kinda feel bad,\but he's been ignoring us.\Oh.\Why don't you apologize then?\Right, Mizutani-san?\I think it's selfish to expect him to listen after you hurt his feelings,\As long as you don't interfere with our work. response:	This girl is cold...
context: Anyway, we kinda feel bad,\but he's been ignoring us.\Oh.\Why don't you apologize then?\Right, Mizutani-san?\I think it's selfish to expect him to listen after you hurt his feelings,\As long as you don't interfere with our work.\This girl is cold... response:	Can't you see that we're asking you to help us out?
context: but he's been ignoring us.\Oh.\Why don't you apologize then?\Right, Mizutani-san?\I think it's selfish to expect him to listen after you hurt his feelings,\As long as you don't interfere with our work.\This girl is cold...\Can't you see that we're asking you to help us out? response:	Not my problem.
context: Oh.\Why don't you apologize then?\Right, Mizutani-san?\I think it's selfish to expect him to listen after you hurt his feelings,\As long as you don't interfere with our work.\This girl is cold...\Can't you see that we're asking you to help us out?\Not my problem. response:	Oh, I see how it is.
context: Why don't you apologize then?\Right, Mizutani-san?\I think it's selfish to expect him to listen after you hurt his feelings,\As long as you don't interfere with our work.\This girl is cold...\Can't you see that we're asking you to help us out?\Not my problem.\Oh, I see how it is. response:	You're in love with Haru.
context: Right, Mizutani-san?\I think it's selfish to expect him to listen after you hurt his feelings,\As long as you don't interfere with our work.\This girl is cold...\Can't you see that we're asking you to help us out?\Not my problem.\Oh, I see how it is.\You're in love with Haru. response:	Wow, for real?
context: I think it's selfish to expect him to listen after you hurt his feelings,\As long as you don't interfere with our work.\This girl is cold...\Can't you see that we're asking you to help us out?\Not my problem.\Oh, I see how it is.\You're in love with Haru.\Wow, for real? response:	I-I'm not!
context: As long as you don't interfere with our work.\This girl is cold...\Can't you see that we're asking you to help us out?\Not my problem.\Oh, I see how it is.\You're in love with Haru.\Wow, for real?\I-I'm not! response:	Oh, really?
context: This girl is cold...\Can't you see that we're asking you to help us out?\Not my problem.\Oh, I see how it is.\You're in love with Haru.\Wow, for real?\I-I'm not!\Oh, really? response:	I said that I'm not!
context: Can't you see that we're asking you to help us out?\Not my problem.\Oh, I see how it is.\You're in love with Haru.\Wow, for real?\I-I'm not!\Oh, really?\I said that I'm not! response:	Hey! It's you guys!
context: Not my problem.\Oh, I see how it is.\You're in love with Haru.\Wow, for real?\I-I'm not!\Oh, really?\I said that I'm not!\Hey! It's you guys! response:	Haru!
context: Oh, I see how it is.\You're in love with Haru.\Wow, for real?\I-I'm not!\Oh, really?\I said that I'm not!\Hey! It's you guys!\Haru! response:	Now, now. Calm down, Haru.
context: You're in love with Haru.\Wow, for real?\I-I'm not!\Oh, really?\I said that I'm not!\Hey! It's you guys!\Haru!\Now, now. Calm down, Haru. response:	I'm outta here!
context: Wow, for real?\I-I'm not!\Oh, really?\I said that I'm not!\Hey! It's you guys!\Haru!\Now, now. Calm down, Haru.\I'm outta here! response:	We're only here to talk.
context: I-I'm not!\Oh, really?\I said that I'm not!\Hey! It's you guys!\Haru!\Now, now. Calm down, Haru.\I'm outta here!\We're only here to talk. response:	Right, Mizutani-san?
context: Oh, really?\I said that I'm not!\Hey! It's you guys!\Haru!\Now, now. Calm down, Haru.\I'm outta here!\We're only here to talk.\Right, Mizutani-san? response:	Don't touch Shizuku.
context: I said that I'm not!\Hey! It's you guys!\Haru!\Now, now. Calm down, Haru.\I'm outta here!\We're only here to talk.\Right, Mizutani-san?\Don't touch Shizuku. response:	That hurt! Listen to me!
context: Hey! It's you guys!\Haru!\Now, now. Calm down, Haru.\I'm outta here!\We're only here to talk.\Right, Mizutani-san?\Don't touch Shizuku.\That hurt! Listen to me! response:	Get that dirty look off your face, Yamaken.
context: Haru!\Now, now. Calm down, Haru.\I'm outta here!\We're only here to talk.\Right, Mizutani-san?\Don't touch Shizuku.\That hurt! Listen to me!\Get that dirty look off your face, Yamaken. response:	You're always resorting to violence like a little brat!
context: Now, now. Calm down, Haru.\I'm outta here!\We're only here to talk.\Right, Mizutani-san?\Don't touch Shizuku.\That hurt! Listen to me!\Get that dirty look off your face, Yamaken.\You're always resorting to violence like a little brat! response:	So, why are they here?
context: I'm outta here!\We're only here to talk.\Right, Mizutani-san?\Don't touch Shizuku.\That hurt! Listen to me!\Get that dirty look off your face, Yamaken.\You're always resorting to violence like a little brat!\So, why are they here? response:	Don't touch her like that.
context: We're only here to talk.\Right, Mizutani-san?\Don't touch Shizuku.\That hurt! Listen to me!\Get that dirty look off your face, Yamaken.\You're always resorting to violence like a little brat!\So, why are they here?\Don't touch her like that. response:	Beats me...
context: Right, Mizutani-san?\Don't touch Shizuku.\That hurt! Listen to me!\Get that dirty look off your face, Yamaken.\You're always resorting to violence like a little brat!\So, why are they here?\Don't touch her like that.\Beats me... response:	Oh...
context: Don't touch Shizuku.\That hurt! Listen to me!\Get that dirty look off your face, Yamaken.\You're always resorting to violence like a little brat!\So, why are they here?\Don't touch her like that.\Beats me...\Oh... response:	Hey, Haru.
context: That hurt! Listen to me!\Get that dirty look off your face, Yamaken.\You're always resorting to violence like a little brat!\So, why are they here?\Don't touch her like that.\Beats me...\Oh...\Hey, Haru. response:	They want to make peace.
context: Get that dirty look off your face, Yamaken.\You're always resorting to violence like a little brat!\So, why are they here?\Don't touch her like that.\Beats me...\Oh...\Hey, Haru.\They want to make peace. response:	As proof,
context: You're always resorting to violence like a little brat!\So, why are they here?\Don't touch her like that.\Beats me...\Oh...\Hey, Haru.\They want to make peace.\As proof, response:	they're going to help us build the chicken coop.
context: So, why are they here?\Don't touch her like that.\Beats me...\Oh...\Hey, Haru.\They want to make peace.\As proof,\they're going to help us build the chicken coop. response:	What?! That's bullshit!
context: Don't touch her like that.\Beats me...\Oh...\Hey, Haru.\They want to make peace.\As proof,\they're going to help us build the chicken coop.\What?! That's bullshit! response:	Why would we waste our time on that?!
context: Beats me...\Oh...\Hey, Haru.\They want to make peace.\As proof,\they're going to help us build the chicken coop.\What?! That's bullshit!\Why would we waste our time on that?! response:	If you want to make peace,
context: Oh...\Hey, Haru.\They want to make peace.\As proof,\they're going to help us build the chicken coop.\What?! That's bullshit!\Why would we waste our time on that?!\If you want to make peace, response:	you need to show that you mean it.
context: Hey, Haru.\They want to make peace.\As proof,\they're going to help us build the chicken coop.\What?! That's bullshit!\Why would we waste our time on that?!\If you want to make peace,\you need to show that you mean it. response:	Make peace.
context: They want to make peace.\As proof,\they're going to help us build the chicken coop.\What?! That's bullshit!\Why would we waste our time on that?!\If you want to make peace,\you need to show that you mean it.\Make peace. response:	She's right.
context: As proof,\they're going to help us build the chicken coop.\What?! That's bullshit!\Why would we waste our time on that?!\If you want to make peace,\you need to show that you mean it.\Make peace.\She's right. response:	Oh, I see.
context: they're going to help us build the chicken coop.\What?! That's bullshit!\Why would we waste our time on that?!\If you want to make peace,\you need to show that you mean it.\Make peace.\She's right.\Oh, I see. response:	You should have said something sooner.
context: What?! That's bullshit!\Why would we waste our time on that?!\If you want to make peace,\you need to show that you mean it.\Make peace.\She's right.\Oh, I see.\You should have said something sooner. response:	That's great. Come join us.
context: Why would we waste our time on that?!\If you want to make peace,\you need to show that you mean it.\Make peace.\She's right.\Oh, I see.\You should have said something sooner.\That's great. Come join us. response:	Too easy...
context: If you want to make peace,\you need to show that you mean it.\Make peace.\She's right.\Oh, I see.\You should have said something sooner.\That's great. Come join us.\Too easy... response:	I-I've seen this happen on TV before!
context: you need to show that you mean it.\Make peace.\She's right.\Oh, I see.\You should have said something sooner.\That's great. Come join us.\Too easy...\I-I've seen this happen on TV before! response:	We're going to become friends now, right?
context: Make peace.\She's right.\Oh, I see.\You should have said something sooner.\That's great. Come join us.\Too easy...\I-I've seen this happen on TV before!\We're going to become friends now, right? response:	Hey, you're actually attracted to this?
context: She's right.\Oh, I see.\You should have said something sooner.\That's great. Come join us.\Too easy...\I-I've seen this happen on TV before!\We're going to become friends now, right?\Hey, you're actually attracted to this? response:	You're in love with this?
context: Oh, I see.\You should have said something sooner.\That's great. Come join us.\Too easy...\I-I've seen this happen on TV before!\We're going to become friends now, right?\Hey, you're actually attracted to this?\You're in love with this? response:	You guys aren't so bad.
context: You should have said something sooner.\That's great. Come join us.\Too easy...\I-I've seen this happen on TV before!\We're going to become friends now, right?\Hey, you're actually attracted to this?\You're in love with this?\You guys aren't so bad. response:	I bought ice cream!
context: That's great. Come join us.\Too easy...\I-I've seen this happen on TV before!\We're going to become friends now, right?\Hey, you're actually attracted to this?\You're in love with this?\You guys aren't so bad.\I bought ice cream! response:	I got sidetracked, so it's a little melted.
context: Too easy...\I-I've seen this happen on TV before!\We're going to become friends now, right?\Hey, you're actually attracted to this?\You're in love with this?\You guys aren't so bad.\I bought ice cream!\I got sidetracked, so it's a little melted. response:	There's more people!
context: I-I've seen this happen on TV before!\We're going to become friends now, right?\Hey, you're actually attracted to this?\You're in love with this?\You guys aren't so bad.\I bought ice cream!\I got sidetracked, so it's a little melted.\There's more people! response:	Whoa! She's super cute!
context: We're going to become friends now, right?\Hey, you're actually attracted to this?\You're in love with this?\You guys aren't so bad.\I bought ice cream!\I got sidetracked, so it's a little melted.\There's more people!\Whoa! She's super cute! response:	Next, assemble these.
context: Hey, you're actually attracted to this?\You're in love with this?\You guys aren't so bad.\I bought ice cream!\I got sidetracked, so it's a little melted.\There's more people!\Whoa! She's super cute!\Next, assemble these. response:	You're right. She's super cute!
context: You're in love with this?\You guys aren't so bad.\I bought ice cream!\I got sidetracked, so it's a little melted.\There's more people!\Whoa! She's super cute!\Next, assemble these.\You're right. She's super cute! response:	Hey, don't let go!
context: You guys aren't so bad.\I bought ice cream!\I got sidetracked, so it's a little melted.\There's more people!\Whoa! She's super cute!\Next, assemble these.\You're right. She's super cute!\Hey, don't let go! response:	M-Mitty...
context: I bought ice cream!\I got sidetracked, so it's a little melted.\There's more people!\Whoa! She's super cute!\Next, assemble these.\You're right. She's super cute!\Hey, don't let go!\M-Mitty... response:	What's your name?
context: I got sidetracked, so it's a little melted.\There's more people!\Whoa! She's super cute!\Next, assemble these.\You're right. She's super cute!\Hey, don't let go!\M-Mitty...\What's your name? response:	Who are these people?
context: There's more people!\Whoa! She's super cute!\Next, assemble these.\You're right. She's super cute!\Hey, don't let go!\M-Mitty...\What's your name?\Who are these people? response:	I can build something without doing any work myself...
context: Whoa! She's super cute!\Next, assemble these.\You're right. She's super cute!\Hey, don't let go!\M-Mitty...\What's your name?\Who are these people?\I can build something without doing any work myself... response:	Beautiful.
context: Next, assemble these.\You're right. She's super cute!\Hey, don't let go!\M-Mitty...\What's your name?\Who are these people?\I can build something without doing any work myself...\Beautiful. response:	What?!
context: You're right. She's super cute!\Hey, don't let go!\M-Mitty...\What's your name?\Who are these people?\I can build something without doing any work myself...\Beautiful.\What?! response:	Nagoya
context: Hey, don't let go!\M-Mitty...\What's your name?\Who are these people?\I can build something without doing any work myself...\Beautiful.\What?!\Nagoya response:	And so, we were able to complete the chicken coop.
context: M-Mitty...\What's your name?\Who are these people?\I can build something without doing any work myself...\Beautiful.\What?!\Nagoya\And so, we were able to complete the chicken coop. response:	It's not cute!
context: What's your name?\Who are these people?\I can build something without doing any work myself...\Beautiful.\What?!\Nagoya\And so, we were able to complete the chicken coop.\It's not cute! response:	It's so cool...
context: Who are these people?\I can build something without doing any work myself...\Beautiful.\What?!\Nagoya\And so, we were able to complete the chicken coop.\It's not cute!\It's so cool... response:	Yeah, we did a good job.
context: I can build something without doing any work myself...\Beautiful.\What?!\Nagoya\And so, we were able to complete the chicken coop.\It's not cute!\It's so cool...\Yeah, we did a good job. response:	I brought Nagoya.
context: Beautiful.\What?!\Nagoya\And so, we were able to complete the chicken coop.\It's not cute!\It's so cool...\Yeah, we did a good job.\I brought Nagoya. response:	He went inside!
context: What?!\Nagoya\And so, we were able to complete the chicken coop.\It's not cute!\It's so cool...\Yeah, we did a good job.\I brought Nagoya.\He went inside! response:	Ain't it great?
context: Nagoya\And so, we were able to complete the chicken coop.\It's not cute!\It's so cool...\Yeah, we did a good job.\I brought Nagoya.\He went inside!\Ain't it great? response:	Congrats, Mizutani-san.
context: And so, we were able to complete the chicken coop.\It's not cute!\It's so cool...\Yeah, we did a good job.\I brought Nagoya.\He went inside!\Ain't it great?\Congrats, Mizutani-san. response:	You didn't do any work.
context: It's not cute!\It's so cool...\Yeah, we did a good job.\I brought Nagoya.\He went inside!\Ain't it great?\Congrats, Mizutani-san.\You didn't do any work. response:	Why would I?
context: It's so cool...\Yeah, we did a good job.\I brought Nagoya.\He went inside!\Ain't it great?\Congrats, Mizutani-san.\You didn't do any work.\Why would I? response:	I told you not to touch her.
context: Yeah, we did a good job.\I brought Nagoya.\He went inside!\Ain't it great?\Congrats, Mizutani-san.\You didn't do any work.\Why would I?\I told you not to touch her. response:	That hurt!
context: I brought Nagoya.\He went inside!\Ain't it great?\Congrats, Mizutani-san.\You didn't do any work.\Why would I?\I told you not to touch her.\That hurt! response:	Cut it out!
context: He went inside!\Ain't it great?\Congrats, Mizutani-san.\You didn't do any work.\Why would I?\I told you not to touch her.\That hurt!\Cut it out! response:	You ticked me off.
context: Ain't it great?\Congrats, Mizutani-san.\You didn't do any work.\Why would I?\I told you not to touch her.\That hurt!\Cut it out!\You ticked me off. response:	I can't wait to take it to school next week.
context: Congrats, Mizutani-san.\You didn't do any work.\Why would I?\I told you not to touch her.\That hurt!\Cut it out!\You ticked me off.\I can't wait to take it to school next week. response:	Yeah.
